Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,Yuki Yuna is a Hero: The Washio Sumi Chapter,7.67,3302,1295,45,TV,6,Finished Airing,"Oct 7, 2017 to Nov 11, 2017",Fall 2017,Fridays at 01:55 (JST),"Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Movic,       KlockWorx,       Kadokawa","Sentai Filmworks,       Ponycan USA",Studio Gokumi,Light novel,"Drama, Fantasy",Mahou Shoujo,,24 min. per ep.,PG-13 - Teens 13 or older,189
Space Cobra,Space Adventure Cobra,7.67,4520,1293,24,TV,31,Finished Airing,"Oct 7, 1982 to May 19, 1983",Fall 1982,Unknown,Fuji TV,"Nozomi Entertainment,       Discotek Media",Tokyo Movie Shinsha,Manga,"Action, Adventure, Sci-Fi","Adult Cast, Space",Shounen,24 min. per ep.,R+ - Mild Nudity,281
3D Kanojo: Real Girl 2nd Season,Real Girl Season 2,7.67,1264,1296,191,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019",Winter 2019,Wednesdays at 01:59 (JST),"VAP,       Docomo Anime Store,       DeNA,       D.N. Dream Partners",Sentai Filmworks,Hoods Entertainment,Manga,Romance,"Otaku Culture, School",Shoujo,22 min. per ep.,PG-13 - Teens 13 or older,"1,199"
Aoi Bungaku Series,,7.67,1100,1298,222,TV,12,Finished Airing,"Oct 11, 2009 to Dec 27, 2009",Fall 2009,Unknown,"Movic,       Happinet Pictures,       Hakuhodo DY Media Partners,       RAY","None found, add some",Madhouse,Novel,"Drama, Suspense","Historical, Psychological",,23 min. per ep.,R - 17+ (violence & profanity),"1,625"
Akebi-chan no Sailor-fuku,Akebi's Sailor Uniform,7.67,1301,1297,185,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",Winter 2022,Sundays at 00:30 (JST),"Aniplex,       Shueisha,       BS Asahi","None found, add some",CloverWorks,Web manga,Slice of Life,"CGDCT, School",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"1,142"
Baka to Test to Shoukanjuu Ni!,Baka & Test – Summon the Beasts 2,7.67,635,1299,372,TV,13,Finished Airing,"Jul 8, 2011 to Sep 30, 2011",Summer 2011,Fridays at Unknown,"Lantis,       Media Factory,       Enterbrain,       Cospa,       Kadokawa Contents Gate,       TV Tokyo Music,       PRA,       T.O Entertainment,       Hakuhodo DY Media Partners",Funimation,SILVER LINK.,Light novel,"Comedy, Romance","Love Polygon, School, Super Power",,24 min. per ep.,PG-13 - Teens 13 or older,"1,198"
Ichigo Mashimaro OVA,Strawberry Marshmallow OVA,7.67,4296,1302,27,OVA,3,Finished Airing,"Feb 23, 2007 to Apr 25, 2007",,,Geneon Entertainment,Sentai Filmworks,Daume,4-koma manga,"Comedy, Slice of Life","CGDCT, Iyashikei, School",,25 min. per ep.,PG-13 - Teens 13 or older,22
Chi's Sweet Home,,7.67,2723,1301,65,TV,104,Finished Airing,"Mar 31, 2008 to Sep 25, 2008",Spring 2008,Not scheduled once per week,"TV Tokyo,       Hakuhodo DY Media Partners",Discotek Media,Madhouse,Manga,"Comedy, Slice of Life",Pets,Seinen,3 min. per ep.,G - All Ages,443
Binbougami ga!,Good Luck Girl!,7.67,1042,1300,234,TV,13,Finished Airing,"Jul 5, 2012 to Sep 27, 2012",Summer 2012,Thursdays at 01:50 (JST),"TV Tokyo,       Bandai Visual,       Dentsu,       Trinity Sound,       Sony Music Entertainment,       Studio Jack,       Shueisha",Funimation,Sunrise,Manga,"Comedy, Supernatural","Gag Humor, Parody",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"1,226"
InuYasha Movie 2: Kagami no Naka no Mugenjou,InuYasha the Movie 2: The Castle Beyond the Looking Glass,7.67,2017,1303,106,Movie,1,Finished Airing,"Dec 21, 2002",,,"Shogakukan-Shueisha Productions,       Yomiuri Telecasting,       TOHO,       Nippon Television Network,       Shogakukan,       Yomiuri TV Enterprise",VIZ Media,Sunrise,Manga,"Action, Adventure, Fantasy, Romance","Historical, Mythology, Time Travel",Shounen,1 hr. 39 min.,PG-13 - Teens 13 or older,263
