Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Seirei no Moribito,Moribito - Guardian of the Spirit,8.13,1111,465,219,TV,26,Finished Airing,"Apr 7, 2007 to Sep 29, 2007","Dentsu,       NHK Enterprises","VIZ Media,       Media Blasters,       Sentai Filmworks,       Geneon Entertainment USA",Production I.G,Novel,"Action, Adventure, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,"2,763",,Spring 2007,Saturdays at 08:06 (JST)
Ginga Eiyuu Densetsu Gaiden,Legend of the Galactic Heroes Gaiden,8.13,4489,467,24,OVA,24,Finished Airing,"Feb 9, 1998 to Sep 26, 1998","Kitty Films,       Tokuma Shoten,       Wright Staff",Sentai Filmworks,K-Factory,Novel,"Action, Drama, Sci-Fi","Military, Space",26 min. per ep.,R+ - Mild Nudity,69,,,
Eizouken ni wa Te wo Dasu na!,Keep Your Hands Off Eizouken!,8.13,703,466,338,TV,12,Finished Airing,"Jan 6, 2020 to Mar 23, 2020","Warner Bros. Japan,       Warner Music Japan,       Shogakukan,       NHK Enterprises",Sentai Filmworks,Science SARU,Manga,"Adventure, Award Winning, Comedy","Otaku Culture, School",25 min. per ep.,PG-13 - Teens 13 or older,"4,207",Seinen,Winter 2020,Mondays at 00:10 (JST)
Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,,8.13,3484,468,41,Special,1,Finished Airing,"Apr 3, 2015","None found, add some","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",24 min.,PG-13 - Teens 13 or older,73,Shounen,,
Given Movie 1,,8.13,1027,469,238,Movie,1,Finished Airing,"Aug 22, 2020",Blue Lynx,"None found, add some",Lerche,Manga,"Boys Love, Drama",Music,59 min.,PG-13 - Teens 13 or older,"1,615",,,
Hinamatsuri (TV),Hinamatsuri,8.13,434,470,515,TV,12,Finished Airing,"Apr 6, 2018 to Jun 22, 2018","AT-X,       Magic Capsule,       Nippon Columbia,       Kadokawa Media House,       NTT Plala,       Kadokawa,       Akatsuki",Funimation,feel.,Manga,"Comedy, Supernatural","Childcare, Organized Crime",23 min. per ep.,PG-13 - Teens 13 or older,"4,498",Seinen,Spring 2018,Fridays at 21:00 (JST)
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,,8.13,2516,471,74,Movie,1,Finished Airing,"Dec 1, 2003",EMI,"None found, add some",Toei Animation,Music,"Adventure, Drama, Sci-Fi","Adult Cast, Music",1 hr. 5 min.,G - All Ages,965,,,
Buddy Daddies,,8.12,888,472,277,TV,12,Finished Airing,"Jan 7, 2023 to Apr 1, 2023","Aniplex,       Movic,       Nitroplus,       Tokyo MX,       Nagoya Broadcasting Network,       BS11,       Bit grooove promotion","None found, add some",P.A. Works,Original,"Action, Comedy","Childcare, Organized Crime",24 min. per ep.,PG-13 - Teens 13 or older,"3,006",,Winter 2023,Saturdays at 00:00 (JST)
JoJo no Kimyou na Bouken Part 6: Stone Ocean,JoJo's Bizarre Adventure: Stone Ocean,8.12,440,474,508,ONA,12,Finished Airing,"Dec 1, 2021",Warner Bros. Japan,VIZ Media,David Production,Manga,"Action, Adventure, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),"7,006",Shounen,,
Katekyou Hitman Reborn!,Reborn!,8.12,394,475,559,TV,203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010","TV Tokyo,       Dentsu,       Marvelous Entertainment,       Pony Canyon,       d-rights","VIZ Media,       Discotek Media",Artland,Manga,"Action, Comedy","Organized Crime, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,"15,980",Shounen,Fall 2006,Saturdays at 10:30 (JST)
Gankutsuou,Gankutsuou: The Count of Monte Cristo,8.12,976,473,251,TV,24,Finished Airing,"Oct 6, 2004 to Mar 30, 2005","GDH,       TV Asahi,       Media Factory,       Sotsu Music Publishing,       Future Vision Music","Funimation,       Geneon Entertainment USA",Gonzo,Novel,"Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",,24 min. per ep.,R - 17+ (violence & profanity),"3,918",,Fall 2004,Tuesdays at 02:12 (JST)
One Piece Film: Z,,8.12,857,477,285,Movie,1,Finished Airing,"Dec 15, 2012",Shueisha,Funimation,Toei Animation,Manga,"Action, Adventure, Fantasy",,1 hr. 47 min.,PG-13 - Teens 13 or older,625,Shounen,,
Kaze Tachinu,The Wind Rises,8.12,694,476,342,Movie,1,Finished Airing,"Jul 20, 2013",Nichion,Disney Platform Distribution,Studio Ghibli,Manga,"Award Winning, Drama, Romance",Historical,2 hr. 6 min.,PG-13 - Teens 13 or older,"3,468",,,
Ookami to Koushinryou: Merchant Meets the Wise Wolf,Spice and Wolf: Merchant Meets the Wise Wolf,8.12,1458,478,162,TV,25,Currently Airing,"Apr 2, 2024 to ?","TV Tokyo,       Movic,       TOHO animation,       Good Smile Company,       Kadokawa,       Enishiya,       Hayabusa Film","None found, add some",Passione,Light novel,"Adventure, Drama, Fantasy, Romance",Adult Cast,23 min. per ep.,PG-13 - Teens 13 or older,874,,Spring 2024,Tuesdays at 01:30 (JST)
