Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Kidou Senshi Gundam SEED,Mobile Suit Gundam SEED,7.74,1377,1132,172,TV,50,Finished Airing,"Oct 5, 2002 to Sep 27, 2003","Sotsu,       Asatsu DK,       Mainichi Broadcasting System,       Sony Music Entertainment,       Atelier Musa","Nozomi Entertainment,       Bandai Entertainment,       NYAV Post",Sunrise,Original,"Action, Award Winning, Drama, Romance, Sci-Fi","Mecha, Military, Space",,24 min. per ep.,R - 17+ (violence & profanity),"3,565",Fall 2002,Saturdays at 18:00 (JST)
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,,7.74,2916,1133,57,Movie,1,Finished Airing,"Feb 19, 2005","None found, add some","None found, add some",A.C.G.T.,Light novel,"Adventure, Drama, Fantasy",,,29 min.,R - 17+ (violence & profanity),49,,
Kokoro Connect,,7.74,214,1134,836,TV,13,Finished Airing,"Jul 8, 2012 to Sep 30, 2012","Starchild Records,       Enterbrain",Sentai Filmworks,SILVER LINK.,Light novel,"Drama, Romance, Supernatural","Love Polygon, School",,24 min. per ep.,PG-13 - Teens 13 or older,"7,875",Summer 2012,Sundays at 00:30 (JST)
Liang Bu Yi,No Doubt In Us,7.74,6321,1136,10,ONA,24,Finished Airing,"Apr 30, 2021 to Nov 10, 2021","bilibili,       Netflix","None found, add some",Paper Plane Animation Studio,Web manga,"Comedy, Romance",Historical,,14 min. per ep.,PG-13 - Teens 13 or older,112,,
Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,Winter Cup Highlights Episode 1 – Winter Cup Highlights -Shadow and Light-,7.74,3438,1135,42,Movie,1,Finished Airing,"Sep 3, 2016","None found, add some","None found, add some",Production I.G,Manga,Sports,"School, Team Sports",Shounen,1 hr. 27 min.,PG-13 - Teens 13 or older,34,,
Lucky☆Star,,7.74,324,1137,653,TV,24,Finished Airing,"Apr 8, 2007 to Sep 17, 2007","Lantis,       Kadokawa Shoten,       Rakuonsha,       KlockWorx,       Lucky Paradise","Funimation,       Bandai Entertainment,       Kadokawa Pictures USA",Kyoto Animation,4-koma manga,Comedy,"CGDCT, Gag Humor, Otaku Culture, School",,24 min. per ep.,PG-13 - Teens 13 or older,"12,330",Spring 2007,Mondays at 00:00 (JST)
Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men,The Legend of Luoxiaohei: The Gate of All Living Beings,7.73,12056,1164,1,ONA,12,Finished Airing,"Apr 24, 2021 to Jul 17, 2021","None found, add some","None found, add some",HMCH,Original,"Comedy, Supernatural",,,8 min. per ep.,PG-13 - Teens 13 or older,9,,
Mairimashita! Iruma-kun,Welcome to Demon School! Iruma-kun,7.74,458,1138,492,TV,23,Finished Airing,"Oct 5, 2019 to Mar 7, 2020","NHK,       NHK Enterprises","None found, add some",Bandai Namco Pictures,Manga,"Comedy, Fantasy","Isekai, School",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"4,372",Fall 2019,Saturdays at 17:35 (JST)
Master Keaton OVA,,7.74,6255,1139,10,OVA,15,Finished Airing,"Dec 22, 1999 to Jun 21, 2000","VAP,       Shogakukan-Shueisha Productions",Geneon Entertainment USA,Madhouse,Manga,"Adventure, Drama, Mystery","Adult Cast, Historical",Seinen,24 min. per ep.,R - 17+ (violence & profanity),20,,
Shaman King,,7.74,646,1140,367,TV,64,Finished Airing,"Jul 4, 2001 to Sep 25, 2002","TV Tokyo,       Nihon Ad Systems,       TV Tokyo Music",Discotek Media,Xebec,Manga,"Action, Adventure, Supernatural",Super Power,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"3,778",Summer 2001,Wednesdays at 18:30 (JST)
Shokugeki no Souma: Shin no Sara,Food Wars! The Fourth Plate,7.74,350,1141,619,TV,12,Finished Airing,"Oct 12, 2019 to Dec 28, 2019","Warner Bros. Japan,       KlockWorx,       Shueisha,       Bandai Namco Arts",Sentai Filmworks,J.C.Staff,Manga,"Gourmet, Ecchi",School,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"1,369",Fall 2019,Saturdays at 00:30 (JST)
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,,7.74,6197,1142,10,Movie,1,Finished Airing,"Aug 29, 2015","Shochiku,       flying DOG","None found, add some",TYO Animations,Original,Slice of Life,"CGDCT, Iyashikei",,52 min.,G - All Ages,11,,
Tianbao Fuyao Lu 2nd Season,Legend of Exorcism,7.74,9037,1144,4,ONA,13,Finished Airing,"Apr 25, 2021 to Aug 1, 2021",bilibili,"None found, add some",Sparkly Key Animation Studio,Web novel,"Action, Adventure, Comedy, Fantasy","Historical, Mythology",,20 min. per ep.,PG-13 - Teens 13 or older,40,,
Tentai Senshi Sunred,,7.74,4661,1143,22,TV,26,Finished Airing,"Oct 3, 2008 to Mar 28, 2009",flying DOG,"None found, add some",AIC ASTA,Manga,Comedy,"Gag Humor, Parody, Super Power",Seinen,13 min. per ep.,PG-13 - Teens 13 or older,200,Fall 2008,Unknown
Shin Kidou Senki Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,7.73,3175,1145,49,OVA,3,Finished Airing,"Jan 25, 1997 to Jul 25, 1997","Bandai Visual,       Sotsu",Bandai Entertainment,Sunrise,Original,"Action, Award Winning, Drama, Sci-Fi","Mecha, Military, Space",,30 min. per ep.,PG-13 - Teens 13 or older,178,,
Toshokan Sensou: Kakumei no Tsubasa,Library Wars: The Wings of Revolution,7.73,4477,1147,24,Movie,1,Finished Airing,"Jun 16, 2012","Kadokawa Shoten,       Dwango,       Sony PCL,       Jinnan Studio,       Cinema Sunshine","None found, add some",Production I.G,Novel,"Action, Comedy, Romance","Adult Cast, Military",,1 hr. 44 min.,PG-13 - Teens 13 or older,43,,
Tantei Gakuen Q,Detective School Q,7.73,3756,1146,35,TV,45,Finished Airing,"Apr 15, 2003 to Mar 20, 2004","Group TAC,       Kodansha","None found, add some",Pierrot,Manga,"Comedy, Drama, Mystery",Detective,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,258,Spring 2003,Unknown
Aggressive Retsuko (ONA) 2nd Season,Aggretsuko (ONA) 2nd Season,7.73,1850,1148,118,ONA,10,Finished Airing,"Jun 14, 2019","Sanrio,       Netflix","None found, add some",Fanworks,Other,Comedy,"Anthropomorphic, Workplace",,16 min. per ep.,PG-13 - Teens 13 or older,250,,
Ani ni Tsukeru Kusuri wa Nai! 2,,7.73,3090,1149,51,TV,24,Finished Airing,"Jul 9, 2018 to Dec 17, 2018",Tencent Penguin Pictures,"None found, add some","Fanworks,       Imagineer",Web manga,Comedy,School,,3 min. per ep.,PG-13 - Teens 13 or older,92,Summer 2018,Mondays at 21:54 (JST)
