Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",7.79,1141,1012,214,TV,12,Finished Airing,"Oct 8, 2023 to Dec 24, 2023",Fall 2023,Sundays at 22:30 (JST),"Lantis,       Movic,       Bushiroad,       Tokyo MX,       Shueisha,       NetEase,       Bushiroad Move,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",Bibury Animation Studios,Manga,"Comedy, Romance","Harem, Parody, School",23 min. per ep.,PG-13 - Teens 13 or older,"2,242",Seinen
Last Exile,,7.79,1360,1013,176,TV,26,Finished Airing,"Apr 8, 2003 to Sep 30, 2003",Spring 2003,Tuesdays at 01:30 (JST),"GDH,       Victor Entertainment,       TV Tokyo Music","Funimation,       Geneon Entertainment USA",Gonzo,Original,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,"1,863",
Meitantei Conan Movie 07: Meikyuu no Crossroad,Detective Conan Movie 07: Crossroad in the Ancient Capital,7.79,3060,1014,52,Movie,1,Finished Airing,"Apr 19, 2003",,,"None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,1 hr. 48 min.,PG-13 - Teens 13 or older,37,Shounen
Meitantei Conan Movie 09: Suihei Senjou no Strategy,Detective Conan Movie 09: Strategy Above the Depths,7.79,3120,1015,50,Movie,1,Finished Airing,"Apr 9, 2005",,,"None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,1 hr. 50 min.,PG-13 - Teens 13 or older,22,Shounen
New Initial D Movie: Legend 1 - Kakusei,Initial D Legend 1 Awakening,7.79,3600,1016,39,Movie,1,Finished Airing,"Aug 24, 2014",,,"Shochiku,       Kodansha,       Ultra Super Pictures,       Avex Pictures,       Sammy",Sentai Filmworks,"SANZIGEN,       LIDENFILMS",Manga,Action,Racing,1 hr. 2 min.,PG-13 - Teens 13 or older,82,Seinen
Psycho-Pass 3: First Inspector,,7.79,2111,1017,98,ONA,3,Finished Airing,"Mar 27, 2020",,,"Dentsu,       Fuji TV,       Nitroplus,       Sony Music Entertainment,       TOHO animation,       MAGNET","None found, add some",Production I.G,Original,"Action, Mystery, Sci-Fi","Adult Cast, Detective, Psychological",46 min. per ep.,R - 17+ (violence & profanity),160,
Saint☆Oniisan (Movie),Saint☆Young Men (Movie),7.79,2139,1018,96,Movie,1,Finished Airing,"May 10, 2013",,,"Aniplex,       Kodansha,       TOHO,       Three S Studio","None found, add some",A-1 Pictures,Manga,Comedy,,1 hr. 29 min.,PG-13 - Teens 13 or older,468,Seinen
Kekkai Sensen & Beyond,Blood Blockade Battlefront & Beyond,7.78,516,1020,440,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",Fall 2017,Sundays at 03:08 (JST),"Nihon Ad Systems,       Mainichi Broadcasting System,       TOHO animation,       Shueisha",Funimation,Bones,Manga,"Action, Fantasy","Super Power, Vampire",24 min. per ep.,R - 17+ (violence & profanity),"1,697",Shounen
Jungle wa Itsumo Hare nochi Guu Deluxe,Haré+Guu Deluxe,7.78,5818,1019,12,OVA,6,Finished Airing,"Aug 25, 2002 to Jan 25, 2003",,,Bandai Visual,"Funimation,       AN Entertainment",Shin-Ei Animation,Manga,"Comedy, Slice of Life",Gag Humor,26 min. per ep.,PG-13 - Teens 13 or older,22,Shounen
Liang Bu Yi 2nd Season,No Doubt In Us 2nd Season,7.78,8703,1021,4,ONA,24,Finished Airing,"Oct 26, 2022 to Apr 19, 2023",,,"bilibili,       Paper Plane Animation Studio","None found, add some","None found, add some",Manga,"Comedy, Romance",Historical,14 min. per ep.,PG-13 - Teens 13 or older,23,
Macross F Movie 1: Itsuwari no Utahime,Macross Frontier: The False Songstress,7.78,4008,1022,31,Movie,1,Finished Airing,"Nov 21, 2009",,,"Bandai Visual,       Big West,       KlockWorx,       Bandai Namco Games","None found, add some","Satelight,       8bit",Original,"Action, Romance, Sci-Fi","Mecha, Military, Music, Space",1 hr. 59 min.,PG-13 - Teens 13 or older,58,
Meitantei Conan Movie 12: Senritsu no Full Score,Detective Conan Movie 12: Full Score of Fear,7.78,3204,1023,48,Movie,1,Finished Airing,"Apr 19, 2008",,,"Shogakukan-Shueisha Productions,       Tokyo Movie Shinsha,       Big Bang","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,1 hr. 56 min.,PG-13 - Teens 13 or older,24,Shounen
Mind Game,,7.78,2292,1024,87,Movie,1,Finished Airing,"Aug 7, 2004",,,Beyond C.,GKIDS,Studio 4°C,Manga,"Adventure, Avant Garde, Award Winning, Comedy, Romance","Adult Cast, Psychological",1 hr. 43 min.,R - 17+ (violence & profanity),"1,130",
Seikai no Senki II,Banner of the Stars II,7.78,4499,1026,24,TV,10,Finished Airing,"Jul 11, 2001 to Sep 26, 2001",Summer 2001,Unknown,"Bandai Visual,       WOWOW","Funimation,       Bandai Entertainment",Sunrise,Light novel,"Action, Romance, Sci-Fi","Military, Space",25 min. per ep.,PG-13 - Teens 13 or older,123,
Shiguang Dailiren Fanwai Pian: Biwu Zhaoqin,Link Click Episode 5.5,7.78,3540,1027,40,ONA,1,Finished Airing,"May 28, 2021",,,"Haoliners Animation League,       bilibili,       BeDream","None found, add some",LAN Studio,Original,"Drama, Mystery, Supernatural, Suspense","Adult Cast, Time Travel",22 min.,PG-13 - Teens 13 or older,93,
Saiyuuki Gaiden,,7.78,5652,1025,13,OVA,3,Finished Airing,"Mar 25, 2011 to Nov 25, 2011",,,"TV Tokyo,       Dentsu,       Frontier Works,       Hakuhodo DY Media Partners",Sentai Filmworks,Anpro,Manga,"Action, Adventure, Drama, Fantasy",Mythology,29 min. per ep.,R - 17+ (violence & profanity),74,Shounen
Shin Kidou Senki Gundam Wing: Endless Waltz Tokubetsu-hen,Mobile Suit Gundam Wing: Endless Waltz,7.78,2832,1028,60,Movie,1,Finished Airing,"Aug 1, 1998",,,"Bandai Visual,       Sotsu",Bandai Entertainment,Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Military, Space",1 hr. 34 min.,PG-13 - Teens 13 or older,194,
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,,7.78,8873,1029,4,Movie,1,Finished Airing,"Oct 19, 2019",,,"None found, add some","None found, add some",Toei Animation,Original,"Action, Fantasy",Mahou Shoujo,1 hr. 12 min.,G - All Ages,17,
