Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes
Touch: Cross Road - Kaze no Yukue,,6.82,9474,5022,3,TV Special,1,Finished Airing,"Feb 9, 2001",,,"VAP,       Kodansha,       TOHO,       Toho Music","None found, add some",Group TAC,Unknown,"Romance, Sports",Shounen,1 hr. 30 min.,PG-13 - Teens 13 or older,2,Team Sports
Touken Ranbu: Hanamaru,Touken Ranbu - Hanamaru,6.82,2301,5023,86,TV,12,Finished Airing,"Oct 3, 2016 to Dec 19, 2016",Fall 2016,Mondays at 00:00 (JST),"Marvelous Entertainment,       Nitroplus,       Delfi Sound,       TOHO animation,       Good Smile Company,       DMM.com",Funimation,Doga Kobo,Game,"Action, Comedy, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,480,"Anthropomorphic, Historical"
Uchuusen Sagittarius,,6.82,11348,5024,2,TV,77,Finished Airing,"Jan 10, 1986 to Oct 3, 1987",Winter 1986,Fridays at 19:30 (JST),"None found, add some","None found, add some",Nippon Animation,Picture book,"Adventure, Sci-Fi",,24 min. per ep.,PG - Children,20,
Warau Salesman,Laughing Salesman,6.82,7353,5025,7,TV,103,Finished Airing,"Oct 17, 1989 to Sep 29, 1992",Fall 1989,Tuesdays at Unknown,TBS,"None found, add some",Shin-Ei Animation,Manga,"Comedy, Drama, Supernatural",Seinen,10 min. per ep.,R+ - Mild Nudity,47,"Adult Cast, Psychological"
Weiß Kreuz OVA,Knight Hunters OVA,6.82,7925,5026,6,OVA,2,Finished Airing,"Nov 25, 1999 to Feb 23, 2000",,,Marine Entertainment,"None found, add some","Triangle Staff,       animate Film",Unknown,"Action, Drama",,30 min. per ep.,R - 17+ (violence & profanity),19,
ACCA: 13-ku Kansatsu-ka Specials,,6.82,6316,5030,10,Special,6,Finished Airing,"Apr 21, 2017 to Aug 29, 2017",,,"None found, add some",Funimation,Madhouse,Manga,Slice of Life,Seinen,5 min. per ep.,PG-13 - Teens 13 or older,10,
Ze Tian Ji,,6.82,6923,5028,8,ONA,13,Finished Airing,"Jul 15, 2015 to Dec 23, 2015",,,"Tencent Penguin Pictures,       China Literature Limited","None found, add some",Foch Films,Novel,"Action, Adventure, Fantasy",,18 min. per ep.,PG-13 - Teens 13 or older,35,
Yi Ren Zhi Xia,Hitori no Shita - The Outcast,6.82,1166,5027,209,TV,12,Finished Airing,"Jul 9, 2016 to Sep 24, 2016",Summer 2016,Saturdays at 21:00 (JST),"Haoliners Animation League,       Tencent Animation & Comics,       Emon","None found, add some",Namu Animation,Web manga,"Action, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),497,Super Power
Zombie-Loan,,6.82,1638,5029,139,TV,11,Finished Airing,"Jul 4, 2007 to Sep 12, 2007",Summer 2007,Wednesdays at 02:40 (JST),"Xebec,       Nihon Ad Systems",Discotek Media,XEBEC M2,Manga,"Action, Horror, Supernatural",Shounen,23 min. per ep.,R - 17+ (violence & profanity),327,
Akkun to Kanojo,My Sweet Tyrant,6.82,1327,5031,181,TV,25,Finished Airing,"Apr 6, 2018 to Sep 21, 2018",Spring 2018,Fridays at 22:30 (JST),"None found, add some","None found, add some",Yumeta Company,Manga,"Comedy, Romance",Josei,3 min. per ep.,PG-13 - Teens 13 or older,314,School
Anime 80-nichikan Sekai Isshuu,Around the World with Willy Fog,6.82,8011,5032,5,TV,26,Finished Airing,"Jan 8, 1984 to Jul 15, 1984",Winter 1984,Saturdays at 19:30 (JST),"None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Romance",Kids,25 min. per ep.,G - All Ages,9,"Anthropomorphic, Historical"
Binan Koukou Chikyuu Bouei-bu LOVE!,Cute High Earth Defense Club LOVE!,6.82,2353,5033,83,TV,12,Finished Airing,"Jan 7, 2015 to Mar 25, 2015",Winter 2015,Wednesdays at 01:40 (JST),"Sotsu,       Pony Canyon",Ponycan USA,Diomedéa,Original,Comedy,,24 min. per ep.,PG-13 - Teens 13 or older,518,"Parody, School"
Boku no Hero Academia (ONA),My Hero Academia ONA,6.82,3333,5034,44,ONA,2,Finished Airing,"Jun 16, 2022",,,"None found, add some","None found, add some",Bones,Manga,Sports,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,53,"School, Super Power, Team Sports"
Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,,6.82,8088,5035,5,Movie,1,Finished Airing,"Jul 12, 1986",,,TV Tokyo,"None found, add some",Tsuchida Productions,Manga,Sports,Shounen,57 min.,G - All Ages,3,Team Sports
