Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
The iDOLM@STER Million Live!,,6.92,6368,4519,10,TV,12,Finished Airing,"Oct 8, 2023 to Dec 24, 2023","Lantis,       Bandai Namco Entertainment,       Bic Studio","None found, add some",Shirogumi,Game,,"Idols (Female), Music",24 min. per ep.,PG-13 - Teens 13 or older,52,Fall 2023,Sundays at 10:00 (JST),
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,UFO Ultramaiden Valkyrie 2: December Nocturne,6.92,6353,4522,10,TV,12,Finished Airing,"Oct 4, 2003 to Dec 20, 2003","Media Factory,       KlockWorx,       Toshiba Entertainment",ADV Films,TNK,Manga,"Comedy, Romance, Sci-Fi",,23 min. per ep.,R+ - Mild Nudity,15,Fall 2003,Saturdays at 01:15 (JST),
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,UFO Ultramaiden Valkyrie 3: Bride of Celestial Souls' Day,6.92,7134,4523,7,OVA,6,Finished Airing,"May 25, 2005 to Oct 25, 2005","Media Factory,       KlockWorx,       Toshiba Entertainment","ADV Films,       Funimation",TNK,Manga,"Comedy, Romance, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,5,,,
Tiger Mask W,,6.92,4670,4521,22,TV,38,Finished Airing,"Oct 2, 2016 to Jul 2, 2017",TV Asahi,"None found, add some",Toei Animation,Manga,"Drama, Sports",Combat Sports,23 min. per ep.,PG-13 - Teens 13 or older,71,Fall 2016,Sundays at 02:30 (JST),Shounen
Thermae Romae,,6.92,4267,4520,27,TV Special,3,Finished Airing,"Jan 13, 2012 to Jan 27, 2012","Dentsu,       Fuji TV,       TOHO,       Sony Music Entertainment",Discotek Media,DLE,Manga,Comedy,"Adult Cast, Historical, Time Travel",24 min. per ep.,PG-13 - Teens 13 or older,35,,,Seinen
Under Ninja,,6.92,2752,4524,64,TV,12,Finished Airing,"Oct 6, 2023 to Dec 22, 2023","Pony Canyon,       TBS,       Kodansha,       DAX Production,       BS11,       Crunchyroll,       MAGNET,       NetEase","None found, add some",Tezuka Productions,Manga,Action,,24 min. per ep.,R - 17+ (violence & profanity),315,Fall 2023,Fridays at 01:43 (JST),Seinen
Urusei Yatsura Movie 3: Remember My Love,,6.92,6657,4525,9,Movie,1,Finished Airing,"Jan 26, 1985",Kitty Films,"AnimEigo,       Discotek Media",Studio Deen,Manga,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",,1 hr. 35 min.,PG-13 - Teens 13 or older,12,,,Shounen
Wan Jie Shen Zhu 2nd Season,,6.92,12319,4526,1,ONA,48,Finished Airing,"Feb 1, 2020 to Jul 8, 2020","None found, add some","None found, add some",Ruo Hong Culture,Manga,"Adventure, Fantasy",,9 min. per ep.,PG-13 - Teens 13 or older,4,,,
Xi Xing Ji: Chongsheng Pian,The Westward 4th Season,6.92,14157,4527,857,ONA,12,Finished Airing,"Jun 1, 2022 to Aug 3, 2022",Tencent Penguin Pictures,"None found, add some",BYMENT,Manga,"Action, Adventure, Fantasy","Historical, Martial Arts",22 min. per ep.,PG-13 - Teens 13 or older,2,,,
Ze Tian Ji 3rd Season,,6.92,9761,4528,3,ONA,12,Finished Airing,"Jul 26, 2017 to Oct 11, 2017","Tencent Penguin Pictures,       China Literature Limited","None found, add some",Foch Films,Novel,"Action, Adventure, Fantasy",,20 min. per ep.,PG-13 - Teens 13 or older,5,,,
Belle to Kaijuu Ouji,,6.92,13752,4530,967,Movie,1,Finished Airing,1976,Gakken,"None found, add some","None found, add some",Book,Fantasy,Historical,19 min.,G - All Ages,4,,,Kids
Animation Seisaku Shinkou Kuromi-chan 2,Animation Runner Kuromi 2,6.92,7646,4529,6,OVA,1,Finished Airing,"Jan 28, 2004",DAX Production,Central Park Media,Yumeta Company,Original,"Comedy, Drama","Otaku Culture, Parody",45 min.,PG-13 - Teens 13 or older,3,,,
Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,Campione!,6.92,594,4531,392,TV,13,Finished Airing,"Jul 6, 2012 to Sep 28, 2012","Lantis,       AT-X,       Barnum Studio,       Magic Capsule,       Warner Bros. Japan,       KlockWorx,       Shueisha,       Bulls Eye",Sentai Filmworks,Diomedéa,Light novel,"Action, Comedy, Fantasy, Romance, Ecchi","Harem, Mythology",24 min. per ep.,PG-13 - Teens 13 or older,"1,302",Summer 2012,Unknown,
Code Geass: Hangyaku no Lelouch Picture Drama,Code Geass: Lelouch of the Rebellion Picture Dramas,6.92,3108,4533,51,Special,9,Finished Airing,"Jan 27, 2007 to Sep 25, 2007","None found, add some","Funimation,       Bandai Entertainment",Sunrise,Original,"Comedy, Slice of Life",School,4 min. per ep.,PG-13 - Teens 13 or older,77,,,
Can Ci Pin: Fangzhu Xingkong,The Defective,6.92,9748,4532,3,ONA,16,Finished Airing,"Jul 30, 2021 to Nov 5, 2021",bilibili,Funimation,LX Animation Studio,Novel,"Action, Sci-Fi",,19 min. per ep.,None,32,,,
Dai Mahou Touge,Magical Witch Punie-Chan,6.92,3835,4534,34,OVA,4,Finished Airing,"Mar 20, 2006 to Mar 21, 2007",Geneon Entertainment,Media Blasters,Diomedéa,Manga,"Comedy, Fantasy","Gag Humor, Mahou Shoujo, School",24 min. per ep.,R - 17+ (violence & profanity),116,,,Shounen
Days OVA,,6.92,6811,4535,8,OVA,2,Finished Airing,"Mar 17, 2017 to May 17, 2017","None found, add some","None found, add some",MAPPA,Manga,Sports,"School, Team Sports",25 min. per ep.,PG-13 - Teens 13 or older,8,,,Shounen
Deadman Wonderland: Akai Knife Tsukai,Deadman Wonderland: The Red Knife Wielder,6.92,1677,4536,134,OVA,1,Finished Airing,"Oct 8, 2011","None found, add some",Funimation,Manglobe,Manga,"Action, Horror, Sci-Fi",,27 min.,R - 17+ (violence & profanity),62,,,Shounen
Doraemon: Kaette Kita Doraemon (Movie),Doraemon: Doraemon Comes Back (Movie),6.92,10086,4537,3,Movie,1,Finished Airing,"Mar 7, 1998",Asatsu DK,"None found, add some",Shin-Ei Animation,Unknown,"Comedy, Fantasy",,27 min.,PG - Children,2,,,Kids
Fantastic Children: Befort no Kodomo-tachi no Sonogo,,6.92,11252,4538,2,Special,1,Finished Airing,"Sep 23, 2005","None found, add some","None found, add some",Nippon Animation,Unknown,Slice of Life,,6 min.,G - All Ages,2,,,
Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,,6.92,9750,4540,3,OVA,1,Finished Airing,"Apr 25, 2002","Bandai Visual,       Broccoli",Bandai Entertainment,Madhouse,Unknown,"Comedy, Sci-Fi",,13 min.,PG-13 - Teens 13 or older,1,,,
Fractale,,6.92,2342,4539,83,TV,11,Finished Airing,"Jan 14, 2011 to Apr 1, 2011","Fuji TV,       TOHO,       Asmik Ace,       Sony Music Entertainment",Funimation,A-1 Pictures,Original,"Adventure, Fantasy, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,202,Winter 2011,Fridays at 00:45 (JST),
gdgd Fairies 2,,6.92,10297,4541,2,TV,12,Finished Airing,"Jan 10, 2013 to Mar 28, 2013","Strawberry Meets Pictures,       Bouncy","None found, add some","None found, add some",Original,"Comedy, Fantasy",,15 min. per ep.,PG - Children,26,Winter 2013,Unknown,
Gegege no Kitarou (2007),,6.92,7745,4542,6,TV,100,Finished Airing,"Apr 1, 2007 to Mar 29, 2009","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Fantasy, Horror",,23 min. per ep.,G - All Ages,14,Spring 2007,Sundays at 09:00 (JST),
Guilty Crown: 4-koma Gekijou,,6.92,4306,4543,26,Special,11,Finished Airing,"Jan 25, 2012 to Nov 21, 2012","Aniplex,       Studio Moriken",Funimation,Production I.G,4-koma manga,Comedy,,1 min. per ep.,R - 17+ (violence & profanity),24,,,
Hajimete no Eigo: Nippon Mukashibanashi,Japanese Classical Stories,6.92,14266,4544,828,OVA,18,Finished Airing,2004,"None found, add some","None found, add some","None found, add some",Other,Fantasy,,9 min. per ep.,G - All Ages,3,,,Kids
Kyokou Suiri,In/Spectre,6.92,477,4546,479,TV,12,Finished Airing,"Jan 12, 2020 to Mar 29, 2020","Nihon Ad Systems,       Kodansha,       KlockWorx,       Docomo Anime Store,       King Records,       Crunchyroll,       GYAO!,       BS NTV,       Marui Group",VIZ Media,Brain's Base,Manga,"Mystery, Romance, Supernatural","Adult Cast, Mythology",24 min. per ep.,R - 17+ (violence & profanity),"1,375",Winter 2020,Sundays at 01:30 (JST),Shounen
Healin' Good♡Precure,Healin' Good Pretty Cure,6.92,5928,4545,12,TV,45,Finished Airing,"Feb 2, 2020 to Feb 21, 2021","Asatsu DK,       Asahi Broadcasting,       ABC Animation","None found, add some",Toei Animation,Original,"Action, Fantasy",Mahou Shoujo,24 min. per ep.,G - All Ages,79,Winter 2020,Sundays at 08:30 (JST),
Makiba no Shoujo Katri,"Katri, Girl of the Meadows",6.92,8843,4548,4,TV,49,Finished Airing,"Jan 8, 1984 to Dec 23, 1984","None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Drama, Slice of Life",Historical,25 min. per ep.,G - All Ages,19,Winter 1984,Unknown,
Lengxue Kuang Yan,,6.92,17531,4547,383,ONA,1,Finished Airing,"Dec 4, 2020","None found, add some","None found, add some","None found, add some",Original,"Action, Fantasy",,2 hr. 9 min.,R - 17+ (violence & profanity),1,,,
Nagagutsu wo Haita Neko,,6.92,8604,4549,4,Movie,1,Finished Airing,"Mar 18, 1969","None found, add some",Discotek Media,Toei Animation,Other,"Adventure, Fantasy",,1 hr. 20 min.,G - All Ages,16,,,Kids
Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!,Nanbaka: Idiots with Student Numbers!,6.92,3920,4550,32,Special,1,Finished Airing,"Apr 29, 2017",comico,"None found, add some",Satelight,Web manga,"Action, Comedy",School,23 min.,PG-13 - Teens 13 or older,49,,,
Zhen Hun Jie: Bei Luo Shi Men Pian Part 2,Rakshasa Street,6.94,8530,4451,5,ONA,7,Finished Airing,"May 15, 2021 to Jun 26, 2021",bilibili,"None found, add some",L²Studio,Manga,"Action, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,7,,,
Aki no Kanade,,6.94,4654,4453,22,Movie,1,Finished Airing,"Mar 22, 2015",Exa International,"None found, add some",J.C.Staff,Original,Slice of Life,"Music, School",25 min.,PG-13 - Teens 13 or older,26,,,
Alps no Shoujo Heidi (1979),The Story of Heidi,6.94,8052,4454,5,Movie,1,Finished Airing,"Mar 17, 1979",Zuiyo,"None found, add some",Nippon Animation,Unknown,Drama,Historical,1 hr. 47 min.,PG - Children,9,,,
Ai Shoujo Pollyanna Story,,6.94,7836,4452,6,TV,51,Finished Airing,"Jan 5, 1986 to Dec 28, 1986","None found, add some","None found, add some",Nippon Animation,Novel,"Drama, Slice of Life",Historical,25 min. per ep.,G - All Ages,28,Winter 1986,Sundays at 19:30 (JST),
Anne Happy♪,Anne-Happy,6.94,2413,4455,79,TV,12,Finished Airing,"Apr 7, 2016 to Jun 23, 2016","Sotsu,       AT-X,       KlockWorx,       Asmik Ace,       Houbunsha,       BS Fuji,       DIVE II Entertainment,       Grooove,       Avex Pictures,       Crunchyroll,       Contents Seed,       FuRyu","None found, add some",SILVER LINK.,Manga,Slice of Life,"CGDCT, School",23 min. per ep.,PG-13 - Teens 13 or older,264,Spring 2016,Thursdays at 21:30 (JST),
Appleseed Alpha,,6.94,4988,4456,19,Movie,1,Finished Airing,"Jan 17, 2015","Sony Pictures Entertainment,       Aniplex,       Lucent Pictures Entertainment",Sony Pictures Worldwide Acquisitions,Sola Digital Arts,Manga,"Action, Adventure, Sci-Fi","Mecha, Military",1 hr. 33 min.,R - 17+ (violence & profanity),34,,,Seinen
Arifureta Shokugyou de Sekai Saikyou: Arifureta Yorimichi de Sekai Saikyou,Arifureta: From a Detour to the World's Strongest,6.94,3335,4457,44,Special,1,Finished Airing,"Mar 23, 2022","None found, add some","None found, add some","asread.,       studio MOTHER",Light novel,"Action, Adventure, Fantasy","Harem, Isekai",23 min.,PG-13 - Teens 13 or older,105,,,
Biohazard: Degeneration,,6.94,3693,4460,37,Movie,1,Finished Airing,"Oct 18, 2008","Sony Pictures Entertainment,       Capcom","None found, add some",Digital Frontier,Game,"Action, Horror, Sci-Fi",,1 hr. 36 min.,R - 17+ (violence & profanity),50,,,
Buddy Complex: Daremo Shiranai Ashita e,,6.94,9467,4461,3,ONA,1,Finished Airing,"Sep 20, 2014",Lantis,"None found, add some",Sunrise,Original,"Action, Sci-Fi","Mecha, Time Travel",1 hr. 34 min.,PG-13 - Teens 13 or older,6,,,
Battle Spirits: Shounen Gekiha Dan,,6.94,9092,4459,4,TV,50,Finished Airing,"Sep 13, 2009 to Sep 5, 2010","None found, add some","None found, add some",Sunrise,Card game,Adventure,"Isekai, Military, Strategy Game",23 min. per ep.,PG - Children,9,Fall 2009,Unknown,
