Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
Glass no Kamen: Sen no Kamen wo Motsu Shoujo,Glass Mask: The Girl of a Thousand Masks,6.88,10179,4760,2,OVA,3,Finished Airing,"Dec 16, 1998 to Apr 21, 1999","Dentsu,       TV Asahi","None found, add some",Tokyo Movie Shinsha,Manga,Drama,Shoujo,45 min. per ep.,PG-13 - Teens 13 or older,7,,,Performing Arts
Hana no Ko Lunlun,Flower Angel,6.88,7764,4762,6,TV,50,Finished Airing,"Feb 9, 1979 to Feb 8, 1980","TV Asahi,       Asatsu DK,       Harmony Gold","None found, add some",Toei Animation,Original,"Adventure, Drama",,24 min. per ep.,G - All Ages,23,Winter 1979,Unknown,
Hi no Tori: Uchuu-hen,The Phoenix -Space-,6.88,9413,4763,3,OVA,1,Finished Airing,"Dec 21, 1987","Kadokawa Shoten,       Tezuka Productions,       Tohokushinsha Film Corporation","None found, add some",Madhouse,Manga,"Drama, Fantasy, Sci-Fi",,48 min.,PG-13 - Teens 13 or older,5,,,Space
Hinata no Aoshigure,Sonny Boy & Dewdrop Girl,6.88,4373,4764,26,Movie,1,Finished Airing,"Nov 9, 2013","None found, add some","None found, add some",Studio Colorido,Original,"Adventure, Fantasy, Romance",,18 min.,PG - Children,45,,,
It's a Rumic World: 50th Anniversary Weekly★Shonen Sunday,,6.88,8847,4765,4,Special,1,Finished Airing,"Jul 30, 2008 to Aug 11, 2008",Shogakukan,"None found, add some",Sunrise,Manga,"Comedy, Sci-Fi",,3 min.,PG-13 - Teens 13 or older,9,,,
Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day,,6.88,4842,4766,20,OVA,1,Finished Airing,"Dec 5, 2011","None found, add some","None found, add some",Zexcs,Light novel,"Action, Comedy, Fantasy, Romance, Ecchi",,24 min.,PG-13 - Teens 13 or older,4,,,"School, Vampire"
Jian Yu Feng Yun,The Legend of Sword Domain,6.88,11790,4767,1,ONA,40,Finished Airing,"Nov 28, 2021 to Apr 6, 2022",Youku,"None found, add some",Ruo Hong Culture,Original,"Action, Adventure, Fantasy",,10 min. per ep.,PG-13 - Teens 13 or older,22,,,Martial Arts
A-Channel: Nabe wo Tabeyou,A-Channel: Let's Eat Hot Pot,6.87,6736,4768,9,Special,1,Finished Airing,"Sep 27, 2017",Aniplex,"None found, add some",Studio Gokumi,4-koma manga,Comedy,,23 min.,PG-13 - Teens 13 or older,2,,,"CGDCT, School"
Amatsuki,,6.87,2902,4769,58,TV,13,Finished Airing,"Apr 5, 2008 to Jun 28, 2008","Frontier Works,       Sotsu","None found, add some",Studio Deen,Manga,"Action, Fantasy",Josei,23 min. per ep.,PG-13 - Teens 13 or older,123,Spring 2008,Saturdays at 02:30 (JST),"Historical, Mythology, Time Travel"
Blood: The Last Vampire,,6.87,1927,4771,112,Movie,1,Finished Airing,"Nov 18, 2000","Aniplex,       Sony Interactive Entertainment,       Information-technology Promotion Agency",Manga Entertainment,Production I.G,Original,"Award Winning, Horror, Supernatural",,48 min.,R - 17+ (violence & profanity),262,,,"Gore, Vampire"
Andersen Douwa: Ningyohime,Hans Christian Anderson's The Little Mermaid,6.87,7800,4770,6,Movie,1,Finished Airing,"Mar 21, 1975","None found, add some",Discotek Media,Toei Animation,Book,"Fantasy, Romance",,1 hr. 8 min.,G - All Ages,32,,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Past & Future,6.87,2910,4772,57,TV Special,1,Finished Airing,"Jul 6, 2019","None found, add some",Sentai Filmworks,J.C.Staff,Light novel,"Action, Adventure, Fantasy",,24 min.,PG-13 - Teens 13 or older,56,,,
Free! Movie 1: Timeless Medley - Kizuna - Character Butai Aisatsu,,6.87,7342,4773,7,Movie,4,Finished Airing,"Apr 22, 2017","None found, add some","None found, add some",Kyoto Animation,Original,Comedy,,4 min. per ep.,PG-13 - Teens 13 or older,6,,,
Gensoumaden Saiyuuki: Kibou no Zaika,Saiyuki Interactive,6.87,8684,4774,4,OVA,1,Finished Airing,"Sep 19, 2002","None found, add some","None found, add some",Pierrot,Manga,"Adventure, Fantasy",,46 min.,PG-13 - Teens 13 or older,7,,,Mythology
Gundam: G no Reconguista Movie IV - Gekitou ni Sakebu Ai,Gundam Reconguista in G IV: Love That Cries Out in Battle,6.87,10585,4775,2,Movie,1,Finished Airing,"Jul 22, 2022","None found, add some","None found, add some",Sunrise,Original,"Action, Sci-Fi",,1 hr. 41 min.,PG-13 - Teens 13 or older,5,,,"Mecha, Space"
Heisei Inu Monogatari Bow,Heisei Period Dog Tale Bow,6.87,11894,4777,1,TV,40,Finished Airing,"Oct 14, 1993 to Sep 22, 1994",Daiichikosho,"None found, add some",Nippon Animation,Original,"Adventure, Comedy",,25 min. per ep.,G - All Ages,11,Fall 1993,Unknown,
Himitsu no Hana no Niwa,Nana's Secret Garden,6.87,13167,4778,1,ONA,1,Finished Airing,"Mar 21, 2023","TOHO animation,       Sonilude","None found, add some","None found, add some",Music,"Drama, Fantasy",,6 min.,PG-13 - Teens 13 or older,1,,,
