Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Digimon Ghost Game,,6.74,4559,5435,23,TV,67,Finished Airing,"Oct 3, 2021 to Mar 26, 2023",Fall 2021,Sundays at 09:00 (JST),"Yomiko Advertising,       Fuji TV","None found, add some",Toei Animation,Other,"Action, Adventure, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,165,,
Granblue Fantasy The Animation Season 2,Granblue Fantasy: The Animation Season 2,6.74,2649,5437,68,TV,12,Finished Airing,"Oct 5, 2019 to Dec 28, 2019",Fall 2019,Saturdays at 00:00 (JST),"Aniplex,       Cygames,       dugout",Aniplex of America,MAPPA,Game,"Action, Adventure, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,79,,
Hyakko Extra,,6.74,6361,5438,10,OVA,1,Finished Airing,"Oct 8, 2009",,,"None found, add some","None found, add some",Nippon Animation,Manga,"Comedy, Gourmet",9 min.,PG-13 - Teens 13 or older,6,,CGDCT
Kami Kuzu☆Idol,Phantom of the Idol,6.74,4500,5440,24,TV,10,Finished Airing,"Jul 2, 2022 to Sep 3, 2022",Summer 2022,Saturdays at 01:53 (JST),"TV Tokyo,       Sotsu,       AT-X,       TV Tokyo Music,       Avex Pictures,       BS11,       Nippon Television Music,       Contents Seed,       Ichijinsha,       Bit grooove promotion",Sentai Filmworks,Studio Gokumi,Manga,"Comedy, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,56,Josei,"Idols (Female), Idols (Male), Music"
Ikkitousen: Dragon Destiny,,6.74,2374,5439,81,TV,12,Finished Airing,"Feb 26, 2007 to May 14, 2007",Winter 2007,Mondays at 10:30 (JST),"Genco,       Media Factory,       AT-X,       Toranoana,       Gigno Systems",Media Blasters,Arms,Manga,"Action, Ecchi",24 min. per ep.,R+ - Mild Nudity,134,Seinen,"Martial Arts, School, Super Power"
Katsugeki/Touken Ranbu,Katsugeki Touken Ranbu,6.74,1786,5441,124,TV,13,Finished Airing,"Jul 2, 2017 to Sep 24, 2017",Summer 2017,Sundays at 00:30 (JST),"Aniplex,       Nitroplus,       Good Smile Company,       DMM.com",Aniplex of America,ufotable,Game,"Action, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,469,,"Anthropomorphic, Historical, Samurai"
Kikaider 01 The Animation,Kikaider 01: The Animation,6.74,9731,5442,3,OVA,4,Finished Airing,"Nov 21, 2001 to Mar 20, 2002",,,SME Visual Works,Bandai Entertainment,"Radix,       Studio OX",Other,"Action, Adventure, Drama, Sci-Fi",27 min. per ep.,PG-13 - Teens 13 or older,8,Shounen,Mecha
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen!!,,6.74,12321,5443,1,Movie,1,Finished Airing,"Dec 20, 2003",,,"Fuji TV,       Shueisha","None found, add some","None found, add some",Manga,"Action, Comedy, Mystery",1 hr. 40 min.,PG-13 - Teens 13 or older,0,Shounen,"Adult Cast, Detective, Gag Humor"
"Kono Danshi, Uchuujin to Tatakaemasu.",This Boy Can Fight Aliens,6.74,4284,5444,27,OVA,1,Finished Airing,"Oct 10, 2011",,,"None found, add some",Sentai Filmworks,CoMix Wave Films,Original,"Action, Boys Love, Fantasy, Supernatural",28 min.,G - All Ages,73,,Super Power
Koutetsu Tenshi Kurumi,Steel Angel Kurumi,6.74,4400,5445,25,TV,24,Finished Airing,"Oct 5, 1999 to Apr 4, 2000",Fall 1999,Tuesdays at 19:00 (JST),Pony Canyon,ADV Films,OLM,Original,"Action, Adventure, Comedy, Drama, Romance",15 min. per ep.,R+ - Mild Nudity,68,,"Historical, Mecha, Military"
Kyoto Teramachi Sanjou no Holmes,Holmes of Kyoto,6.74,2712,5446,65,TV,12,Finished Airing,"Jul 10, 2018 to Sep 25, 2018",Summer 2018,Tuesdays at 02:10 (JST),"MediaNet,       AT-X,       Futabasha,       Hakuhodo,       A-Craft,       Tohan Corporation,       Crunchyroll SC Anime Fund,       AQUA ARIS",Discotek Media,Seven,Novel,"Drama, Mystery",23 min. per ep.,PG-13 - Teens 13 or older,119,,"Detective, Romantic Subtext, Workplace"
Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,,6.74,5882,5447,12,Special,3,Finished Airing,"Jul 23, 2014",,,"None found, add some","None found, add some",Sunrise,Other,Comedy,8 min. per ep.,PG-13 - Teens 13 or older,22,,Idols (Female)
Loveless,,6.74,1624,5448,141,TV,12,Finished Airing,"Apr 7, 2005 to Jun 30, 2005",Spring 2005,Unknown,"Bandai Visual,       TV Asahi,       Movic",Media Blasters,J.C.Staff,Manga,"Boys Love, Drama, Mystery, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,"1,302",Josei,
Lupin III: Ai no Da Capo - Fujiko's Unlucky Days,Lupin III: The Columbus Files,6.74,7127,5449,7,TV Special,1,Finished Airing,"Jul 30, 1999",,,"VAP,       Tokyo Movie Shinsha,       Tohokushinsha Film Corporation","Funimation,       Discotek Media","None found, add some",Manga,"Action, Adventure, Comedy, Mystery",1 hr. 32 min.,PG-13 - Teens 13 or older,5,Seinen,Adult Cast
Lupin III: Kiri no Elusive,Lupin III: Elusiveness of the Fog,6.74,7585,5450,6,Special,1,Finished Airing,"Jul 27, 2007",,,"None found, add some",Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",1 hr. 32 min.,PG-13 - Teens 13 or older,1,Seinen,"Adult Cast, Time Travel"
