Name,English_title,Score,Popularity,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics,Positive_ratio,Total_reviews
Futari wa Precure,Pretty Cure,7.09,3074,TV,49,Finished Airing,"Feb 1, 2004 to Jan 30, 2005","Asatsu DK,       Asahi Production,       Asahi Broadcasting",4Kids Entertainment,Toei Animation,Original,"Action, Comedy, Fantasy",Mahou Shoujo,24 min. per ep.,G - All Ages,347,Winter 2004,Sundays at 08:30 (JST),,0.8,20
One Piece Movie 01,One Piece: The Movie,7.09,1655,Movie,1,Finished Airing,04-Mar-00,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",,50 min.,PG-13 - Teens 13 or older,391,,,Shounen,0.69,16
Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,,7.09,8962,Movie,1,Finished Airing,19-Mar-16,Kinoshita Group Holdings,"None found, add some",Toei Animation,Original,"Action, Comedy, Fantasy","Mahou Shoujo, Music",1 hr. 10 min.,G - All Ages,5,,,,0,1
One Piece Movie 02: Nejimaki-jima no Daibouken,One Piece: Clockwork Island Adventure,7.09,2068,Movie,1,Finished Airing,03-Mar-01,"Fujipacific Music,       Shueisha","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy",,55 min.,PG-13 - Teens 13 or older,40,,,Shounen,0.53,15
Deltora Quest,,7.09,4083,TV,65,Finished Airing,"Jan 6, 2007 to Mar 29, 2008","Dentsu,       Genco,       Kodansha,       Half H.P Studio",Flatiron Film Company,OLM,Book,"Adventure, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,209,Winter 2007,Unknown,Kids,0.64,14
RD Sennou Chousashitsu,Real Drive,7.09,4237,TV,26,Finished Airing,"Apr 9, 2008 to Oct 1, 2008","VAP,       Nippon Television Network,       D.N. Dream Partners","None found, add some",Production I.G,Original,"Action, Sci-Fi",,22 min. per ep.,R - 17+ (violence & profanity),52,Spring 2008,Wednesdays at 00:59 (JST),,0.3,10
Bakumatsu Kikansetsu Irohanihoheto,Intrigue in the Bakumatsu: Irohanihoheto,7.09,3616,ONA,26,Finished Airing,"Oct 6, 2006 to Apr 6, 2007",Bandai Visual,Sentai Filmworks,Sunrise,Original,"Action, Drama","Historical, Samurai",24 min. per ep.,PG-13 - Teens 13 or older,133,,,,0.89,9
Medarot,Medabots,7.09,2858,TV,52,Finished Airing,"Jul 2, 1999 to Jun 30, 2000","TV Tokyo,       Nihon Ad Systems,       Nelvana","ADV Films,       Discotek Media,       Shout! Factory",Bee Train,Game,"Adventure, Comedy, Sci-Fi",,24 min. per ep.,PG - Children,289,Summer 1999,Fridays at 18:00 (JST),"KidsKids,         ShounenShounen",0.62,8
Sayonara Watashi no Cramer Movie: First Touch,,7.09,6196,Movie,1,Finished Airing,11-Jun-21,"None found, add some","None found, add some",LIDENFILMS,Manga,"Romance, Sports","School, Team Sports",1 hr. 44 min.,,20,,,Shounen,0.71,7
Another World,,7.09,3799,ONA,3,Finished Airing,"Sep 13, 2019 to Oct 4, 2019","None found, add some","None found, add some",Graphinica,Original,Sci-Fi,,10 min. per ep.,PG-13 - Teens 13 or older,55,,,,0.43,7
Accel World EX,,7.09,1894,OVA,2,Finished Airing,"Sep 13, 2012 to Jan 31, 2013","None found, add some",VIZ Media,Sunrise,Light novel,"Action, Romance, Sci-Fi","School, Video Game",24 min. per ep.,PG-13 - Teens 13 or older,100,,,,0.6,5
Mazinkaiser: Shitou! Ankoku Dai Shogun,Mazinkaiser: Deathmatch! General Dark,7.09,8268,OVA,1,Finished Airing,25-Jul-03,"Bee Media,       Dynamic Planning",Discotek Media,Brain's Base,Manga,Action,Mecha,56 min.,R - 17+ (violence & profanity),12,,,,0,4
Yuragi-sou no Yuuna-san OVA,,7.09,2833,OVA,4,Finished Airing,"Jul 4, 2018 to Dec 4, 2020",Shueisha,"None found, add some","Xebec,       Signal.MD",Manga,"Comedy, Romance, Supernatural, Ecchi",Harem,23 min. per ep.,R+ - Mild Nudity,87,,,Shounen,0.5,4
BanG Dream!: Asonjatta!,BanG Dream!: We Had Some Fun!,7.09,5812,Special,1,Finished Airing,22-Nov-17,"None found, add some",Sentai Filmworks,Xebec,Mixed media,Slice of Life,Music,23 min.,PG-13 - Teens 13 or older,23,,,,0.25,4
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,Digimon Fusion,7.09,4186,TV,24,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",TV Asahi,Flatiron Film Company,Toei Animation,Original,"Action, Adventure, Comedy, Fantasy",Isekai,25 min. per ep.,PG - Children,46,Spring 2011,Sundays at 06:30 (JST),,0.25,4
Hidamari no Ki,Tree in the Sun,7.09,8704,TV,25,Finished Airing,"Apr 5, 2000 to Sep 20, 2000","VAP,       Nippon Television Network","None found, add some",Madhouse,Manga,"Action, Award Winning, Drama","Historical, Medical, Samurai",23 min. per ep.,R+ - Mild Nudity,24,Spring 2000,Wednesdays at 00:50 (JST),Seinen,0.5,4
Hokuto no Ken: Raoh Gaiden Ten no Haoh,Legends of the Dark King: A Fist of the North Star Story,7.09,5793,TV,13,Finished Airing,"Oct 3, 2008 to Dec 26, 2008","Showgate,       Index",Sentai Filmworks,Satelight,Manga,"Action, Drama",Martial Arts,24 min. per ep.,R - 17+ (violence & profanity),28,Fall 2008,Fridays at 01:28 (JST),,0.25,4
One Piece: Yume no Soccer Ou!,One Piece: Dream Soccer King,7.09,3270,Movie,1,Finished Airing,02-Mar-02,"None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Fantasy, Sports",Team Sports,5 min.,PG-13 - Teens 13 or older,18,,,Shounen,0.67,3
Sumikko Gurashi Movie 1: Tobidasu Ehon to Himitsu no Ko,,7.09,11756,Movie,1,Finished Airing,08-Nov-19,"None found, add some","None found, add some",Fanworks,Other,Comedy,,1 hr. 5 min.,G - All Ages,13,,,,0.67,3
Binghuo Mochu 2,The Magic Chef of Ice and Fire 2nd Season,7.09,13144,ONA,Unknown,Currently Airing,"Dec 3, 2022 to ?","Youku,       Xuanshi Tangmen","None found, add some",Joicy Studio,Web novel,"Action, Adventure, Fantasy",,15 min.,PG-13 - Teens 13 or older,4,,,,0.33,3
Mister Ajikko,,7.09,8301,TV,99,Finished Airing,"Oct 8, 1987 to Sep 28, 1989",TV Tokyo,"None found, add some",Sunrise,Manga,"Comedy, Gourmet",,24 min. per ep.,G - All Ages,14,Fall 1987,Unknown,Shounen,0.5,2
Nobunaga no Shinobi: Anegawa Ishiyama-hen,Ninja Girl & Samurai Master: Anegawa and Ishiyama Arc,7.09,6675,TV,26,Finished Airing,"Apr 7, 2018 to Sep 29, 2018","None found, add some","None found, add some",TMS Entertainment,4-koma manga,Comedy,Historical,3 min. per ep.,PG-13 - Teens 13 or older,4,Spring 2018,Saturdays at 01:35 (JST),,1,2
Tenjoubito to Akutobito Saigo no Tatakai,,7.09,6989,Movie,1,Finished Airing,18-Apr-09,"None found, add some","None found, add some",Kyoto Animation,Original,"Action, Fantasy, Supernatural",Super Power,1 hr. 30 min.,PG-13 - Teens 13 or older,9,,,,0,2
Uchuu Densetsu Ulysses 31,Ulysses 31,7.09,7896,TV,26,Finished Airing,"Oct 3, 1981 to Nov 30, 1982","Tokyo Movie Shinsha,       DiC Entertainment","None found, add some",TMS Entertainment,Original,"Action, Adventure, Sci-Fi",Space,25 min. per ep.,G - All Ages,29,Fall 1981,Unknown,,1,2
Densetsu no Yuusha da Garn,,7.09,8639,TV,46,Finished Airing,"Feb 8, 1992 to Jan 23, 1993","Nagoya Broadcasting Network,       Tokyu Agency","None found, add some",Sunrise,Original,"Action, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,19,Winter 1992,Unknown,,1,2
Doraemon Movie 03: Nobita no Daimakyou,Doraemon the Movie: Nobita and the Haunts of Evil,7.09,7390,Movie,1,Finished Airing,13-Mar-82,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,Adventure,,1 hr. 32 min.,PG - Children,3,,,,0.5,2
Kaiketsu Zorori,,7.09,9251,TV,52,Finished Airing,"Feb 1, 2004 to Feb 6, 2005",Nagoya Broadcasting Network,"None found, add some",Ajia-do,Unknown,"Adventure, Comedy",,24 min. per ep.,PG - Children,42,Winter 2004,Unknown,,1,1
Kindaichi Shounen no Jikenbo Returns 2nd Season: Akechi Keibu no Jikenbo,,7.09,11198,Special,1,Finished Airing,26-Dec-15,Yomiuri Telecasting,"None found, add some",Toei Animation,Manga,Mystery,,47 min.,R - 17+ (violence & profanity),0,,,Shounen,1,1
Doraemon Movie 09: Nobita no Parallel Saiyuuki,Doraemon the Movie: The Record of Nobita's Parallel Visit to the West,7.09,8048,Movie,1,Finished Airing,12-Mar-88,TV Asahi,"None found, add some",Shin-Ei Animation,Unknown,"Adventure, Fantasy, Sci-Fi",,1 hr. 30 min.,PG - Children,2,,,"KidsKids,         ShounenShounen",1,1
Doraemon Movie 35: Nobita no Space Heroes,,7.09,7948,Movie,1,Finished Airing,07-Mar-15,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Sci-Fi",Space,1 hr. 40 min.,PG - Children,3,,,"KidsKids,         ShounenShounen",1,1
Hokuto no Ken: Yuria-den,Fist of the North Star: The Legend of Yuria,7.09,6609,OVA,1,Finished Airing,23-Feb-07,North Stars Pictures,Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Drama",Martial Arts,1 hr. 4 min.,R - 17+ (violence & profanity),8,,,Shounen,0,1
Pokemon XY&Z Specials,,7.09,5926,Special,2,Finished Airing,"Nov 3, 2016 to Nov 10, 2016","None found, add some",The Pokemon Company International,OLM,Game,"Action, Adventure, Comedy, Fantasy",,23 min. per ep.,PG - Children,4,,,Kids,0,0
SSSS.Gridman Movie,,7.09,7655,Movie,1,Finished Airing,20-Jan-23,Pony Canyon,"None found, add some",Trigger,Original,"Action, Sci-Fi",Mecha,2 hr.,PG-13 - Teens 13 or older,16,,,,0,0
A-Channel+smile,,7.09,4630,OVA,2,Finished Airing,21-Mar-12,"Aniplex,       Dentsu,       Mainichi Broadcasting System","None found, add some",Studio Gokumi,4-koma manga,Comedy,"CGDCT, School",25 min. per ep.,PG-13 - Teens 13 or older,10,,,,0,0
Black Bullet,,7.08,185,TV,13,Finished Airing,"Apr 8, 2014 to Jul 1, 2014","Geneon Universal Entertainment,       AT-X,       Showgate,       NBCUniversal Entertainment Japan",Sentai Filmworks,"Kinema Citrus,       Orange",Light novel,"Action, Mystery, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity),"3,785",Spring 2014,Tuesdays at 22:30 (JST),,0.4,212
Karneval (TV),Karneval,7.08,1129,TV,13,Finished Airing,"Apr 4, 2013 to Jun 27, 2013","Bandai Visual,       Lantis,       Ichijinsha",Funimation,Manglobe,Manga,"Action, Fantasy, Mystery, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,"1,175",Spring 2013,Unknown,Josei,0.68,66
Vampire Knight Guilty,,7.08,642,TV,13,Finished Airing,"Oct 7, 2008 to Dec 30, 2008","TV Tokyo,       Aniplex",VIZ Media,Studio Deen,Manga,"Drama, Mystery, Romance, Supernatural","Love Polygon, Vampire",24 min. per ep.,PG-13 - Teens 13 or older,"2,571",Fall 2008,Unknown,Shoujo,0.33,46
Sousei no Aquarion,Aquarion,7.08,2450,TV,26,Finished Airing,"Apr 5, 2005 to Sep 27, 2005","Media Factory,       Bandai,       Tohokushinsha Film Corporation,       Hakuhodo DY Media Partners",Funimation,Satelight,Original,"Action, Fantasy, Romance, Sci-Fi","Mecha, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,361,Spring 2005,Unknown,,0.51,45
Kikansha no Mahou wa Tokubetsu desu,A Returner's Magic Should Be Special,7.08,1845,TV,12,Finished Airing,"Oct 8, 2023 to Dec 24, 2023","Aniplex,       Magic Capsule,       Crunchyroll,       D&C WEBTOON Biz,       Kakao piccoma","None found, add some",Arvo Animation,Web manga,"Action, Fantasy","School, Time Travel",23 min. per ep.,PG-13 - Teens 13 or older,405,Fall 2023,Sundays at 00:00 (JST),,0.38,39
Pokemon Movie 03: Kesshoutou no Teiou Entei,Pokémon 3: The Movie,7.08,1337,Movie,1,Finished Airing,08-Jul-00,Studio Jack,"4Kids Entertainment,       Warner Bros. Pictures",OLM,Game,"Action, Adventure, Comedy, Drama, Fantasy",,1 hr. 13 min.,PG - Children,148,,,Kids,0.65,17
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,Requiem from the Darkness,7.08,3558,TV,13,Finished Airing,"Oct 4, 2003 to Dec 27, 2003","Tokyo Movie Shinsha,       RCC Chugoku Broadcasting,       TOHO,       Tohokushinsha Film Corporation","Discotek Media,       Geneon Entertainment USA",TMS Entertainment,Novel,"Horror, Mystery, Supernatural","Gore, Historical, Mythology, Psychological",24 min. per ep.,R - 17+ (violence & profanity),127,Fall 2003,Saturdays at 01:35 (JST),,0.53,15
Bubblegum Crisis Tokyo 2040,,7.08,3546,TV,26,Finished Airing,"Oct 8, 1998 to Apr 1, 1999","Victor Entertainment,       Toshiba EMI","ADV Films,       Funimation",AIC,Original,"Action, Adventure, Sci-Fi","Adult Cast, Mecha",24 min. per ep.,R - 17+ (violence & profanity),197,Fall 1998,Thursdays at 01:15 (JST),,0.55,11
Mutafukaz,MFKZ,7.08,4623,Movie,1,Finished Airing,12-Oct-18,Ankama,"NYAV Post,       GKIDS","Studio 4°C,       Ankama Animations",Manga,"Action, Sci-Fi","Psychological, Super Power",1 hr. 33 min.,R - 17+ (violence & profanity),105,,,,0.82,11
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,,7.08,3488,TV,9,Finished Airing,"Jan 14, 2009 to Mar 11, 2009","None found, add some","None found, add some",Kyoto Animation,Original,"Action, Fantasy, Romance",Super Power,24 min. per ep.,PG-13 - Teens 13 or older,138,Winter 2009,Wednesdays at 01:45 (JST),,0.36,11
