Name,English_title,Score,Popularity,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics,Positive_ratio,Total_reviews
Aozora Shoujo-tai,801 T.T.S. Airbats,6.49,6662,OVA,7,Finished Airing,"Oct 21, 1994 to Aug 21, 1996","None found, add some",ADV Films,Studio Fantasia,Manga,"Action, Comedy, Romance",Military,27 min. per ep.,R+ - Mild Nudity,26,,,Shounen,0.71,7
Morita-san wa Mukuchi.,,6.49,4449,TV,13,Finished Airing,"Jul 6, 2011 to Sep 28, 2011","DAX Production,       Takeshobo","None found, add some",Seven,4-koma manga,"Comedy, Slice of Life",School,3 min. per ep.,PG-13 - Teens 13 or older,14,Summer 2011,Unknown,,0.5,6
Onigamiden,Legend of the Millennium Dragon,6.49,5461,Movie,1,Finished Airing,29-Apr-11,"Sony Music Entertainment,       Atelier Musa",Sony Pictures Entertainment,Pierrot,Original,"Action, Award Winning, Supernatural",Mythology,1 hr. 38 min.,PG-13 - Teens 13 or older,21,,,,0.83,6
Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka,Eureka Seven Hi-Evolution 3,6.49,5834,Movie,1,Finished Airing,26-Nov-21,"Mainichi Broadcasting System,       Showgate,       Bandai Namco Entertainment,       Hakuhodo DY Music & Pictures,       Bandai Namco Arts",Funimation,Bones,Original,"Adventure, Drama, Sci-Fi",Mecha,1 hr. 56 min.,PG-13 - Teens 13 or older,27,,,,0.4,5
Hero Mask 2nd Season,Hero Mask,6.49,5748,ONA,9,Finished Airing,23-Aug-19,"Sotsu,       Netflix",Sentai Filmworks,Pierrot,Original,"Action, Mystery, Sci-Fi",Detective,24 min. per ep.,R - 17+ (violence & profanity),16,,,,0.4,5
Onipan!,,6.49,5428,TV,60,Finished Airing,"Apr 11, 2022 to Jul 1, 2022",Shogakukan-Shueisha Productions,Sentai Filmworks,Wit Studio,Original,"Comedy, Fantasy",Mythology,3 min. per ep.,PG - Children,41,Spring 2022,Not scheduled once per week,,0.5,4
Koukaku Kidoutai Arise: Another Mission,,6.49,6087,Special,1,Finished Airing,04-Jun-13,"None found, add some","None found, add some",Production I.G,Manga,"Action, Sci-Fi","Adult Cast, Detective, Mecha",3 min.,PG-13 - Teens 13 or older,6,,,,0.33,3
Kurayukaba,,6.49,8417,Movie,1,Finished Airing,12-Apr-24,"Tohokushinsha Film Corporation,       Tokyo Theatres,       Twin Engine","None found, add some",Team OneOne,Original,"Mystery, Sci-Fi, Suspense",Detective,1 hr. 3 min.,PG-13 - Teens 13 or older,7,,,,0.67,3
Sango Shou Densetsu: Aoi Umi no Elfie,,6.49,11106,TV Special,1,Finished Airing,19-May-86,"None found, add some","None found, add some",Nippon Animation,Unknown,"Adventure, Sci-Fi",,1 hr. 11 min.,G - All Ages,0,,,,0.67,3
Seizei Ganbare! Mahou Shoujo Kurumi,,6.49,10454,ONA,25,Finished Airing,"Jul 30, 2017 to Jun 30, 2018","Lantis,       Quaras,       FuRyu","None found, add some",Pie in the sky,Original,,"Mahou Shoujo, Parody",4 min. per ep.,G - All Ages,8,,,,0,3
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,,6.49,5826,ONA,10,Finished Airing,"Sep 26, 2009 to Nov 27, 2009",ChuChu,"None found, add some","None found, add some",Visual novel,"Comedy, Girls Love",School,7 min. per ep.,PG-13 - Teens 13 or older,32,,,,0.33,3
Souryuuden,Legend of the Dragon Kings,6.49,9447,OVA,12,Finished Airing,"Jun 25, 1991 to Mar 10, 1993","Kitty Films,       Kodansha,       Fuji TV",Central Park Media,Kitty Film Mitaka Studio,Novel,"Drama, Mystery, Supernatural",Super Power,45 min. per ep.,R - 17+ (violence & profanity),8,,,,0.33,3
Tantei Opera Milky Holmes: Alternative,,6.49,7891,TV Special,2,Finished Airing,"Aug 18, 2012 to Dec 9, 2012","Sotsu,       Bushiroad,       Chrono Gear Creative","None found, add some","J.C.Staff,       Artland",Original,"Comedy, Mystery","Detective, Parody, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,2,,,,0.33,3
Arc the Lad,,6.49,5215,TV,26,Finished Airing,"Apr 5, 1999 to Oct 11, 1999","Sony Pictures Entertainment,       Aniplex,       Sony Interactive Entertainment",ADV Films,Bee Train,Game,"Action, Adventure, Fantasy, Horror, Sci-Fi",,22 min. per ep.,R - 17+ (violence & profanity),16,Spring 1999,Mondays at 19:00 (JST),,1,3
Kuiba: Shiwanhuoji,,6.49,12894,Movie,1,Finished Airing,08-Jul-11,Vasoon Animation,"None found, add some","None found, add some",Original,"Action, Adventure, Fantasy",,1 hr. 30 min.,G - All Ages,0,,,Kids,1,2
Murenase! Seton Gakuen Special,Come Together! to the Seton Academy,6.49,5322,Special,1,Finished Airing,03-Jul-20,"None found, add some","None found, add some",Studio Gokumi,Web manga,Comedy,School,6 min.,PG-13 - Teens 13 or older,8,,,,0.5,2
Omoi no Kakera,,6.49,7737,TV Special,1,Finished Airing,24-Mar-16,NHK,"None found, add some",Gaina,Original,"Slice of Life, Sports",,24 min.,PG-13 - Teens 13 or older,2,,,,0.5,2
Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,Pokémon Mystery Dungeon: Team Go-Getters Out of the Gate!,6.49,5424,TV Special,1,Finished Airing,08-Sep-06,Nintendo of America,The Pokemon Company International,OLM,Game,"Adventure, Fantasy",Anthropomorphic,20 min.,PG - Children,4,,,,1,2
Pokemon: Pikachu no Dokidoki Kakurenbo,Pokémon: Pikachu's Pikaboo,6.49,5311,Movie,1,Finished Airing,07-Jul-01,"None found, add some","4Kids Entertainment,       Miramax Films",OLM,Game,"Adventure, Comedy, Fantasy",,23 min.,PG - Children,2,,,Kids,1,2
Pokemon: Senritsu no Mirage Pokemon,Pokémon: The Mastermind of Mirage Pokémon,6.49,3926,ONA,1,Finished Airing,13-Oct-06,Studio Jack,"VIZ Media,       4Kids Entertainment,       The Pokemon Company International",OLM,Game,"Adventure, Comedy, Fantasy",,42 min.,PG - Children,3,,,Kids,0.5,2
Saint October,,6.49,7276,TV,26,Finished Airing,"Jan 5, 2007 to Jun 29, 2007","Konami,       Yomiko Advertising,       Delfi Sound","None found, add some",Studio Comet,Original,"Adventure, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,13,Winter 2007,Unknown,,0.5,2
Triage X: Recollection XOXO,,6.49,4370,OVA,1,Finished Airing,02-Nov-15,DAX Production,Sentai Filmworks,Xebec,Manga,"Action, Ecchi",School,23 min.,R+ - Mild Nudity,13,,,Shounen,0.5,2
Esper Mami,Mami the Psychic,6.49,10398,TV,119,Finished Airing,"Apr 7, 1987 to Oct 26, 1989","None found, add some","None found, add some",Shin-Ei Animation,Manga,"Comedy, Supernatural, Ecchi","School, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,10,Spring 1987,Unknown,,0.5,2
Ginga Shippuu Sasuraiger,Galactic Gale Sasuraiger,6.49,11607,TV,43,Finished Airing,"Apr 5, 1983 to Jan 31, 1984","TV Tokyo,       Kokusai Eigasha",Discotek Media,"None found, add some",Original,"Action, Adventure",Mecha,25 min. per ep.,PG-13 - Teens 13 or older,3,Spring 1983,Unknown,,0,2
Hei Men,Swarm,6.49,13883,ONA,12,Finished Airing,"Jul 29, 2022 to Oct 7, 2022","bilibili,       BeDream","None found, add some",Chosen,Original,Sci-Fi,,24 min. per ep.,PG-13 - Teens 13 or older,1,,,,0.5,2
Imouto sae Ireba Ii. (ONA),,6.49,5575,ONA,6,Finished Airing,"Oct 8, 2017 to Dec 10, 2017","None found, add some","None found, add some",SILVER LINK.,Light novel,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,10,,,,1,2
Joshikousei: Girl's High Specials,High School Girls Specials,6.49,8632,Special,3,Finished Airing,"May 25, 2006 to Sep 22, 2006","None found, add some",Media Blasters,Arms,Manga,Comedy,School,8 min. per ep.,PG-13 - Teens 13 or older,3,,,Seinen,0,1
Omoigumo,A Reflection of One's Mind,6.49,17134,Movie,1,Finished Airing,13-Apr-14,Tamabi,"None found, add some","None found, add some",Original,Drama,School,5 min.,PG-13 - Teens 13 or older,0,,,,1,1
"One Piece: Dai Tannou Kikaku! ""Shi no Gekai"" Trafalgar Law",One Piece: A Project to Fully Enjoy! `Surgeon of Death` Trafalgar Law,6.49,11176,TV Special,1,Finished Airing,04-Feb-24,"None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",,24 min.,PG-13 - Teens 13 or older,2,,,Shounen,0,1
Senran Kagura Estival Versus: Mizugi-darake no Zenyasai,,6.49,4827,OVA,1,Finished Airing,26-Mar-15,Genco,"None found, add some","Artland,       Hoods Entertainment",Game,"Action, Comedy, Ecchi",,30 min.,R+ - Mild Nudity,25,,,,0,1
Soukyuu no Fafner: Dead Aggressor - Arcadian Memory,,6.49,9845,OVA,2,Finished Airing,"Nov 2, 2005 to Jan 12, 2006",King Records,"None found, add some",Xebec,Original,"Action, Drama, Sci-Fi","Mecha, Military",32 min. per ep.,PG-13 - Teens 13 or older,0,,,,1,1
Starship Troopers: Red Planet,Starship Troopers: Traitor of Mars,6.49,10088,Movie,1,Finished Airing,10-Feb-18,"Lucent Pictures Entertainment,       Kadokawa,       Sony Pictures Worldwide Acquisitions","None found, add some",Sola Digital Arts,Original,"Action, Sci-Fi",Military,1 hr. 40 min.,R - 17+ (violence & profanity),2,,,,1,1
Temple Specials,TenPuru: No One Can Live on Loneliness Specials,6.49,6663,Special,2,Finished Airing,"Oct 25, 2023 to Nov 22, 2023","None found, add some","None found, add some",Gekkou,Web manga,"Comedy, Romance, Ecchi",Harem,13 min. per ep.,PG-13 - Teens 13 or older,12,,,,0,1
Uchuu Kuubo Blue Noah,Space Carrier Blue Noah,6.49,10814,TV,24,Finished Airing,"Oct 13, 1979 to Mar 30, 1980","None found, add some","None found, add some",Academy Productions,Original,"Action, Drama, Sci-Fi","Military, Space",26 min. per ep.,PG - Children,3,Fall 1979,Unknown,,1,1
Wo Shi Jiang Xiaobai 2nd Season,I'm Joybo 2nd Season,6.49,11234,ONA,12,Finished Airing,"Nov 9, 2018 to Jan 25, 2019","None found, add some","None found, add some",2:10 AM Animation,Original,"Drama, Romance, Slice of Life",Music,27 min. per ep.,PG-13 - Teens 13 or older,3,,,,1,1
Yadosagashi,House Hunting,6.49,9770,Special,1,Finished Airing,03-Jan-06,"None found, add some","None found, add some",Studio Ghibli,Original,"Adventure, Fantasy, Slice of Life",,12 min.,G - All Ages,0,,,Kids,1,1
Artiswitch Picture Drama,,6.49,12347,ONA,5,Finished Airing,"Dec 3, 2021 to Feb 4, 2022","None found, add some","None found, add some",Sunrise,Original,"Slice of Life, Supernatural",,5 min. per ep.,PG-13 - Teens 13 or older,4,,,,0,1
Guan Miao Shenmeshi,My Cat Hates Me,6.49,15611,ONA,13,Finished Airing,"Jan 2, 2023 to Mar 20, 2023","None found, add some","None found, add some","None found, add some",Manga,Comedy,Pets,5 min. per ep.,PG-13 - Teens 13 or older,2,,,,1,1
Gundam: G no Reconguista Movie II - Bellri Gekishin,Gundam Reconguista in G II: Bellri's Fierce Charge,6.49,9956,Movie,1,Finished Airing,21-Feb-20,"None found, add some","None found, add some",Sunrise,Original,"Action, Sci-Fi","Mecha, Space",1 hr. 34 min.,PG-13 - Teens 13 or older,4,,,,0,1
Hua Jianghu: Huan Shi Men Sheng,,6.49,12182,ONA,20,Finished Airing,"Sep 14, 2017 to Jan 25, 2018","None found, add some","None found, add some",Rocen,Original,"Drama, Fantasy, Mystery, Romance",Martial Arts,22 min. per ep.,R - 17+ (violence & profanity),8,,,,1,1
Kinkyuu Hasshin Saver Kids,Emergency Departure Rescue Kids,6.49,12856,TV,50,Finished Airing,"Feb 19, 1991 to Feb 18, 1992","TV Tokyo,       Sotsu","None found, add some",Tokyo Movie Shinsha,Original,"Action, Adventure, Comedy, Sci-Fi",Mecha,25 min. per ep.,PG-13 - Teens 13 or older,2,Winter 1991,Unknown,,0,0
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: The Final - Ryoutsu Kankichi Saigo no Hi,,6.49,13451,TV Special,1,Finished Airing,18-Sep-16,"None found, add some","None found, add some",Gallop,Manga,"Comedy, Mystery","Adult Cast, Detective",48 min.,PG-13 - Teens 13 or older,2,,,Shounen,0,0
Osomatsu-san Short Film Series,Mr. Osomatsu Short Film Series,6.49,7761,Special,7,Finished Airing,"Jan 29, 2016 to Jul 29, 2016",Avex Pictures,"None found, add some",10Gauge,Manga,Comedy,"Gag Humor, Parody",2 min. per ep.,PG-13 - Teens 13 or older,8,,,,0,0
Saikyou Ginga Ultimate Zero: Battle Spirits,,6.49,10838,TV,49,Finished Airing,"Sep 22, 2013 to Sep 21, 2014","Asatsu DK,       Nagoya Broadcasting Network","None found, add some",Sunrise,Card game,Adventure,"Space, Strategy Game",23 min. per ep.,PG - Children,3,Fall 2013,Unknown,,0,0
Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro,Umi Monogatari: Faithful Hearts,6.49,8696,Special,1,Finished Airing,26-Mar-10,"None found, add some","None found, add some",Zexcs,Game,"Comedy, Fantasy, Supernatural",,23 min.,PG-13 - Teens 13 or older,0,,,,0,0
Yakusoku (ONA),,6.49,12317,ONA,1,Finished Airing,13-Aug-13,"None found, add some","None found, add some","None found, add some",Original,Drama,Music,6 min.,G - All Ages,1,,,,0,0
Dirty Pair Flash 3,,6.49,8737,OVA,5,Finished Airing,"Dec 21, 1995 to Apr 25, 1996",VAP,"ADV Films,       Nozomi Entertainment",Sunrise,Light novel,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,27 min. per ep.,R+ - Mild Nudity,1,,,,0,0
DNA² OVA,,6.49,5681,OVA,3,Finished Airing,"Feb 21, 1995 to Jun 25, 1995","Bandai Visual,       Movic","Central Park Media,       Discotek Media",Madhouse,Manga,"Comedy, Drama, Sci-Fi",Time Travel,23 min. per ep.,PG-13 - Teens 13 or older,7,,,Shounen,0,0
Fuyu no Sonata: Joshou - Hatsuyuki no Negai,Winter Sonata Prologue: The First Snow Wish,6.49,8898,Special,1,Finished Airing,17-Oct-09,Yoon's Color,"None found, add some","Studio Comet,       KeyEast,       REALTHING",Other,"Drama, Romance",,25 min.,PG-13 - Teens 13 or older,2,,,,0,0
Gokinjo Monogatari the Movie,Neighborhood Story The Movie,6.49,9332,Movie,1,Finished Airing,02-Mar-96,"None found, add some","None found, add some",Toei Animation,Original,"Comedy, Drama, Romance",Visual Arts,30 min.,G - All Ages,6,,,,0,0
Great Teacher Onizuka Recaps,,6.49,13594,TV Special,2,Finished Airing,"Sep 3, 2000 to Sep 24, 2000","None found, add some","None found, add some",Pierrot,Manga,"Comedy, Drama","Delinquents, School",35 min. per ep.,R - 17+ (violence & profanity),2,,,Shounen,0,0
Happy☆Lucky Bikkuriman,,6.49,13833,TV,46,Finished Airing,"Oct 15, 2006 to Sep 30, 2007",TV Asahi,"None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Fantasy",,24 min. per ep.,G - All Ages,1,Fall 2006,Unknown,Kids,0,0
Jing: Shuang Cheng - Feng Qi Pian,The Mirror: Twin Cities - Overture,6.49,12902,ONA,4,Finished Airing,"Aug 15, 2020 to Aug 22, 2020","Foch Films,       Tencent Penguin Pictures","None found, add some","None found, add some",Novel,"Action, Adventure, Fantasy, Romance",,21 min. per ep.,R - 17+ (violence & profanity),12,,,,0,0
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,"Hensuki: Are you willing to Fall in Love with a Pervert, as long as she's a Cutie?",6.48,738,TV,12,Finished Airing,"Jul 8, 2019 to Sep 23, 2019","AT-X,       Bandai Namco Live Creative,       GYAO!,       Kadokawa,       INCS toenter,       Bandai Namco Arts",Funimation,Geek Toys,Light novel,"Comedy, Romance, Ecchi","Harem, School",23 min. per ep.,PG-13 - Teens 13 or older,939,Summer 2019,Mondays at 20:00 (JST),,0.44,71
White Album,,6.48,1808,TV,13,Finished Airing,"Jan 4, 2009 to Mar 29, 2009","None found, add some","None found, add some",Seven Arcs,Visual novel,"Drama, Romance","Harem, Idols (Female), Music",24 min. per ep.,PG-13 - Teens 13 or older,226,Winter 2009,Sundays at 02:00 (JST),,0.42,38
Iwa Kakeru! Sport Climbing Girls,,6.48,2157,TV,12,Finished Airing,"Oct 4, 2020 to Dec 20, 2020","Lantis,       AT-X,       Magic Capsule,       KlockWorx,       Nagoya Broadcasting Network,       ABC Animation,       Cygames,       Bandai Namco Arts,       Happinet,       NetEase,       Heart Company","None found, add some",Blade,Web manga,Sports,School,23 min. per ep.,PG-13 - Teens 13 or older,193,Fall 2020,Sundays at 02:00 (JST),,0.47,34
Astarotte no Omocha!,Astarotte's Toy,6.48,1570,TV,12,Finished Airing,"Apr 11, 2011 to Jun 26, 2011","Kadokawa Shoten,       Pony Canyon,       DAX Production,       KlockWorx,       ASCII Media Works","None found, add some",Diomedéa,Manga,"Comedy, Fantasy, Romance, Ecchi","Harem, Isekai",23 min. per ep.,PG-13 - Teens 13 or older,238,Spring 2011,Unknown,Seinen,0.27,33
Kidou Senshi Gundam AGE,Mobile Suit Gundam AGE,6.48,3906,TV,49,Finished Airing,"Oct 9, 2011 to Sep 23, 2012","Sotsu,       Lantis,       Mainichi Broadcasting System,       Sony Music Entertainment",Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi","Mecha, Space",24 min. per ep.,PG-13 - Teens 13 or older,67,Fall 2011,Sundays at 17:00 (JST),,0.29,28
FLCL Alternative,,6.48,2124,Movie,1,Finished Airing,07-Sep-18,"None found, add some","None found, add some","Production I.G,       Nut,       Revoroot",Original,"Action, Avant Garde, Comedy, Sci-Fi","Mecha, Parody",2 hr. 15 min.,PG-13 - Teens 13 or older,127,,,,0.52,21
Amon: Devilman Mokushiroku,Amon: Apocalypse of Devilman,6.48,4439,OVA,1,Finished Airing,24-May-00,"Aniplex,       Dynamic Planning","None found, add some",Studio Live,Manga,"Horror, Supernatural","Gore, Mythology, Psychological",45 min.,R+ - Mild Nudity,135,,,Seinen,0.28,18
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Is It Wrong to go Searching for Herbs on a Deserted Island?,6.48,2007,OVA,1,Finished Airing,29-Jan-20,"None found, add some",Sentai Filmworks,J.C.Staff,Light novel,"Adventure, Comedy, Fantasy, Ecchi",,26 min.,PG-13 - Teens 13 or older,77,,,,0.19,16
Bus Gamer,,6.48,4206,TV,3,Finished Airing,"Mar 15, 2008 to Mar 29, 2008","Square Enix,       Frontier Works,       Sotsu,       Studio Izena","None found, add some",Anpro,Manga,"Action, Drama, Mystery",Strategy Game,23 min. per ep.,PG-13 - Teens 13 or older,48,Winter 2008,Saturdays at 02:30 (JST),Shounen,0.2,15
Kamiarizuki no Kodomo,Child of Kamiari Month,6.48,4759,Movie,1,Finished Airing,08-Oct-21,ABC Animation,"None found, add some",LIDENFILMS,Original,Mystery,Mythology,1 hr. 39 min.,G - All Ages,31,,,,0.33,9
Nyoro-n Churuya-san,Nyoron! Churuya-san,6.48,4046,ONA,13,Finished Airing,"Feb 13, 2009 to May 8, 2009",Kadokawa Shoten,"Funimation,       Bandai Entertainment",Kyoto Animation,4-koma manga,Comedy,,2 min. per ep.,G - All Ages,46,,,,0.67,9
Taiyou no Ouji: Horus no Daibouken,Horus: Prince of the Sun,6.48,6636,Movie,1,Finished Airing,21-Jul-68,"None found, add some",Discotek Media,Toei Animation,Other,"Adventure, Drama",,1 hr. 22 min.,G - All Ages,16,,,,0.78,9
Shirogane no Ishi: Argevollen,Argevollen,6.48,3350,TV,24,Finished Airing,"Jul 3, 2014 to Dec 18, 2014","Warner Bros. Japan,       KlockWorx,       Bushiroad,       Showgate",Sentai Filmworks,Xebec,Original,Action,Mecha,23 min. per ep.,R - 17+ (violence & profanity),43,Summer 2014,Unknown,,0.5,8
Miss Monochrome The Animation 2,,6.48,4786,TV,13,Finished Airing,"Jul 3, 2015 to Sep 25, 2015","Starchild Records,       Magic Capsule",Crunchyroll,"SANZIGEN,       LIDENFILMS",Original,"Comedy, Slice of Life","Idols (Female), Music",7 min. per ep.,G - All Ages,7,Summer 2015,Fridays at 23:00 (JST),,0.43,7
Puzzle & Dragons Cross,Puzzle & Dragons X,6.48,6794,TV,89,Finished Airing,"Jul 4, 2016 to Mar 26, 2018","Audio Planning U,       GungHo Online Entertainment",Funimation,Pierrot,Game,,Strategy Game,24 min. per ep.,PG-13 - Teens 13 or older,20,Summer 2016,Mondays at 18:25 (JST),Kids,0.4,5
Z/X: Ignition,,6.48,3525,TV,12,Finished Airing,"Jan 10, 2014 to Apr 3, 2014","Sotsu,       Pony Canyon,       Nippon Ichi Software",Discotek Media,Telecom Animation Film,Card game,"Adventure, Fantasy, Sci-Fi",Strategy Game,24 min. per ep.,PG-13 - Teens 13 or older,51,Winter 2014,Unknown,,0.6,5
Cardfight!! Vanguard Gaiden: If,,6.48,8947,TV,25,Finished Airing,"May 30, 2020 to Nov 28, 2020","None found, add some","None found, add some",OLM,Original,"Action, Adventure, Comedy","Mythology, Parody, Strategy Game",24 min. per ep.,PG-13 - Teens 13 or older,11,Spring 2020,Saturdays at 08:00 (JST),,0.5,4
HenSemi,,6.48,4173,OVA,2,Finished Airing,"Jul 23, 2010 to Mar 23, 2011",Starchild Records,"None found, add some",Xebec,Manga,"Comedy, Ecchi",,26 min. per ep.,R+ - Mild Nudity,39,,,Seinen,0.25,4
Trouble Chocolate,,6.48,7809,TV,20,Finished Airing,"Oct 8, 1999 to Mar 24, 2000",Robot Communications,VIZ Media,AIC,Radio,"Comedy, Romance, Sci-Fi",,23 min. per ep.,G - All Ages,20,Fall 1999,Saturdays at 02:00 (JST),,0.75,4
Patalliro Saiyuuki!,,6.48,8871,TV,26,Finished Airing,"Jun 7, 2005 to Nov 29, 2005","None found, add some","None found, add some",Magic Bus,Manga,"Adventure, Boys Love, Comedy, Fantasy",,9 min. per ep.,PG-13 - Teens 13 or older,3,Summer 2005,Tuesdays at 00:30 (JST),Shoujo,0.67,3
Ketsuekigata-kun!,,6.48,6129,TV,12,Finished Airing,"Apr 7, 2013 to Jun 23, 2013",Earth Star Entertainment,"None found, add some","feel.,       Assez Finaud Fabric",Web manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,15,Spring 2013,Sundays at 22:27 (JST),,0.5,2
Taiho Shichau zo in America,You're Under Arrest: No Mercy!!,6.48,8184,TV Special,1,Finished Airing,29-Mar-02,"TBS,       Kodansha","None found, add some",Studio Deen,Manga,"Action, Comedy, Mystery","Adult Cast, Detective, Workplace",23 min.,PG-13 - Teens 13 or older,3,,,Seinen,0.5,2
Black Jack ONA,,6.48,10099,ONA,12,Finished Airing,"Jan 8, 2001 to Jan 1, 2002","None found, add some","None found, add some","None found, add some",Manga,Drama,Medical,16 min. per ep.,PG - Children,0,,,,0,1
Break Blade: Virgins War,,6.48,8767,Special,1,Finished Airing,26-Aug-14,Bandai Visual,"None found, add some","Production I.G,       Xebec",Manga,Action,Adult Cast,5 min.,R - 17+ (violence & profanity),2,,,,0,1
Dumbbell Nan Kilo Moteru?: Silverman-Gym Oni Tore Kouza,,6.48,8557,Special,2,Finished Airing,"Nov 27, 2019 to Dec 25, 2019","None found, add some","None found, add some",Doga Kobo,Web manga,"Comedy, Ecchi",,18 min. per ep.,PG-13 - Teens 13 or older,3,,,,0,1
Gundam Evolve,,6.48,6048,OVA,15,Finished Airing,"May 17, 2001 to Jan 26, 2007",Sotsu,Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi","Mecha, Military, Space",7 min. per ep.,PG-13 - Teens 13 or older,11,,,,0,1
Junk Head 1,,6.48,16921,Movie,1,Finished Airing,16-Nov-13,"None found, add some","None found, add some",Yamiken,Original,Sci-Fi,,30 min.,R - 17+ (violence & profanity),1,,,,1,1
K: Missing Kings - Manner Movie,,6.48,6924,Movie,1,Finished Airing,12-Jul-14,KlockWorx,"None found, add some",GoHands,Original,Comedy,,1 min.,G - All Ages,21,,,,0,1
Mu Wang Zhi Wang: Qi Lin Jue,,6.48,12844,ONA,20,Finished Airing,"Jul 21, 2016 to Nov 24, 2016","None found, add some","None found, add some",BUILD DREAM,Original,"Action, Mystery, Romance","Historical, Martial Arts",18 min. per ep.,PG-13 - Teens 13 or older,3,,,,0,1
Sabu to Ichi Torimono Hikae,Sabu & Ichi's Arrest Warrant,6.48,10199,TV,52,Finished Airing,"Oct 3, 1968 to Sep 24, 1969","Mushi Production,       Mainichi Broadcasting System","None found, add some",Toei Animation,Manga,"Action, Adventure, Drama, Slice of Life","Detective, Historical, Martial Arts, Samurai",25 min. per ep.,R - 17+ (violence & profanity),9,Fall 1968,Unknown,Shounen,0,1
Shouxi Yu Ling Shi,,6.48,12190,ONA,40,Finished Airing,"Jun 20, 2020 to Oct 24, 2020","None found, add some","None found, add some",Suoyi Technology,Original,"Action, Fantasy",,11 min. per ep.,PG-13 - Teens 13 or older,8,,,,0,1
Yuuki Yuuna wa Yuushabu Shozoku 3,,6.48,9546,Movie,1,Finished Airing,08-Jul-17,"None found, add some","None found, add some",W-Toon Studio,Manga,"Comedy, Fantasy, Slice of Life",,8 min.,PG-13 - Teens 13 or older,0,,,,0,1
Canaan: Minorikawa Report 201X Shanghai,Canaan: Minorikawa Report Year 201X Shanghai,6.48,6939,Special,1,Finished Airing,26-Feb-10,"None found, add some","None found, add some",P.A. Works,Visual novel,"Action, Mystery, Sci-Fi, Supernatural","Adult Cast, Super Power",12 min.,R - 17+ (violence & profanity),2,,,,0,0
Dorami-chan: Mini-Dora SOS!!!,,6.48,13192,Movie,1,Finished Airing,11-Mar-89,Shin-Ei Animation,"None found, add some","None found, add some",Unknown,Fantasy,,40 min.,G - All Ages,0,,,Kids,0,0
Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,Dragon Quest Great Adventure of Dai! Disciple of Aban.,6.48,10666,Movie,1,Finished Airing,07-Mar-92,"None found, add some","None found, add some",Toei Animation,Game,"Action, Adventure, Fantasy",,40 min.,PG-13 - Teens 13 or older,3,,,Shounen,0,0
Gegege no Kitarou: Nippon Bakuretsu,Spooky Kitaro: Japan Explodes!!,6.48,12020,Movie,1,Finished Airing,20-Dec-08,"None found, add some","None found, add some",Toei Animation,Unknown,"Action, Fantasy, Horror, Supernatural",,1 hr. 23 min.,G - All Ages,1,,,"KidsKids,         ShounenShounen",0,0
Henteko na Volunteer,,6.48,17416,OVA,1,Finished Airing,1993,"None found, add some","None found, add some","None found, add some",Original,"Drama, Slice of Life",,45 min.,G - All Ages,1,,,,0,0
Kagaku Ninja-tai Gatchaman F,Eagle Riders (2),6.48,10276,TV,48,Finished Airing,"Oct 7, 1979 to Aug 31, 1980",Fuji TV,"Sentai Filmworks,       Saban Entertainment",Tatsunoko Production,Unknown,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,5,Fall 1979,Unknown,,0,0
Kyoushirou to Towa no Sora Specials,,6.48,7992,Special,6,Finished Airing,"Apr 25, 2007 to Sep 21, 2007","None found, add some",ADV Films,TNK,Manga,"Drama, Romance",,4 min. per ep.,PG-13 - Teens 13 or older,9,,,Shounen,0,0
Meiken Lassie: Yume ni Mukatte Hashire!,,6.48,16845,Special,1,Finished Airing,25-Feb-97,"None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Slice of Life",Pets,23 min.,G - All Ages,0,,,Kids,0,0
Meitantei Conan: Hoshikage no Majutsushi,Detective Conan: The Magician of Starlight,6.48,10085,Movie,1,Finished Airing,2012,"None found, add some","None found, add some",D & D Pictures,Manga,Sci-Fi,Space,25 min.,G - All Ages,1,,,,0,0
