Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Super Robot Taisen OG: Divine Wars,Super Robot Wars The Original Generation: The Divine Wars,6.78,6946,5238,8,TV,25,Finished Airing,"Oct 5, 2006 to Mar 29, 2007","GDH,       Sotsu,       Genco,       Banpresto","Bandai Entertainment,       Media Blasters,       Bandai Visual USA",OLM,Game,"Action, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,15,Fall 2006,Unknown,
Takano Kousaten,Takano Intersection,6.78,11842,5239,1,Movie,1,Finished Airing,17-Sep-21,"None found, add some","None found, add some","None found, add some",Original,"Award Winning, Slice of Life",,6 min.,PG-13 - Teens 13 or older,2,,,
Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,,6.78,3479,5240,41,OVA,1,Finished Airing,24-Jul-10,"None found, add some","None found, add some",J.C.Staff,Manga,"Comedy, Ecchi",,4 min.,PG-13 - Teens 13 or older,23,,,
Totsuzen! Neko no Kuni Banipal Witt,Catnapped,6.78,9642,5241,3,Movie,1,Finished Airing,30-May-98,"Pioneer LDC,       AC Create",Geneon Entertainment USA,Triangle Staff,Novel,Adventure,,1 hr. 16 min.,G - All Ages,16,,,
Umayuru,,6.78,9694,5242,3,ONA,24,Finished Airing,"Oct 16, 2022 to Mar 24, 2023","None found, add some","None found, add some",Scooter Films,Game,Comedy,Anthropomorphic,3 min. per ep.,PG-13 - Teens 13 or older,5,,,
Witch Craft Works: Takamiya-kun to Imouto no Warudakumi,Witch Craft Works: Takamiya-kun and His Sister's Conspiracy,6.78,3773,5243,35,OVA,1,Finished Airing,07-Jan-15,"None found, add some","None found, add some",J.C.Staff,Manga,"Action, Fantasy, Supernatural",,24 min.,PG-13 - Teens 13 or older,20,,,Seinen
Shinkansen Henkei Robo Shinkalion The Animation,Bullet Train Transforming Robot Shinkalion The Animation,6.77,8941,5244,4,TV,76,Finished Airing,"Jan 6, 2018 to Jun 29, 2019","Ajia-do,       TBS","None found, add some",OLM,Other,"Action, Sci-Fi",Mecha,24 min. per ep.,PG - Children,33,Winter 2018,Saturdays at 07:00 (JST),Kids
Shokei Shoujo no Virgin Road,The Executioner and Her Way of Life,6.77,1469,5245,161,TV,12,Finished Airing,"Apr 2, 2022 to Jun 18, 2022","Warner Bros. Japan,       Hakuhodo DY Music & Pictures,       Egg Firm,       SB Creative,       Creek",Sentai Filmworks,J.C.Staff,Light novel,"Action, Adventure, Fantasy",Isekai,23 min. per ep.,R - 17+ (violence & profanity),724,Spring 2022,Saturdays at 00:30 (JST),
Silent Möbius,,6.77,5316,5246,16,TV,26,Finished Airing,"Apr 7, 1998 to Sep 29, 1998","Shaft,       Sotsu",Bandai Entertainment,Radix,Manga,"Action, Comedy, Drama, Fantasy, Horror, Romance, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,45,Spring 1998,Tuesdays at 18:00 (JST),
Stratos 4 Advance,,6.77,9355,5247,3,OVA,6,Finished Airing,"Mar 5, 2005 to Jan 27, 2006",Bandai Visual,"None found, add some",Studio Fantasia,Original,"Comedy, Sci-Fi",Military,26 min. per ep.,PG-13 - Teens 13 or older,2,,,
Tales of Phantasia The Animation,Tales of Phantasia,6.77,4545,5248,23,OVA,4,Finished Airing,"Nov 25, 2004 to Feb 24, 2006","Frontier Works,       Geneon Entertainment","Discotek Media,       Geneon Entertainment USA",Actas,Game,"Adventure, Fantasy",,30 min. per ep.,PG-13 - Teens 13 or older,50,,,
Tenshi ni Narumon!,I'm Gonna Be an Angel!,6.77,7000,5249,8,TV,26,Finished Airing,"Apr 7, 1999 to Sep 29, 1999","TV Tokyo,       Broccoli,       Yomiko Advertising",Synch-Point,Pierrot,Original,"Comedy, Fantasy, Romance",Vampire,23 min. per ep.,PG-13 - Teens 13 or older,57,Spring 1999,Wednesdays at 18:00 (JST),
Vandread: Taidou-hen,,6.77,7034,5250,8,OVA,1,Finished Airing,21-Jan-01,Imagine,Funimation,Gonzo,Original,"Action, Adventure, Comedy, Sci-Fi, Ecchi","Mecha, Space",1 hr. 18 min.,PG-13 - Teens 13 or older,5,,,
Vassalord.,,6.77,3761,5251,35,OVA,1,Finished Airing,15-Mar-13,Mag Garden,"None found, add some",Production I.G,Manga,"Action, Boys Love, Fantasy, Mystery","Gore, Vampire",27 min.,R - 17+ (violence & profanity),99,,,Shoujo
Venus Senki,Venus Wars,6.77,5318,5252,16,Movie,1,Finished Airing,11-Mar-89,"Shochiku,       Gakken,       Bandai","Central Park Media,       Sentai Filmworks,       Discotek Media",Triangle Staff,Manga,"Action, Adventure, Sci-Fi",Space,1 hr. 43 min.,PG-13 - Teens 13 or older,57,,,
Wanwan Sanjuushi,Dogtanian and the Three Muskehounds,6.77,9422,5253,3,TV,26,Finished Airing,"Oct 2, 1981 to Mar 26, 1982","None found, add some","None found, add some",Nippon Animation,Novel,Adventure,"Anthropomorphic, Historical",24 min. per ep.,G - All Ages,10,Fall 1981,Unknown,
Working'!! Announcement Specials,Wagnaria'!! Announcement Specials,6.77,5541,5254,14,ONA,2,Finished Airing,"Apr 1, 2011 to Apr 2, 2011","None found, add some","None found, add some",A-1 Pictures,4-koma manga,Comedy,,2 min. per ep.,G - All Ages,9,,,
X OVA,X: An Omen,6.77,5666,5255,13,OVA,1,Finished Airing,25-Aug-01,Kadokawa Shoten,"Funimation,       Geneon Entertainment USA",Madhouse,Manga,"Action, Drama, Fantasy, Mystery",Super Power,22 min.,PG-13 - Teens 13 or older,6,,,Shoujo
Xie Wang Zhui Qi,The Demonic King Who Chases His Wife,6.77,4436,5256,25,ONA,13,Finished Airing,"Jan 24, 2019 to Apr 11, 2019",iQIYI,"None found, add some","KJJ Animation,       Big Firebird Culture",Novel,"Action, Comedy, Drama, Fantasy, Romance",Martial Arts,13 min. per ep.,PG-13 - Teens 13 or older,166,,,
Xing Hai Qishi: Xia Ban Ji,Knights on Debris Part 2,6.77,15961,5257,525,ONA,7,Finished Airing,"May 19, 2021 to Jun 30, 2021","Tencent Penguin Pictures,       D.ROCK-ART","None found, add some","None found, add some",Original,"Action, Fantasy, Sci-Fi",,22 min. per ep.,PG-13 - Teens 13 or older,0,,,
Yoshinaga-sanchi no Gargoyle,Gargoyle of Yoshinaga House,6.77,8179,5258,5,TV,13,Finished Airing,"Apr 2, 2006 to Jun 25, 2006","None found, add some",Sentai Filmworks,Studio Hibari,Light novel,"Comedy, Fantasy, Slice of Life",,24 min. per ep.,PG - Children,12,Spring 2006,Sundays at 02:05 (JST),
Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari da Nyan!,,6.77,10503,5259,2,Movie,1,Finished Airing,19-Dec-15,BIGFACE,"None found, add some",OLM,Game,"Comedy, Supernatural",,1 hr. 34 min.,G - All Ages,8,,,Kids
Yu☆Gi☆Oh! The Dark Side of Dimensions Special: Eien no Rival - Yuugi to Kaiba!,,6.77,8753,5260,4,Special,1,Finished Airing,17-Apr-16,"TV Tokyo,       Nihon Ad Systems","None found, add some",Gallop,Manga,Adventure,Strategy Game,26 min.,G - All Ages,3,,,Shounen
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA,"Yusibu: I couldn't become a hero, so I reluctantly decided to get a job. OVA",6.77,3199,5261,48,OVA,1,Finished Airing,07-Mar-14,"None found, add some",Sentai Filmworks,asread.,Light novel,"Comedy, Fantasy, Ecchi",,25 min.,R+ - Mild Nudity,18,,,
Alps Monogatari: Watashi no Annette,,6.77,8729,5262,4,TV,48,Finished Airing,"Jan 9, 1983 to Dec 25, 1983","None found, add some","None found, add some",Nippon Animation,Book,"Drama, Slice of Life",Historical,25 min. per ep.,G - All Ages,10,Winter 1983,Sundays at 19:30 (JST),
Bakutou Sengen Daigunder,Daigunder,6.77,9417,5263,3,TV,39,Finished Airing,"Apr 5, 2002 to Dec 27, 2002","TV Tokyo,       Nippon Animation,       Victor Entertainment","None found, add some",Brain's Base,Original,"Adventure, Sci-Fi",Mecha,24 min. per ep.,PG - Children,20,Spring 2002,Fridays at 18:00 (JST),
Black Lagoon Omake,,6.77,2729,5264,65,Special,7,Finished Airing,"Dec 23, 2009 to Mar 25, 2010","Geneon Universal Entertainment,       Shogakukan-Shueisha Productions,       Geneon Entertainment USA",Funimation,Madhouse,Manga,Comedy,,3 min. per ep.,PG-13 - Teens 13 or older,93,,,
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,My Daughter Left the Nest and Returned an S-Rank Adventurer,6.77,2446,5265,78,TV,13,Finished Airing,"Sep 28, 2023 to Dec 21, 2023","AT-X,       Earth Star Entertainment,       NBCUniversal Entertainment Japan,       bilibili,       Good Smile Film,       Bushiroad Move","None found, add some",Typhoon Graphics,Light novel,"Action, Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,208,Fall 2023,Thursdays at 23:00 (JST),
