Name,positive_ratio,total_reviews
Hashire Melos (Movie),0.6666666666666666,3
Harmony,0.575,40
Chibi☆Devi!,0.7777777777777778,234
Yu☆Gi☆Oh! Zexal Second,0.5625,512
Sonic★the★Hedgehog,0.6842105263157895,703
Kawa no Hikari,0.0,1
Kimi ga Nozomu Eien: Next Season,0.3,10
"Jashin-chan Dropkick ""Seikimatsu-hen""",1.0,1
Inazuma Eleven: Orion no Kokuin,0.18181818181818182,11
Kabukichou Sherlock,0.56,25
Koisuru Tenshi Angelique: Kagayaki no Ashita,0.5,2
Kakkou no Iinazuke,0.2714285714285714,70
Kyoukai no Kanata: Mini Gekijou,1.0,1
Lupin III: Prison of the Past,0.6,5
Love Live! Sunshine!! Recap,1.0,1
Lupin III: Twilight Gemini no Himitsu,0.75,4
Mahoromatic End Year Special,0.0,0
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.3333333333333333,3
Mewkledreamy Mix!,0.0,0
Mudazumo Naki Kaikaku: The Legend of Koizumi,0.14285714285714285,7
New Dominion Tank Police,1.0,3
Nerawareta Gakuen,0.4523809523809524,42
Nurse Angel Ririka SOS,0.6,5
Persona 5 the Animation TV Specials,0.25,8
Pokemon Movie 11: Giratina to Sora no Hanataba Sheimi,0.6666666666666666,6
Pokemon Side Stories,0.75,4
Occultic;Nine,0.559322033898305,59
Precure All Stars GoGo Dream Live!,0.0,0
Noblesse,0.4411764705882353,68
Pygmalio,0.0,0
Kami nomi zo Shiru Sekai: Flag 0,0.0,2
Keroro,0.3333333333333333,3
Samurai Deeper Kyou,0.3333333333333333,21
Rosario to Vampire Capu2,0.5660377358490566,53
Koe de Oshigoto! The Animation,0.5454545454545454,22
Lupin III: The Last Job,0.0,1
Koukou Tekken-den Tough,0.5,2
Koutetsushin Jeeg,0.0,1
Lupin III: Harimao no Zaihou wo Oe!!,0.75,4
Kyoukai no Rinne,0.5909090909090909,22
Koisuru Asteroid,0.6578947368421053,38
Mai-HiME Specials,1.0,1
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",0.42857142857142855,7
Massara,0.5,2
Miyori no Mori,1.0,4
Mukamuka Paradise,0.0,0
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,0.5909090909090909,22
Pandane to Tamago-hime,1.0,1
Ninin ga Shinobuden,0.6875,16
Qin Shi Mingyue: Zhu Zi Bai Jia,0.0,0
Promare: Galo-hen,1.0,2
Radiant,0.6060606060606061,33
Rinne no Lagrange,0.5,18
Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear,0.0,1
Soukou Kihei Votoms: Kakuyaku taru Itan,0.25,4
Servamp,0.425,40
Sumomomo Momomo: Chijou Saikyou no Yome Specials,1.0,1
Samurai Flamenco,0.6153846153846154,52
Sword Art Online: Alicization - War of Underworld Reflection,0.7142857142857143,7
Toaru Majutsu no Index-tan II,0.0,0
Vinland Saga Season 2: Same Old Story,0.3333333333333333,3
Wakaba*Girl,0.7777777777777778,9
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,0.6,5
Yu☆Gi☆Oh! (Movie),0.5,248
Uta∽Kata: Shotou no Futanatsu,0.0,65
Azur Lane: Queen's Orders,1.0,2
Cardfight!! Vanguard: will+Dress,1.0,2
Battle Programmer Shirase,0.6363636363636364,11
Anima Yell!,0.6470588235294118,17
Blassreiter,0.5185185185185185,27
Cello Hiki no Gauche (1982),0.8,5
Busou Shoujo Machiavellianism,0.3918918918918919,74
Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,0.0,0
Chuubyou Gekihatsu Boy: Otoko ni Umareta Shukumei Dakara,1.0,1
Crayon Shin-chan Movie 27: Shinkon Ryokou Hurricane - Ushinawareta Hiroshi,0.0,0
Croket!,0.0,0
Friends: Mononoke Shima no Naki,1.0,1
"Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.",0.0,0
Futsuu no Joshikousei ga [Locodol] Yattemita.,0.6666666666666666,12
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,0.34782608695652173,23
Genjitsu no Yohane: Sunshine in the Mirror,0.625,16
Girigiri Warukunai Watame,0.0,2
Girls & Panzer: Kore ga Hontou no Anzio-sen desu! - Fushou Akiyama Yukari no Sensha Kouza,0.0,0
Glass no Kamen: Sen no Kamen wo Motsu Shoujo,0.0,4
Guilty Crown: Lost Christmas - An Episode of Port Town,0.6666666666666666,9
Hana no Ko Lunlun,1.0,2
Hi no Tori: Uchuu-hen,0.0,1
Hinata no Aoshigure,1.0,6
Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day,0.0,2
Jian Yu Feng Yun,1.0,1
A-Channel: Nabe wo Tabeyou,1.0,1
Amatsuki,0.3333333333333333,15
Andersen Douwa: Ningyohime,0.6666666666666666,6
Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,1.0,64
It's a Rumic World: 50th Anniversary Weekly★Shonen Sunday,0.0,57
Gensoumaden Saiyuuki: Kibou no Zaika,0.0,1
Gundam: G no Reconguista Movie IV - Gekitou ni Sakebu Ai,0.0,0
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,1.0,1
Free! Movie 1: Timeless Medley - Kizuna - Character Butai Aisatsu,0.0,1
Hakaba Kitarou,0.3333333333333333,3
Blood: The Last Vampire,0.46875,32
Heisei Inu Monogatari Bow,0.0,0
Himitsu no Hana no Niwa,1.0,1
Hotori: Tada Saiwai wo Koinegau,0.8,5
Houkago no Oujisama,0.0,0
Ibara no Ou,0.5161290322580645,31
Key the Metal Idol,0.4166666666666667,12
Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi,0.0,2
Kowarekake no Orgel Special,0.0,0
Ikebukuro West Gate Park,0.5434782608695652,46
Moshidora,0.36363636363636365,11
Nekomonogatari: Kuro Recap,0.0,0
Mushikaburi-hime,0.4418604651162791,43
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... OVA,0.0,1
Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai,0.5454545454545454,11
Pokemon Movie 13: Genei no Hasha Zoroark,0.4,5
Nakanohito Genome [Jikkyouchuu],0.5714285714285714,28
Princess Principal: Crown Handler Movie 1 - Busy Easy Money,1.0,1
Qin Shi Mingyue: Tian Xing Jiu Ge,1.0,1
s.CRY.ed Alteration I: Tao,0.0,0
Saint Seiya: Kamigami no Atsuki Tatakai,0.25,4
Shin Tenchi Muyou!,0.25,4
Soukou Kihei Votoms: Koei Futatabi,0.0,0
Sora no Method: Aru Shoujo no Kyuujitsu★,0.0,279
Starmyu,0.0,0
Tsuyoshi Shikkari Shinasai,0.0,0
Uchuu Senkan Yamato: Kanketsu-hen,1.0,1
Usavich,0.5,4
Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou,0.0,1
Tenjou Tenge,0.3409090909090909,44
Vandread: Gekitou-hen,0.0,0
Wangu Kuang Di,0.0,0
Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu,1.0,1
Shin Maple Town Monogatari: Palm Town-hen,1.0,1
Soul Eater: Late Night Show,0.5,2
Shu Tian Fu Mo Lu,0.0,0
Spriggan (ONA),0.5882352941176471,17
Switch,0.5,6
Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,1.0,2
Unbelievable Space Love,0.8333333333333334,6
Uchi no Maid ga Uzasugiru!,0.5333333333333333,30
Wo Shi Da Shenxian,0.6666666666666666,3
Yama no Susume Second Season Specials,0.0,2
Yomigaeru Sora: Rescue Wings - Saigo no Shigoto,0.0,1
Yesterday wo Utatte,0.4688995215311005,209
Zettai Shounen,0.2857142857142857,7
Agatha Christie no Meitantei Poirot to Marple,1.0,3
Battle Athletess Daiundoukai (TV),0.4,5
.hack//Roots,0.42857142857142855,21
Corrector Yui,0.3333333333333333,3
Vampire Knight,0.5405405405405406,148
Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan,0.0,0
Crayon Shin-chan Movie 30: Mononoke Ninja Chinpuuden,0.0,1
Crusher Joe,0.25,4
Uta no☆Prince-sama♪ Maji Love ST☆RISH Tours: Tabi no Hajimari,1.0,115
Doraemon Meets Hattori the Ninja,0.0,0
Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,0.3333333333333333,3
Dominion,0.6,10
D.C.II: Da Capo II,0.375,8
Dog Days'',0.2222222222222222,9
Denpa Kyoushi,0.52,25
Doraemon Movie 18: Nobita no Nejimaki City Boukenki,0.0,1
Fate/Grand Order: Zettai Majuu Sensen Babylonia Recaps,0.0,0
Dubu Xiaoyao,0.2,5
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,0.0,3
Generator Gawl,0.4,5
