Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Ansatsu Kyoushitsu 2nd Season,Assassination Classroom Second Season,8.48,85,141,1,TV,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",Winter 2016,Fridays at 01:25 (JST),"Dentsu,       Studio Hibari,       Fuji TV,       DAX Production,       Avex Pictures,       Shueisha,       Kansai Telecasting",Funimation,Lerche,Manga,"Action, Comedy",School,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"17,670"
Aria the Origination,,8.48,1734,142,130,TV,13,Finished Airing,"Jan 8, 2008 to Apr 1, 2008",Winter 2008,Tuesdays at 02:00 (JST),"Production I.G,       TV Tokyo,       Media Factory,       Shochiku,       Mag Garden",Nozomi Entertainment,HAL Film Maker,Manga,"Fantasy, Sci-Fi, Slice of Life",Iyashikei,Shounen,24 min. per ep.,G - All Ages,"4,151"
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Fate/stay night: Heaven's Feel - II. Lost Butterfly,8.48,597,143,391,Movie,1,Finished Airing,"Jan 12, 2019",,,"Aniplex,       Notes,       Kadokawa",Aniplex of America,ufotable,Visual novel,"Action, Fantasy, Supernatural",,,1 hr. 57 min.,R - 17+ (violence & profanity),"3,477"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Puella Magi Madoka Magica the Movie: Rebellion,8.48,614,145,382,Movie,1,Finished Airing,"Oct 26, 2013",,,"Aniplex,       Mainichi Broadcasting System,       Movic,       Nitroplus,       Houbunsha",Aniplex of America,Shaft,Original,"Award Winning, Drama, Fantasy, Suspense","Mahou Shoujo, Psychological",,1 hr. 56 min.,PG-13 - Teens 13 or older,"8,885"
Kono Subarashii Sekai ni Shukufuku wo! 3,KonoSuba: God's Blessing on This Wonderful World! 3,8.48,655,144,361,TV,11,Currently Airing,"Apr 10, 2024 to Jun 19, 2024",Spring 2024,Wednesdays at 23:30 (JST),"Half H.P Studio,       Nippon Columbia,       81 Produce,       Sammy,       Kadokawa","None found, add some",Drive,Light novel,"Adventure, Comedy, Fantasy","Isekai, Parody",,23 min. per ep.,PG-13 - Teens 13 or older,"4,357"
Rainbow: Nisha Rokubou no Shichinin,Rainbow,8.47,585,146,397,TV,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",Spring 2010,Wednesdays at 00:59 (JST),"VAP,       Nippon Television Network","Funimation,       Discotek Media",Madhouse,Manga,"Drama, Suspense","Delinquents, Historical",Seinen,22 min. per ep.,R - 17+ (violence & profanity),"8,435"
Banana Fish,,8.47,201,147,869,TV,24,Finished Airing,"Jul 6, 2018 to Dec 21, 2018",Summer 2018,Fridays at 00:55 (JST),"Aniplex,       Dentsu,       Movic,       Fuji TV,       Shogakukan","None found, add some",MAPPA,Manga,"Action, Adventure, Drama, Suspense","Delinquents, Organized Crime, Psychological",Shoujo,22 min. per ep.,R - 17+ (violence & profanity),"30,328"
Chihayafuru 3,,8.46,1619,148,142,TV,24,Finished Airing,"Oct 23, 2019 to Mar 25, 2020",Fall 2019,Wednesdays at 01:29 (JST),"Kodansha,       Nippon Television Network,       TC Entertainment,       Nippon Television Music,       FBC",Sentai Filmworks,Madhouse,Manga,"Drama, Sports","Love Polygon, School, Strategy Game",Josei,22 min. per ep.,PG-13 - Teens 13 or older,"1,562"
Gintama: The Semi-Final,,8.46,2443,149,78,Special,2,Finished Airing,"Jan 15, 2021 to Jan 20, 2021",,,"None found, add some","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy","Gag Humor, Historical, Parody, Samurai",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,252
Yuu☆Yuu☆Hakusho,Yu Yu Hakusho: Ghost Files,8.46,290,150,693,TV,112,Finished Airing,"Oct 10, 1992 to Jan 7, 1995",Fall 1992,Unknown,"Yomiko Advertising,       Fuji TV",Funimation,Pierrot,Manga,"Action, Fantasy","Martial Arts, Mythology",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"23,037"
