Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu,,6.07,13042,9156,1,TV,37,Finished Airing,"Apr 15, 2017 to Dec 23, 2017",TBS,"None found, add some",OLM,Other,"Adventure, Mystery, Sci-Fi",24 min. per ep.,PG - Children,2,"Detective, Mecha",,Spring 2017,Saturdays at 07:00 (JST)
Umi no Triton (1979),Triton of the Sea (1979),6.07,13228,9157,1,Movie,2,Finished Airing,"Apr 4, 1979 to May 21, 1984",Tohokushinsha Film Corporation,"None found, add some",Animation Staff Room,Manga,"Adventure, Fantasy",1 hr. 14 min. per ep.,G - All Ages,1,,Shounen,,
Xiao Liyu Lixian Ji,The Adventures of Little Carp,6.07,17147,9158,412,TV,52,Finished Airing,"Jun 1, 2007 to ?","None found, add some","None found, add some","None found, add some",Other,"Adventure, Fantasy",22 min. per ep.,PG - Children,3,,Kids,?,Unknown
Youkoso Lodoss-tou e!,Welcome to Lodoss Island!,6.07,10679,9159,2,Movie,1,Finished Airing,"Apr 25, 1998",AIC,"None found, add some","None found, add some",Novel,Comedy,35 min.,G - All Ages,3,Parody,,,
Yumemi no E,Dreams into Drawing,6.07,14891,9161,680,Movie,1,Finished Airing,"Aug 23, 2019","None found, add some","None found, add some","Yamamura Animation, Inc.",Novel,,10 min.,PG - Children,0,"Historical, Visual Arts",,,
Youma,Blood Reign: Curse of the Yoma,6.07,6432,9160,10,OVA,2,Finished Airing,"May 1, 1989 to Jun 1, 1989",animate Film,ADV Films,J.C.Staff,Manga,"Action, Drama, Horror, Supernatural, Suspense",38 min. per ep.,R - 17+ (violence & profanity),28,Mythology,Shoujo,,
Yumeria,,6.07,4183,9162,28,TV,12,Finished Airing,"Jan 9, 2004 to Mar 26, 2004","None found, add some","ADV Films,       Sentai Filmworks",Studio Deen,Visual novel,"Action, Comedy, Ecchi",24 min. per ep.,PG-13 - Teens 13 or older,32,"Harem, Super Power",,Winter 2004,Fridays at 00:30 (JST)
Yurumates 3D OVA,,6.07,11148,9163,2,OVA,1,Finished Airing,"Aug 30, 2012",Takeshobo,"None found, add some",C2C,4-koma manga,"Comedy, Slice of Life",3 min.,PG-13 - Teens 13 or older,2,,Seinen,,
Angelique: Seichi yori Ai wo Komete,,6.07,9908,9164,3,OVA,3,Finished Airing,"Jan 25, 2001 to Jun 27, 2001","None found, add some","None found, add some",Yumeta Company,Visual novel,"Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi",30 min. per ep.,PG-13 - Teens 13 or older,1,,Shoujo,,
Assemble Insert,,6.07,8546,9165,5,OVA,2,Finished Airing,"Dec 21, 1989 to Feb 25, 1990",Tohokushinsha Film Corporation,"None found, add some",Studio Core,Manga,"Comedy, Sci-Fi",29 min. per ep.,PG-13 - Teens 13 or older,9,Detective,,,
Bem,,6.07,2558,9166,72,TV,12,Finished Airing,"Jul 15, 2019 to Oct 14, 2019","TV Tokyo,       Nihon Ad Systems,       Pony Canyon,       KlockWorx,       flying DOG",Funimation,"Production I.G,       LandQ studios",Original,"Action, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,97,Mythology,,Summer 2019,Mondays at 01:35 (JST)
Boku no Boukuugou,,6.07,14063,9167,877,TV Special,1,Finished Airing,"Aug 13, 2005","None found, add some","None found, add some",Shin-Ei Animation,Novel,Drama,45 min.,G - All Ages,1,Historical,Kids,,
Buddy Go! 2,,6.07,9945,9168,3,Special,4,Finished Airing,"Oct 4, 2016 to Oct 25, 2016","None found, add some","None found, add some","None found, add some",Manga,"Comedy, Romance",1 min. per ep.,PG - Children,6,Crossdressing,Shoujo,,
Dragon Age: Blood Mage no Seisen,Dragon Age: Dawn of the Seeker,6.07,6409,9169,10,Movie,1,Finished Airing,"Feb 11, 2012","None found, add some",Funimation,Oxybot,Game,"Action, Fantasy",1 hr. 29 min.,R - 17+ (violence & profanity),10,,,,
Fei Ren Zai: Shenxian Ye Ai Chi,,6.07,16774,9170,442,ONA,3,Finished Airing,"Dec 11, 2017 to Dec 25, 2017","None found, add some","None found, add some",Fenz,Manga,"Comedy, Fantasy",3 min. per ep.,PG-13 - Teens 13 or older,0,Mythology,,,
Flying Witch Petit,,6.07,5234,9171,16,ONA,9,Finished Airing,"Mar 18, 2016 to Jun 24, 2016","VAP,       Magic Capsule",Sentai Filmworks,domerica,Manga,"Slice of Life, Supernatural",2 min. per ep.,PG-13 - Teens 13 or older,8,,,,
Genei Toushi Bastof Lemon,BASToF Syndrome,6.07,12296,9172,1,TV,26,Finished Airing,"May 3, 2001 to Nov 15, 2001","None found, add some",ADV Films,Dongwoo A&E,Unknown,"Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,2,Mecha,,Spring 2001,Unknown
Ginga Tetsudou 999 (ONA),,6.07,12528,9173,1,ONA,6,Finished Airing,"Sep 9, 2002 to Jul 2004","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Drama, Sci-Fi",15 min. per ep.,G - All Ages,1,Space,,,
Heybot!,,6.07,10265,9174,2,TV,50,Finished Airing,"Sep 18, 2016 to Sep 24, 2017",Bandai,"None found, add some",Bandai Namco Pictures,Original,"Comedy, Sci-Fi",23 min. per ep.,PG - Children,24,Parody,Kids,Fall 2016,Sundays at 07:00 (JST)
Hoshi ni Negai wo: Cold Body + Warm Heart,,6.07,11057,9175,2,ONA,1,Finished Airing,"Jun 1, 2009","None found, add some","None found, add some",Barnum Studio,Original,"Adventure, Sci-Fi",22 min.,PG-13 - Teens 13 or older,0,,,,
Houma Hunter Lime,Jewel BEM Hunter Lime,6.07,10010,9176,3,OVA,3,Finished Airing,"Oct 25, 1996 to Mar 7, 1997","TBS,       Asmik Ace","Media Blasters,       Sentai Filmworks",Ashi Productions,Visual novel,"Comedy, Fantasy",27 min. per ep.,PG-13 - Teens 13 or older,5,,,,
Ippatsu Kanta-kun,,6.07,12943,9177,1,TV,53,Finished Airing,"Sep 18, 1977 to Sep 24, 1978","None found, add some","None found, add some",Tatsunoko Production,Original,"Adventure, Comedy, Sports",24 min. per ep.,PG - Children,1,Team Sports,Kids,Fall 1977,Unknown
Abarenbou Rikishi!! Matsutarou,Rowdy Sumo Wrestler Matsutaro!!,6.06,6528,9178,9,TV,23,Finished Airing,"Apr 6, 2014 to Sep 28, 2014","None found, add some","None found, add some",Toei Animation,Manga,Sports,22 min. per ep.,PG-13 - Teens 13 or older,12,Combat Sports,Seinen,Spring 2014,Unknown
Alps Monogatari: Watashi no Annette Specials,,6.06,15506,9179,583,TV Special,2,Finished Airing,Apr 2001,"None found, add some","None found, add some",Nippon Animation,Unknown,"Drama, Slice of Life",45 min. per ep.,G - All Ages,1,,,,
Aquarian Age: Sign for Evolution,,6.06,5645,9180,13,TV,13,Finished Airing,"Jan 11, 2002 to Mar 29, 2002",Broccoli,ADV Films,Madhouse,Card game,"Action, Adventure, Fantasy, Romance, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,12,"Music, Super Power",,Winter 2002,Fridays at 01:15 (JST)
Arad: Suming Zhi Men,The Fate of Arad,6.06,10848,9181,2,ONA,20,Finished Airing,"Apr 28, 2017 to Sep 1, 2017","Tohokushinsha Film Corporation,       Tencent Animation & Comics,       Tencent Games","None found, add some","Success Corp.,       Dangun Pictures",Game,"Action, Adventure, Fantasy",14 min. per ep.,PG-13 - Teens 13 or older,10,,,,
Ars no Kyojuu,Giant Beasts of Ars,6.06,3403,9182,43,TV,12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023","Mainichi Broadcasting System,       Sentai Filmworks,       bilibili,       DMM.com,       Bit grooove promotion,       NetEase","None found, add some",Asahi Production,Original,"Action, Adventure, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,92,,,Winter 2023,Saturdays at 01:25 (JST)
Bai Gui Youeryuan 2nd Season,,6.06,17865,9183,358,ONA,12,Finished Airing,"Mar 26, 2019 to Jun 11, 2019","None found, add some","None found, add some",Painting Dream,Game,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Berserk Recap,,6.06,5494,9184,14,TV Special,1,Finished Airing,"Mar 3, 2017",LIDENFILMS,"None found, add some","Millepensee,       GEMBA",Manga,"Action, Adventure, Drama, Fantasy, Horror",24 min.,R - 17+ (violence & profanity),26,"Gore, Military",Seinen,,
"Boku, Otaryman.",,6.06,8889,9185,4,OVA,1,Finished Airing,"Jan 29, 2010",Liverpool,"None found, add some","Panda Factory,       Studio PuYUKAI",Manga,"Comedy, Slice of Life",35 min.,PG-13 - Teens 13 or older,2,Otaku Culture,Seinen,,
Cap Kakumei Bottleman DX,Cap Revolution Bottleman DX,6.06,13838,9186,938,TV,51,Finished Airing,"Apr 3, 2022 to Mar 26, 2023","None found, add some","None found, add some",Gaina,Game,Action,12 min. per ep.,G - All Ages,8,Strategy Game,Kids,Spring 2022,Sundays at 09:30 (JST)
Celia-sensei no Wakuwaku Magical Kyoushitsu,,6.06,8370,9187,5,ONA,18,Finished Airing,"May 25, 2021 to Sep 21, 2021",Kanon Sound,"None found, add some",AQUA ARIS,Light novel,"Comedy, Fantasy",1 min. per ep.,PG-13 - Teens 13 or older,33,"Isekai, Reincarnation",,,
Choegang Top Plate,,6.06,15268,9188,620,TV,26,Finished Airing,"Sep 11, 2013 to Dec 26, 2013",Animax,"None found, add some","None found, add some",Original,"Action, Comedy",23 min. per ep.,PG - Children,2,,Kids,Fall 2013,Unknown
Chu Feng: Yi Dian Zhi Zi,,6.06,11583,9190,1,ONA,12,Finished Airing,"Nov 18, 2020 to Jan 27, 2021",Yaoqi,"None found, add some",Thundray,Manga,"Action, Fantasy, Romance, Sci-Fi",27 min. per ep.,PG-13 - Teens 13 or older,1,Mecha,,,
Choujuu Giga,Choju Jinbutsu Giga,6.06,10373,9189,2,ONA,3,Finished Airing,"Mar 14, 2016 to Nov 17, 2016","None found, add some","None found, add some",Studio Ghibli,Other,Romance,32 sec. per ep.,G - All Ages,1,,,,
CMFU Xueyuan: Wangzi Peng Peng Qiu,,6.06,8009,9191,5,ONA,24,Finished Airing,"Nov 3, 2016 to Apr 6, 2017","Tencent Penguin Pictures,       China Literature Limited","None found, add some",Foch Films,Novel,"Romance, Sports",11 min. per ep.,PG-13 - Teens 13 or older,18,School,,,
Cutie Honey Flash: The Movie,,6.06,8822,9192,4,Movie,1,Finished Airing,"Jul 12, 1997","TV Asahi,       Dynamic Planning","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Romance, Ecchi",38 min.,R - 17+ (violence & profanity),1,,Shoujo,,
Document Taiyou no Kiba Dagram,,6.06,13319,9193,1,Movie,1,Finished Airing,"Jul 9, 1983","None found, add some","None found, add some",Sunrise,Original,"Action, Drama, Sci-Fi",1 hr. 20 min.,R - 17+ (violence & profanity),2,"Mecha, Military",,,
"Dorami-chan: Wow, The Kid Gang of Bandits",,6.06,14095,9194,871,Movie,1,Finished Airing,"Mar 9, 1991","None found, add some","None found, add some","None found, add some",Unknown,Fantasy,40 min.,G - All Ages,0,,,,
Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,"Dr. Slump and Arale-chan: Hoyoyo! City of Dreams, Mechapolis",6.06,11604,9195,1,Movie,1,Finished Airing,"Jul 13, 1985","None found, add some",Discotek Media,Toei Animation,Manga,"Comedy, Sci-Fi",38 min.,PG-13 - Teens 13 or older,0,Gag Humor,Shounen,,
Dr. Slump Movie 10: Arale no Bikkuriman,Doctor Slump: Arale's Surprise,6.06,11765,9196,1,Movie,1,Finished Airing,"Mar 6, 1999","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sci-Fi",50 min.,PG-13 - Teens 13 or older,0,Gag Humor,Shounen,,
Gegege no Kitarou: Youkai Daisensou,Spooky Kitarou: Ghost War Struggle,6.06,13453,9198,1,Movie,1,Finished Airing,"Mar 15, 1986","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Fantasy, Horror, Supernatural",39 min.,G - All Ages,1,,,,
Eiyuu Kyoushitsu,Classroom for Heroes,6.06,1928,9197,112,TV,12,Finished Airing,"Jul 9, 2023 to Sep 24, 2023","Square Enix,       Lantis,       Movic,       Shueisha,       Jinnan Studio,       Tencent Japan,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",Actas,Light novel,"Action, Fantasy, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,466,"Harem, School",,Summer 2023,Sundays at 23:00 (JST)
Hello Kitty no Shirayuki-hime,Hello Kitty in Snow White,6.06,14053,9199,878,OVA,1,Finished Airing,"Jul 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,25 min.,G - All Ages,2,,Kids,,
Hello Kitty no Shirayuki-hime (2001),Hello Kitty in Snow White,6.06,14460,9200,782,OVA,1,Finished Airing,"Jul 20, 2001",Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,15 min.,G - All Ages,1,,Kids,,
Platinum End,,6.04,604,9301,387,TV,24,Finished Airing,"Oct 8, 2021 to Mar 25, 2022","Pierrot,       Dentsu,       Pony Canyon,       TBS,       Magic Capsule,       Medicos Entertainment,       BS11","None found, add some",Signal.MD,Manga,"Drama, Supernatural, Suspense",24 min. per ep.,R - 17+ (violence & profanity),"2,535","Mythology, Psychological, Survival",Shounen,Fall 2021,Fridays at 01:28 (JST)
Stitch!: Zutto Saikou no Tomodachi,Stitch: Season 3,6.04,10672,9303,2,TV,29,Finished Airing,"Jul 6, 2010 to Mar 8, 2011","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy",25 min. per ep.,PG - Children,3,,Kids,Summer 2010,Unknown
Ribbon no Kishi (1999),,6.04,14486,9302,777,Movie,1,Finished Airing,"Dec 4, 1999","None found, add some","None found, add some",Tezuka Productions,Unknown,Adventure,8 min.,G - All Ages,1,,,,
Tales of Puppet,,6.04,13902,9304,918,ONA,16,Finished Airing,"Jun 14, 2018 to Oct 1, 2019",Bandai Namco Entertainment,"None found, add some",DLE,Game,"Comedy, Fantasy",6 min. per ep.,PG-13 - Teens 13 or older,0,Parody,,,
Tama & Friends: Uchi no Tama Shirimasen ka?,,6.04,13767,9305,962,TV,104,Finished Airing,"Oct 1, 2016 to Sep 27, 2018",Sony Creative Products,"None found, add some",Kachidoki Studio,Original,Adventure,1 min. per ep.,G - All Ages,2,Pets,Kids,Fall 2016,Saturdays at 07:00 (JST)
The Kabocha Wine: Nita no Aijou Monogatari,,6.04,14136,9306,863,Movie,1,Finished Airing,"Jul 14, 1984","None found, add some","None found, add some",Toei Animation,Unknown,"Comedy, Romance",24 min.,PG-13 - Teens 13 or older,1,School,Shounen,,
Wakusei Robo Danguard Ace,Dangard Ace,6.04,11188,9307,2,TV,56,Finished Airing,"Mar 6, 1977 to Mar 26, 1978","None found, add some","None found, add some",Toei Animation,Original,Sci-Fi,25 min. per ep.,PG-13 - Teens 13 or older,1,"Mecha, Military, Space",,Spring 1977,Sundays at 19:00 (JST)
Wansa-kun,Little Wansa,6.04,12656,9309,1,TV,26,Finished Airing,"Apr 2, 1973 to Sep 24, 1973","None found, add some","None found, add some",Mushi Production,Manga,Comedy,25 min. per ep.,PG - Children,1,,,Spring 1973,Unknown
Wan Yu Zhi Wang,,6.04,14292,9308,822,ONA,24,Finished Airing,"Jan 27, 2022 to Jul 7, 2022",iQIYI,"None found, add some","Xing Yi Kai Chen,       Kuai Ying Hu Yu",Web novel,"Action, Fantasy",12 min. per ep.,PG-13 - Teens 13 or older,5,Martial Arts,,,
Yosuga no Sora,,6.04,446,9310,501,TV,12,Finished Airing,"Oct 4, 2010 to Dec 20, 2010","Starchild Records,       Studio Mausu,       GANSIS,       PRA",Media Blasters,feel.,Visual novel,"Drama, Romance, Ecchi",25 min. per ep.,R+ - Mild Nudity,"2,515",Harem,,Fall 2010,Mondays at 23:30 (JST)
Zhen Gyi Hong Shi,World Peacekeepers,6.04,14754,9311,708,TV,52,Finished Airing,"Oct 4, 2014 to Nov 2014","None found, add some","None found, add some","None found, add some",Unknown,"Action, Adventure, Sci-Fi",24 min. per ep.,None,5,"Mecha, Military",,Fall 2014,Unknown
Anime Tenchou,Animation Store Manager,6.04,6088,9312,11,OVA,1,Finished Airing,"Aug 19, 2002",animate Film,"None found, add some",Gainax,Other,Action,2 min.,G - All Ages,5,Parody,,,
Asa made Jugyou Chu!,See Me After Class,6.04,2959,9313,56,OVA,1,Finished Airing,"Jun 23, 2012",Media Factory,"None found, add some",GoHands,Manga,"Comedy, Romance, Ecchi",29 min.,R+ - Mild Nudity,119,"Crossdressing, School",,,
Bada-ui Jeonseol Jangbogo,The Legend of Blue,6.04,13764,9314,962,TV,26,Finished Airing,2002,"None found, add some","None found, add some","None found, add some",Unknown,"Action, Adventure, Comedy, Mystery",25 min. per ep.,G - All Ages,3,,,?,Unknown
Blade & Soul,,6.04,1807,9315,122,TV,13,Finished Airing,"Apr 4, 2014 to Jun 27, 2014",TBS,Sentai Filmworks,Gonzo,Game,"Action, Adventure, Fantasy",24 min. per ep.,R - 17+ (violence & profanity),134,Martial Arts,,Spring 2014,Unknown
Burn Up!,,6.04,6401,9316,10,OVA,1,Finished Airing,"Mar 21, 1991",Media Rings,"ADV Films,       Sentai Filmworks",AIC,Original,"Action, Comedy, Sci-Fi, Ecchi",45 min.,R+ - Mild Nudity,6,Detective,,,
"Chiisana Obake: Acchi, Kocchi, Socchi",Three Little Ghosts,6.04,11134,9317,2,TV,50,Finished Airing,"Apr 9, 1991 to Apr 7, 1992","None found, add some","None found, add some",Pierrot,Picture book,"Comedy, Supernatural",25 min. per ep.,G - All Ages,1,,,Spring 1991,Unknown
Choujuu Densetsu Gestalt,Gestalt,6.04,8765,9318,4,OVA,2,Finished Airing,"Jan 22, 1997 to Feb 21, 1997","TV Tokyo,       Half H.P Studio,       Sony Music Entertainment",Media Blasters,"None found, add some",Manga,"Adventure, Comedy, Fantasy",29 min. per ep.,PG-13 - Teens 13 or older,5,,,,
G.R.M.,,6.04,18510,9320,312,Movie,1,Finished Airing,1996,"None found, add some","None found, add some",Production I.G,Original,"Fantasy, Sci-Fi",14 min.,PG-13 - Teens 13 or older,0,,,,
Cyborg 009: The Cyborg Soldier - Yomi no Gunzou,,6.04,14380,9319,800,TV Special,1,Finished Airing,"Sep 22, 2002","None found, add some","None found, add some","None found, add some",Manga,"Action, Adventure, Sci-Fi",24 min.,PG-13 - Teens 13 or older,0,Mecha,Shounen,,
Grick no Bouken,The Enchanted Journey,6.04,14939,9321,674,Movie,1,Finished Airing,"Jul 21, 1981","None found, add some","None found, add some",Studio Korumi,Book,"Adventure, Drama, Fantasy",1 hr. 24 min.,G - All Ages,2,,Kids,,
High School! Kimengumi (Movie),,6.04,12641,9322,1,Movie,1,Finished Airing,"Jul 12, 1986","Studio Comet,       Tsuchida Productions","None found, add some","None found, add some",Manga,"Comedy, Romance",50 min.,PG - Children,0,"Gag Humor, Parody, School",Shounen,,
Himitsukessha Taka no Tsume,Eagle Talon,6.04,12632,9323,1,TV,11,Finished Airing,"Apr 6, 2006 to Jun 15, 2006",Kaeruotoko Shokai,"None found, add some",DLE,Original,Comedy,9 min. per ep.,PG-13 - Teens 13 or older,1,"Parody, Super Power",,Spring 2006,Unknown
Iron Man,,6.04,4107,9325,29,TV,12,Finished Airing,"Oct 1, 2010 to Dec 17, 2010","None found, add some",Marvel Entertainment,Madhouse,Other,"Action, Drama, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,29,Super Power,,Fall 2010,Unknown
Huoli Shaonian Wang zhi Chuanqi Zaixian,Blazing Teens 5: Legendary Warriors,6.04,16263,9324,492,TV,40,Finished Airing,"Sep 9, 2014 to Oct 18, 2014",Alpha Group Co. Ltd.,"None found, add some","None found, add some",Original,Fantasy,23 min. per ep.,G - All Ages,3,Strategy Game,Kids,Fall 2014,Unknown
Jinzou Konchuu Kabutoborg VxV,,6.04,13832,9326,941,TV,52,Finished Airing,"Oct 5, 2006 to Oct 11, 2007","Sony Pictures Entertainment,       Studio Comet,       Nihon Ad Systems,       Animax","None found, add some","G&G Entertainment,       G&G Direction",Unknown,"Action, Comedy, Fantasy",24 min. per ep.,G - All Ages,4,Strategy Game,,Fall 2006,Unknown
Alice SOS,,6.03,10863,9327,2,TV,28,Finished Airing,"Apr 6, 1998 to Jan 28, 1999",NHK,"None found, add some",J.C.Staff,Original,Adventure,19 min. per ep.,G - All Ages,1,,,Spring 1998,Unknown
Animal 1,,6.03,14453,9328,783,TV,27,Finished Airing,"Apr 1, 1968 to Sep 30, 1968",Mushi Production,"None found, add some","None found, add some",Unknown,Sports,22 min. per ep.,PG-13 - Teens 13 or older,1,Combat Sports,,Spring 1968,Unknown
Aratanari Fukaki Ao,,6.03,8328,9330,5,ONA,10,Finished Airing,"Oct 5, 2012 to Dec 7, 2012",Bandai Visual,"None found, add some",Bones,Original,"Comedy, Slice of Life",40 sec. per ep.,PG-13 - Teens 13 or older,3,,,,
Anju to Zushioumaru,,6.03,10329,9329,2,Movie,1,Finished Airing,"Jul 19, 1961","None found, add some","None found, add some",Toei Animation,Other,Fantasy,1 hr. 23 min.,G - All Ages,5,Historical,,,
Attack No.1: Namida no Sekai Senshuken,,6.03,13432,9331,1,Movie,1,Finished Airing,"Dec 19, 1970",Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,"Drama, Sports",55 min.,PG-13 - Teens 13 or older,0,Team Sports,Shoujo,,
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,,6.03,10820,9333,2,OVA,1,Finished Airing,"Sep 25, 2014","None found, add some","None found, add some",Studio Deen,Game,Mystery,23 min.,PG-13 - Teens 13 or older,0,"Music, Performing Arts",,,
Bakumatsu Rock,Samurai Jam -Bakumatsu Rock-,6.03,4063,9332,30,TV,12,Finished Airing,"Jul 2, 2014 to Sep 17, 2014","Nihon Ad Systems,       Marvelous AQL,       NBCUniversal Entertainment Japan,       TV Asahi Music",Sentai Filmworks,Studio Deen,Game,"Action, Comedy",23 min. per ep.,PG-13 - Teens 13 or older,44,"Historical, Music, Performing Arts",,Summer 2014,Unknown
Bouken Shounen Shadar,Adventure Boy Shadar,6.03,13221,9334,1,TV,156,Finished Airing,"Sep 18, 1967 to Mar 16, 1968","None found, add some","None found, add some",Nihon Hoso Eigasha,Unknown,"Adventure, Horror",10 min. per ep.,PG-13 - Teens 13 or older,2,,,Fall 1967,Unknown
Captain Movie,,6.03,15393,9335,601,Movie,1,Finished Airing,"Jul 4, 1981",Nippon Television Network,"None found, add some",Eiken,Manga,Sports,1 hr. 38 min.,G - All Ages,0,Team Sports,Shounen,,
Densetsu Kyojin Ideon: Sesshoku-hen,The Ideon: A Contact,6.03,8550,9336,5,Movie,1,Finished Airing,"Jul 10, 1982","None found, add some",Maiden Japan,Sunrise,Original,"Drama, Sci-Fi",1 hr. 25 min.,PG-13 - Teens 13 or older,1,"Mecha, Space",,,
