Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Garugaku. II: Lucky Stars,,5.95,12371,9767,1,TV,50,Finished Airing,"Jan 10, 2022 to Mar 18, 2022",Winter 2022,Not scheduled once per week,"None found, add some","None found, add some",OLM,Mixed media,,"Idols (Female), Music, School",,3 min. per ep.,PG-13 - Teens 13 or older,11
Gensou Jotan Ellcia,Ellcia,5.95,10005,9769,3,OVA,4,Finished Airing,"Oct 23, 1992 to Sep 23, 1993",,,"None found, add some",ADV Films,J.C.Staff,Original,"Adventure, Fantasy",,,41 min. per ep.,PG-13 - Teens 13 or older,1
Hallelujah: Unmei no Sentaku,,5.95,12715,9771,1,ONA,1,Finished Airing,"Sep 28, 2020",,,XFLAG,"None found, add some",Yokohama Animation Lab,Game,"Action, Fantasy",,,54 min.,PG - Children,1
Grimms Notes The Animation,,5.95,3340,9770,44,TV,12,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",Winter 2019,Fridays at 01:58 (JST),"Square Enix,       Pony Canyon,       Avex Pictures",Sentai Filmworks,Brain's Base,Game,"Action, Adventure, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,61
Hello Kitty no Match Uri Shoujo,Hello Kitty in The Little Match Girl,5.95,15064,9772,651,OVA,1,Finished Airing,"Nov 23, 2001",,,Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,,Kids,10 min.,G - All Ages,1
Hero Bank,,5.95,10116,9773,2,TV,51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",Spring 2014,Unknown,"Tokyo Movie Shinsha,       Sega,       TMS Music","None found, add some",TMS Entertainment,Game,,Strategy Game,Kids,23 min. per ep.,PG - Children,10
Hidari no O'Clock!!,,5.95,14062,9774,875,OVA,2,Finished Airing,"Feb 5, 1990",,,"None found, add some","None found, add some",Toei Animation,Unknown,Drama,,,40 min. per ep.,PG-13 - Teens 13 or older,0
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω Mini Anime,,5.95,8045,9775,5,ONA,18,Finished Airing,"Mar 14, 2021 to Jun 16, 2021",,,Half H.P Studio,"None found, add some","AQUA ARIS,       Magma Studio",Light novel,Comedy,Isekai,,1 min. per ep.,PG-13 - Teens 13 or older,15
Jiu Se Lu,,5.95,12106,9776,1,Movie,1,Finished Airing,1981,,,Shanghai Animation Film Studio,"None found, add some","None found, add some",Other,Supernatural,,,25 min.,G - All Ages,2
A Tang Qi Yu,Toys & Pets,5.94,17004,9778,421,Movie,1,Finished Airing,"Jul 21, 2017",,,"None found, add some","None found, add some",Light Chaser Animation Studios,Original,"Adventure, Comedy",,Kids,1 hr. 39 min.,G - All Ages,0
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,,5.94,13865,9777,931,Movie,1,Finished Airing,"Aug 14, 1993",,,Group TAC,"None found, add some","None found, add some",Unknown,Adventure,Pets,Kids,43 min.,G - All Ages,3
