Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Gatapishi,,6.10,16133,9001,507,TV,199,Finished Airing,"Apr 23, 1990 to Mar 29, 1991",Spring 1990,Unknown,TV Asahi,"None found, add some",Shin-Ei Animation,4-koma manga,"Comedy, Slice of Life",10 min. per ep.,PG - Children,0,,
Ginga Tetsudou 999: Niji no Michishirube,,6.10,13785,9002,955,Movie,1,Finished Airing,"Jul 4, 2001",,,"Dentsu,       81 Produce,       Dentsu Tec","None found, add some",Toei Animation,Unknown,"Drama, Sci-Fi",17 min.,G - All Ages,0,Historical,
Greek Roman Sinhwa: Olympus Guardian,,6.10,12387,9004,1,TV,39,Finished Airing,"Dec 11, 2002 to Jul 31, 2003",Winter 2003,Unknown,"None found, add some","None found, add some","None found, add some",Other,"Adventure, Fantasy",25 min. per ep.,None,3,Historical,
Gowapper 5 Gordam,Goliath the Super Fighter,6.10,12589,9003,1,TV,36,Finished Airing,"Apr 4, 1976 to Dec 29, 1976",Spring 1976,Unknown,"None found, add some","None found, add some",Tatsunoko Production,Original,"Action, Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,1,Mecha,
Guruguru Town Hanamaru-kun,,6.10,15707,9005,554,TV,101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",Fall 1999,Sundays at 09:30 (JST),"None found, add some","None found, add some",Pierrot,Original,Comedy,25 min. per ep.,G - All Ages,1,Anthropomorphic,Kids
Hi☆sCoool! SeHa Girls Special,,6.10,13323,9007,1,Special,1,Finished Airing,"Nov 3, 2016",,,Sega,"None found, add some",TMS Entertainment,Other,"Comedy, Sports",14 min.,PG-13 - Teens 13 or older,0,"School, Video Game",
Hijikata Toshizou: Shiro no Kiseki,,6.10,9706,9008,3,OVA,1,Finished Airing,"Jan 12, 2004",,,"Imagica,       Beyond C.","None found, add some",Studio 4°C,Original,"Action, Drama",32 min.,PG-13 - Teens 13 or older,6,"Historical, Samurai",
Hajime Ningen Gyatoruz,,6.10,12786,9006,1,TV,77,Finished Airing,"Oct 5, 1974 to Mar 27, 1976",Fall 1974,Saturdays at 19:00 (JST),Asahi Broadcasting,"None found, add some",Tokyo Movie Shinsha,Manga,Comedy,24 min. per ep.,PG-13 - Teens 13 or older,3,Historical,
Hime Gal♥Paradise,,6.10,11526,9009,1,OVA,9,Finished Airing,"Dec 28, 2010 to Apr 3, 2012",,,"None found, add some","None found, add some",SynergySP,Manga,,11 min. per ep.,PG - Children,7,Crossdressing,Shoujo
Itoshi no Muco OVA,Lovely Muuuuuuuco! OVA,6.10,16551,9010,464,OVA,1,Finished Airing,"Apr 22, 2016",,,"None found, add some","None found, add some","None found, add some",Manga,"Comedy, Slice of Life",12 min.,G - All Ages,0,Pets,
Jantama Kan!!,Mahjong Soul Kan!!,6.10,11430,9011,1,ONA,13,Currently Airing,"Apr 25, 2024 to ?",,,Yostar,"None found, add some",Alke,Game,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,4,,
.hack//Gift,,6.09,4810,9012,20,OVA,1,Finished Airing,"Nov 16, 2003",,,CyberConnect2,Bandai Entertainment,Bee Train,Original,"Comedy, Fantasy",26 min.,R+ - Mild Nudity,20,Video Game,
Asagiri no Miko,Shrine of the Morning Mist,6.09,6945,9013,8,TV,26,Finished Airing,"Jul 4, 2002 to Dec 26, 2002",Summer 2002,Unknown,"Starchild Records,       TV Tokyo Music,       Shounen Gahousha","Media Blasters,       NYAV Post","Chaos Project,       GANSIS",Manga,"Action, Comedy, Fantasy",12 min. per ep.,PG - Children,4,Mythology,Seinen
Batsu & Terry,,6.09,13119,9014,1,Movie,1,Finished Airing,"Mar 14, 1987",,,"None found, add some","None found, add some",Sunrise,Manga,"Comedy, Drama, Sports",1 hr. 20 min.,PG-13 - Teens 13 or older,0,"School, Team Sports",Shounen
Ben-To Picture Drama,,6.09,5918,9015,12,Special,6,Finished Airing,"Dec 21, 2011 to May 16, 2012",,,AT-X,"None found, add some",David Production,Light novel,Comedy,9 min. per ep.,PG-13 - Teens 13 or older,1,,
Bonjour♪Koiaji Pâtisserie,Bonjour♪Sweet Love Patisserie,6.09,2835,9016,60,ONA,24,Finished Airing,"Oct 10, 2014 to Mar 20, 2015",,,"VAP,       Nippon Television Network","None found, add some","SILVER LINK.,       Connect",Game,"Gourmet, Romance",5 min. per ep.,PG-13 - Teens 13 or older,99,"Reverse Harem, School",
Chocolate Underground,,6.09,5849,9017,12,ONA,13,Finished Airing,"Jun 12, 2008 to Sep 4, 2008",,,"Hexagon Pictures,       SME Records,       Muse International,       Watermark,       OCC,       Celsys,       Graduate School of Film Producing","None found, add some","Production I.G,       Trans Arts",Novel,"Adventure, Comedy",5 min. per ep.,PG - Children,12,,Kids
Doraemon: Nobita to Mirai Note,,6.09,12677,9018,1,OVA,1,Finished Airing,1994,,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Fantasy, Sci-Fi",16 min.,PG - Children,0,,"KidsKids,         ShounenShounen"
"Genesis Climber Mospeada: Love, Live, Alive",,6.09,11452,9019,1,OVA,1,Finished Airing,"Sep 1, 1985",,,Artmic,"None found, add some",Tatsunoko Production,Unknown,Action,50 min.,PG - Children,0,"Mecha, Music",
Ginga e Kickoff!! Natsuyasumi Special,,6.09,12146,9020,1,Special,1,Finished Airing,"Aug 25, 2012",,,"None found, add some","None found, add some","None found, add some",Unknown,Sports,28 min.,PG - Children,0,Team Sports,
Glass no Kantai: La Legende du Vent de l'Univers Specials,Glass Fleet Specials,6.09,11813,9021,1,Special,2,Finished Airing,"Jan 24, 2007 to Mar 28, 2007",,,Sotsu,"None found, add some","None found, add some",Original,"Adventure, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,2,,
