Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
Suki desu Suzuki-kun!!,,5.92,8267,9874,5,OVA,2,Finished Airing,"Dec 18, 2009 to Jul 26, 2010",,,"None found, add some","None found, add some","None found, add some",Manga,Romance,15 min. per ep.,PG-13 - Teens 13 or older,9,,
Taiko no Tatsujin,Taiko Drum Master,5.92,12884,9875,1,TV,26,Finished Airing,"Apr 4, 2005 to May 15, 2006",Spring 2005,Unknown,Nikkatsu,"None found, add some",Studio Bingo,Game,,4 min. per ep.,G - All Ages,9,Video Game,
"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story Mini Anime",,5.92,14785,9876,701,ONA,12,Finished Airing,"Oct 13, 2023 to Dec 29, 2023",,,"None found, add some","None found, add some",AQUA ARIS,Light novel,"Comedy, Fantasy",3 min. per ep.,PG-13 - Teens 13 or older,0,,
Touken Ranbu: Hanamaru - Makuai Kaisouroku Manner Movies,,5.92,12024,9877,1,Movie,2,Finished Airing,"Dec 1, 2017 to Dec 8, 2017",,,"None found, add some","None found, add some","None found, add some",Game,Comedy,3 min. per ep.,G - All Ages,2,Parody,
Wind: A Breath of Heart (TV),,5.92,5985,9878,12,TV,13,Finished Airing,"Jun 30, 2004 to Sep 22, 2004",Summer 2004,Unknown,"Frontier Works,       Rondo Robe","None found, add some",Radix,Visual novel,"Drama, Romance, Supernatural",12 min. per ep.,PG-13 - Teens 13 or older,10,School,
Youkoso Japari Park,Welcome to Japari Park,5.92,8914,9879,4,ONA,36,Finished Airing,"Aug 10, 2018 to Sep 30, 2020",,,"None found, add some","None found, add some","None found, add some",Game,"Adventure, Comedy, Fantasy",6 min. per ep.,PG - Children,4,,
Africa no Salaryman,African Office Worker,5.92,11078,9880,2,ONA,10,Finished Airing,"Jun 5, 2017 to Jun 30, 2017",,,"Production I.G,       Anime Beans","None found, add some","None found, add some",Web manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,2,Workplace,
Anime Yasei no Sakebi,Call of the wild,5.92,15150,9881,636,TV,22,Finished Airing,"May 5, 1982 to Sep 25, 1982",Spring 1982,Unknown,Wako Productions,"None found, add some","None found, add some",Unknown,"Adventure, Drama",40 min. per ep.,PG - Children,1,,
Araiguma Rascal Specials,,5.92,15801,9882,543,TV Special,2,Finished Airing,"Dec 10, 2000 to Dec 17, 2000",,,Bandai Visual,"None found, add some",Nippon Animation,Unknown,"Drama, Slice of Life",45 min. per ep.,G - All Ages,0,Pets,
Brothers Conflict,,5.92,1303,9883,185,TV,12,Finished Airing,"Jul 2, 2013 to Sep 17, 2013",Summer 2013,Unknown,"Kadokawa Shoten,       Movic,       DAX Production,       Showgate,       NBCUniversal Entertainment Japan",Funimation,Brain's Base,Novel,Romance,24 min. per ep.,PG-13 - Teens 13 or older,745,Reverse Harem,
Code Geass: Hangyaku no Lelouch Picture Drama - Kamen Kokuhaku Taikai,Code Geass: Lelouch of the Rebellion Picture Drama - Masked Declaration Contest,5.92,9294,9884,3,Special,1,Finished Airing,21-Oct-17,,,"None found, add some","None found, add some","None found, add some",Original,Comedy,10 min.,PG-13 - Teens 13 or older,1,School,
Cogimyun,,5.92,16293,9885,489,ONA,24,Finished Airing,"Jul 30, 2017 to Jan 7, 2018",,,Sanrio,"None found, add some","None found, add some",Other,Fantasy,40 sec. per ep.,G - All Ages,0,,Kids
Colorful,,5.92,4253,9886,27,TV,16,Finished Airing,"Sep 6, 1999 to Sep 30, 1999",Summer 1999,Not scheduled once per week,"TBS,       Studio Wombat","ADV Films,       Sentai Filmworks",Triangle Staff,Manga,"Comedy, Ecchi",6 min. per ep.,R+ - Mild Nudity,64,Gag Humor,Seinen
Dokyuu Hentai HxEros: HxEros Report,,5.92,7163,9887,7,TV Special,1,Finished Airing,21-Aug-20,,,Studio Mausu,"None found, add some",Project No.9,Manga,"Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi",23 min.,R+ - Mild Nudity,11,"Harem, School, Super Power",Shounen
Don Chuck Monogatari,Don Chuck Stories,5.92,12085,9888,1,TV,26,Finished Airing,"Apr 5, 1975 to Sep 27, 1975",Spring 1975,Unknown,"None found, add some","None found, add some",Knack Productions,Original,"Adventure, Slice of Life",25 min. per ep.,G - All Ages,4,,Kids
Dreamland,,5.92,17548,9889,383,Movie,1,Finished Airing,01-Jan-18,,,"None found, add some","None found, add some",Mirai Film,Original,Avant Garde,5 min.,G - All Ages,0,Music,
Duel Masters Zero,,5.92,11288,9890,2,TV,24,Finished Airing,"Oct 6, 2007 to Mar 22, 2008",Fall 2007,Unknown,"None found, add some","None found, add some",Shogakukan Music & Digital Entertainment,Original,Action,10 min. per ep.,G - All Ages,1,Strategy Game,Kids
Early Reins,,5.92,9208,9891,4,OVA,1,Finished Airing,14-Feb-03,,,TOHO,Media Blasters,OLM,Original,"Action, Adventure",44 min.,R - 17+ (violence & profanity),4,,
Elite Jack!!,,5.92,13404,9892,1,OVA,6,Finished Airing,"Aug 2, 2014 to Dec 28, 2015",,,Shogakukan-Shueisha Productions,"None found, add some","None found, add some",Manga,,13 min. per ep.,G - All Ages,3,School,Shoujo
Elsword: El-ui Yeoin,,5.92,4556,9893,23,ONA,12,Finished Airing,"Dec 10, 2016 to Jan 5, 2018",,,"None found, add some","None found, add some",DR Movie,Game,"Action, Fantasy",13 min. per ep.,PG-13 - Teens 13 or older,79,,
Girlfriend (Kari),Girl Friend Beta,5.92,3379,9894,43,TV,12,Finished Airing,"Oct 13, 2014 to Dec 29, 2014",Fall 2014,Mondays at 01:35 (JST),"TV Tokyo,       VAP,       Age Global Networks","None found, add some",SILVER LINK.,Game,Slice of Life,24 min. per ep.,PG-13 - Teens 13 or older,67,School,
Harbor Tale,Harbor Tale: A Red Brick,5.92,16102,9895,512,Movie,1,Finished Airing,17-Dec-11,,,"None found, add some","None found, add some",I.Toon,Original,"Adventure, Fantasy",18 min.,G - All Ages,0,,
Heisei Policemen!!,,5.92,16583,9896,460,ONA,6,Finished Airing,"Apr 11, 2013 to May 23, 2013",,,"None found, add some","None found, add some","None found, add some",Manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,1,Detective,
Hello Kitty no Fushigi na Mizuumi,,5.92,16689,9897,450,OVA,1,Finished Airing,1991,,,Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,22 min.,G - All Ages,1,,Kids
Hello Kitty no Oyayubi-hime,,5.92,15484,9898,586,Movie,1,Finished Airing,21-Jul-90,,,Sanrio,"None found, add some","None found, add some",Novel,"Adventure, Fantasy",45 min.,G - All Ages,0,,Kids
Hoshi no Kirby:  Taose!! Koukaku Majuu Ebizou,,5.92,11293,9899,2,ONA,1,Finished Airing,09-Aug-09,,,Nintendo,"None found, add some","None found, add some",Game,"Action, Adventure, Comedy, Fantasy",8 min.,PG - Children,6,,
Huan You Lieren,,5.92,12413,9900,1,ONA,12,Finished Airing,"Dec 25, 2021 to Mar 5, 2022",,,"Tencent Penguin Pictures,       Colored Pencil Animation Japan,       Yuewen Animation & Comics","None found, add some",Colored Pencil Animation,Novel,"Adventure, Sci-Fi",20 min. per ep.,PG-13 - Teens 13 or older,6,,
