Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
AIKa Zero,,5.87,4792,10106,21,OVA,3,Finished Airing,"Jul 6, 2009 to Dec 22, 2009","None found, add some","None found, add some",Studio Fantasia,Original,"Action, Adventure, Comedy, Ecchi",,,26 min. per ep.,R+ - Mild Nudity,37,,
An Ling Yu Shi Di Qi,Stitch & Ai,5.87,13096,10107,1,TV,13,Finished Airing,"Mar 27, 2017 to Apr 6, 2017","Anhui Xinhua Media,       Panimation Hwakai Media,       Disney Animation China","None found, add some","None found, add some",Original,"Adventure, Sci-Fi",,Kids,22 min. per ep.,G - All Ages,3,Spring 2017,Unknown
Balala Xiao Mo Xian: Caihong Xin Shi,Balala the Fairies: Rainbow Heart Stone,5.87,11893,10108,1,TV,36,Finished Airing,"Mar 26, 2011 to Dec 2011",Alpha Group Co. Ltd.,"None found, add some",Alpha Animation,Unknown,"Comedy, Fantasy",Mahou Shoujo,,24 min. per ep.,G - All Ages,3,Spring 2011,Unknown
Bucchigiri,,5.87,11980,10109,1,OVA,4,Finished Airing,"Oct 27, 1989 to Mar 25, 1991","None found, add some","None found, add some",Nippon Animation,Unknown,Sports,"Delinquents, Team Sports",,51 min. per ep.,R+ - Mild Nudity,2,,
Chiichai! Maou-sama!!,,5.87,10529,10110,2,ONA,24,Finished Airing,"Jul 17, 2022 to Oct 1, 2023","None found, add some","None found, add some",AQUA ARIS,Light novel,Comedy,,,1 min. per ep.,PG-13 - Teens 13 or older,3,,
Cleopatra D.C.,,5.87,9188,10111,4,OVA,3,Finished Airing,"Apr 28, 1989 to May 24, 1991","Toei Video,       Agent 21",Media Blasters,J.C.Staff,Manga,"Action, Adventure, Sci-Fi",,,37 min. per ep.,R+ - Mild Nudity,5,,
Cure Miracle to Mofurun no Mahou Lesson,Cure Miracle and Cure Mofurun's Magic Lesson,5.87,12423,10112,1,Movie,1,Finished Airing,"Oct 29, 2016",Kinoshita Group Holdings,"None found, add some","None found, add some",Original,"Action, Fantasy, Slice of Life",School,,6 min.,G - All Ages,0,,
Dolls' Frontline,Girls' Frontline,5.87,3087,10113,51,TV,12,Finished Airing,"Jan 8, 2022 to Mar 26, 2022","Warner Bros. Japan,       Ai Addiction",Funimation,Asahi Production,Game,"Action, Drama, Sci-Fi",Military,,24 min. per ep.,PG-13 - Teens 13 or older,292,Winter 2022,Saturdays at 01:00 (JST)
Donyatsu,,5.87,8447,10114,5,Movie,12,Finished Airing,"Jun 1, 2013 to Dec 20, 2013","None found, add some","None found, add some",Gathering,Manga,"Comedy, Sci-Fi",Anthropomorphic,Seinen,2 min. per ep.,G - All Ages,10,,
Fire Emblem Heroes - Book IV Ending Movie,,5.87,17170,10115,411,Special,1,Finished Airing,"Nov 26, 2020",Nintendo,"None found, add some","None found, add some",Game,"Action, Drama, Supernatural, Suspense","Mythology, Strategy Game",,2 min.,PG-13 - Teens 13 or older,1,,
Glass no Kamen desu ga to Z,,5.87,13590,10116,1,TV,14,Finished Airing,"Apr 28, 2013 to Jul 28, 2013","None found, add some","None found, add some",DLE,Manga,Comedy,Parody,Shoujo,3 min. per ep.,PG-13 - Teens 13 or older,1,Spring 2013,Unknown
Hello Kitty no Yume Dorobou,Hello Kitty in The Dream Thief,5.87,15323,10118,610,OVA,1,Finished Airing,"Dec 21, 1993",Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,,Kids,31 min.,G - All Ages,0,,
Huoli Shaonian Wang 3,Blazing Teens 3,5.87,16792,10119,441,TV,40,Finished Airing,2010,Alpha Group Co. Ltd.,"None found, add some","None found, add some",Original,,Strategy Game,Kids,24 min. per ep.,G - All Ages,2,?,Unknown
JA Kumamoto Keizairen,,5.87,16222,10120,497,ONA,2,Finished Airing,"May 16, 2016 to Oct 31, 2019","None found, add some","None found, add some","None found, add some",Original,,Music,,1 min. per ep.,G - All Ages,1,,
Hello Kitty no Ousama no Mimi wa Roba no Mimi,Hello Kitty & Mimmy in King Midas' Donkey Ears,5.87,15708,10117,555,OVA,1,Finished Airing,"Jul 20, 2001",Sanrio,"None found, add some","None found, add some",Unknown,Fantasy,,Kids,10 min.,G - All Ages,0,,
