Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes
Yatterman Specials,,6.06,14493,9232,775,Special,2,Finished Airing,"May 5, 2008 to Nov 24, 2008",,,"None found, add some","None found, add some",Tatsunoko Production,Unknown,"Adventure, Comedy",49 min. per ep.,G - All Ages,0,,Parody
"Shinran-sama: Negai, Soshite Hikari",,6.05,16312,9233,486,OVA,1,Finished Airing,"Mar 20, 2008",,,"None found, add some","None found, add some",Group TAC,Other,,1 hr. 48 min.,G - All Ages,0,,Historical
Shiroi Unabara,Missing You,6.05,17354,9234,397,Movie,1,Finished Airing,2015,,,Geidai Animation,"None found, add some","None found, add some",Original,Drama,6 min.,G - All Ages,1,,
Tenshi no Shippo Chu!: Tenshi no Utagoe,,6.05,14185,9235,849,OVA,1,Finished Airing,"Jan 22, 2004",,,Bandai Visual,"None found, add some",Tokyo Kids,Unknown,"Fantasy, Romance",25 min.,PG-13 - Teens 13 or older,0,,
Time Bokan Oudou Fukko,Time Bokan: Royal Revival,6.05,10889,9236,2,OVA,2,Finished Airing,"Nov 26, 1993 to Jan 1, 1994",,,Victor Entertainment,Sentai Filmworks,Tatsunoko Production,Unknown,"Action, Comedy, Sci-Fi",30 min. per ep.,R+ - Mild Nudity,1,,"Mecha, Parody"
Tokimeki Memorial: Forever With You,,6.05,9580,9237,3,OVA,2,Finished Airing,"Jun 17, 1999 to Oct 8, 1999",,,"None found, add some","None found, add some",Pierrot,Visual novel,"Drama, Romance",41 min. per ep.,PG-13 - Teens 13 or older,1,,School
Tsugu Tsugumomo Mini Anime,,6.05,12214,9238,1,ONA,59,Finished Airing,"Dec 16, 2019 to Aug 3, 2020",,,Zero-G,"None found, add some",AQUA ARIS,Manga,Comedy,45 sec. per ep.,PG-13 - Teens 13 or older,2,,
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka? Namiuchigiwa no Okaasan wa Suki desu ka?,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks? Do You Love Your Mom on the Shore?,6.05,3241,9239,46,OVA,1,Finished Airing,"Mar 25, 2020",,,"Aniplex,       Toranoana,       Tokyo MX,       Q-Tec,       BS11,       Contents Seed,       Kadokawa,       KLab","None found, add some",J.C.Staff,Light novel,"Comedy, Fantasy, Ecchi",23 min.,PG-13 - Teens 13 or older,120,,
Ukkari Pénélope (2009),,6.05,15025,9240,658,TV,26,Finished Airing,"Jun 29, 2009 to Jan 2, 2010",Summer 2009,Unknown,NHK,"None found, add some",Nippon Animation,Picture book,"Comedy, Slice of Life",5 min. per ep.,G - All Ages,0,,
Urban Square: Kohaku no Tsuigeki,,6.05,10492,9241,2,OVA,1,Finished Airing,"Nov 28, 1986",,,Bandai Visual,"None found, add some",Network Kouenji Studio,Original,"Action, Mystery",56 min.,R - 17+ (violence & profanity),0,Seinen,
Votoms Finder,Votoms Finder Armored Trooperoid,6.05,9434,9242,3,OVA,1,Finished Airing,"Dec 4, 2010",,,"None found, add some",Maiden Japan,Sunrise,Original,"Action, Drama, Sci-Fi",39 min.,PG-13 - Teens 13 or older,0,,"Mecha, Military"
Wo Jiao Bai Xiaofei,,6.05,12044,9243,1,ONA,39,Finished Airing,"Apr 16, 2015 to Mar 10, 2016",,,"Tencent Animation & Comics,       LAN Studio","None found, add some",Haoliners Animation League,Web manga,"Action, Comedy, Horror",11 min. per ep.,PG-13 - Teens 13 or older,2,,
Xue Se Cang Qiong,Bloody Code,6.05,10564,9244,2,ONA,26,Finished Airing,"Aug 18, 2017 to Jan 26, 2018",,,Tencent Animation & Comics,"None found, add some",CG Year,Web manga,"Action, Adventure, Fantasy, Horror, Mystery, Suspense",19 min. per ep.,R - 17+ (violence & profanity),3,,
11eyes,,6.05,1023,9246,238,TV,12,Finished Airing,"Oct 7, 2009 to Dec 23, 2009",Fall 2009,Wednesdays at 01:00 (JST),"Marvelous Entertainment,       Pony Canyon,       feng",Sentai Filmworks,Doga Kobo,Visual novel,"Action, Fantasy, Ecchi",25 min. per ep.,R - 17+ (violence & profanity),449,,"Harem, Super Power"
Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen,Brave Command Dagwon: The Boy with Crystal Eyes,6.05,13532,9245,1,OVA,2,Finished Airing,"Oct 22, 1997 to Dec 28, 1997",,,Nagoya Broadcasting Network,"None found, add some",Sunrise,Original,Action,29 min. per ep.,PG-13 - Teens 13 or older,2,,Mecha
Arifureta Shokugyou de Sekai Saikyou Picture Drama,Arifureta: From Commonplace to World's Strongest Picture Drama,6.05,10512,9247,2,ONA,13,Finished Airing,"Jul 8, 2019 to Oct 7, 2019",,,"None found, add some","None found, add some","None found, add some",Light novel,"Comedy, Fantasy",1 min. per ep.,PG-13 - Teens 13 or older,1,,
Asatir: Mirai no Mukashi Banashi,Future Folktales,6.05,9191,9248,4,TV,13,Finished Airing,"Apr 4, 2020 to Jun 27, 2020",Spring 2020,Saturdays at 08:00 (JST),Manga Productions,Sentai Filmworks,Toei Animation,Original,Adventure,25 min. per ep.,PG - Children,6,,
BlazBlue: Alter Memory Specials,,6.05,9369,9250,3,Special,6,Finished Airing,"Dec 25, 2013 to May 28, 2014",,,"None found, add some","None found, add some","Hoods Entertainment,       teamKG",Game,Comedy,17 min. per ep.,PG-13 - Teens 13 or older,6,,
Attack No.1: Namida no Kaiten Receive,,6.05,13340,9249,1,Movie,1,Finished Airing,"Aug 1, 1970",,,Tokyo Movie Shinsha,"None found, add some","None found, add some",Unknown,"Drama, Sports",1 hr.,PG-13 - Teens 13 or older,1,Shoujo,Team Sports
Zombie-ga Doeeo Beorin Naui Ttal,My Daughter is a Zombie,6.02,9138,9401,4,TV,26,Finished Airing,"Apr 3, 2022 to Jun 26, 2022",Spring 2022,Unknown,"None found, add some","None found, add some","None found, add some",Web manga,"Comedy, Supernatural",11 min. per ep.,PG-13 - Teens 13 or older,31,,Gag Humor
11eyes: Momoiro Genmutan,,6.02,3513,9402,41,Special,1,Finished Airing,"Jun 25, 2010",,,Marvelous Entertainment,Sentai Filmworks,Doga Kobo,Visual novel,"Action, Fantasy, Ecchi",23 min.,R+ - Mild Nudity,21,,"Harem, Super Power"
Aharen-san wa Hakarenai Mini,,6.02,9361,9403,3,ONA,18,Finished Airing,"Mar 12, 2022 to Jun 19, 2022",,,Felix Film,"None found, add some",AQUA ARIS,Manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,8,Shounen,School
Ane Log: Moyako Neesan no Tomaranai Monologue,Ane Log: Big Sister Moyako's Never-ending Monologue,6.02,3356,9404,44,OVA,3,Finished Airing,"Sep 16, 2014 to Apr 15, 2015",,,Shogakukan-Shueisha Productions,Sentai Filmworks,Brain's Base,Manga,"Comedy, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,56,Shounen,School
Bikkuriman,,6.02,12713,9405,1,TV,75,Finished Airing,"Oct 11, 1987 to Apr 2, 1989",Fall 1987,Sundays at 08:30 (JST),"None found, add some","None found, add some",Toei Animation,Other,"Comedy, Fantasy",24 min. per ep.,G - All Ages,1,,
Boruto: Naruto Next Generations,,6.02,203,9406,868,TV,293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",Spring 2017,Sundays at 17:30 (JST),"TV Tokyo,       Aniplex,       Rakuonsha,       Shueisha",VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,"7,304",Shounen,Martial Arts
Choegang Habche: Mix Master,Mix Master: Final Force,6.02,13901,9407,918,TV,39,Finished Airing,"May 26, 2010 to Mar 16, 2011",Spring 2010,Unknown,Sunwoo Entertainment,"None found, add some","None found, add some",Original,"Adventure, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,1,,
Fire Emblem Heroes: Chibi Playhouse,,6.02,15303,9409,615,ONA,3,Finished Airing,"Jul 7, 2021 to Jul 3, 2022",,,Nintendo,"None found, add some",Volca,Game,"Comedy, Fantasy",4 min. per ep.,G - All Ages,2,,Parody
Dosukoi Sushi Zumou,Sushi Sumo,6.02,15490,9408,585,TV,52,Finished Airing,"Apr 3, 2021 to Mar 26, 2022",Spring 2021,Saturdays at 08:40 (JST),"None found, add some","None found, add some",Shirogumi,Other,"Comedy, Gourmet, Sports",5 min. per ep.,G - All Ages,1,Kids,Martial Arts
Flowering Heart,,6.02,8281,9410,5,TV,26,Finished Airing,"Feb 29, 2016 to May 24, 2016",Winter 2016,Mondays at 18:05 (JST),"EBS,       Iconix Entertainment","None found, add some","Bridge,       DR Movie",Original,,13 min. per ep.,PG - Children,21,Kids,
Flowering Heart 2,,6.02,11494,9411,1,TV,26,Finished Airing,"May 29, 2017 to Nov 21, 2017",Spring 2017,Mondays at 08:30 (JST),"EBS,       Iconix Entertainment","None found, add some","None found, add some",Original,,11 min. per ep.,G - All Ages,10,Kids,
Girlfriend (Note),Girl Friend Note,6.02,9284,9412,3,ONA,3,Finished Airing,"Oct 22, 2016 to Nov 5, 2016",,,"None found, add some","None found, add some",Encourage Films,Game,,11 min. per ep.,G - All Ages,0,,"Music, School"
Hakushon Daimaou,Bob in the Bottle,6.02,10607,9413,2,TV,52,Finished Airing,"Oct 5, 1969 to Sep 27, 1970",Fall 1969,Unknown,"None found, add some",Saban Entertainment,Tatsunoko Production,Original,"Comedy, Fantasy",24 min. per ep.,G - All Ages,1,,
Hanakappa,,6.02,13787,9414,952,TV,Unknown,Currently Airing,"Mar 29, 2010 to ?",Spring 2010,Not scheduled once per week,"Group TAC,       TOHO animation","None found, add some","Xebec,       OLM",Picture book,Comedy,10 min.,PG - Children,0,Kids,
Haru wo Irodoru,,6.02,15926,9415,531,Movie,1,Finished Airing,2015,,,Kobe Design University,"None found, add some","None found, add some",Original,"Drama, Supernatural",6 min.,G - All Ages,4,,
Inferno Cop Specials,,6.02,8507,9416,5,Special,3,Finished Airing,"Jun 13, 2015 to Jul 2, 2017",,,"None found, add some","None found, add some",Trigger,Original,"Action, Comedy",2 min. per ep.,PG-13 - Teens 13 or older,3,,
Kakutou Ryouri Densetsu Bistro Recipe,Fighting Foodons,6.02,8246,9418,5,TV,26,Finished Airing,"Dec 11, 2001 to Jun 25, 2002",Winter 2002,Unknown,Kodansha,"4Kids Entertainment,       Enoki Films,       Discotek Media",Group TAC,Game,"Adventure, Comedy, Fantasy, Gourmet",25 min. per ep.,G - All Ages,12,Shounen,Strategy Game
Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season,,6.02,8357,9417,5,TV,12,Finished Airing,"Jan 9, 2018 to Mar 27, 2018",Winter 2018,Tuesdays at 21:54 (JST),"Pony Canyon,       Tsuburaya Productions,       Docomo Anime Store,       Medicrie","None found, add some",Studio PuYUKAI,Original,"Comedy, Fantasy",3 min. per ep.,G - All Ages,5,,Parody
Kinnikuman: Haresugata! Seigi Choujin,,6.02,12857,9419,1,Movie,1,Finished Airing,"Dec 21, 1985",,,"None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sports",1 hr.,PG-13 - Teens 13 or older,1,Shounen,Combat Sports
Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,,6.02,11702,9420,1,OVA,1,Finished Airing,"Sep 23, 1988",,,Shueisha,"None found, add some",J.C.Staff,Original,"Action, Adventure",47 min.,G - All Ages,1,,Super Power
