Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Chihayafuru 2,,8.38,1031,197,237,TV,25,Finished Airing,"Jan 12, 2013 to Jun 29, 2013","VAP,       Nippon Television Network",Sentai Filmworks,Madhouse,Manga,"Drama, Sports","Love Polygon, School, Strategy Game",22 min. per ep.,PG-13 - Teens 13 or older,"1,633",Winter 2013,Unknown,Josei
Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,8.38,162,199,967,TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",Kodansha,Funimation,8bit,Manga,"Action, Adventure, Comedy, Fantasy","Isekai, Reincarnation",23 min. per ep.,PG-13 - Teens 13 or older,"10,775",Winter 2021,Tuesdays at 23:00 (JST),Shounen
Made in Abyss Movie 2: Hourou Suru Tasogare,Made in Abyss: Wandering Twilight,8.37,1639,202,139,Movie,1,Finished Airing,"Jan 18, 2019","AT-X,       Takeshobo,       Sony Music Communications,       Kadokawa Media House,       Cygames,       Kanetsu Investment,       Kadokawa,       Global Solutions,       IRMA LA DOUCE",Sentai Filmworks,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Gore,1 hr. 45 min.,R - 17+ (violence & profanity),253,,,
Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,8.38,619,198,380,Movie,1,Finished Airing,"Sep 1, 2001","Sunrise,       Bandai Visual","Sony Pictures Entertainment,       Funimation",Bones,Original,"Action, Sci-Fi","Adult Cast, Space",1 hr. 55 min.,R - 17+ (violence & profanity),"1,598",,,
Mahou Shoujo Madoka★Magica,Puella Magi Madoka Magica,8.37,103,203,1,TV,12,Finished Airing,"Jan 7, 2011 to Apr 22, 2011","Aniplex,       Mainichi Broadcasting System,       Movic,       Nitroplus,       Houbunsha",Aniplex of America,Shaft,Original,"Award Winning, Drama, Fantasy, Suspense","Mahou Shoujo, Psychological",24 min. per ep.,PG-13 - Teens 13 or older,"55,441",Winter 2011,Fridays at 01:25 (JST),
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Puella Magi Madoka Magica the Movie Part 2: Eternal,8.37,1187,204,204,Movie,1,Finished Airing,"Oct 13, 2012","Aniplex,       Mainichi Broadcasting System,       Movic,       Nitroplus,       Houbunsha",Aniplex of America,Shaft,Original,"Drama, Fantasy, Suspense","Mahou Shoujo, Psychological",1 hr. 49 min.,PG-13 - Teens 13 or older,"1,068",,,
Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,8.37,101,205,1,TV,11,Finished Airing,"Jan 11, 2021 to Mar 22, 2021","Frontier Works,       TOHO,       TOHO animation,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE,       Toho Music",Funimation,Studio Bind,Light novel,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",23 min. per ep.,R - 17+ (violence & profanity),"34,217",Winter 2021,Mondays at 00:00 (JST),
Ramayana: The Legend of Prince Rama,,8.37,6091,207,11,Movie,1,Finished Airing,"Jan 15, 1993","TEM Co., Ltd.","None found, add some",Nippon Ramayana Film Co.,Other,Adventure,,2 hr. 15 min.,G - All Ages,211,,,
Non Non Biyori Nonstop,,8.37,1770,206,125,TV,12,Finished Airing,"Jan 11, 2021 to Mar 29, 2021","TV Tokyo,       Lantis,       AT-X,       Kadokawa,       Bandai Namco Arts,       Bit grooove promotion,       Sony Music Solutions",Sentai Filmworks,SILVER LINK.,Manga,Slice of Life,"CGDCT, Iyashikei",24 min. per ep.,PG-13 - Teens 13 or older,950,Winter 2021,Mondays at 01:35 (JST),Seinen
Barakamon,,8.37,311,208,666,TV,12,Finished Airing,"Jul 6, 2014 to Sep 28, 2014","VAP,       Nippon Television Network",Funimation,Kinema Citrus,Web manga,Slice of Life,"Childcare, Iyashikei, Visual Arts",22 min. per ep.,PG-13 - Teens 13 or older,"12,949",Summer 2014,Sundays at 02:20 (JST),
Cross Game,,8.37,1781,209,125,TV,50,Finished Airing,"Apr 5, 2009 to Mar 28, 2010","TV Tokyo,       Shogakukan-Shueisha Productions","None found, add some",SynergySP,Manga,"Drama, Romance, Sports","School, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,"3,038",Spring 2009,Sundays at 10:00 (JST),Shounen
Baccano!,,8.36,190,210,909,TV,13,Finished Airing,"Jul 27, 2007 to Nov 2, 2007","Aniplex,       Movic","Funimation,       Aniplex of America",Brain's Base,Light novel,"Action, Mystery, Supernatural","Adult Cast, Historical, Organized Crime",24 min. per ep.,R - 17+ (violence & profanity),"23,244",Summer 2007,Fridays at 00:30 (JST),
Haikyuu!! To the Top,Haikyu!! To the Top,8.36,173,211,944,TV,13,Finished Airing,"Jan 11, 2020 to Apr 4, 2020","Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Sentai Filmworks,Production I.G,Manga,Sports,"School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,"5,270",Winter 2020,Saturdays at 01:25 (JST),Shounen
Wu Shan Wu Xing: Xichuan Huan Zi Lin,Fog Hill of Five Elements,8.35,5909,224,12,ONA,4,Finished Airing,"Jul 26, 2023 to Aug 16, 2023","bilibili,       Nice Boat Animation","None found, add some",Samsara Animation Studio,Original,"Action, Fantasy, Supernatural","Historical, Martial Arts",38 min. per ep.,R - 17+ (violence & profanity),89,,,
Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2,8.36,656,212,361,TV,12,Finished Airing,"Oct 4, 2023 to Dec 20, 2023","AT-X,       Magic Capsule,       BS NTV,       Kadokawa,       NewGin,       Aiming",Sentai Filmworks,Nexus,Light novel,"Action, Comedy, Fantasy","Isekai, Reincarnation",23 min. per ep.,R - 17+ (violence & profanity),"4,433",Fall 2023,Wednesdays at 22:30 (JST),
Kimetsu no Yaiba: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,8.36,257,213,765,TV,7,Finished Airing,"Oct 10, 2021 to Nov 28, 2021","Aniplex,       Shueisha","None found, add some",ufotable,Manga,"Action, Fantasy",Historical,24 min. per ep.,R - 17+ (violence & profanity),"4,278",Fall 2021,Sundays at 23:15 (JST),Shounen
Kizumonogatari I: Tekketsu-hen,Kizumonogatari Part 1: Iron-Blooded,8.36,421,214,533,Movie,1,Finished Airing,"Jan 8, 2016","Aniplex,       Kodansha",Aniplex of America,Shaft,Light novel,"Action, Mystery, Supernatural",Vampire,1 hr. 4 min.,R - 17+ (violence & profanity),"3,655",,,
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,8.36,825,215,297,TV,12,Currently Airing,"Apr 8, 2024 to ?","Frontier Works,       TOHO animation,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE Entertainment","None found, add some",Studio Bind,Light novel,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",23 min. per ep.,R - 17+ (violence & profanity),"2,030",Spring 2024,Mondays at 00:00 (JST),
K-On! Movie,K-ON! The Movie,8.35,722,216,332,Movie,1,Finished Airing,"Dec 3, 2011","Pony Canyon,       Animation Do",Sentai Filmworks,Kyoto Animation,4-koma manga,"Award Winning, Comedy","CGDCT, Music",1 hr. 50 min.,PG-13 - Teens 13 or older,"2,807",,,
Kaze no Tani no Nausicaä,Nausicaä of the Valley of the Wind,8.35,620,217,380,Movie,1,Finished Airing,"Mar 11, 1984","None found, add some","Disney Platform Distribution,       GKIDS",Topcraft,Manga,"Adventure, Award Winning, Fantasy",,1 hr. 57 min.,PG-13 - Teens 13 or older,"5,372",,,
Meitantei Conan Movie 26: Kurogane no Submarine,Detective Conan Movie 26: Black Iron Submarine,8.35,5887,218,12,Movie,1,Finished Airing,"Apr 14, 2023","Shogakukan-Shueisha Productions,       Yomiuri Telecasting,       TOHO,       Nippon Television Network,       Shogakukan","None found, add some",TMS Entertainment,Manga,"Action, Mystery",Detective,1 hr. 49 min.,PG-13 - Teens 13 or older,97,,,Shounen
Fumetsu no Anata e,To Your Eternity,8.35,199,219,875,TV,20,Finished Airing,"Apr 12, 2021 to Aug 30, 2021","NHK,       Kodansha,       NHK Enterprises",VIZ Media,Brain's Base,Manga,"Adventure, Drama, Supernatural",,25 min. per ep.,R - 17+ (violence & profanity),"14,514",Spring 2021,Mondays at 22:50 (JST),Shounen
Gintama: Shiroyasha Koutan,Gintama: Jump Festa 2008 Special,8.35,2606,220,70,Special,1,Finished Airing,"Sep 21, 2008","None found, add some","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi","Historical, Parody",10 min.,PG-13 - Teens 13 or older,94,,,
Initial D First Stage,,8.35,605,222,387,TV,26,Finished Airing,"Apr 19, 1998 to Dec 6, 1998","OB Planning,       Fuji TV","Funimation,       Tokyopop","Gallop,       Studio Comet",Manga,"Action, Drama",Racing,25 min. per ep.,PG-13 - Teens 13 or older,"12,423",Spring 1998,Tuesdays at 00:00 (JST),Seinen
Hellsing Ultimate,,8.35,176,221,936,OVA,10,Finished Airing,"Feb 10, 2006 to Dec 26, 2012","GDH,       Geneon Entertainment USA,       Shounen Gahousha",Funimation,"Madhouse,       Satelight,       Graphinica",Manga,"Action, Horror, Supernatural","Adult Cast, Gore, Military, Vampire",49 min. per ep.,R - 17+ (violence & profanity),"22,063",,,Seinen
Shinseiki Evangelion,Neon Genesis Evangelion,8.35,45,223,1,TV,26,Finished Airing,"Oct 4, 1995 to Mar 27, 1996","TV Tokyo,       Kadokawa Shoten,       Nihon Ad Systems,       Audio Tanaka",GKIDS,"Gainax,       Tatsunoko Production",Original,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Mecha, Psychological",24 min. per ep.,PG-13 - Teens 13 or older,"106,742",Fall 1995,Wednesdays at 18:30 (JST),
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,My Teen Romantic Comedy SNAFU Climax!,8.35,271,225,734,TV,12,Finished Airing,"Jul 10, 2020 to Sep 25, 2020","Marvelous Entertainment,       TBS,       Movic,       Delfi Sound,       NBCUniversal Entertainment Japan",Sentai Filmworks,feel.,Light novel,"Comedy, Romance","Love Polygon, School",24 min. per ep.,PG-13 - Teens 13 or older,"14,114",Summer 2020,Fridays at 01:58 (JST),
