Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Tanaka-kun wa Kyou mo Kedaruge,Tanaka is Listless Today Too,7.28,3519,2781,40,ONA,35,Finished Airing,"Apr 7, 2016 to Jul 1, 2016","None found, add some","None found, add some",SILVER LINK.,Manga,Comedy,School,30 sec. per ep.,PG-13 - Teens 13 or older,49,,,
Tari Tari,,7.28,1463,2782,161,TV,13,Finished Airing,"Jul 1, 2012 to Sep 23, 2012","Bandai Visual,       Dentsu,       Sotsu,       Lantis,       Pony Canyon,       Showgate,       Good Smile Company,       Infinite",Sentai Filmworks,P.A. Works,Original,Slice of Life,"Music, School",24 min. per ep.,PG-13 - Teens 13 or older,537,Summer 2012,Sundays at 22:30 (JST),
Top Secret: The Revelation,,7.28,4909,2783,19,TV,26,Finished Airing,"Apr 9, 2008 to Oct 1, 2008",VAP,"None found, add some",Madhouse,Manga,"Mystery, Sci-Fi, Suspense","Adult Cast, Detective, Psychological",22 min. per ep.,R+ - Mild Nudity,71,Spring 2008,Unknown,Shoujo
Towa no Quon 1: Utakata no Kaben,Towanoquon: The Ephemeral Petals,7.28,2400,2784,80,Movie,1,Finished Airing,40712,"Bandai Visual,       Lantis,       Movic,       Showgate,       Hakuhodo DY Media Partners,       Sony PCL",Sentai Filmworks,Bones,Original,"Action, Sci-Fi, Supernatural",Super Power,48 min.,PG-13 - Teens 13 or older,143,,,
True Tears,,7.28,1125,2785,217,TV,13,Finished Airing,"Jan 6, 2008 to Mar 30, 2008","Bandai Visual,       Lantis","Bandai Entertainment,       Discotek Media,       Bandai Visual USA",P.A. Works,Original,"Drama, Romance","Love Polygon, School",24 min. per ep.,PG-13 - Teens 13 or older,905,Winter 2008,Sundays at 01:00 (JST),
Wan Jie Xian Zong,,7.28,8695,2786,4,ONA,40,Finished Airing,"Mar 21, 2018 to Jul 28, 2018",bilibili,"None found, add some",Ruo Hong Culture,Web manga,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts, Mythology",7 min. per ep.,PG-13 - Teens 13 or older,34,,,
Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,,7.28,7775,2787,6,Movie,1,Finished Airing,39396,"None found, add some","None found, add some",Toei Animation,Original,"Fantasy, Romance","Mahou Shoujo, Music",1 hr. 10 min.,G - All Ages,10,,,
Zegapain,,7.28,3794,2788,34,TV,26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006","TV Tokyo,       Dentsu,       Atelier Musa","Bandai Entertainment,       Sentai Filmworks",Sunrise,Original,"Action, Romance, Sci-Fi",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,166,Spring 2006,Thursdays at 18:00 (JST),
Zettai Karen Children,Psychic Squad,7.28,3233,2789,47,TV,51,Finished Airing,"Apr 6, 2008 to Mar 29, 2009","TV Tokyo,       Shogakukan-Shueisha Productions,       Half H.P Studio",Sentai Filmworks,SynergySP,Manga,"Action, Comedy, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,122,Spring 2008,Sundays at Unknown,Shounen
Aggressive Retsuko (ONA) 4th Season,Aggretsuko (ONA) 4th Season,7.28,2982,2790,55,ONA,10,Finished Airing,44546,Sanrio,"None found, add some",Fanworks,Other,Comedy,"Anthropomorphic, Workplace",18 min. per ep.,PG-13 - Teens 13 or older,73,,,
Air in Summer,,7.28,3502,2791,41,Special,2,Finished Airing,"Aug 28, 2005 to Sep 4, 2005","Pony Canyon,       TBS","ADV Films,       Funimation",Kyoto Animation,Visual novel,"Comedy, Drama, Romance, Supernatural",Historical,24 min. per ep.,PG-13 - Teens 13 or older,39,,,
Amagami SS,,7.28,613,2792,382,TV,25,Finished Airing,"Jul 2, 2010 to Dec 24, 2010","Pony Canyon,       TBS,       Movic",Sentai Filmworks,AIC,Visual novel,Romance,"Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,2225,Summer 2010,Unknown,
Ao no Exorcist: Kuro no Iede,Blue Exorcist: Runaway Kuro,7.28,1666,2793,136,Special,1,Finished Airing,40842,Aniplex,Aniplex of America,A-1 Pictures,Manga,Fantasy,,24 min.,PG-13 - Teens 13 or older,123,,,Shounen
Btooom!,,7.28,205,2794,861,TV,12,Finished Airing,"Oct 4, 2012 to Dec 20, 2012","Sotsu,       KlockWorx,       flying DOG,       Showgate",Sentai Filmworks,Madhouse,Manga,"Action, Sci-Fi, Suspense","Gore, High Stakes Game, Psychological, Survival",24 min. per ep.,R - 17+ (violence & profanity),3420,Fall 2012,Thursdays at 23:00 (JST),Seinen
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,,7.28,4322,2795,26,TV Special,2,Finished Airing,"Sep 30, 2014 to Oct 1, 2014",Banpresto,Funimation,Sunrise,Original,"Action, Sci-Fi","Mecha, Time Travel",23 min. per ep.,PG-13 - Teens 13 or older,27,,,
Danna ga Nani wo Itteiru ka Wakaranai Ken,I Can't Understand What My Husband Is Saying,7.28,675,2796,354,TV,13,Finished Airing,"Oct 3, 2014 to Dec 26, 2014","DAX Production,       Dream Creation","None found, add some",Seven,4-koma manga,"Comedy, Romance","Adult Cast, Otaku Culture",3 min. per ep.,PG-13 - Teens 13 or older,824,Fall 2014,Fridays at 01:00 (JST),
Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,Ground Control to Psychoelectric Girl Special,7.28,2809,2797,61,Special,1,Finished Airing,40947,"None found, add some","NIS America, Inc.",Shaft,Light novel,"Comedy, Sci-Fi",,29 min.,PG-13 - Teens 13 or older,44,,,
Digimon Adventure tri. 4: Soushitsu,Digimon Adventure tri. Loss,7.28,2872,2798,59,Movie,1,Finished Airing,42791,Sonilude,Shout! Factory,Toei Animation,Original,"Action, Adventure, Comedy, Drama",,1 hr. 22 min.,PG-13 - Teens 13 or older,36,,,
Dotto Koni-chan,.Koni-chan,7.28,8482,2799,5,TV,26,Finished Airing,"Nov 26, 2000 to May 29, 2001","Genco,       Animax","None found, add some",Shaft,Original,Comedy,,25 min. per ep.,PG-13 - Teens 13 or older,20,Fall 2000,Sundays at 17:00 (JST),
Edens Zero,,7.28,961,2800,255,TV,25,Finished Airing,"Apr 11, 2021 to Oct 3, 2021","Kodansha,       Magic Capsule,       Nippon Television Music","None found, add some",J.C.Staff,Manga,"Action, Adventure, Fantasy, Sci-Fi",Space,23 min. per ep.,PG-13 - Teens 13 or older,1939,Spring 2021,Sundays at 00:55 (JST),Shounen
Fate/stay night,,7.28,171,2801,946,TV,24,Finished Airing,"Jan 7, 2006 to Jun 17, 2006","Frontier Works,       TBS,       KlockWorx,       Notes,       Geneon Entertainment","Sentai Filmworks,       Geneon Entertainment USA",Studio Deen,Visual novel,"Action, Fantasy, Romance, Supernatural",,24 min. per ep.,R - 17+ (violence & profanity),7309,Winter 2006,Saturdays at 01:30 (JST),
Fushigiboshi no☆Futagohime,,7.28,5808,2802,12,TV,51,Finished Airing,"Apr 2, 2005 to Mar 25, 2006","TV Tokyo,       Nihon Ad Systems","None found, add some",HAL Film Maker,Original,"Comedy, Fantasy",Mahou Shoujo,24 min. per ep.,G - All Ages,122,Spring 2005,Unknown,
Gatchaman Crowds,,7.28,1308,2803,184,TV,12,Finished Airing,"Jul 13, 2013 to Sep 28, 2013","VAP,       DAX Production,       Nippon Television Network",Sentai Filmworks,Tatsunoko Production,Original,"Action, Sci-Fi",Super Power,23 min. per ep.,PG-13 - Teens 13 or older,1243,Summer 2013,Saturdays at Unknown,
Gosenzo-sama Banbanzai!,Long Life To The Ancestors,7.28,6463,2804,9,OVA,6,Finished Airing,"Aug 5, 1989 to Jan 25, 1990","None found, add some","None found, add some",Pierrot,Original,"Avant Garde, Comedy, Drama, Sci-Fi",Psychological,30 min. per ep.,R - 17+ (violence & profanity),147,,,
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,Heroines Run the Show: The Unpopular Girl and the Secret Task,7.28,2654,2805,68,TV,12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022","Movic,       Futabasha,       U-NEXT,       MusicRay’n,       INCS toenter,       Marui Group,       Lawson Entertainment,       tamakoshi,       flaggs,       Laulea Works,       Alice",Crunchyroll,Lay-duce,Music,,"Idols (Male), School",23 min. per ep.,PG-13 - Teens 13 or older,418,Spring 2022,Thursdays at 22:30 (JST),
Hetalia: The World Twinkle Extra Disc,,7.28,6933,2806,8,OVA,1,Finished Airing,42424,"None found, add some",Funimation,Studio Deen,Manga,Comedy,"Historical, Parody",12 min.,PG-13 - Teens 13 or older,9,,,
Hige wo Soru. Soshite Joshikousei wo Hirou.,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",7.28,357,2807,612,TV,13,Finished Airing,"Apr 5, 2021 to Jun 28, 2021","Toei Video,       Pony Canyon,       AT-X,       Magic Capsule,       KlockWorx,       Hakuhodo DY Music & Pictures,       BS11,       Kadokawa,       Yomiuri Shimbun,       APDREAM,       Dream Shift,       Bergamo","None found, add some",Project No.9,Light novel,"Drama, Romance",,23 min. per ep.,PG-13 - Teens 13 or older,6221,Spring 2021,Mondays at 22:30 (JST),
High School! Kimengumi,Funny Faces in High School,7.28,8735,2808,4,TV,86,Finished Airing,"Oct 20, 1985 to Oct 3, 1987",Tsuchida Productions,"None found, add some","Gallop,       Studio Comet",Manga,"Comedy, Romance","Gag Humor, Parody, School",25 min. per ep.,PG-13 - Teens 13 or older,24,Fall 1985,Unknown,Shounen
Hikaru no Go: New Year Special,,7.28,6554,2809,9,Special,1,Finished Airing,37257,"None found, add some","None found, add some",Pierrot,Manga,"Comedy, Supernatural",Strategy Game,24 min.,G - All Ages,3,,,Shounen
Hitorijime My Hero,,7.28,1389,2810,170,TV,12,Finished Airing,"Jul 8, 2017 to Sep 23, 2017","Sotsu,       AT-X,       Tokyo MX,       Avex Pictures,       Q-Tec,       Docomo Anime Store,       Marine Entertainment,       Kanon Sound,       Contents Seed,       Ichijinsha,       BS NTV",Sentai Filmworks,Encourage Films,Manga,"Boys Love, Drama",School,24 min. per ep.,PG-13 - Teens 13 or older,1403,Summer 2017,Sundays at 01:30 (JST),
Honoo no Toukyuuji: Dodge Danpei,,7.28,8062,2811,5,TV,47,Finished Airing,"Oct 14, 1991 to Sep 21, 1992","TV Tokyo,       Shogakukan-Shueisha Productions","None found, add some",Animation 21,Manga,"Comedy, Sports","School, Team Sports",25 min. per ep.,PG - Children,34,Fall 1991,Unknown,Kids
Hunter x Hunter Movie 1: Phantom Rouge,Hunter x Hunter: Phantom Rouge,7.28,1207,2812,201,Movie,1,Finished Airing,41286,"VAP,       Nippon Television Network,       TOHO animation,       Shueisha,       Hiroshima Television",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",,1 hr. 36 min.,PG-13 - Teens 13 or older,304,,,Shounen
Hunter x Hunter Movie 2: The Last Mission,Hunter x Hunter: The Last Mission,7.28,1326,2813,181,Movie,1,Finished Airing,41635,"VAP,       Nippon Television Network,       Shueisha,       Hiroshima Television",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",,1 hr. 37 min.,R - 17+ (violence & profanity),286,,,Shounen
Kami nomi zo Shiru Sekai: 4-nin to Idol,The World God Only Knows: Four Girls and an Idol,7.28,1989,2814,107,OVA,1,Finished Airing,40802,"Geneon Universal Entertainment,       Shogakukan-Shueisha Productions,       Shogakukan Music & Digital Entertainment",Sentai Filmworks,Manglobe,Manga,"Comedy, Supernatural",Music,24 min.,PG-13 - Teens 13 or older,86,,,Shounen
Kamisama no Inai Nichiyoubi,Sunday Without God,7.28,1093,2815,222,TV,12,Finished Airing,"Jul 7, 2013 to Sep 22, 2013","Starchild Records,       AT-X,       KlockWorx,       Memory-Tech,       Studio Mausu",Sentai Filmworks,Madhouse,Light novel,"Adventure, Drama, Fantasy, Mystery",,23 min. per ep.,R - 17+ (violence & profanity),892,Summer 2013,Sundays at 01:30 (JST),
Kiba,,7.28,2426,2816,79,TV,51,Finished Airing,"Apr 2, 2006 to Mar 25, 2007","Aniplex,       Ashi Productions,       Sony Music Entertainment","ADV Films,       Sentai Filmworks",Madhouse,Original,"Action, Adventure, Fantasy",Isekai,24 min. per ep.,PG-13 - Teens 13 or older,456,Spring 2006,Sundays at 08:30 (JST),
Kuma Kuma Kuma Bear Punch!,,7.28,2448,2817,78,TV,12,Finished Airing,"Apr 3, 2023 to Jun 19, 2023","Nippon Animation,       AT-X,       Nippon Columbia,       Tokyo MX,       Good Smile Company,       Kanon Sound,       NichiNare,       Kadokawa,       Shufu to Seikatsusha","None found, add some",EMT Squared,Light novel,"Adventure, Comedy, Fantasy",Isekai,23 min. per ep.,PG-13 - Teens 13 or older,431,Spring 2023,Mondays at 22:00 (JST),
Liehuo Jiao Chou,Drowning Sorrows in Raging Fire,7.28,6872,2818,8,ONA,12,Finished Airing,"Oct 7, 2021 to Dec 16, 2021",bilibili,"None found, add some",Shengying Animation,Novel,"Action, Drama, Supernatural",,20 min. per ep.,PG-13 - Teens 13 or older,69,,,
Long Zhi Gu: Jingling Wangzuo,Dragon Nest: Throne of Elves,7.28,8823,2819,4,Movie,1,Finished Airing,42601,"None found, add some","None found, add some",Mili Pictures,Game,"Action, Adventure, Fantasy",,1 hr. 44 min.,PG - Children,13,,,
Long Zu Episode 0,Dragon Raja,7.28,7169,2820,7,ONA,1,Finished Airing,44792,Tencent Penguin Pictures,"None found, add some",Garden Culture,Novel,Fantasy,School,47 min.,PG-13 - Teens 13 or older,11,,,
Lupin III: Otakara Henkyaku Daisakusen!!,Lupin III: Operation Return the Treasure,7.28,7240,2821,7,TV Special,1,Finished Airing,37834,"None found, add some",Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,1 hr. 30 min.,PG-13 - Teens 13 or older,2,,,Seinen
Lupin III: Part III,,7.28,4599,2822,23,TV,50,Finished Airing,"Mar 3, 1984 to Dec 25, 1985",Yomiuri Telecasting,Discotek Media,Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy",Adult Cast,24 min. per ep.,R+ - Mild Nudity,33,Spring 1984,Unknown,Seinen
Macross Δ,Macross Delta,7.28,2444,2823,78,TV,26,Finished Airing,"Apr 3, 2016 to Sep 25, 2016","Bandai Visual,       Big West,       flying DOG,       Techno Sound",Nozomi Entertainment,Satelight,Original,"Action, Romance, Sci-Fi","Mecha, Military, Music, Space",23 min. per ep.,PG-13 - Teens 13 or older,523,Spring 2016,Sundays at 22:30 (JST),
Mahouka Koukou no Rettousei: Raihousha-hen,The Irregular at Magic High School: Visitor Arc,7.28,660,2824,358,TV,13,Finished Airing,"Oct 4, 2020 to Dec 27, 2020","Aniplex,       Square Enix,       Movic,       Studio Mausu,       Straight Edge,       Kadokawa",Aniplex of America,8bit,Light novel,"Action, Fantasy, Romance, Sci-Fi",School,23 min. per ep.,PG-13 - Teens 13 or older,1246,Fall 2020,Sundays at 00:30 (JST),
