Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Suisei no Gargantia,Gargantia on the Verdurous Planet,7.45,702,2041,338,TV,13,Finished Airing,"Apr 7, 2013 to Jun 30, 2013","Bandai Visual,       Yomiuri Telecasting,       Lantis,       Nitroplus,       Bushiroad,       Good Smile Company",VIZ Media,Production I.G,Original,"Action, Adventure, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,"1,299",Spring 2013,Sundays at 22:00 (JST),Mecha,
Suzumiya Haruhi-chan no Yuuutsu,The Melancholy of Haruhi-chan Suzumiya,7.45,2099,2042,99,ONA,25,Finished Airing,"Feb 14, 2009 to May 8, 2009",Kadokawa Shoten,"Funimation,       Bandai Entertainment",Kyoto Animation,4-koma manga,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,329,,,Parody,
Taiho Shichau zo,You're Under Arrest,7.45,4078,2043,30,OVA,4,Finished Airing,"Sep 24, 1994 to Nov 25, 1995","Bandai Visual,       TBS,       Kodansha,       Marubeni",AnimEigo,Studio Deen,Manga,"Action, Comedy",29 min. per ep.,PG-13 - Teens 13 or older,107,,,"Detective, Workplace",Seinen
The iDOLM@STER: 765 Pro to Iu Monogatari,,7.45,4569,2044,23,Special,1,Finished Airing,"Jun 28, 2012",Aniplex,"None found, add some",A-1 Pictures,Game,"Comedy, Drama",24 min.,PG-13 - Teens 13 or older,13,,,"Idols (Female), Music",
Vinland Saga Season 2: Drowning in the Shadow,,7.45,4678,2045,22,ONA,1,Finished Airing,"Feb 14, 2023","None found, add some","None found, add some",MAPPA,Manga,"Action, Adventure, Drama",2 min.,R - 17+ (violence & profanity),49,,,"Gore, Historical",Seinen
Yozakura Quartet: Hana no Uta,,7.45,1769,2046,125,TV,13,Finished Airing,"Oct 6, 2013 to Dec 29, 2013","None found, add some","None found, add some",Tatsunoko Production,Manga,"Action, Comedy, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,439,Fall 2013,Sundays at 23:30 (JST),Super Power,Shounen
Yozakura Quartet: Tsuki ni Naku,,7.45,4110,2047,29,OVA,3,Finished Airing,"Oct 9, 2013 to Nov 7, 2014","None found, add some","None found, add some",Tatsunoko Production,Manga,"Action, Comedy, Supernatural",28 min. per ep.,PG-13 - Teens 13 or older,18,,,Super Power,Shounen
Angel Beats! Another Epilogue,,7.45,1004,2049,243,Special,1,Finished Airing,"Dec 22, 2010","Aniplex,       Visual Arts","None found, add some",P.A. Works,Original,Supernatural,2 min.,PG-13 - Teens 13 or older,234,,,School,
Captain Tsubasa: Road to 2002,Captain Tsubasa,7.45,2874,2050,59,TV,52,Finished Airing,"Oct 7, 2001 to Oct 6, 2002","Madhouse,       TV Tokyo,       Dentsu","None found, add some",Group TAC,Manga,Sports,24 min. per ep.,PG-13 - Teens 13 or older,316,Fall 2001,Unknown,Team Sports,Shounen
Yu☆Gi☆Oh! 5D's,Yu-Gi-Oh! 5D's,7.45,1608,2048,143,TV,154,Finished Airing,"Apr 2, 2008 to Mar 30, 2011","TV Tokyo,       Nihon Ad Systems,       Shueisha",Konami,Gallop,Manga,Action,24 min. per ep.,PG-13 - Teens 13 or older,"1,607",Spring 2008,Wednesdays at 18:00 (JST),Strategy Game,Shounen
