Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
Bara Bara Film,,4.35,15572,13171,574,Movie,1,Finished Airing,2011,"None found, add some","None found, add some",Takun Manga Box,Original,Avant Garde,,4 min.,R+ - Mild Nudity,0,,,
Ohi-sama to Kaeru,The Sun and the Frogs,4.34,13534,13172,1,Movie,1,Finished Airing,1936,"None found, add some","None found, add some","None found, add some",Original,Comedy,,1 min.,G - All Ages,0,,,
Peeping Life: YouTuber-kun,,4.34,14039,13173,881,ONA,4,Finished Airing,"Aug 8, 2013 to Aug 29, 2013",CoMix Wave Films,"None found, add some","None found, add some",Original,Comedy,,5 min. per ep.,G - All Ages,1,,,
Kairaku no Sono,The Garden of Pleasure,4.33,13643,13174,995,Movie,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,2 min.,R+ - Mild Nudity,0,,,
Kakari,A Clerk in Charge,4.33,14897,13175,679,Movie,1,Finished Airing,2004,"None found, add some","None found, add some","None found, add some",Original,,Psychological,6 min.,PG-13 - Teens 13 or older,1,,,
6 Angels,,4.33,9415,13176,3,ONA,6,Finished Airing,"Nov 20, 2001 to Jul 6, 2002",KENMedia,"None found, add some",Arcturus,Original,"Action, Sci-Fi",,15 min. per ep.,R+ - Mild Nudity,0,,,
Bouken Dankichi: Hyouryuu no Maki,Dankichi on a Tropical Island,4.32,13088,13178,1,Movie,1,Finished Airing,1934,"None found, add some","None found, add some","None found, add some",Original,Adventure,,1 min.,G - All Ages,0,,,
Golden Batman,,4.32,12348,13179,1,Movie,1,Finished Airing,1979,"None found, add some","None found, add some","None found, add some",Other,Action,,1 hr. 10 min.,G - All Ages,2,,,Kids
Run & Roll,,4.32,15883,13180,535,Movie,1,Finished Airing,2013,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,1 min.,G - All Ages,0,,,
Aa / ii,aaH / Hee,4.33,14019,13177,887,Movie,1,Finished Airing,2014,Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,,2 min.,G - All Ages,1,,,
Nora,,4.31,9610,13181,3,OVA,1,Finished Airing,"Jan 21, 1985","None found, add some","None found, add some",Filmlink International,Manga,"Adventure, Sci-Fi",Space,56 min.,PG-13 - Teens 13 or older,3,,,
The Chocolate Panic Picture Show,The Chocolate Picture Panic Show,4.31,9441,13182,3,OVA,1,Finished Airing,"Sep 21, 1985",TV Asahi,"None found, add some",Tezuka Productions,Manga,Avant Garde,Psychological,25 min.,R - 17+ (violence & profanity),3,,,
Eiken: Eikenbu yori Ai wo Komete,Eiken,4.31,3894,13183,33,OVA,2,Finished Airing,"Jun 25, 2003 to Jun 23, 2004",Genco,Media Blasters,J.C.Staff,Manga,"Comedy, Ecchi","Harem, School",30 min. per ep.,R+ - Mild Nudity,58,,,Shounen
Idol Fight Suchie-Pai 2,Idol Fighter Su-Chi-Pai,4.30,10675,13184,2,OVA,1,Finished Airing,"Apr 20, 1996","Nippon Columbia,       Darts",Hirameki International,Daume,Game,"Action, Ecchi",,30 min.,PG-13 - Teens 13 or older,0,,,
Ragnastrike Angels,,4.30,5773,13185,13,TV,12,Finished Airing,"Apr 3, 2016 to Jun 19, 2016",Aniplex,"None found, add some",Satelight,Game,Action,,30 sec. per ep.,PG-13 - Teens 13 or older,14,Spring 2016,Sundays at 00:56 (JST),
Kaze no Kokyuu: Animation ni Yoru Oufuku Shokan,Breathing of the Wind: Animation Correspondence,4.29,15286,13186,617,Movie,1,Finished Airing,2001,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,3 min.,G - All Ages,0,,,
Nice to See You,,4.29,15510,13187,583,Movie,1,Finished Airing,1975,"None found, add some","None found, add some",Takun Manga Box,Original,Avant Garde,,3 min.,G - All Ages,0,,,
Pants no Ana: Mambo de Ganbo!,,4.29,11586,13188,1,OVA,1,Finished Airing,"May 9, 1987","Pony Canyon,       Gakken","None found, add some",AIC,Unknown,"Comedy, Ecchi",School,32 min.,R+ - Mild Nudity,0,,,
Dankichi-jima no Olympic Taikai,Olympic Games on Dankichi Island,4.29,12168,13189,1,Movie,1,Finished Airing,1932,"None found, add some","None found, add some","None found, add some",Original,Sports,,2 min.,G - All Ages,0,,,
Ga no Iru Tokoro,A Place Where There Are Moths,4.29,12961,13190,1,Movie,1,Finished Airing,2001,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,5 min.,G - All Ages,0,,,
Glamorous Heroes,,4.27,8259,13191,5,TV,10,Finished Airing,"Oct 7, 2017 to Dec 9, 2017",Shanghai Jump Network Technology,"None found, add some",drop,Game,Action,Video Game,6 min. per ep.,PG-13 - Teens 13 or older,2,Fall 2017,Saturdays at 02:10 (JST),
Kappo,,4.26,13451,13192,1,Movie,1,Finished Airing,2006,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,Music,4 min.,G - All Ages,2,,,
Memories: Younenki no Joukei,Scenes of My Childhood,4.26,16074,13193,514,Movie,1,Finished Airing,2002,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,3 min.,G - All Ages,0,,,
"Yasashii Fue, Tori, Ishi","Gentle Whistle, Bird and Stone",4.26,14457,13194,783,Movie,1,Finished Airing,2005,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,,3 min.,G - All Ages,0,,,
