Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Themes,Duration,Rating,Favorites,Genres,Demographics,Premiered,Broadcast
Tsukiyo & Opal,Moonlit Night and Opal,5.20,16488,12364,470,Movie,1,Finished Airing,"Mar 7, 2015",Geidai Animation,"None found, add some","None found, add some",Original,,3 min.,G - All Ages,0,Avant Garde,,,
Uchuu no Hou: Reimei-hen,The Laws of the Universe: Part 1,5.20,11427,12365,1,Movie,1,Finished Airing,"Oct 12, 2018","None found, add some","None found, add some",HS Pictures Studio,Original,Space,1 hr. 59 min.,G - All Ages,3,Sci-Fi,,,
Violence Jack: Harem Bomber-hen,Violence Jack: Slumking,5.20,5664,12366,13,OVA,1,Finished Airing,"Jun 5, 1986","Dynamic Planning,       Soeishinsha",Discotek Media,Ashi Productions,Manga,Gore,37 min.,R+ - Mild Nudity,16,"Action, Drama, Horror",,,
Youkoso Uchuujin,,5.20,15531,12367,580,Movie,1,Finished Airing,1966,"None found, add some","None found, add some","None found, add some",Original,,14 min.,G - All Ages,0,Comedy,,,
Anata ga Furikaeru Toki,,5.20,13840,12368,937,OVA,1,Finished Airing,"Mar 21, 1993",Nippon Columbia,"None found, add some",Grouper Productions,Other,School,29 min.,PG-13 - Teens 13 or older,0,Romance,,,
Anitore! EX: Jigoku no Training,,5.20,9370,12369,3,Special,5,Finished Airing,"Feb 26, 2016","None found, add some","None found, add some",Rising Force,Original,,5 min. per ep.,PG-13 - Teens 13 or older,0,Sports,,,
Buddy Spirits,,5.20,14050,12370,879,ONA,1,Finished Airing,"Sep 3, 2013","None found, add some","None found, add some","None found, add some",Manga,Mecha,2 min.,G - All Ages,1,Action,,,
Chanda Gou,M.S. Chanda,5.20,17125,12371,414,Movie,1,Finished Airing,1964,"None found, add some","None found, add some","None found, add some",Unknown,,7 min.,G - All Ages,0,Slice of Life,,,
Eien no 831,Eternal 831,5.20,8791,12372,4,TV Special,1,Finished Airing,"Jan 30, 2022",WOWOW,"None found, add some",Craftar Studios,Original,,1 hr. 44 min.,PG-13 - Teens 13 or older,6,,,,
Goichi Jiisan,Old Man Goichi,5.20,16654,12373,453,Movie,1,Finished Airing,1931,"None found, add some","None found, add some","None found, add some",Original,,11 min.,G - All Ages,0,Fantasy,,,
