Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Qiang Niang,Gun Girls,5.33,13082,12094,1,ONA,12,Finished Airing,"Aug 18, 2017 to Oct 27, 2017","Tencent Animation & Comics,       Tencent Penguin Pictures,       AHA Entertainment","None found, add some",Hoods Entertainment,Game,"Action, Comedy, Sci-Fi, Slice of Life","Military, Space",14 min. per ep.,PG-13 - Teens 13 or older,1,,,
Samurai Spirits: Haten Gouma no Shou,Samurai Shodown The Motion Picture,5.33,9005,12096,4,TV Special,1,Finished Airing,"Sep 18, 1994","Starchild Records,       Nihon Ad Systems,       Fuji TV",ADV Films,"Studio Comet,       Studio Gazelle",Game,Adventure,"Historical, Samurai",1 hr. 8 min.,PG-13 - Teens 13 or older,1,,,
Kangaroo no Tanjoubi,Baby Kangaroo's Birthday Surprise,5.32,12871,12098,1,Movie,1,Finished Airing,Feb 1941,"None found, add some","None found, add some","None found, add some",Original,Adventure,Anthropomorphic,9 min.,G - All Ages,3,,,
Jungle de Ikou!,,5.32,6889,12097,8,OVA,3,Finished Airing,"Mar 26, 1997 to Sep 26, 1997",Movic,Media Blasters,"Studio Fantasia,       Chaos Project",Original,"Action, Adventure, Comedy, Ecchi",Mahou Shoujo,28 min. per ep.,PG-13 - Teens 13 or older,16,,,
Kobutori (1957),,5.32,16829,12099,438,Movie,1,Finished Airing,1957,"None found, add some","None found, add some","None found, add some",Other,,,20 min.,G - All Ages,1,,,
Kuro Nyago,The Black Cat,5.32,9533,12100,3,Movie,1,Finished Airing,Jan 1931,"None found, add some","None found, add some","None found, add some",Original,Fantasy,,3 min.,G - All Ages,6,,,
Macross XX,,5.32,9786,12101,3,Special,1,Finished Airing,"Aug 25, 2002","None found, add some","None found, add some",Gonzo,Original,Action,Mecha,2 min.,PG-13 - Teens 13 or older,2,,,
Minarai Diva,,5.32,11454,12102,1,TV,10,Finished Airing,"Jul 14, 2014 to Sep 22, 2014","NOTTV,       Bouncy","None found, add some",Yaoyorozu,Original,,"Idols (Female), Music",49 min. per ep.,G - All Ages,4,,Summer 2014,Unknown
"Nemure Omoigo, Sora no Shitone ni","Sleep tight my baby, cradled in the sky",5.32,11257,12103,2,Movie,1,Finished Airing,"Apr 12, 2014","None found, add some","None found, add some",Hand to Mouse.,Original,"Adventure, Drama",Space,49 min.,PG-13 - Teens 13 or older,1,,,
Ojiichan ga Kaizoku Datta Koro,,5.32,16648,12105,454,Movie,1,Finished Airing,1968,"None found, add some","None found, add some","None found, add some",Original,Comedy,,3 min.,G - All Ages,0,,,
