,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
17,Muumin (1972),,6.56,10128,6450,2,TV,52,Finished Airing,"Jan 9, 1972 to Dec 31, 1972",Zuiyo,"None found, add some",Mushi Production,Book,"Adventure, Fantasy, Slice of Life",,,25 min. per ep.,G - All Ages,9,Winter 1972,Sundays at 19:30 (JST)
18,Nanatsu no Taizai: Ensa no Edinburgh Part 2,The Seven Deadly Sins: Grudge of Edinburgh Part 2,6.56,5502,6451,14,ONA,1,Finished Airing,"Aug 8, 2023","None found, add some","None found, add some","Marvy Jack,       Alfred Imageworks",Manga,"Action, Adventure, Fantasy",,Shounen,54 min.,PG-13 - Teens 13 or older,14,,
19,Perman,,6.56,8877,6453,4,TV,54,Finished Airing,"Apr 2, 1967 to Apr 14, 1968","Tokyo Movie Shinsha,       Studio Zero","None found, add some","None found, add some",Manga,"Adventure, Comedy",,,25 min. per ep.,PG - Children,15,Spring 1967,Unknown
20,Okusama ga Seitokaichou!,My Wife is the Student Council President!,6.56,812,6452,300,TV,12,Finished Airing,"Jul 2, 2015 to Sep 17, 2015","DAX Production,       Dream Creation,       Studio CHANT,       Crunchyroll SC Anime Fund",Media Blasters,Seven,Manga,"Comedy, Romance, Ecchi",School,Shounen,8 min. per ep.,R+ - Mild Nudity,454,Summer 2015,Thursdays at 00:30 (JST)
21,Piyoko ni Omakase pyo!,,6.56,9683,6454,3,OVA,8,Finished Airing,"Mar 21, 2003 to May 3, 2003",Broccoli,"Sentai Filmworks,       Synch-Point",Madhouse,Original,"Comedy, Sci-Fi",,Shounen,15 min. per ep.,PG-13 - Teens 13 or older,6,,
22,Pokemon: Pikachu Tankentai,Pokémon: Pikachu's Rescue Adventure,6.56,4343,6455,26,Movie,1,Finished Airing,"Jul 17, 1999","None found, add some","4Kids Entertainment,       Warner Bros. Pictures",OLM,Game,"Adventure, Comedy, Fantasy",,Kids,23 min.,PG - Children,6,,
23,RDG: Red Data Girl,Red Data Girl,6.56,1934,6456,112,TV,12,Finished Airing,"Apr 4, 2013 to Jun 20, 2013","Lantis,       Kadokawa Shoten",Funimation,P.A. Works,Novel,"Drama, Fantasy, Romance","Mythology, School",,24 min. per ep.,PG-13 - Teens 13 or older,239,Spring 2013,Unknown
24,Sengoku Musou SP: Sanada no Shou,Samurai Warriors: Legend of the Sanada,6.56,7956,6457,5,TV Special,1,Finished Airing,"Mar 21, 2014","None found, add some",Funimation,TYO Animations,Game,Action,"Historical, Samurai",,45 min.,PG-13 - Teens 13 or older,10,,
25,Sensei no Ojikan: Dokidoki School Hours OVA,,6.56,10749,6458,2,OVA,7,Finished Airing,"Aug 4, 2004 to Feb 2, 2005","Genco,       King Records","None found, add some","J.C.Staff,       Studio Matrix,       Studio Guts",4-koma manga,Comedy,School,,23 min. per ep.,PG-13 - Teens 13 or older,2,,
26,Shadow Skill (1996),Shadow Skill: The Movie,6.56,7721,6459,6,OVA,3,Finished Airing,"Sep 21, 1996 to Nov 21, 1996",Takeshobo,Manga Entertainment,Zero-G Room,Manga,"Action, Adventure, Drama, Fantasy","Martial Arts, Super Power",Shounen,30 min. per ep.,R - 17+ (violence & profanity),13,,
27,K-On!!: Ura-On!!,,6.55,3355,6460,44,Special,9,Finished Airing,"Jul 30, 2010 to Mar 16, 2011","None found, add some",Sentai Filmworks,Kyoto Animation,Original,Comedy,,,3 min. per ep.,G - All Ages,79,,
28,Kaibutsu-kun,,6.55,11547,6461,1,TV,49,Finished Airing,"Apr 21, 1968 to Mar 23, 1969",TBS,"None found, add some","Studio Zero,       Tokyo Movie",Manga,"Comedy, Horror",,,25 min. per ep.,PG - Children,0,Spring 1968,Unknown
29,Kemono Friends: Bus-teki,,6.55,8076,6462,5,ONA,1,Finished Airing,"Apr 4, 2017","None found, add some","None found, add some",Yaoyorozu,Game,"Comedy, Fantasy",Iyashikei,,2 min.,PG - Children,3,,
30,Kidou Senshi Gundam MS IGLOO 2: Juuryoku Sensen,Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,6.55,5788,6463,13,OVA,3,Finished Airing,"Oct 24, 2008 to Apr 24, 2009","None found, add some",Nozomi Entertainment,Sunrise,Original,Sci-Fi,Mecha,,30 min. per ep.,PG-13 - Teens 13 or older,6,,
31,Killing Bites,,6.55,1260,6464,191,TV,12,Finished Airing,"Jan 13, 2018 to Mar 31, 2018","Sotsu,       Mainichi Broadcasting System,       NBCUniversal Entertainment Japan,       Medicos Entertainment,       Fields,       KLab,       Christmas Holly,       C-one",Sentai Filmworks,LIDENFILMS,Manga,"Action, Sci-Fi, Ecchi","Anthropomorphic, Gore",Seinen,24 min. per ep.,R+ - Mild Nudity,467,Winter 2018,Saturdays at 02:25 (JST)
32,Komadori Movie: Komaneko,Komaneko: the Curious Cat,6.55,15097,6465,645,Movie,1,Finished Airing,"Dec 9, 2006",dwarf,"None found, add some","None found, add some",Original,Slice of Life,,Kids,58 min.,G - All Ages,1,,
33,Koukaku Kidoutai: SAC_2045 - Jizoku Kanou Sensou,Ghost in the Shell: SAC_2045 - Sustainable War,6.55,7951,6466,5,Movie,1,Finished Airing,"Nov 12, 2021","Dentsu,       Kodansha,       flying DOG,       Bandai Namco Arts","None found, add some","Production I.G,       Sola Digital Arts",Manga,"Action, Sci-Fi","Adult Cast, Detective, Mecha, Military",Seinen,1 hr. 58 min.,R+ - Mild Nudity,16,,
34,Kuiba III: Zhanshen Jue Qi,Kuiba 3,6.55,15197,6467,628,Movie,1,Finished Airing,"Aug 14, 2014",Vasoon Animation,"None found, add some","None found, add some",Original,"Adventure, Fantasy",,Kids,1 hr. 20 min.,G - All Ages,0,,
35,Kuromi's Pretty Journey,,6.55,11290,6468,2,ONA,21,Finished Airing,"Feb 17, 2023 to Mar 31, 2023",Sanrio,"None found, add some",Qzil.la,Original,"Comedy, Fantasy",,,2 min. per ep.,PG - Children,22,,
36,Kuusou Kagaku Sekai Gulliver Boy,Fantascience World Gulliver Boy,6.55,11232,6469,2,TV,50,Finished Airing,"Jan 8, 1995 to Dec 24, 1995","None found, add some","None found, add some",Toei Animation,Unknown,"Action, Adventure, Fantasy",Mecha,,24 min. per ep.,PG-13 - Teens 13 or older,4,Winter 1995,Sundays at 09:00 (JST)
37,Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,Beyond the Boundary: Idol Trial!,6.55,3667,6470,37,ONA,5,Finished Airing,"Nov 18, 2013 to Jul 2, 2014","None found, add some",Sentai Filmworks,Kyoto Animation,Light novel,Comedy,,,8 min. per ep.,PG-13 - Teens 13 or older,12,,
38,Li Shi Zhentan Shiwusuo: A Day in Lungmen,Lee's Detective Agency: A Day in Lungmen,6.55,8718,6471,4,ONA,6,Finished Airing,"Dec 23, 2022 to Feb 3, 2023","None found, add some","None found, add some",Gravity Well,Game,"Comedy, Mystery","Anthropomorphic, Detective",,10 min. per ep.,PG-13 - Teens 13 or older,18,,
39,Mama wa Poyopoyo Saurus ga Osuki,Mama Loves the Poyopoyo-Saurus,6.55,13678,6473,980,TV,52,Finished Airing,"Sep 2, 1995 to Aug 31, 1996","None found, add some","None found, add some",Nippon Animation,Manga,"Comedy, Slice of Life",Childcare,Kids,23 min. per ep.,G - All Ages,2,Fall 1995,Saturdays at 18:00 (JST)
40,Mahoutsukai Sally 2,,6.55,11356,6472,2,TV,88,Finished Airing,"Oct 9, 1989 to Dec 22, 1990",TV Asahi,"None found, add some",Toei Animation,Manga,Comedy,Mahou Shoujo,Shoujo,20 min. per ep.,G - All Ages,4,Fall 1989,Unknown
41,"Maou-sama, Retry!","Demon Lord, Retry!",6.55,991,6474,248,TV,12,Finished Airing,"Jul 4, 2019 to Sep 19, 2019","None found, add some",Funimation,EKACHI EPILKA,Light novel,"Action, Adventure, Fantasy",Isekai,,23 min. per ep.,PG-13 - Teens 13 or older,647,Summer 2019,Thursdays at 00:00 (JST)
42,Norn9: Norn+Nonet,Norn9,6.55,2256,6475,89,TV,12,Finished Airing,"Jan 7, 2016 to Mar 31, 2016","Frontier Works,       Sotsu,       AT-X,       NBCUniversal Entertainment Japan,       Tokyo MX,       i0+,       famima.com,       Hakuhodo DY Music & Pictures,       Docomo Anime Store,       TEAM Entertainment Inc.,       Chugai Mining,       Medicos Entertainment,       Toshiba Digital Frontiers",Sentai Filmworks,"Kinema Citrus,       Orange",Visual novel,"Adventure, Fantasy, Romance, Sci-Fi",,Josei,24 min. per ep.,PG-13 - Teens 13 or older,275,Winter 2016,Thursdays at 21:30 (JST)
43,Onimusha,,6.55,5889,6476,12,ONA,8,Finished Airing,"Nov 2, 2023","None found, add some","None found, add some",Sublimation,Game,Action,"Historical, Samurai",,26 min. per ep.,R - 17+ (violence & profanity),37,,
44,"Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai",Pokémon Mystery Dungeon: Explorers of Time and Darkness,6.55,6045,6477,11,Special,1,Finished Airing,"Sep 9, 2007","Nintendo of America,       Studio Jack",The Pokemon Company International,OLM,Game,"Adventure, Fantasy",,,21 min.,PG - Children,3,,
45,Pokemon XY: Odemashi Ko Majin Hoopa,"Pokemon: Hoopa, The Mischief of Pokemon",6.55,6163,6478,11,OVA,1,Finished Airing,"Jun 19, 2015","None found, add some",The Pokemon Company International,OLM,Game,"Action, Fantasy",,Kids,14 min.,PG - Children,0,,
46,Potion-danomi de Ikinobimasu!,I Shall Survive Using Potions!,6.55,3504,6479,41,TV,12,Finished Airing,"Oct 8, 2023 to Dec 24, 2023","Pony Canyon,       Kodansha,       BS Fuji,       Crunchyroll,       ADK Marketing Solutions","None found, add some",Jumondo,Light novel,"Adventure, Fantasy","Isekai, Reincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,72,Fall 2023,Sundays at 02:00 (JST)
47,Qian Cong Shou,The Indomitable,6.55,12735,6480,1,ONA,16,Finished Airing,"Jan 20, 2022 to Apr 28, 2022","bilibili,       BeDream","None found, add some","None found, add some",Original,"Action, Fantasy, Sci-Fi",,,19 min. per ep.,PG-13 - Teens 13 or older,4,,
48,Ramen Daisuki Koizumi-san,Ms. Koizumi Loves Ramen Noodles,6.55,2725,6481,65,TV,12,Finished Airing,"Jan 4, 2018 to Mar 22, 2018","Sotsu,       KlockWorx,       flying DOG,       Grooove,       Cygames,       Crunchyroll SC Anime Fund",Discotek Media,"Studio Gokumi,       AXsiZ",Manga,"Comedy, Gourmet",CGDCT,,22 min. per ep.,PG-13 - Teens 13 or older,82,Winter 2018,Thursdays at 20:00 (JST)
49,Rudolf to Ippaiattena,Rudolf the Black Cat,6.55,12327,6482,1,Movie,1,Finished Airing,"Aug 6, 2016","Dentsu,       Kodansha,       Bandai,       YTV,       TOHO","None found, add some","OLM,       OLM Digital,       Sprite Animation Studios",Novel,Adventure,,Kids,1 hr. 28 min.,G - All Ages,4,,
50,Saber Marionette R,,6.55,6730,6483,9,OVA,3,Finished Airing,"May 24, 1995 to Sep 25, 1995",Bandai Visual,"Bandai Entertainment,       Media Blasters","animate Film,       Zero-G Room",Original,"Action, Comedy, Sci-Fi","Harem, Mecha",,28 min. per ep.,R+ - Mild Nudity,6,,
51,Saki Biyori Animation,,6.55,9260,6484,3,OVA,1,Finished Airing,"Jul 25, 2015",Square Enix,"None found, add some",Studio Gokumi,4-koma manga,"Comedy, Slice of Life",School,Seinen,24 min.,PG-13 - Teens 13 or older,5,,
52,Sakura Taisen: Ouka Kenran,Sakura Wars,6.55,7572,6485,6,OVA,4,Finished Airing,"Dec 18, 1997 to Jul 24, 1998","d-rights,       Sega",ADV Films,Radix,Game,"Action, Adventure, Sci-Fi","Mecha, Performing Arts",,28 min. per ep.,PG-13 - Teens 13 or older,5,,
53,San Ti,,6.55,14194,6486,846,ONA,15,Finished Airing,"Dec 10, 2022 to Mar 25, 2023",bilibili,"None found, add some",YHKT Entertainment,Novel,Sci-Fi,,,31 min. per ep.,None,2,,
54,Sangokushi: Dai Ichi Bu - Eiyuu-tachi no Yoake,,6.55,13919,6487,911,Movie,1,Finished Airing,"Jan 25, 1992",Shinano Kikaku,Discotek Media,Toei Animation,Novel,,Historical,,2 hr. 16 min.,R - 17+ (violence & profanity),2,,
55,Shu,,6.55,15130,6489,640,ONA,1,Finished Airing,"Mar 6, 2019","None found, add some","None found, add some","None found, add some",Original,"Action, Fantasy",,,2 min.,PG - Children,1,,
56,Shiawase Sou no Okojo-san,,6.55,9267,6488,3,TV,51,Finished Airing,"Oct 2, 2001 to Sep 24, 2002",Sotsu,"None found, add some",Radix,Manga,Comedy,Pets,,25 min. per ep.,G - All Ages,5,Fall 2001,Tuesdays at 18:00 (JST)
57,Soratobu Yuureisen,Flying Phantom Ship,6.55,7762,6490,6,Movie,1,Finished Airing,"Jul 20, 1969","None found, add some",Discotek Media,Toei Animation,Manga,"Adventure, Drama, Sci-Fi",Mecha,,1 hr.,PG - Children,18,,
58,Sword Art Online: Extra Edition,,6.55,758,6491,319,Special,1,Finished Airing,"Dec 31, 2013",Aniplex,Aniplex of America,A-1 Pictures,Light novel,"Action, Fantasy",Video Game,,1 hr. 41 min.,PG-13 - Teens 13 or older,585,,
59,Teekyuu,Teekyu,6.55,2668,6492,67,TV,12,Finished Airing,"Oct 7, 2012 to Dec 23, 2012","DAX Production,       Earth Star Entertainment","None found, add some",MAPPA,Manga,"Comedy, Sports",School,Shounen,2 min. per ep.,PG-13 - Teens 13 or older,225,Fall 2012,Sundays at 22:27 (JST)
60,Teekyuu 6,Teekyu 6,6.55,5086,6493,18,TV,12,Finished Airing,"Oct 6, 2015 to Dec 22, 2015","DAX Production,       Earth Star Entertainment","None found, add some",Millepensee,Manga,Comedy,,Shounen,2 min. per ep.,PG-13 - Teens 13 or older,12,Fall 2015,Tuesdays at 01:05 (JST)
61,"Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na","I'm Quitting Heroing: Remember, the Work Trip is First and Foremost a Learning Opportunity",6.55,4002,6494,31,Special,2,Finished Airing,"Jun 24, 2022 to Aug 24, 2022","AT-X,       flying DOG,       Glovision,       Kadokawa,       Tencent Games",Sentai Filmworks,EMT Squared,Light novel,"Action, Adventure, Comedy, Fantasy",,,11 min. per ep.,PG-13 - Teens 13 or older,74,,
62,Zenonzard The Animation Episode 0,,6.55,7243,6495,7,ONA,1,Finished Airing,"Sep 10, 2019","None found, add some","None found, add some",8bit,Game,"Action, Sci-Fi",Strategy Game,,27 min.,PG-13 - Teens 13 or older,8,,
63,.hack//Tasogare no Udewa Densetsu,.hack//Legend of The Twilight,6.55,2647,6496,68,TV,12,Finished Airing,"Jan 9, 2003 to Mar 27, 2003","Bandai Visual,       Yomiko Advertising","Funimation,       Bandai Entertainment",Bee Train,Manga,"Adventure, Comedy, Fantasy",Video Game,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,131,Winter 2003,Thursdays at 00:55 (JST)
64,Africa no Salaryman (TV),Africa Salaryman,6.55,4291,6497,27,TV,12,Finished Airing,"Oct 7, 2019 to Dec 23, 2019","Pony Canyon,       Movic,       Bandai Namco Live Creative,       Ai Addiction,       Sammy,       Kadokawa Media House,       Kadokawa,       pH Studio",Funimation,HOTZIPANG,Web manga,Comedy,"Anthropomorphic, Workplace",,23 min. per ep.,PG-13 - Teens 13 or older,68,Fall 2019,Mondays at 00:30 (JST)
65,AI no Idenshi,The Gene of AI,6.55,3378,6498,43,TV,12,Finished Airing,"Jul 8, 2023 to Sep 30, 2023","Mainichi Broadcasting System,       Nikkatsu,       Akita Shoten,       Nichion,       Bit grooove promotion,       Hero Garage","None found, add some",Madhouse,Manga,"Drama, Sci-Fi, Suspense",Psychological,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,123,Summer 2023,Saturdays at 01:53 (JST)
66,Anime de Wakaru Shinryounaika,Comical Psychosomatic Medicine,6.55,3339,6499,44,ONA,20,Finished Airing,"Feb 13, 2015 to Jun 26, 2015","None found, add some","None found, add some",Shin-Ei Animation,Manga,Comedy,"Educational, Medical",Seinen,5 min. per ep.,PG-13 - Teens 13 or older,49,,
67,Candy Candy: Haru no Yobigoe,Candy Candy: The Call of Spring,6.55,10282,6501,2,Movie,1,Finished Airing,"Mar 18, 1978","None found, add some","None found, add some",Toei Animation,Unknown,"Drama, Romance",,Shoujo,25 min.,G - All Ages,4,,
68,Battle Spirits: Sword Eyes,,6.55,10138,6500,2,TV,29,Finished Airing,"Sep 9, 2012 to Mar 31, 2013",Nagoya Broadcasting Network,"None found, add some",Sunrise,Card game,"Adventure, Fantasy",Strategy Game,,25 min. per ep.,PG - Children,8,Fall 2012,Unknown
69,Chain Chronicle: Haecceitas no Hikari,Chain Chronicle: The Light of Haecceitas,6.55,1768,6502,126,TV,12,Finished Airing,"Jan 8, 2017 to Mar 26, 2017","Bandai Visual,       Sotsu,       Sega,       flying DOG,       Slow Curve,       Showgate,       Sound Team Don Juan,       Hakuhodo DY Music & Pictures,       Sammy,       Pazzy Entertainment,       Akatsuki",Funimation,"Telecom Animation Film,       Graphinica",Game,"Action, Adventure, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,196,Winter 2017,Sundays at 02:29 (JST)
70,Cinderella Girls Gekijou,THE IDOLM@STER CINDERELLA GIRLS Theater,6.55,4980,6503,19,TV,13,Finished Airing,"Apr 4, 2017 to Jun 27, 2017","Frontier Works,       Half H.P Studio,       Nippon Columbia,       Bandai Namco Entertainment,       Anime Consortium Japan,       Kadokawa",Crunchyroll,"Gathering,       Lesprit",4-koma manga,"Comedy, Slice of Life",Idols (Female),,3 min. per ep.,PG-13 - Teens 13 or older,31,Spring 2017,Tuesdays at 21:55 (JST)
71,Cross Fight B-Daman,B-Daman Crossfire,6.55,6739,6504,9,TV,52,Finished Airing,"Oct 2, 2011 to Sep 30, 2012","TV Tokyo,       d-rights",ADK Emotions NY Inc.,SynergySP,Unknown,,Strategy Game,Kids,14 min. per ep.,G - All Ages,47,Fall 2011,Unknown
72,D.C.S.S: Da Capo Second Season Omake,,6.55,7468,6505,6,Special,2,Finished Airing,"Oct 5, 2005 to Apr 5, 2006","None found, add some","None found, add some",feel.,Visual novel,"Comedy, Romance",Harem,,7 min. per ep.,PG-13 - Teens 13 or older,2,,
73,DearS,,6.55,1553,6506,149,TV,12,Finished Airing,"Jul 11, 2004 to Sep 26, 2004","Bandai Visual,       HAL Film Maker,       Genco,       Lantis","Discotek Media,       Geneon Entertainment USA",Daume,Manga,"Comedy, Romance, Sci-Fi, Ecchi",Harem,Shounen,23 min. per ep.,R+ - Mild Nudity,359,Summer 2004,Sundays at 00:30 (JST)
74,Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!,,6.55,5671,6507,13,Movie,1,Finished Airing,"Dec 9, 2006","None found, add some","None found, add some",Toei Animation,Original,"Action, Adventure, Comedy, Fantasy",,,20 min.,PG - Children,6,,
75,Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!,,6.55,7178,6508,7,Special,1,Finished Airing,"Aug 24, 2007","None found, add some","None found, add some",Toei Animation,Original,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Supernatural",,,23 min.,PG - Children,4,,
76,Fragtime,,6.55,3249,6510,46,Movie,1,Finished Airing,"Nov 22, 2019","WOWOW,       Sotsu,       Pony Canyon,       Fuji TV",Sentai Filmworks,"Tear Studio,       East Fish Studio",Manga,"Girls Love, Supernatural","School, Super Power",,1 hr.,PG-13 - Teens 13 or older,109,,
77,Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu,Dragon Ball GT: A Hero's Legacy,6.55,2440,6509,78,TV Special,1,Finished Airing,"Mar 26, 1997",Fuji TV,Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy","Martial Arts, Super Power",Shounen,44 min.,PG-13 - Teens 13 or older,78,,
78,Ginga Tetsudou 999: Diamond Ring no Kanata e,Galaxy Express 999: Beyond the Diamond Ring,6.55,11707,6511,1,Movie,1,Finished Airing,"Sep 9, 2009","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Drama, Sci-Fi",,,16 min.,G - All Ages,1,,
79,Hi no Tori 2772: Ai no CosmoZone,,6.55,8607,6512,4,Movie,1,Finished Airing,"Mar 15, 1980",TOHO,"None found, add some",Tezuka Productions,Manga,"Adventure, Drama, Fantasy, Romance, Sci-Fi",Space,,2 hr. 1 min.,G - All Ages,9,,
80,Huan Jie Wang,Eudemon Quest,6.55,8701,6513,4,ONA,20,Finished Airing,"May 30, 2018 to Oct 17, 2018",Tencent Animation & Comics,"None found, add some","None found, add some",Web manga,"Action, Adventure, Fantasy",,,14 min. per ep.,PG-13 - Teens 13 or older,15,,
81,91 Days: Mijikai Rousoku,91 Days: Brief Candle,6.54,3797,6514,34,TV Special,1,Finished Airing,"Aug 26, 2016","Shochiku,       Mainichi Broadcasting System",Funimation,Shuka,Original,"Action, Drama, Suspense","Historical, Organized Crime",,24 min.,R - 17+ (violence & profanity),29,,
82,Ai Monogatari: 9 Love Stories,,6.54,8306,6515,5,OVA,1,Finished Airing,"Apr 2, 1993","None found, add some","None found, add some",Studio Deen,Unknown,"Drama, Romance",,,1 hr. 32 min.,PG-13 - Teens 13 or older,8,,
83,Ai Zai Xiyuan Qian 2nd Season,Immemorial Love For You 2nd Season,6.54,11958,6516,1,ONA,16,Finished Airing,"Feb 14, 2021 to May 9, 2021","None found, add some","None found, add some",Taikong Works,Music,"Action, Fantasy, Romance, Sci-Fi",,,14 min. per ep.,PG-13 - Teens 13 or older,36,,
84,Aikatsu Planet!,,6.54,9242,6517,3,TV,24,Finished Airing,"Jan 10, 2021 to Jun 27, 2021",Sunrise Music,"None found, add some",Bandai Namco Pictures,Game,Slice of Life,"Idols (Female), Music, School",,10 min. per ep.,PG - Children,26,Winter 2021,Sundays at 07:00 (JST)
85,Amagami SS+ Plus Picture Drama,,6.54,4861,6518,20,Special,2,Finished Airing,"Oct 3, 2012","None found, add some","None found, add some",AIC,Visual novel,Romance,,,7 min. per ep.,PG-13 - Teens 13 or older,19,,
86,Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,,6.54,8376,6519,5,Special,13,Finished Airing,"Apr 5, 2014 to Jun 28, 2014",flying DOG,"None found, add some","None found, add some",Manga,Comedy,Parody,,1 min. per ep.,PG-13 - Teens 13 or older,6,,
