,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
30,Miss Monochrome The Animation 2,,6.48,4786,6907,21,TV,13,Finished Airing,"Jul 3, 2015 to Sep 25, 2015","Starchild Records,       Magic Capsule",Crunchyroll,"SANZIGEN,       LIDENFILMS",Original,"Comedy, Slice of Life",7 min. per ep.,G - All Ages,7,"Idols (Female), Music",,Summer 2015,Fridays at 23:00 (JST)
31,Monster Special Edition,,6.48,10437,6908,2,TV Special,2,Finished Airing,"Dec 27, 2005 to Dec 28, 2005","None found, add some","None found, add some",Madhouse,Manga,"Drama, Mystery, Suspense",1 hr. 23 min. per ep.,R+ - Mild Nudity,2,"Adult Cast, Psychological",Seinen,,
32,Mu Wang Zhi Wang: Qi Lin Jue,,6.48,12844,6909,1,ONA,20,Finished Airing,"Jul 21, 2016 to Nov 24, 2016","None found, add some","None found, add some",BUILD DREAM,Original,"Action, Mystery, Romance",18 min. per ep.,PG-13 - Teens 13 or older,3,"Historical, Martial Arts",,,
33,Nomad: Megalo Box 2 Short Anime,Megalo Box 2: The Hummingbird and the Nomad,6.48,8945,6910,4,Special,1,Finished Airing,"Jul 28, 2021","None found, add some",Funimation,TMS Entertainment,Original,Drama,11 min.,PG-13 - Teens 13 or older,8,,,,
34,Nyoro-n Churuya-san,Nyoron! Churuya-san,6.48,4046,6911,30,ONA,13,Finished Airing,"Feb 13, 2009 to May 8, 2009",Kadokawa Shoten,"Funimation,       Bandai Entertainment",Kyoto Animation,4-koma manga,Comedy,2 min. per ep.,G - All Ages,46,,,,
35,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,,6.48,6126,6912,11,Special,13,Finished Airing,"Jun 19, 2013 to Jan 22, 2014",Aniplex,"None found, add some",I was a Ballerina,Light novel,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,7,,,,
36,Patalliro Saiyuuki!,,6.48,8871,6913,4,TV,26,Finished Airing,"Jun 7, 2005 to Nov 29, 2005","None found, add some","None found, add some",Magic Bus,Manga,"Adventure, Boys Love, Comedy, Fantasy",9 min. per ep.,PG-13 - Teens 13 or older,3,,Shoujo,Summer 2005,Tuesdays at 00:30 (JST)
37,Princess Principal: Ange Report,,6.48,7575,6914,6,ONA,1,Finished Airing,"Sep 16, 2017","None found, add some","None found, add some","Actas,       Studio 3Hz",Original,"Action, Mystery",24 min.,R - 17+ (violence & profanity),4,Historical,,,
38,Puzzle & Dragons Cross,Puzzle & Dragons X,6.48,6794,6915,8,TV,89,Finished Airing,"Jul 4, 2016 to Mar 26, 2018","Audio Planning U,       GungHo Online Entertainment",Funimation,Pierrot,Game,,24 min. per ep.,PG-13 - Teens 13 or older,20,Strategy Game,Kids,Summer 2016,Mondays at 18:25 (JST)
39,Qin Shi Mingyue: Kong Shan Niao Yu,,6.48,13770,6916,960,ONA,3,Finished Airing,"May 9, 2014 to Jul 8, 2014","None found, add some","None found, add some",Sparkly Key Animation Studio,Novel,"Action, Fantasy",26 min. per ep.,PG-13 - Teens 13 or older,5,"Historical, Martial Arts",,,
40,Sabu to Ichi Torimono Hikae,Sabu & Ichi's Arrest Warrant,6.48,10199,6917,2,TV,52,Finished Airing,"Oct 3, 1968 to Sep 24, 1969","Mushi Production,       Mainichi Broadcasting System","None found, add some",Toei Animation,Manga,"Action, Adventure, Drama, Slice of Life",25 min. per ep.,R - 17+ (violence & profanity),9,"Detective, Historical, Martial Arts, Samurai",Shounen,Fall 1968,Unknown
41,Shouxi Yu Ling Shi,,6.48,12190,6919,1,ONA,40,Finished Airing,"Jun 20, 2020 to Oct 24, 2020","None found, add some","None found, add some",Suoyi Technology,Original,"Action, Fantasy",11 min. per ep.,PG-13 - Teens 13 or older,8,,,,
42,Shirogane no Ishi: Argevollen,Argevollen,6.48,3350,6918,44,TV,24,Finished Airing,"Jul 3, 2014 to Dec 18, 2014","Warner Bros. Japan,       KlockWorx,       Bushiroad,       Showgate",Sentai Filmworks,Xebec,Original,Action,23 min. per ep.,R - 17+ (violence & profanity),43,Mecha,,Summer 2014,Unknown
43,Taiho Shichau zo in America,You're Under Arrest: No Mercy!!,6.48,8184,6920,5,TV Special,1,Finished Airing,"Mar 29, 2002","TBS,       Kodansha","None found, add some",Studio Deen,Manga,"Action, Comedy, Mystery",23 min.,PG-13 - Teens 13 or older,3,"Adult Cast, Detective, Workplace",Seinen,,
44,Taiyou no Ouji: Horus no Daibouken,Horus: Prince of the Sun,6.48,6636,6921,9,Movie,1,Finished Airing,"Jul 21, 1968","None found, add some",Discotek Media,Toei Animation,Other,"Adventure, Drama",1 hr. 22 min.,G - All Ages,16,,,,
45,Toaru Majutsu no Index-tan III,A Certain Magical Index III: Specials,6.48,5941,6922,12,Special,2,Finished Airing,"Dec 26, 2018 to Apr 30, 2019","None found, add some","None found, add some",J.C.Staff,Light novel,Comedy,9 min. per ep.,PG-13 - Teens 13 or older,8,,,,
46,Tottoko Hamtarou OVA 2: Hamuchanzu no Takara Sagashi Daisaku - Hamuha! Suteki na Umi no Natsuyasumi,Hamtaro: Ham-Hams Ahoy!,6.48,11830,6923,1,OVA,1,Finished Airing,"Mar 1, 2003",Shogakukan-Shueisha Productions,"None found, add some",TMS Entertainment,Unknown,,44 min.,PG - Children,1,,Kids,,
47,White Album,,6.48,1808,6925,122,TV,13,Finished Airing,"Jan 4, 2009 to Mar 29, 2009","None found, add some","None found, add some",Seven Arcs,Visual novel,"Drama, Romance",24 min. per ep.,PG-13 - Teens 13 or older,226,"Harem, Idols (Female), Music",,Winter 2009,Sundays at 02:00 (JST)
48,Trouble Chocolate,,6.48,7809,6924,6,TV,20,Finished Airing,"Oct 8, 1999 to Mar 24, 2000",Robot Communications,VIZ Media,AIC,Radio,"Comedy, Romance, Sci-Fi",23 min. per ep.,G - All Ages,20,,,Fall 1999,Saturdays at 02:00 (JST)
49,Youkai Watch!,,6.48,9379,6926,3,TV,36,Finished Airing,"Apr 5, 2019 to Dec 20, 2019","None found, add some","None found, add some","OLM,       Magic Bus",Game,"Comedy, Supernatural",24 min. per ep.,G - All Ages,6,Mythology,Kids,Spring 2019,Fridays at 18:25 (JST)
50,Yuuki Yuuna wa Yuushabu Shozoku 3,,6.48,9546,6927,3,Movie,1,Finished Airing,"Jul 8, 2017","None found, add some","None found, add some",W-Toon Studio,Manga,"Comedy, Fantasy, Slice of Life",8 min.,PG-13 - Teens 13 or older,0,,,,
51,Z/X: Ignition,,6.48,3525,6928,40,TV,12,Finished Airing,"Jan 10, 2014 to Apr 3, 2014","Sotsu,       Pony Canyon,       Nippon Ichi Software",Discotek Media,Telecom Animation Film,Card game,"Adventure, Fantasy, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,51,Strategy Game,,Winter 2014,Unknown
52,Shining Tears X Wind,,6.47,3777,6929,35,TV,13,Finished Airing,"Apr 7, 2007 to Jun 30, 2007",Sega,Discotek Media,Studio Deen,Game,"Action, Adventure, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,66,Isekai,,Spring 2007,Saturdays at 01:30 (JST)
53,Shoujo Shuumatsu Jugyou,Girls' Last Class,6.47,6040,6930,11,ONA,12,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",Kadokawa,"None found, add some",Studio PuYUKAI,Manga,Comedy,1 min. per ep.,G - All Ages,12,"Parody, School",,,
54,Shounen Hollywood: Holly Stage for 50,,6.47,7421,6931,7,TV,13,Finished Airing,"Jan 10, 2015 to Apr 4, 2015","Starchild Records,       Studio Mausu",Funimation,Zexcs,Mixed media,,23 min. per ep.,PG-13 - Teens 13 or older,10,"Idols (Male), Music, Performing Arts",,Winter 2015,Saturdays at 20:30 (JST)
55,Shouwa Monogatari (Movie),,6.47,11815,6932,1,Movie,1,Finished Airing,"Jan 29, 2011","None found, add some","None found, add some",WAO World,Unknown,Drama,1 hr. 36 min.,PG - Children,1,Historical,,,
56,Show By Rock!! Short!!,,6.47,5574,6933,14,TV,12,Finished Airing,"Jul 5, 2016 to Sep 20, 2016","Pony Canyon,       Sanrio,       Techno Sound",Funimation,Bones,Game,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,18,Music,,Summer 2016,Tuesdays at 01:00 (JST)
57,Shukufuku no Campanella: La Campanella Della Benedizione,,6.47,7820,6934,6,OVA,1,Finished Airing,"Mar 30, 2011","None found, add some",Nozomi Entertainment,AIC,Visual novel,"Comedy, Fantasy, Ecchi",29 min.,R+ - Mild Nudity,1,,,,
58,Sore ga Seiyuu!: Petit Uchiage,,6.47,8392,6935,5,Special,1,Finished Airing,"Mar 23, 2016","None found, add some",Funimation,Gonzo,Web manga,"Comedy, Slice of Life",14 min.,PG-13 - Teens 13 or older,3,Showbiz,,,
59,Teekyuu 2 Specials,Teekyu 2 Specials,6.47,6281,6936,10,Special,2,Finished Airing,"Oct 25, 2013",Earth Star Entertainment,"None found, add some",MAPPA,Manga,"Comedy, Sports",2 min. per ep.,PG-13 - Teens 13 or older,0,School,Shounen,,
60,To Heart 2,,6.47,4719,6937,21,TV,13,Finished Airing,"Oct 4, 2005 to Jan 3, 2006","None found, add some",Maiden Japan,OLM,Visual novel,"Comedy, Drama, Romance",24 min. per ep.,PG-13 - Teens 13 or older,40,"Harem, School",,Fall 2005,Unknown
61,Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,Hamtaro: The Mysterious Ogre's Picture Book Tower,6.47,11328,6938,2,Movie,1,Finished Airing,"Dec 23, 2004",Shogakukan-Shueisha Productions,"None found, add some",TMS Entertainment,Unknown,"Adventure, Comedy",40 min.,G - All Ages,2,,Kids,,
62,Tropical-Rouge! Precure Petit Tobikome! Collaboration ♡ Dance Party!,,6.47,12111,6939,1,Movie,1,Finished Airing,"Mar 20, 2021","None found, add some","None found, add some",Toei Animation,Original,Fantasy,5 min.,G - All Ages,2,Mahou Shoujo,,,
63,Turn A Gundam I: Chikyuukou,∀ Gundam I: Earth Light,6.47,8443,6940,5,Movie,1,Finished Airing,"Feb 9, 2002","Sotsu,       Atelier Musa",Nozomi Entertainment,Sunrise,Original,"Action, Drama, Sci-Fi",2 hr. 8 min.,PG-13 - Teens 13 or older,1,"Mecha, Military, Space",,,
64,Windaria,Once Upon a Time,6.47,6403,6941,10,Movie,1,Finished Airing,"Jul 19, 1986",Gallop,"ADV Films,       Harmony Gold,       Streamline Pictures","Kaname Productions,       Idol",Original,"Action, Drama, Fantasy, Romance, Sci-Fi",1 hr. 40 min.,R+ - Mild Nudity,30,,,,
65,Yoroiden Samurai Troopers Kikoutei Densetsu,Ronin Warriors Legend of Kikoutei,6.47,9971,6943,3,OVA,4,Finished Airing,"Oct 8, 1989 to Jan 11, 1990","None found, add some","Bandai Entertainment,       Discotek Media",Sunrise,Original,"Adventure, Fantasy",26 min. per ep.,PG-13 - Teens 13 or older,5,Samurai,,,
66,World Witches Hasshin Shimasu!,World Witches Take Off!,6.47,5987,6942,12,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021","Nippon Columbia,       Glovision","None found, add some","Acca effe,       Giga Production",Original,Comedy,15 min. per ep.,PG-13 - Teens 13 or older,15,"CGDCT, Military",,Winter 2021,Wednesdays at 00:45 (JST)
67,Yume Senshi Wingman,Wingman,6.47,9601,6944,3,TV,47,Finished Airing,"Feb 7, 1984 to Feb 26, 1985",TV Asahi,"None found, add some",Toei Animation,Manga,"Action, Comedy, Romance",24 min. per ep.,R+ - Mild Nudity,15,"School, Super Power",Shounen,Winter 1984,Tuesdays at 19:00 (JST)
68,Yuuki Yuuna wa Yuushabu Shozoku 2,,6.47,9322,6945,3,Movie,1,Finished Airing,"Apr 15, 2017","None found, add some","None found, add some",W-Toon Studio,Manga,"Comedy, Fantasy, Slice of Life",7 min.,PG-13 - Teens 13 or older,1,,,,
69,"Arano no Sakebi Koe: Hoero, Buck",The Call of the Wild,6.47,12129,6946,1,TV Special,1,Finished Airing,"Jan 3, 1981","Fuji TV,       Hoso Seisaku Doga","None found, add some",Toei Animation,Novel,"Adventure, Drama",1 hr. 6 min.,G - All Ages,3,,,,
70,Bai Niao Gu,Valley of White Birds,6.47,12464,6947,1,Movie,1,Finished Airing,"Jun 12, 2017","None found, add some","None found, add some",Wolf Smoke Studio,Original,"Fantasy, Supernatural",15 min.,G - All Ages,2,,,,
71,Bu Mie Shen Wang,The Rich God,6.47,14379,6948,800,ONA,19,Finished Airing,"Apr 20, 2023 to Aug 24, 2023",Youku,"None found, add some",Djinn Power,Novel,"Action, Adventure, Comedy, Fantasy",15 min. per ep.,PG-13 - Teens 13 or older,3,,,,
72,Chieri to Cherry,Chieri and Cherry,6.47,14868,6949,685,Movie,1,Finished Airing,"Feb 20, 2016",Frontier Works,"None found, add some",Comma Studio,Original,"Adventure, Fantasy",54 min.,G - All Ages,0,,,,
73,Chikyuu ga Ugoita Hi,The Day the Earth Moved,6.47,11729,6950,1,Movie,1,Finished Airing,"Jul 22, 1997","Magic Capsule,       Kyodo Eiga,       Orix,       GoGo Visual Planning,       Company AZA","None found, add some",Tama Production,Novel,Drama,1 hr. 15 min.,PG - Children,1,Historical,,,
74,Coppelion,,6.47,1820,6951,121,TV,13,Finished Airing,"Oct 2, 2013 to Dec 25, 2013",Starchild Records,VIZ Media,GoHands,Manga,"Action, Drama, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,220,Military,Seinen,Fall 2013,Wednesdays at 21:00 (JST)
75,Cross Fight B-Daman eS,B-Daman Fireblast,6.47,9263,6952,3,TV,52,Finished Airing,"Oct 7, 2012 to Sep 29, 2013","TV Tokyo,       d-rights",ADK Emotions NY Inc.,SynergySP,Unknown,,12 min. per ep.,G - All Ages,15,Strategy Game,Kids,Fall 2012,Unknown
76,DD Hokuto no Ken (2013),DD Fist of the North Star,6.47,8980,6953,4,TV,13,Finished Airing,"Apr 3, 2013 to Jun 26, 2013","TV Tokyo,       North Stars Pictures",Sentai Filmworks,Ajia-do,Manga,,24 min. per ep.,PG-13 - Teens 13 or older,12,Parody,Seinen,Spring 2013,Unknown
77,Demashita! Powerpuff Girls Z,Powerpuff Girls Z,6.47,3758,6954,35,TV,52,Finished Airing,"Jul 1, 2006 to Jun 30, 2007","TV Tokyo,       Aniplex,       Sony Music Entertainment","None found, add some",Toei Animation,Other,"Action, Comedy, Sci-Fi",24 min. per ep.,PG - Children,184,"School, Super Power",,Summer 2006,Saturdays at 07:00 (JST)
78,Digimon Survive: Prologue Movie,Digimon Survive - Opening Movie,6.47,7851,6956,6,ONA,1,Finished Airing,"Jul 22, 2019",Bandai Namco Entertainment,"None found, add some",Toei Animation,Game,"Fantasy, Mystery",3 min.,G - All Ages,6,School,,,
79,Di Wang Gong Lue,The Emperor's Strategy,6.47,6083,6955,11,ONA,20,Finished Airing,"Apr 30, 2018 to Sep 10, 2018",Tencent Penguin Pictures,"None found, add some",Seven Stone Entertainment,Novel,"Adventure, Boys Love, Drama, Mystery",16 min. per ep.,PG-13 - Teens 13 or older,53,"Historical, Martial Arts",,,
80,Dororon Enma-kun Meeramera,Ghastly Prince Enma Burning Up,6.47,5037,6957,18,TV,12,Finished Airing,"Apr 8, 2011 to Jun 24, 2011","Mainichi Broadcasting System,       Dynamic Planning","NIS America, Inc.",Brain's Base,Manga,"Action, Comedy, Supernatural, Ecchi",24 min. per ep.,R - 17+ (violence & profanity),32,"Mythology, Parody, Super Power",Shounen,Spring 2011,Unknown
81,Dynamic Super Robots Soushingekki,,6.47,12339,6958,1,Special,3,Finished Airing,"Dec 21, 2000 to Jun 25, 2001","Bandai Visual,       Bee Media,       Dynamic Planning","None found, add some",Brain's Base,Manga,"Action, Sci-Fi",2 min. per ep.,PG - Children,0,Mecha,Shounen,,
82,Fushigi no Umi no Nadia Omake Gekijou,Nadia: Secret of Blue Water Specials,6.47,8786,6959,4,Special,10,Finished Airing,"Dec 21, 1991","None found, add some","None found, add some",Gainax,Original,"Adventure, Sci-Fi",4 min. per ep.,PG-13 - Teens 13 or older,6,,,,
83,Gangsta. Recap,,6.47,4722,6960,21,TV Special,1,Finished Airing,"Sep 6, 2015","None found, add some",Funimation,Manglobe,Manga,"Action, Drama",23 min.,R - 17+ (violence & profanity),24,"Adult Cast, Organized Crime",Seinen,,
84,Genji Tsuushin Agedama,,6.47,11090,6961,2,TV,51,Finished Airing,"Oct 4, 1991 to Sep 25, 1992",Nihon Ad Systems,"None found, add some",Gallop,Original,"Action, Comedy, Sci-Fi",25 min. per ep.,R+ - Mild Nudity,10,Parody,,Fall 1991,Fridays at 18:00 (JST)
85,Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseru ka!!,Galaxy Express 999: Can You Love Like a Mother?!!,6.47,10902,6962,2,TV Special,1,Finished Airing,"Oct 2, 1980","None found, add some",Discotek Media,Toei Animation,Manga,Sci-Fi,1 hr. 33 min.,G - All Ages,2,Space,,,
86,Grenadier: Hohoemi no Senshi Specials,,6.47,7632,6963,6,Special,6,Finished Airing,"Jan 28, 2005 to Jun 29, 2005","Shochiku,       Kadokawa Shoten","None found, add some","Group TAC,       Studio Live",Manga,"Comedy, Ecchi",1 min. per ep.,PG-13 - Teens 13 or older,1,Parody,,,
