,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
18,Rokudou no Onna-tachi,Rokudo's Bad Girls,6.41,3119,7325,50,TV,12,Finished Airing,"Apr 8, 2023 to Jun 24, 2023","Mainichi Broadcasting System,       NBCUniversal Entertainment Japan,       Akita Shoten,       Crunchyroll,       Live Viewing Japan,       MAGNET,       Mixer,       BS Asahi,       HIAN","None found, add some",Satelight,Manga,"Comedy, Romance",Shounen,23 min. per ep.,PG-13 - Teens 13 or older,110,Spring 2023,Saturdays at 01:35 (JST),"Delinquents, Harem, School"
19,Sakura Taisen: Katsudou Shashin,Sakura Wars: The Movie,6.41,7347,7326,7,Movie,1,Finished Airing,"Dec 22, 2001","Kadokawa Shoten,       Sega,       Imagica,       chara-ani.com,       Imagine","Funimation,       Geneon Entertainment USA",Production I.G,Game,"Adventure, Sci-Fi",,1 hr. 25 min.,PG-13 - Teens 13 or older,5,,,"Mecha, Performing Arts"
20,Seikoku no Dragonar,Dragonar Academy,6.41,1085,7327,225,TV,12,Finished Airing,"Apr 5, 2014 to Jun 21, 2014","Media Factory,       AT-X,       Sony Music Communications,       Tsukuru no Mori",Funimation,C-Station,Light novel,"Comedy, Fantasy, Romance, Ecchi",,24 min. per ep.,R+ - Mild Nudity,294,Spring 2014,Saturdays at 20:30 (JST),"Harem, School"
21,Sengoku Collection,,6.41,4412,7328,25,TV,26,Finished Airing,"Apr 6, 2012 to Sep 28, 2012","TV Tokyo,       Nihon Ad Systems,       ZERO-A",Nozomi Entertainment,Brain's Base,Game,"Comedy, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,31,Spring 2012,Fridays at 01:45 (JST),"Parody, Samurai"
22,Shi Xiong,Zombie Brother,6.41,9832,7329,3,ONA,41,Finished Airing,"Nov 24, 2014 to Mar 5, 2015",Tencent Animation & Comics,"None found, add some",L²Studio,Web manga,"Action, Comedy, Horror",,8 min. per ep.,R - 17+ (violence & profanity),8,,,
23,Kanokon Specials,,6.40,3902,7330,33,Special,12,Finished Airing,"Jun 25, 2008 to Nov 21, 2008","None found, add some","None found, add some",Xebec,Light novel,Ecchi,,2 min. per ep.,R+ - Mild Nudity,27,,,
24,Katsute Kami Datta Kemono-tachi e,To the Abandoned Sacred Beasts,6.40,1668,7331,136,TV,12,Finished Airing,"Jul 1, 2019 to Sep 16, 2019","Kodansha,       NBCUniversal Entertainment Japan,       Tokyo MX,       BS11,       JR East Marketing & Communications,       Cygames,       A-Sketch","None found, add some",MAPPA,Manga,"Action, Drama, Fantasy",Shounen,23 min. per ep.,R - 17+ (violence & profanity),226,Summer 2019,Mondays at 23:00 (JST),Military
25,Kodai Ouja Kyouryuu King,Dinosaur King,6.40,4266,7332,27,TV,49,Finished Airing,"Feb 4, 2007 to Jan 27, 2008","Asatsu DK,       Sega,       4Kids Entertainment,       Happinet Pictures,       Nagoya Broadcasting Network",Discotek Media,Sunrise,Game,"Adventure, Fantasy",Kids,25 min. per ep.,PG - Children,132,Winter 2007,Unknown,
26,Kyouryuu Wakusei,Dinosaur Planet,6.40,14877,7333,682,TV,60,Finished Airing,"Apr 5, 1993 to Jan 27, 1994",Studio Junio,"None found, add some","None found, add some",Original,"Adventure, Fantasy, Sci-Fi",,15 min. per ep.,PG - Children,0,Spring 1993,Unknown,Historical
27,Lili Kurong,,6.40,17485,7334,387,ONA,1,Finished Airing,"Jan 28, 2024","None found, add some","None found, add some",Gear Studio,Game,Fantasy,,1 min.,PG-13 - Teens 13 or older,0,,,Music
28,Madou King Granzort: Saigo no Magical Taisen,,6.40,14299,7335,819,OVA,2,Finished Airing,"Aug 10, 1990 to Sep 8, 1990","None found, add some","None found, add some","None found, add some",Original,"Action, Comedy, Fantasy, Sci-Fi",,28 min. per ep.,G - All Ages,1,,,Mecha
29,Monster Strike: Rain of Memories,,6.40,10095,7337,3,ONA,1,Finished Airing,"Dec 3, 2016",Connect,"None found, add some","Studio Hibari,       Ultra Super Pictures",Game,"Action, Fantasy",,46 min.,PG-13 - Teens 13 or older,1,,,Video Game
30,Marie & Gali,,6.40,8463,7336,5,TV,40,Finished Airing,"Mar 31, 2009 to Mar 23, 2010",NHK,"None found, add some",Toei Animation,Original,Comedy,,5 min. per ep.,PG-13 - Teens 13 or older,11,Spring 2009,Tuesdays at 19:25 (JST),Educational
31,Onna no Sono no Hoshi,,6.40,10244,7339,2,OVA,1,Finished Airing,"Dec 8, 2022","None found, add some","None found, add some",Lapin Track,Manga,"Comedy, Slice of Life",Josei,24 min.,PG-13 - Teens 13 or older,4,,,School
32,One Off,,6.40,5179,7338,17,OVA,4,Finished Airing,"Aug 5, 2012 to Oct 7, 2012","Dentsu,       TYO","None found, add some",TYO Animations,Original,Slice of Life,,15 min. per ep.,PG-13 - Teens 13 or older,20,,,"CGDCT, Iyashikei"
33,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,,6.40,5702,7340,13,OVA,1,Finished Airing,"Jun 24, 2011","None found, add some",Funimation,Nomad,Visual novel,"Drama, Fantasy, Romance, Ecchi",,24 min.,R+ - Mild Nudity,3,,,Harem
34,Pa-Pa-Pa the ★ Movie: Perman - Tako de Pon! Ashi wa Pon!,,6.40,14899,7341,679,Movie,1,Finished Airing,"Mar 6, 2004","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy",Kids,32 min.,PG - Children,0,,,Super Power
35,Puso Ni Comi,,6.40,12237,7342,1,ONA,20,Finished Airing,"Jan 8, 2019 to May 21, 2019","Sega,       Sega Games","None found, add some",Point Pictures,Web manga,"Action, Comedy, Sci-Fi",,3 min. per ep.,PG-13 - Teens 13 or older,4,,,"Parody, School, Video Game"
36,Qiang Shen Ji: Tegong Shijie Pian,,6.40,16259,7343,493,ONA,12,Finished Airing,"Jun 15, 2018 to Aug 31, 2018","None found, add some","None found, add some",Mokai Technology,Game,"Action, Sci-Fi",,21 min. per ep.,PG-13 - Teens 13 or older,0,,,
37,Saikyou Robot Daiouja,,6.40,12407,7344,1,TV,50,Finished Airing,"Jan 31, 1981 to Jan 30, 1982","Sotsu,       Nagoya Broadcasting Network","None found, add some",Sunrise,Original,"Action, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,2,Winter 1981,Unknown,Mecha
38,Shin Mitsubachi Maya no Bouken,The New Adventures of Honeybee Maya,6.40,9169,7345,4,TV,52,Finished Airing,"Oct 12, 1982 to Sep 27, 1983","None found, add some","None found, add some",Nippon Animation,Unknown,"Adventure, Comedy",,25 min. per ep.,G - All Ages,8,Fall 1982,Unknown,
39,Shippuu! Iron Leaguer: Silver no Hata no Moto ni,,6.40,15349,7346,607,OVA,5,Finished Airing,"Nov 21, 1994 to Apr 25, 1995","None found, add some","None found, add some",Sunrise,Original,Sports,,30 min. per ep.,PG-13 - Teens 13 or older,1,,,"Mecha, Team Sports"
40,Spirit of Wonder: China-san no Yuuutsu,,6.40,7328,7347,7,OVA,1,Finished Airing,"Jun 3, 1992","Toshiba EMI,       Imagine",AnimEigo,Ajia-do,Manga,"Romance, Sci-Fi",Seinen,42 min.,PG-13 - Teens 13 or older,3,,,
41,Tactical Roar,,6.40,6260,7348,10,TV,13,Finished Airing,"Jan 8, 2006 to Apr 2, 2006","Bandai Visual,       Lantis","None found, add some",Actas,Original,"Comedy, Romance, Sci-Fi",,25 min. per ep.,PG-13 - Teens 13 or older,11,Winter 2006,Unknown,Military
42,Takamiya Nasuno desu! Teekyuu Spin-off,,6.40,5434,7349,15,TV,12,Finished Airing,"Apr 7, 2015 to Jun 23, 2015","DAX Production,       Earth Star Entertainment","None found, add some",Millepensee,Manga,"Comedy, Slice of Life",Shounen,2 min. per ep.,PG-13 - Teens 13 or older,11,Spring 2015,Tuesdays at 01:08 (JST),
43,"Tantei wa Mou, Shindeiru.",The Detective Is Already Dead,6.40,636,7350,371,TV,12,Finished Airing,"Jul 4, 2021 to Sep 19, 2021","AT-X,       Kadokawa Media House,       Kadokawa,       INCS toenter",Funimation,ENGI,Light novel,"Comedy, Mystery, Romance",,25 min. per ep.,PG-13 - Teens 13 or older,"3,170",Summer 2021,Sundays at 21:30 (JST),Detective
44,Kinnikuman II Sei: Second Generations,,6.39,11860,7401,1,Movie,1,Finished Airing,"Jul 14, 2001","None found, add some","None found, add some",Toei Animation,Manga,"Comedy, Sports",,25 min.,PG-13 - Teens 13 or older,0,,,Combat Sports
45,"Kuusen Madoushi Kouhosei no Kyoukan: Lecty no, Ikimonogatari",Sky Wizards Academy OVA,6.39,4454,7402,24,OVA,1,Finished Airing,"Mar 9, 2016","None found, add some",Funimation,Diomedéa,Light novel,"Action, Drama, Fantasy",,23 min.,PG-13 - Teens 13 or older,16,,,School
46,Love Live! The School Idol Movie: Gekijou Manner CMs,,6.39,8203,7405,5,Movie,4,Finished Airing,"Jun 13, 2015 to Jun 27, 2015",Bandai Visual,"None found, add some",Sunrise,Original,Comedy,,1 min. per ep.,G - All Ages,8,,,Idols (Female)
47,Kyoushirou to Towa no Sora,Shattered Angels,6.39,3380,7403,43,TV,12,Finished Airing,"Jan 5, 2007 to Mar 23, 2007","AT-X,       KlockWorx,       Studio Mausu,       Toshiba Entertainment,       Geneon Entertainment","ADV Films,       Funimation",TNK,Manga,"Drama, Fantasy, Romance",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,97,Winter 2007,Fridays at 13:30 (JST),
48,Legend of Regios,,6.39,6276,7404,10,Special,3,Finished Airing,"Mar 27, 2009 to May 29, 2009","None found, add some","None found, add some",Zexcs,Light novel,,,8 min. per ep.,R - 17+ (violence & profanity),8,,,
49,Mahou no Tenshi Creamy Mami: Long Goodbye,,6.39,11354,7406,2,OVA,1,Finished Airing,"Jun 15, 1985","None found, add some","None found, add some",Pierrot,Original,"Comedy, Fantasy, Romance",,57 min.,G - All Ages,1,,,"Idols (Female), Mahou Shoujo"
50,Manga Hajimete Omoshiro Juku,,6.39,15741,7407,551,TV,110,Finished Airing,"Feb 4, 1989 to Apr 27, 1991",DAX Production,"None found, add some","None found, add some",Unknown,Adventure,Kids,25 min. per ep.,G - All Ages,0,Winter 1989,Unknown,Educational
51,Meitantei Conan: Internet Nazo no Mail Jiken,Detective Conan: The Internet - The Mysterious E-mail Case,6.39,10365,7409,2,OVA,1,Finished Airing,"Jun 23, 2000",Shogakukan,"None found, add some","None found, add some",Manga,Mystery,Kids,14 min.,G - All Ages,3,,,School
52,Massugu ni Ikou.,,6.39,8905,7408,4,TV,4,Finished Airing,"Aug 18, 2003 to Aug 21, 2003",Yomiuri Telecasting,"None found, add some",Yumeta Company,Manga,"Comedy, Romance, Slice of Life",Josei,21 min. per ep.,PG - Children,7,Summer 2003,Unknown,Pets
53,Monster Strike,,6.39,4450,7410,24,ONA,51,Finished Airing,"Oct 10, 2015 to Dec 3, 2016","Ultra Super Pictures,       XFLAG","None found, add some",Studio Hibari,Game,"Action, Fantasy",,8 min. per ep.,PG-13 - Teens 13 or older,33,,,Video Game
54,Null Peta,Null & Peta,6.39,4618,7411,22,ONA,12,Finished Airing,"Oct 4, 2019 to Dec 20, 2019","None found, add some","None found, add some",Shin-Ei Animation,Mixed media,"Comedy, Sci-Fi",,5 min. per ep.,PG-13 - Teens 13 or older,17,,,
55,One Piece 4D,,6.39,9218,7412,4,Special,1,Finished Airing,"Mar 13, 2015","None found, add some","None found, add some","None found, add some",Manga,"Action, Adventure",Shounen,5 min.,PG - Children,17,,,
56,One Piece: Innen no Log! Mugiwara no Ichimi to Cipher Pol,One Piece: The Log of the Rivalry! The Straw Hats vs. Cipher Pol,6.39,12344,7413,1,TV Special,1,Finished Airing,"Apr 14, 2024","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older,3,,,
57,Princess Princess Specials,,6.39,10765,7415,2,Special,12,Finished Airing,"Jul 19, 2006 to Dec 20, 2006","None found, add some","None found, add some",Studio Deen,Manga,Comedy,Shoujo,1 min. per ep.,PG-13 - Teens 13 or older,1,,,"Crossdressing, School"
58,Pokemon: Pikachu no Fuyuyasumi (2001),Pokémon: Pikachu's Winter Vacation (2001),6.39,6381,7414,10,OVA,3,Finished Airing,"Dec 22, 2000","None found, add some",4Kids Entertainment,OLM,Game,"Adventure, Comedy, Fantasy",Kids,15 min. per ep.,PG - Children,4,,,
59,Project A-Ko 4: Final,Project A-ko: Love & Robots,6.39,7838,7416,6,OVA,1,Finished Airing,"Oct 7, 1989",Pony Canyon,"Central Park Media,       Discotek Media",Studio Fantasia,Original,"Action, Comedy, Sci-Fi",,53 min.,R+ - Mild Nudity,1,,,"Mecha, Super Power"
60,Puso Ni Comi: Okawari,,6.39,13610,7417,1,ONA,26,Finished Airing,"Apr 7, 2020 to Sep 29, 2020",Sega,"None found, add some",Point Pictures,Web manga,Comedy,,4 min. per ep.,PG-13 - Teens 13 or older,0,,,"Parody, Video Game"
61,RahXephon Specials,,6.39,9117,7418,4,Special,2,Finished Airing,"Aug 19, 2003 to Feb 19, 2004","None found, add some",Sentai Filmworks,Bones,Original,"Action, Drama, Mystery, Romance, Sci-Fi",,19 min. per ep.,PG-13 - Teens 13 or older,0,,,"Mecha, Music"
62,Rail Wars!,,6.39,1152,7419,212,TV,12,Finished Airing,"Jul 4, 2014 to Sep 19, 2014","Lantis,       Pony Canyon,       TBS",Sentai Filmworks,Passione,Light novel,"Action, Ecchi",,24 min. per ep.,PG-13 - Teens 13 or older,289,Summer 2014,Unknown,"Harem, Workplace"
63,Samurai Giants,,6.39,11635,7420,1,TV,46,Finished Airing,"Oct 7, 1973 to Sep 15, 1974",Yomiuri Telecasting,"None found, add some","Madhouse,       Tokyo Movie Shinsha",Manga,Sports,Shounen,25 min. per ep.,PG-13 - Teens 13 or older,5,Fall 1973,Unknown,Team Sports
64,Sasurai no Taiyou,Nozomi In The Sun,6.39,10789,7421,2,TV,26,Finished Airing,"Apr 8, 1971 to Sep 30, 1971","None found, add some","None found, add some",Mushi Production,Manga,Drama,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,10,Spring 1971,Unknown,Music
65,Sentimental Journey,,6.39,8774,7422,4,TV,12,Finished Airing,"Apr 8, 1998 to Jul 1, 1998","None found, add some",Media Blasters,Sunrise,Visual novel,"Drama, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,16,Spring 1998,Unknown,
66,Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako! 2,,6.39,7113,7423,7,Special,8,Finished Airing,"Jan 25, 2008 to Aug 29, 2008","None found, add some",Funimation,J.C.Staff,Light novel,"Comedy, Fantasy, Supernatural",,4 min. per ep.,PG-13 - Teens 13 or older,1,,,
67,Sojunghan Nal-ui Kkum,Green Days: Dinosaur and I,6.39,11057,7424,2,Movie,1,Finished Airing,"Jun 16, 2011","Studio MWP,       EBS","None found, add some","Studio Meditation With a Pencil,       Iconix Entertainment",Original,"Comedy, Drama, Romance",,1 hr. 39 min.,PG-13 - Teens 13 or older,2,,,
68,"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.","My Instant Death Ability is So Overpowered, No One in This Other World Stands a Chance Against Me!",6.39,1856,7425,118,TV,12,Finished Airing,"Jan 5, 2024 to Mar 22, 2024","Mainichi Broadcasting System,       KlockWorx,       Earth Star Entertainment,       Tokyo MX,       BS11,       JR East Marketing & Communications,       Nichion,       MAGNET,       AQUA ARIS",Sentai Filmworks,Okuruto Noboru,Light novel,"Action, Adventure, Comedy, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,557,Winter 2024,Fridays at 00:30 (JST),"Isekai, Parody"
69,Soukou Kihei Votoms: Case;Irvine,Armored Trooper Votoms: Case; Irvine,6.39,9862,7426,3,OVA,1,Finished Airing,"Nov 6, 2010","None found, add some","None found, add some",Sunrise,Original,"Drama, Sci-Fi",,49 min.,R - 17+ (violence & profanity),2,,,"Mecha, Military"
70,Tamagotchi!,,6.39,11588,7428,1,TV,143,Finished Airing,"Oct 12, 2009 to Sep 3, 2012","None found, add some","None found, add some",OLM Digital,Game,Comedy,Kids,25 min. per ep.,G - All Ages,10,Fall 2009,Unknown,
71,Spy Kyoushitsu,Spy Classroom,6.39,1581,7427,145,TV,12,Finished Airing,"Jan 5, 2023 to Mar 30, 2023","Movic,       AT-X,       Studio Mausu,       BS NTV,       Kadokawa",Sentai Filmworks,feel.,Light novel,"Action, Fantasy, Mystery",,23 min. per ep.,PG-13 - Teens 13 or older,712,Winter 2023,Thursdays at 22:30 (JST),
72,Tejina-senpai,Magical Sempai,6.39,882,7429,278,TV,12,Finished Airing,"Jul 2, 2019 to Sep 17, 2019","Nihon Ad Systems,       Kodansha,       KlockWorx,       flying DOG,       Avex Pictures,       Q-Tec,       Docomo Anime Store,       GYAO!,       BS NTV,       Marui Group","None found, add some",LIDENFILMS,Manga,"Comedy, Ecchi",Seinen,12 min. per ep.,PG-13 - Teens 13 or older,481,Summer 2019,Tuesdays at 23:00 (JST),"Romantic Subtext, School"
73,Tezuka Osamu ga Kieta?! 20-seiki Saigo no Kaijiken,Osamu Tezuka's Last Mystery of the 20th Century,6.39,13184,7430,1,TV Special,1,Finished Airing,"Dec 5, 2000",Tezuka Productions,"None found, add some","None found, add some",Unknown,Mystery,,41 min.,PG - Children,0,,,
74,The Hakkenden: Shin Shou,The Hakkenden: Legend of the Dog Warriors Part 2,6.39,10129,7431,2,OVA,7,Finished Airing,"Nov 25, 1993 to Mar 25, 1995",Pioneer LDC,Geneon Entertainment USA,"Artland,       AIC",Novel,"Action, Adventure",Shounen,30 min. per ep.,R - 17+ (violence & profanity),5,,,"Historical, Martial Arts, Mythology, Samurai"
75,Time Bokan Series: Yattodetaman,Firebird,6.39,11066,7432,2,TV,52,Finished Airing,"Feb 7, 1981 to Feb 6, 1982","None found, add some","None found, add some",Tatsunoko Production,Unknown,"Action, Adventure, Comedy, Fantasy",,20 min. per ep.,PG-13 - Teens 13 or older,3,Winter 1981,Unknown,Mecha
76,Toaru Ossan no VRMMO Katsudouki,A Playthrough of a Certain Dude's VRMMO Life,6.39,2584,7433,71,TV,12,Finished Airing,"Oct 3, 2023 to Dec 19, 2023","Yomiko Advertising,       KlockWorx,       King Records,       Stay Luck,       AlphaPolis","None found, add some",Maho Film,Light novel,"Action, Adventure, Comedy, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,196,Fall 2023,Tuesdays at 01:05 (JST),Video Game
77,Tono to Issho: Gantai no Yabou,,6.39,9866,7434,3,TV,12,Finished Airing,"Apr 5, 2011 to Jun 21, 2011",Frontier Works,"None found, add some",Gathering,4-koma manga,Comedy,Seinen,3 min. per ep.,PG-13 - Teens 13 or older,1,Spring 2011,Unknown,"Historical, Parody, Samurai"
78,Wakakusa no Yon Shimai,Little Women,6.39,11524,7435,1,TV,26,Finished Airing,"Apr 7, 1981 to Sep 29, 1981",Kokusai Eigasha,"None found, add some",Toei Animation,Novel,"Drama, Slice of Life",,23 min. per ep.,G - All Ages,2,Spring 1981,Unknown,Historical
79,Weiqi Shaonian,Chess Player,6.39,14647,7436,736,TV,26,Finished Airing,"Jul 28, 2005 to 2009",CCTV Animation,"None found, add some","None found, add some",Original,,,22 min. per ep.,PG - Children,4,?,Unknown,"Historical, Strategy Game"
80,Xian Wu Cangqiong,Martial God Stream,6.39,13703,7437,979,ONA,48,Finished Airing,"Jul 3, 2022 to Nov 20, 2022",iQIYI,"None found, add some",Ruo Hong Culture,Original,"Action, Fantasy",,7 min. per ep.,PG-13 - Teens 13 or older,3,,,Martial Arts
81,Yatogame-chan Kansatsu Nikki Sansatsume,,6.39,5508,7438,14,TV,12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021","None found, add some","None found, add some","Creators in Pack,       LEVELS",4-koma manga,"Comedy, Slice of Life",Shounen,3 min. per ep.,PG-13 - Teens 13 or older,16,Winter 2021,Sundays at 21:54 (JST),School
82,Yuri Seijin Naoko-san (2012),,6.39,5594,7439,14,OVA,1,Finished Airing,"Feb 15, 2012",Aniplex,"None found, add some",ufotable,Manga,"Comedy, Girls Love",,28 min.,PG-13 - Teens 13 or older,30,,,
83,Shiroi Kiba White Fang Monogatari,,6.38,12634,7440,1,TV Special,1,Finished Airing,"May 5, 1982",TBS,"None found, add some",Sunrise,Novel,"Adventure, Drama",,1 hr. 13 min.,G - All Ages,0,,,Historical
84,Si Hai Jing Qi 2nd Season,,6.38,15790,7441,544,ONA,24,Finished Airing,"Oct 24, 2019 to Mar 12, 2020",iQIYI,"None found, add some",Chosen,Novel,"Action, Adventure, Fantasy, Mystery",,15 min. per ep.,PG-13 - Teens 13 or older,0,,,"Historical, Martial Arts, Military"
85,Sister Princess,,6.38,4393,7442,25,TV,26,Finished Airing,"Apr 4, 2001 to Sep 26, 2001","Starchild Records,       TV Tokyo Music,       GANSIS","ADV Films,       Discotek Media",Zexcs,Light novel,"Comedy, Drama, Romance",,23 min. per ep.,PG-13 - Teens 13 or older,87,Spring 2001,Unknown,Harem
86,Space Cobra Pilot,,6.38,10489,7443,2,Special,1,Finished Airing,"Dec 31, 1981","None found, add some",Nozomi Entertainment,Tokyo Movie Shinsha,Manga,"Action, Adventure, Sci-Fi",Shounen,23 min.,PG-13 - Teens 13 or older,1,,,"Adult Cast, Space"
87,Wan Jie Zhizun,,6.38,14757,7445,707,ONA,50,Finished Airing,"Nov 24, 2022 to May 3, 2023",iQIYI,"None found, add some",Ruo Hong Culture,Unknown,"Action, Adventure, Fantasy",,10 min. per ep.,PG-13 - Teens 13 or older,1,,,Martial Arts
88,To Heart: Remember My Memories,,6.38,6422,7444,10,TV,13,Finished Airing,"Oct 2, 2004 to Dec 25, 2004","Rondo Robe,       Geneon Entertainment","None found, add some","OLM,       AIC ASTA",Visual novel,"Drama, Romance, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,6,Fall 2004,Unknown,"Harem, School"
