,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
137,Arc the Lad,,6.49,5215,6857,16,TV,26,Finished Airing,"Apr 5, 1999 to Oct 11, 1999",Spring 1999,Mondays at 19:00 (JST),"Sony Pictures Entertainment,       Aniplex,       Sony Interactive Entertainment",ADV Films,Bee Train,Game,"Action, Adventure, Fantasy, Horror, Sci-Fi",,,22 min. per ep.,R - 17+ (violence & profanity),16
138,Aozora Shoujo-tai,801 T.T.S. Airbats,6.49,6662,6856,9,OVA,7,Finished Airing,"Oct 21, 1994 to Aug 21, 1996",,,"None found, add some",ADV Films,Studio Fantasia,Manga,"Action, Comedy, Romance",Military,Shounen,27 min. per ep.,R+ - Mild Nudity,26
139,Artiswitch Picture Drama,,6.49,12347,6858,1,ONA,5,Finished Airing,"Dec 3, 2021 to Feb 4, 2022",,,"None found, add some","None found, add some",Sunrise,Original,"Slice of Life, Supernatural",,,5 min. per ep.,PG-13 - Teens 13 or older,4
140,Bakuon!!,,6.49,2757,6860,64,TV,12,Finished Airing,"Apr 5, 2016 to Jun 21, 2016",Spring 2016,Tuesdays at 00:00 (JST),"Lantis,       DAX Production,       NBCUniversal Entertainment Japan,       Akita Shoten,       eBooK Initiative Japan",Sentai Filmworks,TMS Entertainment,Manga,Comedy,"CGDCT, School",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,139
141,Assault Lily: Bouquet,,6.49,2287,6859,87,TV,12,Finished Airing,"Oct 2, 2020 to Dec 25, 2020",Fall 2020,Fridays at 01:28 (JST),Bushiroad,Funimation,Shaft,Mixed media,"Action, Fantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,302
142,Danchigai,,6.49,1858,6861,117,TV,12,Finished Airing,"Jul 10, 2015 to Sep 25, 2015",Summer 2015,Fridays at 01:00 (JST),"DAX Production,       Dream Creation","None found, add some",Creators in Pack,4-koma manga,"Comedy, Slice of Life",Iyashikei,,3 min. per ep.,PG-13 - Teens 13 or older,126
143,Dirty Pair Flash 3,,6.49,8737,6862,4,OVA,5,Finished Airing,"Dec 21, 1995 to Apr 25, 1996",,,VAP,"ADV Films,       Nozomi Entertainment",Sunrise,Light novel,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,,27 min. per ep.,R+ - Mild Nudity,1
144,DNA² OVA,,6.49,5681,6863,13,OVA,3,Finished Airing,"Feb 21, 1995 to Jun 25, 1995",,,"Bandai Visual,       Movic","Central Park Media,       Discotek Media",Madhouse,Manga,"Comedy, Drama, Sci-Fi",Time Travel,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,7
145,Esper Mami,Mami the Psychic,6.49,10398,6865,2,TV,119,Finished Airing,"Apr 7, 1987 to Oct 26, 1989",Spring 1987,Unknown,"None found, add some","None found, add some",Shin-Ei Animation,Manga,"Comedy, Supernatural, Ecchi","School, Super Power",,24 min. per ep.,PG-13 - Teens 13 or older,10
146,Dragon Ball GT,,6.49,342,6864,634,TV,64,Finished Airing,"Feb 7, 1996 to Nov 19, 1997",Winter 1996,Wednesdays at 19:00 (JST),Fuji TV,Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy","Martial Arts, Super Power",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"2,076"
147,Estab-Life: Great Escape,Establishment in Life,6.49,6015,6866,11,TV,12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022",Spring 2022,Thursdays at 00:55 (JST),"Dentsu,       Square Enix,       Fuji TV,       GAGA,       Slow Curve,       BS Fuji,       Crunchyroll,       Rakuten","None found, add some",Polygon Pictures,Mixed media,Sci-Fi,,,22 min. per ep.,PG-13 - Teens 13 or older,44
148,Fuyu no Sonata: Joshou - Hatsuyuki no Negai,Winter Sonata Prologue: The First Snow Wish,6.49,8898,6867,4,Special,1,Finished Airing,"Oct 17, 2009",,,Yoon's Color,"None found, add some","Studio Comet,       KeyEast,       REALTHING",Other,"Drama, Romance",,,25 min.,PG-13 - Teens 13 or older,2
149,Ginga Shippuu Sasuraiger,Galactic Gale Sasuraiger,6.49,11607,6868,1,TV,43,Finished Airing,"Apr 5, 1983 to Jan 31, 1984",Spring 1983,Unknown,"TV Tokyo,       Kokusai Eigasha",Discotek Media,"None found, add some",Original,"Action, Adventure",Mecha,,25 min. per ep.,PG-13 - Teens 13 or older,3
150,Gokinjo Monogatari the Movie,Neighborhood Story The Movie,6.49,9332,6869,3,Movie,1,Finished Airing,"Mar 2, 1996",,,"None found, add some","None found, add some",Toei Animation,Original,"Comedy, Drama, Romance",Visual Arts,,30 min.,G - All Ages,6
151,Great Teacher Onizuka Recaps,,6.49,13594,6870,1,TV Special,2,Finished Airing,"Sep 3, 2000 to Sep 24, 2000",,,"None found, add some","None found, add some",Pierrot,Manga,"Comedy, Drama","Delinquents, School",Shounen,35 min. per ep.,R - 17+ (violence & profanity),2
152,Guan Miao Shenmeshi,My Cat Hates Me,6.49,15611,6871,568,ONA,13,Finished Airing,"Jan 2, 2023 to Mar 20, 2023",,,"None found, add some","None found, add some","None found, add some",Manga,Comedy,Pets,,5 min. per ep.,PG-13 - Teens 13 or older,2
153,Happy☆Lucky Bikkuriman,,6.49,13833,6873,940,TV,46,Finished Airing,"Oct 15, 2006 to Sep 30, 2007",Fall 2006,Unknown,TV Asahi,"None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Fantasy",,Kids,24 min. per ep.,G - All Ages,1
154,Hei Men,Swarm,6.49,13883,6874,926,ONA,12,Finished Airing,"Jul 29, 2022 to Oct 7, 2022",,,"bilibili,       BeDream","None found, add some",Chosen,Original,Sci-Fi,,,24 min. per ep.,PG-13 - Teens 13 or older,1
155,Gundam: G no Reconguista Movie II - Bellri Gekishin,Gundam Reconguista in G II: Bellri's Fierce Charge,6.49,9956,6872,3,Movie,1,Finished Airing,"Feb 21, 2020",,,"None found, add some","None found, add some",Sunrise,Original,"Action, Sci-Fi","Mecha, Space",,1 hr. 34 min.,PG-13 - Teens 13 or older,4
156,Hero Mask 2nd Season,Hero Mask,6.49,5748,6875,13,ONA,9,Finished Airing,"Aug 23, 2019",,,"Sotsu,       Netflix",Sentai Filmworks,Pierrot,Original,"Action, Mystery, Sci-Fi",Detective,,24 min. per ep.,R - 17+ (violence & profanity),16
157,Hi☆sCoool! SeHa Girls,,6.49,5982,6876,12,TV,13,Finished Airing,"Oct 8, 2014 to Dec 24, 2014",Fall 2014,Wednesdays at 22:00 (JST),Sega,Discotek Media,TMS Entertainment,Other,Comedy,"Parody, Video Game",,11 min. per ep.,PG-13 - Teens 13 or older,48
