,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
14,Choujikuu Seiki Orguss,The Super Dimension Century Orguss,6.46,7467,7028,6,TV,35,Finished Airing,"Jul 3, 1983 to Apr 8, 1984","Artland,       Victor Entertainment,       Mainichi Broadcasting System,       Big West","Discotek Media,       ImaginAsian Entertainment","Tokyo Movie Shinsha,       Studio Nue",Original,"Action, Adventure, Romance, Sci-Fi",Mecha,,25 min. per ep.,PG-13 - Teens 13 or older,13,Summer 1983,Unknown
15,Cinderella Girls Gekijou: Climax Season,,6.46,8680,7029,4,TV,13,Finished Airing,"Apr 2, 2019 to Jun 25, 2019",Kadokawa,"None found, add some","Gathering,       Lesprit",4-koma manga,"Comedy, Slice of Life",,,3 min. per ep.,PG-13 - Teens 13 or older,4,Spring 2019,Tuesdays at 21:54 (JST)
16,Comic Party Revolution,Comic Party: Revolution,6.46,6333,7030,10,TV,13,Finished Airing,"Apr 4, 2005 to Jun 28, 2005",AQUAPLUS,"ADV Films,       Funimation","Radix,       Chaos Project",Visual novel,"Comedy, Drama",Otaku Culture,,24 min. per ep.,PG-13 - Teens 13 or older,9,Spring 2005,Tuesdays at 02:15 (JST)
17,Crayon Shin-chan Manatsu no Yoru ni Ora Sanjou! Arashi wo Yobu Den-O vs. Shin-O 60-pun Special!!,Crayon Shin-Chan: Den-O vs. Shin-O,6.46,10953,7031,2,Special,1,Finished Airing,"Aug 3, 2007",TV Asahi,"None found, add some","None found, add some",Manga,"Action, Comedy",Super Power,Seinen,11 min.,G - All Ages,2,,
18,"Dakara Boku wa, H ga Dekinai. Recap","So, I Can't Play H! Recap",6.46,4300,7032,27,TV Special,1,Finished Airing,"Aug 24, 2012","Geneon Universal Entertainment,       Sotsu,       Lantis","None found, add some",feel.,Light novel,"Comedy, Romance, Supernatural, Ecchi","Harem, School",,23 min.,R+ - Mild Nudity,22,,
19,Dan Dao Zongshi,,6.46,14511,7033,770,ONA,40,Finished Airing,"Feb 27, 2023 to Jul 3, 2023","None found, add some","None found, add some",Quyue Technology,Novel,"Action, Fantasy",,,8 min. per ep.,PG-13 - Teens 13 or older,3,,
20,Digimon Adventure:,,6.46,2929,7034,57,TV,67,Finished Airing,"Apr 5, 2020 to Sep 26, 2021","Gallop,       Yomiko Advertising,       Fuji TV","None found, add some",Toei Animation,Other,"Action, Adventure, Comedy, Fantasy",Isekai,Kids,23 min. per ep.,PG - Children,201,Spring 2020,Sundays at 09:00 (JST)
21,Etotama Specials,,6.46,6988,7035,8,Special,6,Finished Airing,"May 13, 2015 to Jul 1, 2015","None found, add some","None found, add some","Shirogumi,       Encourage Films",Original,"Action, Comedy, Fantasy",,,1 min. per ep.,PG-13 - Teens 13 or older,4,,
22,Gakuen Heaven,,6.46,2648,7036,68,TV,13,Finished Airing,"Apr 1, 2006 to Jun 24, 2006","Visual Arts,       Geneon Entertainment",Media Blasters,Tokyo Kids,Visual novel,"Boys Love, Comedy, Drama","Reverse Harem, School",,26 min. per ep.,PG-13 - Teens 13 or older,169,Spring 2006,Unknown
23,Gundam Build Divers Prologue,,6.46,7168,7037,7,ONA,1,Finished Airing,"Feb 2, 2018","None found, add some","None found, add some",Sunrise,Original,"Action, Sci-Fi",Mecha,,14 min.,G - All Ages,3,,
