,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Premiered,Broadcast,Demographics
23,To Heart,,6.58,4200,6315,28,TV,13,Finished Airing,"Apr 2, 1999 to Jun 25, 1999",KSS,Nozomi Entertainment,OLM,Visual novel,"Drama, Romance","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,69,Spring 1999,Fridays at 00:35 (JST),
24,Tottoko Hamtarou OVA 1: Hamtaro no Otanjoubi - Mama wo Tasunete Sanzen Techi Techi,Hamtaro: Hamtaro's Birthday! - 3000 Hammy Steps in Search of Mommy,6.58,11003,6316,2,OVA,1,Finished Airing,"Nov 21, 2002",Shogakukan-Shueisha Productions,VIZ Media,TMS Entertainment,Unknown,"Adventure, Comedy",,44 min.,G - All Ages,2,,,Kids
25,"Touch: Miss Lonely Yesterday - Are kara, Kimi wa...",,6.58,9216,6317,4,TV Special,1,Finished Airing,"Dec 22, 1998","VAP,       TOHO,       Nippon Television Network,       Shogakukan,       Toho Music","None found, add some",Group TAC,Unknown,"Romance, Sports",Team Sports,1 hr. 30 min.,R+ - Mild Nudity,2,,,Shounen
26,Usavich IV,,6.58,10079,6318,3,TV,13,Finished Airing,"Apr 23, 2011 to Sep 15, 2011","None found, add some","None found, add some",Kanaban Graphics,Original,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,1,Spring 2011,Unknown,
27,Wagaya no Oinari-sama.: Kuu-chan no Omake Gekijou,,6.58,9678,6319,3,Special,12,Finished Airing,"Jul 25, 2008 to Jun 26, 2009","None found, add some","None found, add some","None found, add some",Light novel,"Adventure, Comedy, Fantasy, Supernatural",,2 min. per ep.,PG-13 - Teens 13 or older,0,,,
28,Xiao Lu He Xiao Lan 3rd Season,Beryl and Sapphire 3rd Season,6.58,15105,6320,645,ONA,12,Finished Airing,"Sep 27, 2023 to Dec 14, 2023","None found, add some","None found, add some","None found, add some",Web manga,"Boys Love, Comedy, Drama, Fantasy",,8 min. per ep.,PG-13 - Teens 13 or older,0,,,
29,Yi Ren Zhi Xia: Fanwai Pian,,6.58,7013,6321,8,ONA,2,Finished Airing,"Sep 30, 2018 to Apr 14, 2019",Tencent Animation & Comics,"None found, add some",Qiyuan Yinghua,Web manga,"Action, Supernatural",Super Power,16 min. per ep.,R - 17+ (violence & profanity),6,,,
30,Youjo Shachou,Cute Executive Officer,6.58,9349,6322,3,ONA,13,Finished Airing,"Jan 1, 2021","Magic Capsule,       Fabtone",Sentai Filmworks,Project No.9,Manga,Comedy,Workplace,3 min. per ep.,PG-13 - Teens 13 or older,10,,,
31,Zhen Dao Ge: Chenshi Hang,,6.58,15035,6323,656,ONA,1,Finished Airing,"Feb 1, 2022",Infinity Animations,"None found, add some","None found, add some",Unknown,"Action, Adventure",Martial Arts,1 hr. 40 min.,PG-13 - Teens 13 or older,1,,,
32,.hack//Liminality,,6.58,3837,6324,34,OVA,4,Finished Airing,"Jun 20, 2002 to Apr 10, 2003","Bandai Visual,       Bandai,       CyberConnect2",Bandai Entertainment,Bee Train,Original,Mystery,Video Game,33 min. per ep.,PG-13 - Teens 13 or older,34,,,
33,3 Choume no Tama: Uchi no Tama Shirimasen ka?,Tama of Third Street: Have You Seen My Tama?,6.58,10251,6325,2,TV,36,Finished Airing,"Nov 21, 1988 to Sep 25, 1994","Sony Music Entertainment,       Sony Creative Products","None found, add some",Group TAC,Other,Adventure,Pets,23 min. per ep.,G - All Ages,8,Fall 1988,Unknown,
34,Afternoon Class,,6.58,18434,6326,317,Movie,1,Finished Airing,"Oct 31, 2015","None found, add some","None found, add some","None found, add some",Original,Comedy,School,3 min.,PG-13 - Teens 13 or older,0,,,
35,Akai Koudan Zillion,Zillion,6.58,7842,6327,6,TV,31,Finished Airing,"Apr 12, 1987 to Dec 13, 1987","Victor Entertainment,       Yomiko Advertising,       Nippon Television Network,       Streamline Pictures",Funimation,Tatsunoko Production,Mixed media,"Action, Adventure, Sci-Fi",Military,24 min. per ep.,PG-13 - Teens 13 or older,23,Spring 1987,Unknown,
36,Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,Cyber Team in Akihabara: 2011 Summer Vacations,6.58,10042,6328,3,Movie,1,Finished Airing,"Aug 14, 1999","GANSIS,       Audio Tanaka","None found, add some",Production I.G,Original,"Adventure, Comedy, Sci-Fi",Mecha,1 hr.,PG-13 - Teens 13 or older,6,,,
37,Asobot Senki Gokuu,Monkey Typhoon,6.58,9312,6329,3,TV,52,Finished Airing,"Oct 1, 2002 to Sep 30, 2003",TV Tokyo,"None found, add some",Studio Egg,Manga,"Action, Adventure, Comedy, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,8,Fall 2002,Tuesdays at 18:30 (JST),Shounen
38,Beyblade Burst,,6.58,3921,6331,32,TV,51,Finished Airing,"Apr 4, 2016 to Mar 27, 2017","TV Tokyo,       d-rights",ADK Emotions NY Inc.,OLM,Manga,"Adventure, Sci-Fi, Sports",,24 min. per ep.,PG - Children,187,Spring 2016,Mondays at 17:55 (JST),Kids
39,B-Project: Kodou*Ambitious,,6.58,3246,6330,46,TV,12,Finished Airing,"Jul 3, 2016 to Sep 25, 2016","Aniplex,       Movic,       MAGES.,       Tokyo MX,       Hakuhodo DY Music & Pictures,       BS11,       Lawson,       ABC Animation,       Christmas Holly,       C-one","None found, add some",A-1 Pictures,Mixed media,,"Idols (Male), Music",24 min. per ep.,PG-13 - Teens 13 or older,185,Summer 2016,Sundays at 00:30 (JST),
40,Carole & Tuesday: Gus to Roddy no Kaisouroku,,6.58,8406,6332,5,TV Special,1,Finished Airing,"Jul 4, 2019","None found, add some","None found, add some",Bones,Original,"Drama, Romance, Sci-Fi",Music,22 min.,PG-13 - Teens 13 or older,5,,,
41,Da Nao Tiangong,Uproar in Heaven,6.58,12932,6333,1,Movie,1,Finished Airing,1964,"None found, add some","None found, add some",Shanghai Animation Film Studio,Novel,Adventure,,1 hr. 54 min.,G - All Ages,6,,,
42,Darwin's Game: Log Line,,6.58,5078,6334,18,TV Special,1,Finished Airing,"Feb 1, 2020","None found, add some","None found, add some",Nexus,Manga,"Action, Mystery, Sci-Fi, Suspense","High Stakes Game, Super Power, Survival",24 min.,R - 17+ (violence & profanity),29,,,Shounen
43,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,Dragon Ball Z: The World's Strongest,6.58,1899,6335,115,Movie,1,Finished Airing,"Mar 10, 1990","None found, add some",Funimation,Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy, Sci-Fi",,1 hr.,PG-13 - Teens 13 or older,33,,,Shounen
44,Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,Dragon Ball Z: Plan to Eradicate the Super Saiyans,6.58,3405,6336,43,OVA,1,Finished Airing,"Nov 11, 2010","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Fantasy, Sci-Fi","Martial Arts, Super Power",30 min.,PG-13 - Teens 13 or older,14,,,Shounen
45,Five Star Stories,The Five Star Stories,6.58,5566,6339,14,Movie,1,Finished Airing,"Mar 11, 1989",Kadokawa Shoten,ADV Films,Sunrise,Manga,"Action, Drama, Fantasy, Sci-Fi",Mecha,1 hr. 5 min.,R+ - Mild Nudity,48,,,
46,Dragonaut: The Resonance,Dragonaut - The Resonance,6.58,2464,6337,77,TV,25,Finished Airing,"Oct 4, 2007 to Mar 27, 2008","Nihon Ad Systems,       Sotsu Music Publishing",Funimation,Gonzo,Original,"Action, Drama, Fantasy, Romance, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,118,Fall 2007,Unknown,
47,Element Hunters,,6.58,5692,6338,13,TV,39,Finished Airing,"Jul 4, 2009 to Mar 27, 2010",NHK,"None found, add some","Heewon Entertainment,       NHK Enterprises",Original,Sci-Fi,,24 min. per ep.,G - All Ages,20,Summer 2009,Saturdays at 18:00 (JST),
48,Girls & Panzer Movie: 3-pun Chotto de Wakaru!! Girls & Panzer,,6.58,7537,6340,6,Movie,1,Finished Airing,"Nov 21, 2015","None found, add some",Sentai Filmworks,Actas,Original,,"CGDCT, Military, School",3 min.,PG-13 - Teens 13 or older,11,,,
49,"Gon Movie: Gon, the Little Fox","Gon, the Little Fox",6.58,14146,6341,860,Movie,1,Finished Airing,"Feb 28, 2020","None found, add some","None found, add some",Tecarat,Book,Drama,,28 min.,PG - Children,0,,,
50,Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun - One More Centimeter,Grimgar: Staking Our Youths on the Bath Wall - One More Centimeter,6.58,2915,6342,57,Special,1,Finished Airing,"Mar 16, 2016","None found, add some",Funimation,A-1 Pictures,Light novel,Comedy,,11 min.,PG-13 - Teens 13 or older,40,,,
51,Happy☆Lesson: Hokahoka★Kanna to Futari Kiri,,6.58,9376,6343,3,TV Special,1,Finished Airing,2002,KSS,"None found, add some","None found, add some",Manga,"Comedy, Romance",Harem,25 min.,G - All Ages,0,,,
52,Honoo no Tenkousei,,6.58,7204,6344,7,OVA,2,Finished Airing,"May 21, 1991","Studio Fantasia,       Youmex,       Imagine","None found, add some",Gainax,Manga,"Comedy, Sports","Combat Sports, Martial Arts, Parody, School",23 min. per ep.,PG-13 - Teens 13 or older,14,,,Shounen
53,Ai no Gakkou Cuore Monogatari,,6.57,10178,6345,2,TV,26,Finished Airing,"Apr 3, 1981 to Sep 25, 1981","Trans Arts,       Mainichi Broadcasting System","None found, add some",Nippon Animation,Novel,"Drama, Slice of Life","Historical, School",25 min. per ep.,G - All Ages,5,Spring 1981,Unknown,
54,Alps no Shoujo Heidi: Alm no Yama-hen,,6.57,11260,6346,2,Movie,1,Finished Airing,"Aug 21, 1996","None found, add some","None found, add some",Nippon Animation,Unknown,Drama,Historical,1 hr. 28 min.,PG - Children,1,,,
55,Arslan Senki (TV): Tsuioku no Shou - Dakkan no Yaiba,The Heroic Legend of Arslan: Chapter of Reminiscence - The Blade to Retake the Kingdom,6.57,5606,6347,14,TV Special,1,Finished Airing,"Jul 5, 2015","Mainichi Broadcasting System,       Kodansha,       Magic Capsule,       Graphinica,       NBCUniversal Entertainment Japan",Funimation,"SANZIGEN,       LIDENFILMS",Manga,"Action, Adventure, Drama, Fantasy","Historical, Military",24 min.,R - 17+ (violence & profanity),10,,,
56,Aru Machi Kado no Monogatari,Tales of the Street Corner,6.57,8687,6348,4,Movie,1,Finished Airing,"Nov 5, 1962","None found, add some","None found, add some",Mushi Production,Original,"Award Winning, Drama, Romance",Music,39 min.,G - All Ages,9,,,
57,Asobi ni Iku yo!,Cat Planet Cuties,6.57,1195,6349,202,TV,12,Finished Airing,"Jul 11, 2010 to Sep 26, 2010","AIC,       Lantis,       Media Factory,       Pony Canyon,       Rakuonsha,       AT-X,       KlockWorx,       Ryukyu Asahi Broadcasting",Funimation,AIC PLUS+,Light novel,"Comedy, Romance, Sci-Fi, Ecchi",Harem,24 min. per ep.,R+ - Mild Nudity,529,Summer 2010,Sundays at 01:58 (JST),
58,Bear Bear Bear Kuma!,,6.57,6765,6350,8,ONA,12,Finished Airing,"Oct 9, 2020 to Dec 25, 2020","Nippon Columbia,       Kanon Sound","None found, add some",EMT Squared,Light novel,Comedy,Isekai,30 sec. per ep.,PG-13 - Teens 13 or older,22,,,
59,Betterman,,6.57,5348,6352,15,TV,26,Finished Airing,"Apr 2, 1999 to Oct 1, 1999","None found, add some","Bandai Entertainment,       Sentai Filmworks",Sunrise,Original,"Action, Adventure, Drama, Horror, Mystery, Sci-Fi","Mecha, Psychological",24 min. per ep.,R - 17+ (violence & profanity),84,Spring 1999,Fridays at 01:15 (JST),
60,Berserk 2nd Season,Berserk: Season II,6.57,1280,6351,188,TV,12,Finished Airing,"Apr 7, 2017 to Jun 23, 2017","WOWOW,       Mainichi Broadcasting System,       Hakusensha,       Ultra Super Pictures,       LIDENFILMS,       NBCUniversal Entertainment Japan,       Lucent Pictures Entertainment,       Docomo Anime Store,       Koei Tecmo Games","Funimation,       Crunchyroll","Millepensee,       GEMBA",Manga,"Action, Adventure, Drama, Fantasy, Horror","Gore, Military",24 min. per ep.,R - 17+ (violence & profanity),504,Spring 2017,Fridays at 22:30 (JST),Seinen
61,Bomberman B-Daman Bakugaiden,,6.57,9449,6353,3,TV,48,Finished Airing,"Feb 7, 1998 to Jan 31, 1999",Nagoya Broadcasting Network,"None found, add some",Madhouse,Game,"Comedy, Sci-Fi",,24 min. per ep.,PG - Children,11,Winter 1998,Saturdays at 17:00 (JST),
62,Cardfight!! Vanguard: will+Dress Season 3,,6.57,10093,6354,3,TV,13,Finished Airing,"Jul 8, 2023 to Oct 7, 2023",Bushiroad,"None found, add some","Kinema Citrus,       GIFTanimation,       Studio Jemi",Original,Action,Strategy Game,24 min. per ep.,PG-13 - Teens 13 or older,15,Summer 2023,Saturdays at 08:00 (JST),
63,Comic Party,,6.57,4846,6356,20,TV,13,Finished Airing,"Apr 2, 2001 to Jun 25, 2001",KSS,"Nozomi Entertainment,       Discotek Media",OLM,Visual novel,"Comedy, Drama",Otaku Culture,24 min. per ep.,PG-13 - Teens 13 or older,34,Spring 2001,Unknown,
64,C³,C³ - CubexCursedxCurious,6.57,1354,6355,177,TV,12,Finished Airing,"Oct 1, 2011 to Dec 17, 2011",Starchild Records,Funimation,SILVER LINK.,Light novel,"Action, Comedy, Supernatural, Ecchi","Harem, School",24 min. per ep.,R - 17+ (violence & profanity),263,Fall 2011,Unknown,
65,Da Zhu Zai,The Grand Lord,6.57,7478,6357,6,ONA,12,Finished Airing,"Aug 7, 2019 to Oct 17, 2019",iQIYI,"None found, add some","Foch Films,       TrioPen Studio",Web novel,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts",24 min. per ep.,PG-13 - Teens 13 or older,21,,,
66,Dirty Pair Flash,,6.57,6307,6359,10,OVA,6,Finished Airing,"Jan 21, 1994 to Jun 21, 1994","VAP,       Studio Jack","ADV Films,       Nozomi Entertainment",Sunrise,Light novel,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,26 min. per ep.,PG-13 - Teens 13 or older,24,,,
67,Dallyeola Hani,,6.57,13384,6358,1,TV,13,Finished Airing,"Aug 14, 1988 to Nov 20, 1988",KBS,"None found, add some",Daewon Media,Manga,Sports,,28 min. per ep.,G - All Ages,2,Summer 1988,Unknown,
68,Dirty Pair Flash 2,,6.57,8553,6360,5,OVA,5,Finished Airing,"Jun 1, 1995 to Oct 1, 1995",VAP,"ADV Films,       Nozomi Entertainment",Sunrise,Light novel,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,27 min. per ep.,R+ - Mild Nudity,7,,,
69,Doraemon and Itchy the Stray,,6.57,11457,6361,1,Special,1,Finished Airing,"Jan 2, 1987",Asatsu DK,"None found, add some","None found, add some",Unknown,"Comedy, Sci-Fi",,22 min.,PG - Children,1,,,"KidsKids,         ShounenShounen"
70,eX-Driver the Movie,,6.57,8096,6362,5,Movie,1,Finished Airing,"Apr 20, 2002","Bandai Visual,       Dentsu,       Genco",Geneon Entertainment USA,Actas,Original,"Action, Adventure, Comedy, Sci-Fi",Racing,1 hr. 2 min.,PG-13 - Teens 13 or older,5,,,
71,Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm,Fate/Kaleid Liner Prisma Illya: Prisma★Phantasm,6.57,4757,6363,21,Movie,1,Finished Airing,"Jun 14, 2019","None found, add some",Sentai Filmworks,SILVER LINK.,Manga,"Action, Comedy","Mahou Shoujo, Strategy Game",1 hr. 2 min.,PG-13 - Teens 13 or older,19,,,
72,Gegege no Kitarou (1971),,6.57,9828,6365,3,TV,45,Finished Airing,"Oct 7, 1971 to Sep 28, 1972","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Supernatural","Mythology, Super Power",24 min. per ep.,G - All Ages,4,Fall 1971,Unknown,
73,Future Card Buddyfight Battsu,Future Card Buddyfight X,6.57,8638,6364,4,TV,52,Finished Airing,"Apr 1, 2017 to Mar 31, 2018","Dentsu,       Bushiroad,       TV Aichi","None found, add some","Xebec,       OLM",Card game,,Strategy Game,23 min. per ep.,PG - Children,14,Spring 2017,Saturdays at 08:00 (JST),
74,Getsuyoubi no Tawawa Specials,Tawawa on Monday Specials,6.57,3363,6366,44,Special,2,Finished Airing,"Dec 29, 2016","NBCUniversal Entertainment Japan,       i0+","None found, add some",PINE JAM,Other,"Slice of Life, Ecchi",,5 min. per ep.,PG-13 - Teens 13 or older,37,,,
75,Gift: Eternal Rainbow,,6.57,3964,6367,32,TV,12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",Studio Jack,"None found, add some",OLM,Visual novel,"Comedy, Drama, Romance","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,31,Fall 2006,Unknown,
76,Grancrest Senki: Tsuisou,Record of Grancrest War Reminiscence,6.57,5973,6368,12,TV Special,1,Finished Airing,"Mar 24, 2018","Aniplex,       Bandai Namco Entertainment,       Good Smile Company,       BS11,       ABC Animation,       Kinoshita Group Holdings,       Kadokawa,       Cromea,       Sonilude",Aniplex of America,A-1 Pictures,Light novel,"Action, Drama, Fantasy, Gourmet",Military,23 min.,R - 17+ (violence & profanity),8,,,
77,Hanaukyou Maid-tai,,6.57,3916,6369,32,TV,12,Finished Airing,"Apr 13, 2001 to Jun 29, 2001",m.o.e.,"None found, add some",Daume,Manga,"Comedy, Romance, Ecchi",Harem,14 min. per ep.,R+ - Mild Nudity,42,Spring 2001,Unknown,Shounen
78,Hyakka Ryouran: Samurai Bride Specials,,6.57,5619,6370,14,Special,6,Finished Airing,"Jun 26, 2013 to Nov 27, 2013","Genco,       Lantis",Sentai Filmworks,Arms,Light novel,"Comedy, Ecchi",,2 min. per ep.,R+ - Mild Nudity,6,,,
79,I★Chu: Halfway Through the Idol,,6.57,5207,6371,17,TV,12,Finished Airing,"Jan 6, 2021 to Mar 24, 2021","Half H.P Studio,       Twin Engine",Muse Communication,Lay-duce,Game,,"Idols (Male), Music, School",24 min. per ep.,PG-13 - Teens 13 or older,117,Winter 2021,Wednesdays at 23:00 (JST),
80,Joshikousei: Girl's High,High School Girls,6.57,3643,6373,38,TV,12,Finished Airing,"Apr 4, 2006 to Jun 20, 2006","Genco,       Showgate,       Futabasha,       Geneon Entertainment",Media Blasters,Arms,Manga,"Comedy, Ecchi",School,24 min. per ep.,PG-13 - Teens 13 or older,74,Spring 2006,Tuesdays at 01:30 (JST),Seinen
81,Ikkitousen: Shuugaku Toushi Keppuuroku,,6.57,4886,6372,20,OVA,1,Finished Airing,"Nov 12, 2011","Genco,       Media Factory,       AT-X,       Bushiroad,       Showgate",Funimation,Arms,Manga,"Action, Ecchi","Martial Arts, School, Super Power",43 min.,R+ - Mild Nudity,7,,,Seinen
82,Kage kara Mamoru!,Guardian Ninja Mamoru,6.57,4309,6374,26,TV,12,Finished Airing,"Jan 8, 2006 to Mar 26, 2006","Aniplex,       Studio Tulip,       Tohokushinsha Film Corporation",Sentai Filmworks,Group TAC,Light novel,"Comedy, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,29,Winter 2006,Sundays at 02:50 (JST),
83,Kaguya-hime,,6.57,10984,6375,2,Movie,1,Finished Airing,1961,Gakken Eigakyoku,"None found, add some","None found, add some",Unknown,,Historical,26 min.,G - All Ages,6,,,Kids
84,Koharu Biyori,Indian Summer,6.57,4742,6376,21,OVA,3,Finished Airing,"Oct 15, 2007 to Mar 10, 2008","AT-X,       ASCII Media Works,       Showgate,       Geneon Entertainment","ADV Films,       Sentai Filmworks",Daume,Manga,"Comedy, Sci-Fi, Ecchi",,30 min. per ep.,R+ - Mild Nudity,25,,,
85,Konpeki no Kantai,,6.57,9867,6377,3,OVA,32,Finished Airing,"Dec 24, 1993 to Aug 22, 2003",Tokuma Shoten,"None found, add some",J.C.Staff,Novel,"Action, Drama","Historical, Military",40 min. per ep.,PG-13 - Teens 13 or older,12,,,
