Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
Rockman.EXE Beast,,7.05,6829,3972,8,TV,25,Finished Airing,"Oct 1, 2005 to Apr 1, 2006","TV Tokyo,       Shogakukan-Shueisha Productions,       Shogakukan Music & Digital Entertainment","None found, add some",Xebec,Game,"Action, Adventure, Sci-Fi","Mecha, Strategy Game",25 min. per ep.,PG - Children,17,,Fall 2005,Unknown
Sasameki Koto,Whispered Words,7.05,2503,3973,75,TV,13,Finished Airing,"Oct 8, 2009 to Dec 31, 2009","Half H.P Studio,       flying DOG","None found, add some",AIC,Manga,"Comedy, Girls Love",School,24 min. per ep.,PG-13 - Teens 13 or older,310,Seinen,Fall 2009,Unknown
Seikai no Danshou: Tanjou,Crest of the Stars: Birth,7.05,6770,3974,8,TV Special,1,Finished Airing,"Aug 25, 2000","Bandai Visual,       WOWOW","Funimation,       Bandai Entertainment",Sunrise,Light novel,"Romance, Sci-Fi","Military, Space",25 min.,PG-13 - Teens 13 or older,12,,,
Shaonian Ge Xing,Youths and Golden Coffin,7.05,10445,3976,2,ONA,26,Finished Airing,"Dec 26, 2018 to Jun 5, 2019","bilibili,       Youku","None found, add some",CG Year,Novel,"Action, Adventure, Mystery","Historical, Martial Arts",22 min. per ep.,PG-13 - Teens 13 or older,35,,,
Shangri-La,,7.05,2777,3975,63,TV,24,Finished Airing,"Apr 6, 2009 to Sep 14, 2009","NTT Docomo,       Atelier Musa",Funimation,Gonzo,Novel,"Action, Drama, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,141,,Spring 2009,Mondays at 00:00 (JST)
Show By Rock!! #,Show By Rock!! 2,7.05,3975,3977,32,TV,12,Finished Airing,"Oct 2, 2016 to Dec 18, 2016","Shochiku,       Pony Canyon,       Sanrio,       Studio GOONEYS",Funimation,Bones,Game,"Comedy, Fantasy","Isekai, Music",23 min. per ep.,PG-13 - Teens 13 or older,74,,Fall 2016,Sundays at 22:00 (JST)
Sora no Manimani,At The Mercy of The Sky,7.05,3369,3978,44,TV,12,Finished Airing,"Jul 7, 2009 to Sep 22, 2009","Sony Pictures Entertainment,       Marvelous Entertainment,       Lantis,       Pony Canyon,       AT-X,       Delfi Sound","None found, add some",Studio Comet,Manga,"Comedy, Romance",School,24 min. per ep.,PG-13 - Teens 13 or older,66,Seinen,Summer 2009,Tuesdays at 10:30 (JST)
Street Fighter II V,Street Fighter II: The Animated Series,7.05,4198,3979,28,TV,29,Finished Airing,"Apr 10, 1995 to Nov 27, 1995","YTV,       Studio Take Off",Manga Entertainment,Group TAC,Game,"Action, Adventure, Drama, Mystery",,24 min. per ep.,PG-13 - Teens 13 or older,110,,Spring 1995,Mondays at 19:00 (JST)
Super Lovers 2,,7.05,2223,3980,91,TV,10,Finished Airing,"Jan 12, 2017 to Mar 16, 2017","Movic,       AT-X,       DAX Production,       Nippon Columbia,       KlockWorx,       Sony Music Communications,       Tokyo MX,       Lawson HMV Entertainment,       TV Saitama,       Kadokawa","None found, add some",Studio Deen,Manga,"Boys Love, Comedy, Drama",,24 min. per ep.,PG-13 - Teens 13 or older,344,,Winter 2017,Thursdays at 23:30 (JST)
Tenjou Tenge: The Past Chapter,TenjhoTenge: The Past Chapter,7.05,4632,3982,22,OVA,1,Finished Airing,"Mar 30, 2005","None found, add some","None found, add some",Madhouse,Manga,"Action, Drama, Supernatural","Martial Arts, Super Power",1 hr. 32 min.,R - 17+ (violence & profanity),16,Seinen,,
Synduality: Noir Part 2,,7.05,5419,3981,15,TV,12,Finished Airing,"Jan 9, 2024 to Mar 26, 2024","Bandai Namco Entertainment,       Bandai Spirits,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",8bit,Mixed media,"Action, Sci-Fi",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,72,,Winter 2024,Tuesdays at 00:00 (JST)
Toaru Kagaku no Railgun S: Motto Marutto Railgun,,7.05,3784,3983,35,Special,2,Finished Airing,"Jul 24, 2013 to Nov 27, 2013","None found, add some","None found, add some",J.C.Staff,Manga,Comedy,,9 min. per ep.,PG-13 - Teens 13 or older,36,,,
Tokyo Majin Gakuen Kenpuuchou: Tou,Tokyo Majin,7.05,2161,3984,95,TV,14,Finished Airing,"Jan 19, 2007 to Apr 20, 2007","Trinity Sound,       Imagine","ADV Films,       Funimation","AIC Spirits,       BeSTACK",Game,"Action, Drama, Horror, Supernatural","Martial Arts, School",24 min. per ep.,R - 17+ (violence & profanity),304,,Winter 2007,Fridays at 23:00 (JST)
Trinity Seven,,7.05,212,3985,845,TV,12,Finished Airing,"Oct 8, 2014 to Dec 24, 2014","TV Tokyo,       Sotsu,       Kadokawa Shoten,       AT-X,       Studio Mausu,       Avex Pictures,       Q-Tec,       Docomo Anime Store,       DeNA",Sentai Filmworks,Seven Arcs Pictures,Manga,"Action, Comedy, Fantasy, Romance, Ecchi","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,"3,831",Shounen,Fall 2014,Wednesdays at 01:40 (JST)
Urusei Yatsura Movie 1: Only You,,7.05,5805,3986,12,Movie,1,Finished Airing,"Feb 13, 1983",Kitty Films,"AnimEigo,       Discotek Media",Pierrot,Manga,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",,1 hr. 42 min.,PG-13 - Teens 13 or older,15,Shounen,,
Usavich II,,7.05,8479,3987,5,TV,13,Finished Airing,"Oct 8, 2007 to Jan 15, 2008","None found, add some","None found, add some",Kanaban Graphics,Original,"Adventure, Comedy",,1 min. per ep.,PG-13 - Teens 13 or older,2,,Fall 2007,Unknown
Yakushiji Ryouko no Kaiki Jikenbo,Ryoko's Case File,7.05,4923,3990,19,TV,13,Finished Airing,"Jul 6, 2008 to Sep 28, 2008","Starchild Records,       GANSIS","None found, add some",Doga Kobo,Light novel,"Mystery, Supernatural",Detective,23 min. per ep.,PG-13 - Teens 13 or older,41,,Summer 2008,Unknown
Watashi to Watashi: Futari no Lotte,The Two Lottes,7.05,11611,3988,1,TV,29,Finished Airing,"Nov 9, 1991 to Sep 5, 1992","None found, add some","None found, add some",Tokyo Movie Shinsha,Novel,Slice of Life,,24 min. per ep.,G - All Ages,4,,Fall 1991,Unknown
Zhen Hun Jie: Bei Luo Shi Men Pian Part 1,Rakshasa Street,7.05,7432,3991,7,ONA,5,Finished Airing,"Dec 28, 2019 to Jan 18, 2020","None found, add some",bilibili,L²Studio,Manga,"Action, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,8,,,
Wo Jia Da Shixiong Shi Ge Fanpai,What's Wrong with My Big Brother,7.05,10640,3989,2,ONA,13,Finished Airing,"Oct 29, 2020 to Jan 14, 2021","bilibili,       Magilm Pictures","None found, add some","None found, add some",Manga,"Action, Adventure, Comedy","Historical, Martial Arts",20 min. per ep.,PG-13 - Teens 13 or older,9,,,
Zi Chuan,Purple River,7.05,11209,3992,2,ONA,42,Finished Airing,"Dec 21, 2021 to Sep 20, 2022",Tencent Penguin Pictures,"None found, add some",BUILD DREAM,Novel,"Action, Fantasy",Military,20 min. per ep.,PG-13 - Teens 13 or older,19,,,
Show By Rock!! Mashumairesh!!,,7.04,5284,3993,16,TV,12,Finished Airing,"Jan 9, 2020 to Mar 26, 2020","Dentsu,       Sotsu,       Pony Canyon,       Sanrio,       KlockWorx,       Polygon Pictures,       81 Produce,       Tokyo MX,       Hokkaido Cultural Broadcasting,       Sammy,       FuRyu,       Sony Music Solutions",Funimation,Kinema Citrus,Game,"Comedy, Fantasy",Music,23 min. per ep.,PG-13 - Teens 13 or older,69,,Winter 2020,Thursdays at 22:30 (JST)
Sousei no Aquarion OVA,,7.04,6136,3994,11,OVA,2,Finished Airing,"May 25, 2007 to Nov 22, 2007","None found, add some","None found, add some",Satelight,Original,"Action, Romance, Sci-Fi, Supernatural","Mecha, Super Power",54 min. per ep.,R+ - Mild Nudity,9,,,
Suki ni Naru Sono Shunkan wo. Kokuhaku Jikkou Iinkai,The Moment You Fall in Love,7.04,1861,3995,117,Movie,1,Finished Airing,"Dec 17, 2016","Aniplex,       Dentsu,       Kadokawa Shoten,       Movic,       Fuji TV,       Milestone Music Publishing,       Lawson,       MusicRay’n",Aniplex of America,Qualia Animation,Music,"Comedy, Drama, Romance",School,1 hr. 3 min.,PG-13 - Teens 13 or older,248,,,
Tsugumomo,,7.04,1204,3996,201,TV,12,Finished Airing,"Apr 2, 2017 to Jun 18, 2017","Animax,       Toei Video,       Pony Canyon,       Studio NOIX,       Hakuhodo DY Music & Pictures,       Futabasha,       Hakuhodo,       Kakao Japan,       My Theater D.D.","Funimation,       Crunchyroll",Zero-G,Manga,"Action, Comedy, Supernatural, Ecchi","Harem, Mythology, School",23 min. per ep.,R+ - Mild Nudity,510,,Spring 2017,Sundays at 23:30 (JST)
Umineko no Naku Koro ni,Umineko: When They Cry,7.04,1097,3997,222,TV,26,Finished Airing,"Jul 2, 2009 to Dec 24, 2009","Geneon Universal Entertainment,       Frontier Works,       Sotsu,       Movic","NIS America, Inc.",Studio Deen,Visual novel,"Horror, Mystery, Supernatural, Suspense","Gore, Psychological",23 min. per ep.,R - 17+ (violence & profanity),"1,953",,Summer 2009,Unknown
Urusei Yatsura: The Shougaibutsu Suieitaikai,,7.04,7705,3998,6,Special,1,Finished Airing,"Jul 30, 2008",Atelier Musa,"None found, add some",Sunrise,Manga,"Action, Comedy, Romance, Sci-Fi",School,27 min.,PG-13 - Teens 13 or older,15,Shounen,,
Yuri Kuma Arashi,,7.04,2052,3999,103,TV,12,Finished Airing,"Jan 6, 2015 to Mar 31, 2015","Frontier Works,       Media Factory,       Mainichi Broadcasting System,       Movic,       Gentosha Comics",Funimation,SILVER LINK.,Original,"Avant Garde, Drama, Fantasy, Girls Love, Ecchi","Anthropomorphic, Psychological, School",24 min. per ep.,R - 17+ (violence & profanity),756,,Winter 2015,Tuesdays at 00:30 (JST)
Zhen Wu Dianfeng,The Peak of True Martial Arts,7.04,10699,4000,2,ONA,40,Finished Airing,"Dec 24, 2021 to May 2, 2022",Youku,"None found, add some",Ruo Hong Culture,Original,"Action, Adventure, Fantasy","Historical, Martial Arts",10 min. per ep.,PG-13 - Teens 13 or older,19,,,
Aru Tabibito no Nikki,A Traveller's Diary,7.04,4307,4003,26,ONA,6,Finished Airing,"Mar 19, 2003 to Jun 4, 2003",Robot Communications,"None found, add some","None found, add some",Original,"Adventure, Fantasy",,3 min. per ep.,G - All Ages,125,,,
All Out!!,,7.04,1922,4002,113,TV,25,Finished Airing,"Oct 7, 2016 to Mar 31, 2017","Telecom Animation Film,       Mainichi Broadcasting System,       Kodansha,       Asmik Ace,       Sony Music Entertainment,       TMS Music","Funimation,       Crunchyroll","Madhouse,       TMS Entertainment",Manga,Sports,"School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,379,Seinen,Fall 2016,Fridays at 00:00 (JST)
Aishen Qiaokeli-ing...II,Cupid’s Chocolates II,7.04,3700,4001,37,ONA,15,Finished Airing,"Dec 21, 2017 to Apr 5, 2018","Tencent Animation & Comics,       bilibili","None found, add some",B.CMAY PICTURES,Web manga,"Comedy, Romance","Harem, School",19 min. per ep.,PG-13 - Teens 13 or older,105,,,
Chiikawa,,7.04,9282,4004,3,TV,Unknown,Currently Airing,"Apr 4, 2022 to ?","None found, add some",Sentai Filmworks,Doga Kobo,Web manga,Comedy,,1 min.,G - All Ages,63,Seinen,Spring 2022,Fridays at 07:40 (JST)
Danball Senki W,LBX: Little Battlers eXperience Season 2,7.04,7496,4005,6,TV,58,Finished Airing,"Jan 18, 2012 to Mar 20, 2013","None found, add some",Dentsu Entertainment USA,OLM,Game,Action,Mecha,23 min. per ep.,G - All Ages,27,Kids,Winter 2012,Unknown
Di Gi Charat Nyo,,7.04,6979,4006,8,TV,104,Finished Airing,"Apr 6, 2003 to Mar 28, 2004","TV Osaka,       Broccoli",Bandai Entertainment,Madhouse,Unknown,"Comedy, Fantasy, Sci-Fi",,12 min. per ep.,G - All Ages,48,,Spring 2003,Sundays at 09:30 (JST)
Doraemon: Kaette Kita Doraemon,Doraemon: Doraemon Comes Back,7.04,9622,4008,3,Special,1,Finished Airing,"Jan 3, 1981",Asatsu DK,"None found, add some",Shin-Ei Animation,Unknown,"Comedy, Fantasy, Sci-Fi",,21 min.,PG - Children,6,"KidsKids,         ShounenShounen",,
Dirty Pair: Lovely Angels yori Ai wo Komete,Dirty Pair: With Love From the Lovely Angels,7.04,7767,4007,6,OVA,2,Finished Airing,"Jan 1, 1987",Studio Nue,Nozomi Entertainment,Sunrise,Light novel,"Action, Adventure, Comedy, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,4,,,
ef: A Tale of Memories. - Prologue,,7.04,4017,4009,31,Special,1,Finished Airing,"Aug 24, 2007",Rondo Robe,"None found, add some",Shaft,Visual novel,Drama,Music,4 min.,PG-13 - Teens 13 or older,17,,,
Fushigi Mahou Fun Fun Pharmacy,,7.04,9198,4010,4,TV,48,Finished Airing,"Feb 15, 1998 to Feb 6, 1999","None found, add some","None found, add some",Toei Animation,Manga,,,12 min. per ep.,G - All Ages,31,Kids,Winter 1998,Unknown
Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,,7.04,7020,4011,8,OVA,2,Finished Airing,"Mar 23, 2015 to Jun 22, 2016",DAX Production,"None found, add some",feel.,4-koma manga,"Comedy, Slice of Life",Idols (Female),24 min. per ep.,PG-13 - Teens 13 or older,4,,,
Gekijou Tanpen Macross Frontier: Toki no Meikyuu,,7.04,10131,4012,2,Movie,1,Finished Airing,"Oct 8, 2021",flying DOG,"None found, add some",Satelight,Original,"Action, Romance, Sci-Fi","Mecha, Military, Music, Space",14 min.,PG-13 - Teens 13 or older,10,,,
Gudetama,The Lazy Egg,7.04,5787,4014,13,TV,Unknown,Currently Airing,"Mar 31, 2014 to ?",Sanrio,"None found, add some",Gathering,Original,"Comedy, Gourmet",,1 min.,G - All Ages,61,Kids,Spring 2014,Not scheduled once per week
Happy Birthday: Inochi Kagayaku Toki,Re-Birthday,7.04,8966,4015,4,Movie,1,Finished Airing,"Jul 27, 1999","None found, add some","None found, add some",Magic Bus,Book,"Drama, Slice of Life",Iyashikei,1 hr. 19 min.,G - All Ages,22,Kids,,
Great Mazinger,,7.04,7697,4013,6,TV,56,Finished Airing,"Sep 8, 1974 to Sep 28, 1975",Dynamic Planning,Discotek Media,Toei Animation,Manga,"Action, Sci-Fi",Mecha,25 min. per ep.,PG-13 - Teens 13 or older,22,Shounen,Fall 1974,Sundays at 19:00 (JST)
Jaku-Chara Tomozaki-kun 2nd Stage,Bottom-Tier Character Tomozaki 2nd Stage,7.04,1912,4016,113,TV,13,Finished Airing,"Jan 3, 2024 to Mar 27, 2024","Pony Canyon,       AT-X,       KlockWorx,       Asmik Ace,       Tokyo MX,       BS11,       APDREAM,       arma bianca,       Bit grooove promotion,       Dream Shift,       Happinet Phantom Studios,       Bergamo","None found, add some",Project No.9,Light novel,"Drama, Romance",School,23 min. per ep.,PG-13 - Teens 13 or older,561,,Winter 2024,Wednesdays at 21:00 (JST)
Jashin-chan Dropkick,Dropkick On My Devil!,7.04,1773,4017,125,TV,11,Finished Airing,"Jul 10, 2018 to Sep 17, 2018","BS Fuji,       Strawberry Meets Pictures,       Hokkaido Cultural Broadcasting,       Kanetsu Investment,       BookLive,       ibis Capital Partners,       Global Solutions,       Y&N Brothers","None found, add some",Nomad,Web manga,"Comedy, Supernatural","CGDCT, Gag Humor, Mythology",23 min. per ep.,PG-13 - Teens 13 or older,483,,Summer 2018,Tuesdays at 01:05 (JST)
Kemurikusa (TV),,7.04,3968,4018,32,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019","flying DOG,       BS Fuji,       Tokyo MX","None found, add some",Yaoyorozu,Original,"Fantasy, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,126,,Winter 2019,Wednesdays at 22:30 (JST)
Li Linke de Xiao Guaner,The Dining of Link Lee,7.04,11819,4020,1,ONA,10,Finished Airing,"Apr 27, 2021 to Jun 22, 2021","None found, add some","None found, add some",Delight Animation,Original,"Gourmet, Slice of Life",Workplace,18 min. per ep.,G - All Ages,11,,,
Kikou Souseiki Mospeada,Genesis Climber Mospeada,7.04,6447,4019,10,TV,25,Finished Airing,"Oct 2, 1983 to Mar 25, 1984","Artmic,       Harmony Gold",ADV Films,Tatsunoko Production,Original,Action,"Mecha, Military",23 min. per ep.,R+ - Mild Nudity,35,,Fall 1983,Unknown
Machine-Doll wa Kizutsukanai,Unbreakable Machine-Doll,7.04,737,4021,327,TV,12,Finished Airing,"Oct 7, 2013 to Dec 23, 2013","Genco,       Media Factory,       Kadokawa Shoten,       Movic,       AT-X,       Showgate",Funimation,Lerche,Light novel,"Action, Fantasy, Sci-Fi, Ecchi","Harem, School",23 min. per ep.,R+ - Mild Nudity,675,,Fall 2013,Mondays at 20:30 (JST)
Mahoromatic: Tadaima Okaeri,Mahoromatic: I'm Home!,7.04,6452,4022,9,TV Special,2,Finished Airing,"Oct 17, 2009 to Oct 24, 2009","None found, add some",Sentai Filmworks,Gainax,Manga,"Comedy, Romance, Sci-Fi, Ecchi",,24 min. per ep.,R+ - Mild Nudity,4,Seinen,,
Mahou Shoujo-tai Arusu,Tweeny Witches,7.04,4031,4023,31,TV,40,Finished Airing,"Apr 9, 2004 to Mar 4, 2005","Tohokushinsha Film Corporation,       Beyond C.",Media Blasters,Studio 4°C,Original,"Adventure, Comedy, Fantasy",Isekai,9 min. per ep.,PG-13 - Teens 13 or older,87,,Spring 2004,Fridays at 18:20 (JST)
Maiko-san Chi no Makanai-san,Kiyo in Kyoto: From the Maiko House,7.04,5035,4024,18,TV,12,Finished Airing,"Feb 25, 2021 to Jan 27, 2022","NHK,       NHK Enterprises","None found, add some",J.C.Staff,Manga,"Gourmet, Slice of Life","Educational, Iyashikei, Workplace",25 min. per ep.,PG-13 - Teens 13 or older,70,Shounen,Winter 2021,Thursdays at 08:30 (JST)
Mazinkaiser SKL,,7.04,5902,4025,12,OVA,3,Finished Airing,"Nov 27, 2010 to Apr 7, 2011","Showgate,       Dynamic Planning",Media Blasters,Actas,Manga,Action,Mecha,26 min. per ep.,R - 17+ (violence & profanity),51,Shounen,,
Meiji Tokyo Renka,,7.04,2947,4026,56,TV,12,Finished Airing,"Jan 9, 2019 to Mar 27, 2019","BS Fuji,       MAGES.,       Tokyo MX,       TV Aichi",Funimation,TMS Entertainment,Visual novel,"Romance, Supernatural","Historical, Reverse Harem, Time Travel",23 min. per ep.,PG-13 - Teens 13 or older,264,Josei,Winter 2019,Wednesdays at 23:30 (JST)
Mokke,,7.04,5302,4027,16,TV,24,Finished Airing,"Oct 3, 2007 to Mar 16, 2008","Kodansha,       Nagoya Broadcasting Network","None found, add some","Madhouse,       Tezuka Productions",Manga,"Mystery, Slice of Life, Supernatural",Iyashikei,24 min. per ep.,PG - Children,32,Seinen,Fall 2007,Wednesdays at 02:45 (JST)
Momokuri,,7.04,2000,4028,107,ONA,26,Finished Airing,"Dec 24, 2015 to Feb 4, 2016","Lantis,       comico",Sentai Filmworks,Satelight,Web manga,"Comedy, Romance",School,12 min. per ep.,PG-13 - Teens 13 or older,325,,,
Ookami to Koushinryou II: Holo no Short Anime,Spice and Wolf II Specials,7.04,2814,4029,61,Special,2,Finished Airing,"Oct 7, 2009 to Nov 4, 2009","Movic,       Kadokawa Pictures Japan",Funimation,"Brain's Base,       Marvy Jack",Light novel,Fantasy,Adult Cast,3 min. per ep.,PG-13 - Teens 13 or older,148,,,
Pokemon Movie 12: Arceus Choukoku no Jikuu e,Pokémon: Arceus and the Jewel of Life,7.04,2248,4030,90,Movie,1,Finished Airing,"Jul 18, 2009",Studio Jack,"VIZ Media,       The Pokemon Company International",OLM,Game,"Action, Adventure, Comedy, Drama, Fantasy",,1 hr. 34 min.,PG - Children,27,Kids,,
Red Garden,,7.04,3277,4032,46,TV,22,Finished Airing,"Oct 4, 2006 to Mar 14, 2007","GDH,       Sotsu Music Publishing,       Future Vision Music","ADV Films,       Funimation",Gonzo,Original,"Drama, Mystery, Supernatural",Psychological,23 min. per ep.,R - 17+ (violence & profanity),140,,Fall 2006,Wednesdays at 02:40 (JST)
Seikimatsu Occult Gakuin,Occult Academy,7.04,2033,4034,104,TV,13,Finished Airing,"Jul 6, 2010 to Sep 28, 2010","Aniplex,       Xebec,       TV Tokyo Music","NIS America, Inc.",A-1 Pictures,Original,"Comedy, Mystery, Sci-Fi, Supernatural","School, Time Travel",24 min. per ep.,R - 17+ (violence & profanity),194,,Summer 2010,Tuesdays at 01:30 (JST)
