Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
Hayate no Gotoku! Can't Take My Eyes Off You,Hayate the Combat Butler: Can't Take My Eyes Off You,7.03,2924,4076,57,TV,12,Finished Airing,"Oct 4, 2012 to Dec 20, 2012","TV Tokyo,       Geneon Universal Entertainment,       Shogakukan-Shueisha Productions",Sentai Filmworks,Manglobe,Manga,Comedy,24 min. per ep.,PG-13 - Teens 13 or older,72,Fall 2012,Thursdays at 02:05 (JST),"Harem, Parody",Shounen
Himouto! Umaru-chanS,,7.03,2394,4077,80,Special,12,Finished Airing,"Sep 16, 2015 to Feb 17, 2016","None found, add some",Sentai Filmworks,Doga Kobo,Manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,113,,,,Seinen
Joker Game,,7.03,1157,4080,211,TV,12,Finished Airing,"Apr 5, 2016 to Jun 21, 2016","Frontier Works,       Kadokawa Shoten,       Movic,       AT-X,       Sony Music Communications,       Hakuhodo DY Music & Pictures,       Sammy","Funimation,       Crunchyroll",Production I.G,Novel,"Drama, Mystery, Suspense",23 min. per ep.,R - 17+ (violence & profanity),610,Spring 2016,Tuesdays at 23:00 (JST),"Historical, Military",
Aikatsu! 10th Story: Mirai e no Starway,,7.02,13570,4081,1,Movie,1,Finished Airing,"Jul 15, 2022","None found, add some","None found, add some",Bandai Namco Pictures,Original,,25 min.,PG - Children,0,,,"Idols (Female), Music",
Akazukin Chacha OVA,,7.02,10218,4084,2,OVA,3,Finished Airing,"Dec 6, 1995 to Mar 6, 1996",Nihon Ad Systems,"None found, add some",Gallop,Manga,"Comedy, Fantasy",24 min. per ep.,G - All Ages,6,,,Mahou Shoujo,Shoujo
Ajin Part 2 OVA,,7.02,5273,4083,16,OVA,1,Finished Airing,"Apr 7, 2017","None found, add some",Sentai Filmworks,Polygon Pictures,Manga,"Action, Horror, Mystery, Supernatural",21 min.,R - 17+ (violence & profanity),9,,,,Seinen
Asatte no Houkou.,Living for the Day After Tomorrow,7.02,4425,4086,25,TV,12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006","Bandai Visual,       Lantis,       TBS,       Mag Garden",Sentai Filmworks,J.C.Staff,Manga,"Drama, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,42,Fall 2006,Fridays at 01:55 (JST),,
Ao no Exorcist: Shimane Illuminati-hen,Blue Exorcist: Shimane Illuminati Saga,7.02,1736,4085,130,TV,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024","Aniplex,       Dentsu,       Mainichi Broadcasting System,       Movic,       Rakuonsha,       Shueisha",Aniplex of America,Studio VOLN,Manga,"Action, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,566,Winter 2024,Sundays at 00:30 (JST),"Mythology, School",Shounen
Azur Lane: Bisoku Zenshin!,Azur Lane: Slow Ahead!,7.02,3089,4087,51,TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021","Delfi Sound,       Yostar Pictures","None found, add some",Studio CANDY BOX,4-koma manga,"Comedy, Sci-Fi",8 min. per ep.,PG-13 - Teens 13 or older,251,Winter 2021,Tuesdays at 01:00 (JST),"Anthropomorphic, CGDCT, Military",
B'T X,,7.02,5869,4088,12,TV,25,Finished Airing,"Apr 6, 1996 to Sep 21, 1996","Tokyo Movie Shinsha,       TMS-Kyokuchi,       Illumitoon Entertainment",Anime Midstream,TMS Entertainment,Manga,"Adventure, Sci-Fi",22 min. per ep.,PG-13 - Teens 13 or older,37,Spring 1996,Saturdays at 17:30 (JST),Mecha,Shounen
Blue Gender,,7.02,2368,4090,82,TV,26,Finished Airing,"Oct 8, 1999 to Mar 31, 2000","Youmex,       Toshiba EMI",Funimation,AIC,Original,"Action, Adventure, Drama, Horror, Sci-Fi",23 min. per ep.,R+ - Mild Nudity,428,Fall 1999,Thursdays at 01:55 (JST),"Gore, Mecha, Military, Space, Survival",
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,Baka and Test - Summon the Beasts: Magical Hideyoshi Hideyoshi,7.02,4348,4089,26,Special,1,Finished Airing,"Oct 26, 2011","None found, add some","None found, add some",SILVER LINK.,Light novel,Comedy,3 min.,PG-13 - Teens 13 or older,15,,,,
Cardcaptor Sakura: Clear Card-hen Recap,Cardcaptor Sakura: Clear Card Recap,7.02,7678,4091,6,TV Special,1,Finished Airing,"Apr 1, 2018","None found, add some","None found, add some","None found, add some",Manga,"Adventure, Comedy, Fantasy, Romance",25 min.,PG - Children,14,,,Mahou Shoujo,Shoujo
Chicchana Yukitsukai Sugar Specials,Sugar: A Little Snow Fairy Summer Special,7.02,8186,4093,5,TV Special,2,Finished Airing,"Aug 21, 2003 to Aug 28, 2003","Kadokawa Shoten,       Broccoli,       TBS,       Pioneer LDC","Sentai Filmworks,       Geneon Entertainment USA",J.C.Staff,Original,"Comedy, Fantasy",24 min. per ep.,G - All Ages,6,,,,
Evangelion: 3.0 (-46h),,7.02,6456,4094,9,Special,1,Finished Airing,"Mar 8, 2023","None found, add some",GKIDS,Khara,Original,Sci-Fi,10 min.,PG-13 - Teens 13 or older,35,,,Mecha,
Cardfight!! Vanguard,,7.02,3003,4092,54,TV,65,Finished Airing,"Jan 8, 2011 to Mar 31, 2012","Dentsu,       Sotsu,       Sakura Create,       Bushiroad","None found, add some",TMS Entertainment,Original,Action,24 min. per ep.,PG-13 - Teens 13 or older,330,Winter 2011,Saturdays at 08:00 (JST),Strategy Game,
Fate/kaleid liner Prisma☆Illya,Fate/Kaleid Liner Prisma Illya,7.02,887,4095,277,TV,10,Finished Airing,"Jul 13, 2013 to Sep 14, 2013","Lantis,       Kadokawa Shoten,       AT-X,       DAX Production,       KlockWorx,       Notes,       Dwango,       Tokyo MX,       Docomo Anime Store,       Kadokawa Media House",Sentai Filmworks,SILVER LINK.,Manga,"Action, Comedy, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,"1,024",Summer 2013,Saturdays at 01:30 (JST),Mahou Shoujo,
"Flanders no Inu, Boku no Patrasche",A Dog of Flanders: My Patrasche,7.02,10570,4096,2,TV,26,Finished Airing,"Oct 10, 1992 to Mar 27, 1993",Tokyo Movie Shinsha,"None found, add some",TMS Entertainment,Novel,Drama,25 min. per ep.,G - All Ages,6,Fall 1992,Unknown,"Historical, Pets",
Gantz 2nd Stage,Gantz: Second Stage,7.02,1450,4097,163,TV,13,Finished Airing,"Aug 26, 2004 to Nov 18, 2004",Fuji TV,"ADV Films,       Funimation",Gonzo,Manga,"Action, Drama, Horror, Sci-Fi, Suspense",23 min. per ep.,R+ - Mild Nudity,449,Summer 2004,Thursdays at 10:00 (JST),"Gore, High Stakes Game, Psychological, Survival",Seinen
Geragera Boes Monogatari,Ox Tales,7.02,11644,4098,1,TV,52,Finished Airing,"Apr 7, 1987 to Mar 29, 1988","TV Tokyo,       Saban Entertainment","None found, add some",Telescreen,Other,Comedy,24 min. per ep.,G - All Ages,11,Spring 1987,Tuesdays at 19:00 (JST),,Kids
High Card Season 2,,7.02,3664,4100,37,TV,12,Finished Airing,"Jan 8, 2024 to Mar 25, 2024","TMS Entertainment,       Half H.P Studio,       Sammy,       Kadokawa,       NetEase","None found, add some",Studio Hibari,Mixed media,"Action, Fantasy",23 min. per ep.,R - 17+ (violence & profanity),132,Winter 2024,Mondays at 20:00 (JST),"Adult Cast, Organized Crime, Super Power",
Hayate no Gotoku! Cuties,Hayate the Combat Butler! Cuties,7.02,3299,4099,45,TV,12,Finished Airing,"Apr 9, 2013 to Jul 2, 2013",TV Tokyo,Sentai Filmworks,Manglobe,Manga,"Comedy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,54,Spring 2013,Tuesdays at 01:35 (JST),"Harem, Parody",Shounen
Jahy-sama wa Kujikenai!,The Great Jahy Will Not Be Defeated!,7.02,992,4101,248,TV,20,Finished Airing,"Aug 1, 2021 to Dec 19, 2021","Square Enix,       Medicos Entertainment,       King Records,       Nagoya Broadcasting Network,       ABC Animation,       DMM pictures","None found, add some",SILVER LINK.,Manga,"Comedy, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,"1,439",Summer 2021,Sundays at 02:00 (JST),,Shounen
Kaibutsu Oujo (OVA),,7.02,5763,4102,13,OVA,3,Finished Airing,"Dec 9, 2010 to Oct 7, 2011","None found, add some","None found, add some",Tatsunoko Production,Manga,"Action, Comedy, Horror, Supernatural",22 min. per ep.,R - 17+ (violence & profanity),13,,,,Shounen
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,,7.02,8944,4103,4,TV,52,Finished Airing,"Oct 15, 1992 to Sep 30, 1993",TV Tokyo,"None found, add some",Nippon Animation,Music,Drama,26 min. per ep.,G - All Ages,15,Fall 1992,Unknown,Historical,
Kimi no Iru Machi OVA,,7.02,4950,4104,19,OVA,2,Finished Airing,"Jan 17, 2014 to Mar 17, 2014","None found, add some","None found, add some",Gonzo,Manga,"Drama, Romance",28 min. per ep.,R+ - Mild Nudity,16,,,Love Polygon,Shounen
Lupin III: Alcatraz Connection,,7.02,6998,4108,8,TV Special,1,Finished Airing,"Aug 3, 2001","VAP,       Nippon Television Network",Discotek Media,TMS Entertainment,Manga,"Action, Adventure, Comedy",1 hr. 31 min.,PG-13 - Teens 13 or older,11,,,Adult Cast,Seinen
Kodomo no Jikan Ni Gakki,,7.02,3960,4106,32,OVA,3,Finished Airing,"Feb 20, 2009 to Jul 24, 2009",Dream Force,"None found, add some",Diomedéa,Manga,"Comedy, Ecchi",23 min. per ep.,R - 17+ (violence & profanity),30,,,School,
Kingyo Chuuihou!,Goldfish Warning!,7.02,9126,4105,4,TV,54,Finished Airing,"Jan 12, 1991 to Feb 29, 1992",Toei Advertising,"None found, add some",Toei Animation,Manga,Comedy,24 min. per ep.,PG - Children,18,Winter 1991,Unknown,,Shoujo
Kodomo no Jikan OVA,,7.02,4055,4107,30,OVA,3,Finished Airing,"Sep 11, 2007 to Jan 21, 2011","None found, add some","None found, add some",Diomedéa,Manga,"Comedy, Ecchi",24 min. per ep.,R+ - Mild Nudity,29,,,School,
Mahoutsukai Tai!,Magic User's Club OVA,7.02,6198,4109,10,OVA,6,Finished Airing,"May 25, 1996 to Oct 25, 1997","Bandai Visual,       Youmex","Nozomi Entertainment,       Media Blasters,       NYAV Post",Triangle Staff,Original,"Comedy, Fantasy, Romance, Sci-Fi",27 min. per ep.,PG-13 - Teens 13 or older,32,,,,
Mamoru-kun ni Megami no Shukufuku wo!,Venus to Mamoru!,7.02,4251,4110,27,TV,24,Finished Airing,"Oct 6, 2006 to Mar 30, 2007",Kadokawa Shoten,"None found, add some",Zexcs,Light novel,"Comedy, Romance",23 min. per ep.,PG-13 - Teens 13 or older,46,Fall 2006,Fridays at 00:00 (JST),School,
Mashiro-iro Symphony: The Color of Lovers,Mashiroiro Symphony: The Color of Lovers,7.02,1504,4111,156,TV,12,Finished Airing,"Oct 5, 2011 to Dec 21, 2011","Frontier Works,       Lantis,       Media Factory",Sentai Filmworks,Manglobe,Visual novel,"Drama, Romance",24 min. per ep.,R+ - Mild Nudity,505,Fall 2011,Wednesdays at 02:00 (JST),"Harem, School",
Meitantei Conan OVA 12: Excalibur no Kiseki,Detective Conan OVA 12: The Miracle of Excalibur,7.02,6074,4112,11,OVA,1,Finished Airing,"May 24, 2012","None found, add some","None found, add some",TMS Entertainment,Manga,"Comedy, Mystery, Sports",29 min.,PG-13 - Teens 13 or older,2,,,"Detective, Team Sports",Shounen
MM!,,7.02,1029,4114,237,TV,12,Finished Airing,"Oct 2, 2010 to Dec 18, 2010","Lantis,       Media Factory,       AT-X",Sentai Filmworks,Xebec,Light novel,"Comedy, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,664,Fall 2010,Saturdays at 09:30 (JST),"Harem, School",
Mekakucity Actors,,7.02,512,4113,443,TV,12,Finished Airing,"Apr 13, 2014 to Jun 29, 2014","Aniplex,       1st PLACE,       Tokyo MX,       BS11",Aniplex of America,Shaft,Mixed media,"Sci-Fi, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,"3,747",Spring 2014,Sundays at 00:00 (JST),Super Power,
Nichijou: Original Jikai Yokoku,My Ordinary Life Specials,7.02,4895,4116,20,Special,25,Finished Airing,"Jun 24, 2011 to Jun 29, 2012","None found, add some","None found, add some",Kyoto Animation,Manga,Comedy,30 sec. per ep.,PG-13 - Teens 13 or older,26,,,"Gag Humor, School",
Mushibugyou OVA,,7.02,6857,4115,8,OVA,3,Finished Airing,"Jul 18, 2014 to Jan 16, 2015","None found, add some",Sentai Filmworks,Seven Arcs Pictures,Manga,"Action, Fantasy, Ecchi",23 min. per ep.,PG-13 - Teens 13 or older,3,,,"Historical, Martial Arts, Samurai, Super Power",Shounen
Ookami Shoujo to Kuro Ouji,Wolf Girl & Black Prince,7.02,480,4118,474,TV,12,Finished Airing,"Oct 5, 2014 to Dec 21, 2014","VAP,       Yomiuri Telecasting,       Nippon Television Network",Sentai Filmworks,TYO Animations,Manga,"Comedy, Romance",23 min. per ep.,PG-13 - Teens 13 or older,"1,938",Fall 2014,Sundays at 22:00 (JST),School,Shoujo
One Punch Man 2nd Season Commemorative Special,One Punch Man Season 2 Commemorative Special,7.02,2707,4117,65,TV Special,1,Finished Airing,"Apr 3, 2019","None found, add some",VIZ Media,J.C.Staff,Web manga,"Action, Comedy",24 min.,R - 17+ (violence & profanity),86,,,"Parody, Super Power",Seinen
Ooyukiumi no Kaina: Hoshi no Kenja,Kaina of the Great Snow Sea: Star Sage,7.02,6468,4119,9,Movie,1,Finished Airing,"Oct 13, 2023",Sony Pictures Entertainment,"None found, add some",Polygon Pictures,Original,Fantasy,1 hr. 39 min.,PG-13 - Teens 13 or older,19,,,,
Oshiete! Galko-chan,Please tell me! Galko-chan,7.02,1333,4120,181,TV,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016","None found, add some","None found, add some",feel.,Web manga,Comedy,7 min. per ep.,PG-13 - Teens 13 or older,537,Winter 2016,Fridays at 22:30 (JST),School,
Promare: Lio-hen,,7.02,4128,4122,29,ONA,1,Finished Airing,"May 24, 2019",XFLAG,GKIDS,Trigger,Original,"Action, Sci-Fi",10 min.,PG-13 - Teens 13 or older,17,,,"Mecha, Super Power",
Otome wa Boku ni Koishiteru,Otoboku: Maidens are Falling for Me!,7.02,2761,4121,64,TV,12,Finished Airing,"Oct 8, 2006 to Dec 24, 2006","Starchild Records,       Dream Force,       GANSIS",Media Blasters,feel.,Visual novel,"Comedy, Drama, Romance",24 min. per ep.,PG-13 - Teens 13 or older,175,Fall 2006,Unknown,"Crossdressing, School",
Ranma ½: Totteoki Talk - Best of Memories,Ranma ½: Best Memories,7.02,8794,4123,4,OVA,1,Finished Airing,"May 1, 1993","None found, add some","None found, add some",Kitty Film Mitaka Studio,Manga,"Comedy, Slice of Life",43 min.,PG-13 - Teens 13 or older,1,,,Martial Arts,
Seiyuu Radio no Uraomote,The Many Sides of Voice Actor Radio,7.02,3545,4124,40,TV,12,Currently Airing,"Apr 10, 2024 to Jun 26, 2024","Movic,       AT-X,       Nippon Columbia,       KlockWorx,       Studio Mausu,       BS NTV,       Kadokawa,       Happinet Phantom Studios,       Studio Tenjin,       REAL-T","None found, add some",Connect,Light novel,"Comedy, Drama",23 min. per ep.,PG-13 - Teens 13 or older,137,Spring 2024,Wednesdays at 21:00 (JST),"School, Showbiz",
Shakunetsu Kabaddi,Burning Kabaddi,7.02,2062,4125,102,TV,12,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",TV Tokyo,"None found, add some",TMS Entertainment,Web manga,"Comedy, Sports",23 min. per ep.,PG-13 - Teens 13 or older,748,Spring 2021,Saturdays at 01:23 (JST),"School, Team Sports",
"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.",,7.02,9113,4126,4,Special,1,Finished Airing,"Jul 26, 2006",TV Asahi,Funimation,"Gonzo,       AIC",Original,"Comedy, Drama",43 min.,PG-13 - Teens 13 or older,4,,,,
Strike the Blood,,7.02,335,4127,641,TV,24,Finished Airing,"Oct 4, 2013 to Mar 28, 2014","Movic,       AT-X,       Warner Bros. Japan,       KlockWorx,       ASCII Media Works,       Showgate","Discotek Media,       Crunchyroll","SILVER LINK.,       Connect",Light novel,"Action, Fantasy, Ecchi",24 min. per ep.,R+ - Mild Nudity,"2,244",Fall 2013,Fridays at 23:30 (JST),"Harem, School, Vampire",
Super Senko-san Time Episode 12,,7.02,5728,4128,13,Special,1,Finished Airing,"Sep 25, 2019","None found, add some","None found, add some",Doga Kobo,Web manga,"Comedy, Supernatural",1 min.,PG-13 - Teens 13 or older,14,,,,
Taiho Shichau zo Special,You're Under Arrest Mini Specials,7.02,7171,4129,7,TV,20,Finished Airing,"Mar 30, 1999 to Apr 30, 1999",TBS,AnimEigo,Studio Deen,Manga,"Action, Comedy",8 min. per ep.,PG-13 - Teens 13 or older,7,Spring 1999,Unknown,"Adult Cast, Detective, Workplace",Seinen
Tesagure! Bukatsumono Encore,,7.02,8532,4130,5,TV,12,Finished Airing,"Jan 12, 2014 to Mar 30, 2014","VAP,       Bouncy,       Just Production,       JP Room","None found, add some",Yaoyorozu,Original,Comedy,11 min. per ep.,PG-13 - Teens 13 or older,13,Winter 2014,Sundays at 09:00 (JST),"Parody, School",
Tokimeki Memorial: Only Love,Tokimeki Memorial,7.02,3661,4131,37,TV,25,Finished Airing,"Oct 3, 2006 to Apr 3, 2007",Konami,"None found, add some",AIC ASTA,Game,"Comedy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,94,Fall 2006,Tuesdays at 01:30 (JST),"Harem, School",
Tokyo Ghoul √A,,7.02,48,4132,1,TV,12,Finished Airing,"Jan 9, 2015 to Mar 27, 2015","Marvelous AQL,       Shueisha",Funimation,Pierrot,Manga,"Action, Fantasy, Horror, Suspense",24 min. per ep.,R - 17+ (violence & profanity),"10,525",Winter 2015,Fridays at 00:00 (JST),"Gore, Psychological",Seinen
Uma Musume: Pretty Derby - 1st Anniversary Special Animation,,7.02,9106,4133,4,Special,1,Finished Airing,"Feb 22, 2022","None found, add some","None found, add some",Studio Kai,Game,"Comedy, Sports",7 min.,PG-13 - Teens 13 or older,4,,,Anthropomorphic,
UniteUp!,,7.02,6549,4134,9,TV,12,Finished Airing,"Jan 7, 2023 to Apr 15, 2023","Aniplex,       Sony Music Entertainment",Aniplex of America,CloverWorks,Music,Slice of Life,24 min. per ep.,PG-13 - Teens 13 or older,85,Winter 2023,Saturdays at 23:30 (JST),"Idols (Male), Music",
