Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Demographics,Themes,Premiered,Broadcast
"Donten ni Warau Gaiden: Ouka, Tenbou no Kakehashi",Donten: Laughing Under the Clouds - Gaiden: Chapter 3 - Conspiracy of the Military,7.20,6117,3210,11,Movie,1,Finished Airing,"Sep 1, 2018","Production I.G,       Shochiku,       Blade,       Kinoshita Management",Eleven Arts,Wit Studio,Manga,"Action, Supernatural",57 min.,PG-13 - Teens 13 or older,15,,Historical,,
Dinghai Fusheng Lu,Dinghai Fusheng Records,7.20,9852,3209,3,ONA,12,Finished Airing,"Jul 15, 2021 to Dec 16, 2021",bilibili,"None found, add some",Foch Films,Novel,"Action, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,39,,Historical,,
Fate/kaleid liner Prisma☆Illya 2wei!,Fate/Kaleid Liner Prisma Illya 2Wei!,7.20,1433,3211,165,TV,10,Finished Airing,"Jul 10, 2014 to Sep 11, 2014","Lantis,       Kadokawa Shoten,       AT-X,       DAX Production,       KlockWorx,       Tokyo MX,       Kadokawa Media House",Sentai Filmworks,SILVER LINK.,Manga,"Action, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,263,,Mahou Shoujo,Summer 2014,Thursdays at 01:35 (JST)
Ginga e Kickoff!!,Victory Kickoff!!,7.20,4252,3213,27,TV,39,Finished Airing,"Mar 26, 2012 to Feb 26, 2013","NHK,       Nihon Ad Systems,       NHK Enterprises","None found, add some",TYO Animations,Novel,Sports,25 min. per ep.,PG - Children,138,,Team Sports,Spring 2012,Unknown
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,Fate/kaleid Liner Prisma Illya: Licht Nameless Girl,7.20,3723,3212,36,Movie,1,Finished Airing,"Aug 27, 2021","AT-X,       Tokyo MX,       Kadokawa Media House,       Kadokawa,       Bandai Namco Arts,       Movie Walker",Sentai Filmworks,SILVER LINK.,Manga,"Action, Fantasy",1 hr. 35 min.,PG-13 - Teens 13 or older,69,,Mahou Shoujo,,
Hakushaku to Yousei,Earl and Fairy,7.20,1762,3215,126,TV,12,Finished Airing,"Sep 29, 2008 to Dec 24, 2008","None found, add some",Discotek Media,Artland,Light novel,"Adventure, Fantasy, Romance",25 min. per ep.,PG-13 - Teens 13 or older,568,Shoujo,"Historical, Mythology",Fall 2008,Unknown
Gundam Build Fighters Try,,7.20,3314,3214,45,TV,25,Finished Airing,"Oct 8, 2014 to Apr 1, 2015","TV Tokyo,       Sotsu",Nozomi Entertainment,Sunrise,Original,"Action, Sci-Fi",25 min. per ep.,G - All Ages,115,,Mecha,Fall 2014,Wednesdays at 18:00 (JST)
Hetalia: The World Twinkle,,7.20,3453,3216,42,ONA,15,Finished Airing,"Jul 3, 2015 to Oct 9, 2015",Frontier Works,Funimation,Studio Deen,Manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,240,,"Anthropomorphic, Gag Humor, Historical, Parody",,
Higurashi no Naku Koro ni Kaku: Outbreak,Higurashi: When They Cry - Outbreak,7.20,2593,3219,71,OVA,1,Finished Airing,"Aug 15, 2013","Geneon Universal Entertainment,       Frontier Works,       Sotsu,       Daiichi Shokai","None found, add some",Studio Deen,Visual novel,"Horror, Mystery, Supernatural",52 min.,R - 17+ (violence & profanity),108,,"Gore, Psychological",,
Hetalia: The World Twinkle Specials,,7.20,7110,3217,7,Special,3,Finished Airing,"Oct 28, 2015 to Dec 25, 2015","None found, add some",Funimation,Studio Deen,Manga,Comedy,5 min. per ep.,PG-13 - Teens 13 or older,8,,"Historical, Parody",,
Higurashi no Naku Koro ni Gou,Higurashi: When They Cry – Gou,7.20,889,3218,277,TV,24,Finished Airing,"Oct 1, 2020 to Mar 19, 2021","Frontier Works,       Sotsu,       MAGES.,       Tokyo MX,       Infinite,       BS11,       Daiichi Shokai,       Kadokawa,       ELF-IN",Funimation,Passione,Visual novel,"Horror, Mystery, Supernatural, Suspense",23 min. per ep.,R - 17+ (violence & profanity),"1,563",,"Gore, Psychological",Fall 2020,Thursdays at 23:30 (JST)
Housekishou Richard-shi no Nazo Kantei,The Case Files of Jeweler Richard,7.20,2653,3220,68,TV,12,Finished Airing,"Jan 9, 2020 to Mar 26, 2020","Nippon Animation,       WOWOW,       Sotsu,       Movic,       AT-X,       Studio Mausu,       Avex Pictures,       Q-Tec,       Hakuhodo DY Music & Pictures,       BS11,       GYAO!,       entama","None found, add some",Shuka,Novel,"Drama, Mystery",23 min. per ep.,PG-13 - Teens 13 or older,286,,"Adult Cast, Workplace",Winter 2020,Thursdays at 23:30 (JST)
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2",7.20,1062,3221,231,TV,12,Finished Airing,"Jan 11, 2023 to Apr 20, 2023","MAGES.,       Docomo Anime Store,       Sammy,       ABC Animation,       Kadokawa Media House,       Kadokawa,       D-techno","None found, add some",SILVER LINK.,Light novel,"Action, Adventure, Comedy, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,"1,338",,Video Game,Winter 2023,Wednesdays at 23:30 (JST)
Jiyi Guanli Ju,False Memory,7.20,12229,3222,1,ONA,1,Finished Airing,"Sep 30, 2020","None found, add some","None found, add some",Flint Sugar,Original,"Action, Mystery",18 min.,PG-13 - Teens 13 or older,9,,"Psychological, Super Power",,
Jormungand: Perfect Order Recap,,7.20,5751,3223,13,Special,1,Finished Airing,"Oct 3, 2012","None found, add some","None found, add some",White Fox,Manga,"Action, Adventure",24 min.,R - 17+ (violence & profanity),19,Seinen,"Adult Cast, Military, Organized Crime",,
Kidou Senshi Gundam SEED Destiny Special Edition,Mobile Suit Gundam SEED Destiny Special Edition,7.20,5963,3226,12,TV Special,4,Finished Airing,"May 2, 2006",Mainichi Broadcasting System,Bandai Entertainment,Sunrise,Original,"Action, Drama, Romance, Sci-Fi",1 hr. 30 min. per ep.,R - 17+ (violence & profanity),22,,"Mecha, Military, Space",,
Kaijuu no Kodomo,Children of the Sea,7.20,1943,3224,111,Movie,1,Finished Airing,"Jun 7, 2019","None found, add some",GKIDS,Studio 4°C,Manga,"Award Winning, Drama, Mystery, Supernatural",1 hr. 51 min.,PG-13 - Teens 13 or older,871,Seinen,,,
Kakegurui Twin,,7.20,1965,3225,109,ONA,6,Finished Airing,"Aug 4, 2022","Square Enix,       Avex Pictures","None found, add some",MAPPA,Manga,"Drama, Mystery",26 min. per ep.,PG-13 - Teens 13 or older,337,Shounen,"Psychological, School",,
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,7.20,5871,3227,12,TV,12,Finished Airing,"May 2, 2007 to Apr 13, 2008","None found, add some","None found, add some",Production I.G,Manga,"Comedy, Sci-Fi",3 min. per ep.,PG - Children,7,,Mecha,Spring 2007,Unknown
Ling Qi,Spiritpact,7.20,2213,3228,91,ONA,20,Finished Airing,"Jun 21, 2016 to Nov 1, 2016",Tencent Animation & Comics,"None found, add some",Haoliners Animation League,Web manga,"Action, Boys Love, Comedy, Supernatural",14 min. per ep.,PG-13 - Teens 13 or older,500,,,,
Nogizaka Haruka no Himitsu,Haruka Nogizaka's Secret,7.20,1673,3229,135,TV,12,Finished Airing,"Jul 11, 2008 to Sep 26, 2008","ASCII Media Works,       Studio Mausu,       Geneon Entertainment",Discotek Media,Diomedéa,Light novel,"Comedy, Romance",25 min. per ep.,PG-13 - Teens 13 or older,446,,"Otaku Culture, School",Summer 2008,Fridays at 02:00 (JST)
One Piece Film: Gold Episode 0 - 711 ver.,,7.20,4406,3231,25,ONA,1,Finished Airing,"Jul 2, 2016","None found, add some","None found, add some",Toei Animation,Manga,"Action, Adventure, Comedy, Fantasy",10 min.,PG-13 - Teens 13 or older,14,Shounen,Super Power,,
Ojamajo Doremi Sharp Movie,,7.20,8151,3230,5,Movie,1,Finished Airing,"Jul 8, 2000","None found, add some","None found, add some",Toei Animation,Unknown,"Comedy, Fantasy",27 min.,G - All Ages,6,,Mahou Shoujo,,
Pui Pui Molcar: Driving School,,7.20,8380,3232,5,TV,12,Finished Airing,"Oct 8, 2022 to Dec 24, 2022","None found, add some","None found, add some",UchuPeople,Original,Comedy,2 min. per ep.,G - All Ages,28,Kids,Anthropomorphic,Fall 2022,Saturdays at 07:00 (JST)
