Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Yangseongpyeongdeung 2,Gender Equality 2,5.37,20158,11977,219,Movie,1,Finished Airing,2009,"None found, add some","None found, add some","None found, add some",Original,,2 min.,G - All Ages,0,,,,
Swimming,,5.36,16792,11978,441,Movie,1,Finished Airing,2008,"None found, add some","None found, add some","None found, add some",Unknown,Avant Garde,4 min.,G - All Ages,0,,,,
Tansa Quest!,,5.36,16679,11979,450,ONA,1,Finished Airing,"Mar 26, 2015",Aniplex,"None found, add some",A-1 Pictures,Game,Fantasy,1 min.,PG-13 - Teens 13 or older,0,School,,,
The Aurora: Umi no Aurora,The Aurora,5.36,15063,11980,650,Movie,1,Finished Airing,"Aug 5, 2000",Nippon Television Network,"None found, add some","None found, add some",Unknown,"Adventure, Sci-Fi",1 hr. 31 min.,PG-13 - Teens 13 or older,0,,,,
Tokimeki Restaurant☆☆☆  MIRACLE6 Movie,,5.36,11347,11981,2,Movie,1,Finished Airing,"Feb 10, 2018","None found, add some","None found, add some",Production I.G,Visual novel,Romance,56 min.,PG-13 - Teens 13 or older,5,"Idols (Male), Music",,,
Wakusei Daikaiju Negadon,Negadon: The Monster from Mars,5.36,11903,11982,1,Movie,1,Finished Airing,"Oct 16, 2005",CoMix Wave Films,"Central Park Media,       NYAV Post","None found, add some",Original,"Action, Fantasy, Sci-Fi",25 min.,PG-13 - Teens 13 or older,1,"Mecha, Military, Space",,,
100% Pascal-sensei,,5.36,14571,11983,754,ONA,6,Finished Airing,"Oct 15, 2016 to Mar 15, 2017","None found, add some","None found, add some","None found, add some",Manga,Comedy,4 min. per ep.,G - All Ages,0,,Kids,,
ARP Backstage Pass: Celebrate Good Time - Short Stories,,5.36,13084,11984,1,Special,1,Finished Airing,"Mar 2, 2020","None found, add some","None found, add some",Dynamo Pictures,Other,Comedy,23 min.,PG-13 - Teens 13 or older,1,"Idols (Male), Music",,,
Big Order (TV),,5.36,1047,11985,233,TV,10,Finished Airing,"Apr 16, 2016 to Jun 18, 2016","Lantis,       Rakuonsha,       KlockWorx,       Kadokawa","Discotek Media,       Crunchyroll",asread.,Manga,"Action, Fantasy",24 min. per ep.,R+ - Mild Nudity,246,Super Power,Shounen,Spring 2016,Saturdays at 01:40 (JST)
Channel 5.5 Prologue: Shin Bangumi Start!,,5.36,16029,11987,519,ONA,1,Finished Airing,2014,"None found, add some","None found, add some",DLE,Unknown,Comedy,4 min.,PG-13 - Teens 13 or older,0,,,,
Bright: Samurai Soul,,5.36,8307,11986,5,ONA,1,Finished Airing,"Oct 12, 2021","None found, add some","None found, add some",ARECT,Original,"Action, Adventure, Fantasy",1 hr. 20 min.,R - 17+ (violence & profanity),5,,,,
Hamaneko,,5.36,17188,11988,409,Special,1,Finished Airing,"Nov 27, 2014","None found, add some","None found, add some","None found, add some",Original,Slice of Life,22 min.,G - All Ages,0,,,,
