Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
Stitch to Suna no Wakusei,Stitch and the Planet of Sand,5.72,13921,10735,912,TV Special,1,Finished Airing,"Jun 16, 2012","None found, add some","None found, add some",Shin-Ei Animation,Other,"Adventure, Comedy, Sci-Fi",Kids,48 min.,G - All Ages,1,,,
Sweet Valerian Specials,,5.72,12936,10736,1,Special,8,Finished Airing,"Jun 22, 2005 to Sep 28, 2005","None found, add some","None found, add some",Madhouse,Original,Comedy,,4 min. per ep.,G - All Ages,0,,,
Tetsuwan Atom: Chikyuu Saigo no Hi,,5.72,13033,10737,1,Movie,1,Finished Airing,"Jul 20, 2001",Tezuka Productions,"None found, add some","None found, add some",Unknown,Sci-Fi,,16 min.,G - All Ages,0,,,
The Siamese: First Mission,,5.72,14797,10738,699,Movie,1,Finished Airing,"Oct 6, 2001",Maxell E-Cube,"None found, add some",Buyuu,Manga,Action,,1 hr. 30 min.,R - 17+ (violence & profanity),0,,,
Transformers Zone,Transformers: Zone,5.72,11074,10739,2,OVA,1,Finished Airing,"Jul 21, 1990","None found, add some","None found, add some",Toei Animation,Other,Sci-Fi,,23 min.,PG-13 - Teens 13 or older,2,,,Mecha
Tsunagaru,,5.72,18351,10740,322,Special,1,Finished Airing,"Nov 24, 2011","None found, add some","None found, add some","None found, add some",Original,,,3 min.,G - All Ages,0,,,Music
Uchuusen Sagittarius Pilot,,5.72,17313,10741,400,Special,1,Finished Airing,1982,"None found, add some","None found, add some","None found, add some",Original,"Adventure, Sci-Fi",,5 min.,G - All Ages,0,,,
Ulysses 31 Pilot,,5.72,14556,10742,760,Special,1,Finished Airing,1980,"None found, add some","None found, add some",TMS Entertainment,Unknown,"Action, Adventure, Sci-Fi",,24 min.,G - All Ages,1,,,Space
VS Knight Lamune & 40 Fresh,,5.72,9785,10743,3,OVA,6,Finished Airing,"May 21, 1997 to Nov 21, 1997","None found, add some",Discotek Media,Ashi Productions,Original,"Adventure, Comedy, Sci-Fi, Ecchi",,28 min. per ep.,R+ - Mild Nudity,6,,,"Mecha, Space"
Yamiyo no Jidaigeki,,5.72,15411,10744,597,Special,2,Finished Airing,"Feb 19, 1995","None found, add some","None found, add some",Sunrise,Unknown,Horror,,11 min. per ep.,R+ - Mild Nudity,1,,,Historical
Zdravstvuite!,,5.72,18420,10745,318,Movie,1,Finished Airing,"Feb 26, 2016",Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,,5 min.,PG-13 - Teens 13 or older,1,,,
Zenmai Zamurai,,5.72,14610,10746,743,TV,215,Finished Airing,"Apr 3, 2006 to Feb 6, 2009",Aniplex,"None found, add some",A-1 Pictures,Original,Comedy,Kids,5 min. per ep.,G - All Ages,2,Spring 2006,Unknown,
Zeonic Front: Kidou Senshi Gundam 0079 - Zeon no Hifun,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,5.72,10760,10747,2,Special,1,Finished Airing,"Sep 6, 2001",Bandai,"None found, add some",Sunrise,Original,,,10 min.,PG-13 - Teens 13 or older,0,,,"Mecha, Military"
Alice Gear Aegis Expansion,,5.72,6440,10748,10,TV,12,Finished Airing,"Apr 4, 2023 to Jun 20, 2023","Docomo Anime Store,       COLOPL,       BS NTV,       Kadokawa,       Bandai Namco Filmworks,       Pyramid",Sentai Filmworks,Nomad,Game,"Action, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,11,Spring 2023,Tuesdays at 01:05 (JST),
"Animegataris: Yuku Toshi, Kuru Toshi",,5.72,12199,10749,1,ONA,1,Finished Airing,"Dec 31, 2017","None found, add some","None found, add some",WAO World,Original,Comedy,,3 min.,PG-13 - Teens 13 or older,1,,,
Anisama,,5.72,10926,10750,2,ONA,1,Finished Airing,"Aug 30, 2017","None found, add some","None found, add some","None found, add some",Other,"Adventure, Comedy, Fantasy",,4 min.,PG - Children,0,,,
W'z: Hand Shakers with W'z,,5.71,10127,10801,2,Special,1,Finished Airing,"Feb 27, 2019","None found, add some","None found, add some",GoHands,Original,Action,,24 min.,PG-13 - Teens 13 or older,0,,,Music
Wagahai wa Neko de Aru,,5.71,14776,10802,703,TV Special,1,Finished Airing,"Feb 17, 1982",Fuji TV,"None found, add some",Toei Animation,Novel,"Comedy, Slice of Life",,1 hr. 13 min.,G - All Ages,0,,,Historical
"Wake Up, Girl Zoo! Miyagi PR de Go!",,5.71,12488,10803,1,Special,1,Finished Airing,"Feb 11, 2016","Rakuonsha,       DIVE II Entertainment","None found, add some","Ordet,       W-Toon Studio",Original,Comedy,,9 min.,G - All Ages,0,,,
Yoshino no Hime,The Princess of Yoshino,5.71,14941,10804,674,ONA,1,Finished Airing,2005,Maru Production,"None found, add some","None found, add some",Original,"Comedy, Fantasy, Slice of Life",,8 min.,G - All Ages,1,,,Historical
Ankoku Cat,,5.71,10558,10805,2,ONA,6,Finished Airing,"Dec 19, 2006 to May 13, 2008","None found, add some","None found, add some",Fanworks,Original,"Action, Comedy",,6 min. per ep.,G - All Ages,2,,,Anthropomorphic
Aquarion Logos,,5.71,4531,10806,23,TV,26,Finished Airing,"Jul 3, 2015 to Dec 25, 2015",C2C,Funimation,Satelight,Original,"Action, Fantasy, Romance, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,19,Summer 2015,Fridays at 00:00 (JST),Mecha
Asari-chan: Ai no Marchen Shoujo,Super Gal Asari: The Dreaming Girl in Fairy World,5.71,15440,10807,590,Movie,1,Finished Airing,"Mar 13, 1982","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Slice of Life",Shoujo,24 min.,None,1,,,
Bakugan: Evolutions,,5.71,12256,10808,1,ONA,26,Finished Airing,"Feb 6, 2022 to Sep 1, 2022","None found, add some","None found, add some",TMS Entertainment,Original,"Action, Fantasy",,22 min. per ep.,PG - Children,4,,,Strategy Game
Battery,,5.71,3052,10809,53,TV,11,Finished Airing,"Jul 15, 2016 to Sep 23, 2016","Aniplex,       Dentsu,       Kadokawa Shoten,       Fuji TV,       Kyoraku Industrial Holdings,       Kansai Telecasting",Discotek Media,Zero-G,Novel,"Drama, Sports",,22 min. per ep.,PG-13 - Teens 13 or older,55,Summer 2016,Fridays at 00:55 (JST),Team Sports
Bloody Bunny,,5.71,14197,10810,844,TV,26,Finished Airing,"Jul 18, 2012 to ?","None found, add some","None found, add some",Kachidoki Studio,Other,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,5,?,Unknown,
Build Divide: Code White Recap,,5.71,12836,10811,1,TV Special,1,Finished Airing,"May 8, 2022","None found, add some","None found, add some",LIDENFILMS,Mixed media,Fantasy,,23 min.,PG-13 - Teens 13 or older,6,,,Strategy Game
Chikara to Onna no Yo no Naka,,5.71,14759,10812,706,Movie,1,Finished Airing,"Apr 13, 1933","None found, add some","None found, add some","None found, add some",Original,,,2 min.,G - All Ages,0,,,Historical
Chogattai Majutsu Robot Ginguiser,,5.71,12196,10813,1,TV,26,Finished Airing,"Apr 9, 1977 to Oct 22, 1977","None found, add some","None found, add some","Nippon Animation,       Ashi Productions",Original,"Action, Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,3,Spring 1977,Unknown,Mecha
Code Geass: Hangyaku no Lelouch R2 Omake Flash,Code Geass: Lelouch of the Rebellion R2 Extra Flash - Baba Theater Redux,5.71,5195,10815,17,Special,9,Finished Airing,"Aug 22, 2008 to Apr 24, 2009",Bandai Visual,"Funimation,       Bandai Entertainment",Sunrise,Original,Comedy,,1 min. per ep.,PG-13 - Teens 13 or older,16,,,Parody
Chokkyuu Hyoudai Robot Anime: Straight Title,Straight Title Robot Anime,5.71,10368,10814,2,TV,12,Finished Airing,"Feb 6, 2013 to Apr 24, 2013","Tsubasa Entertainment,       Bouncy,       Just Production","None found, add some",Yaoyorozu,Unknown,Comedy,,15 min. per ep.,PG-13 - Teens 13 or older,4,Winter 2013,Unknown,Mecha
Cynical Hysterie Hour: Utakata no Uta,,5.71,17242,10816,404,Movie,1,Finished Airing,"Jun 24, 1989","None found, add some","None found, add some","None found, add some",Unknown,Comedy,,8 min.,G - All Ages,0,,,
Denshinbashira no Okaasan,,5.71,15691,10817,556,Movie,1,Finished Airing,2005,"None found, add some","None found, add some","None found, add some",Unknown,Drama,,10 min.,G - All Ages,0,,,
Din Dong,,5.71,17862,10818,358,ONA,5,Finished Airing,"Feb 27, 2010 to Jan 3, 2015",Postgal Workshop,"None found, add some","None found, add some",Unknown,Comedy,,1 min. per ep.,G - All Ages,0,,,Parody
