Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics,Premiered,Broadcast
Choujin Locke: Mirror Ring,Locke the Superman: Mirror Ring,5.47,12421,11693,1,OVA,1,Finished Airing,"Dec 22, 2000","None found, add some","None found, add some",SIDO LIMITED,Manga,"Action, Sci-Fi",1 hr.,PG-13 - Teens 13 or older,0,Super Power,,,
D-1 Devastator,,5.47,11733,11694,1,OVA,2,Finished Airing,"Dec 11, 1992 to Feb 26, 1993",Takara,"None found, add some","None found, add some",Unknown,Sci-Fi,45 min. per ep.,R+ - Mild Nudity,3,Mecha,,,
Dokidoki Ghost Mansion,Pokémon Kids TV: Mysterious Ghost Manor,5.47,15979,11695,524,ONA,1,Finished Airing,"Sep 20, 2019","None found, add some","None found, add some","None found, add some",Game,Fantasy,5 min.,PG - Children,0,,Kids,,
Doubutsu Olympic Taikai,The Animal Olympics,5.47,12560,11696,1,Movie,1,Finished Airing,"Sep 4, 1928","None found, add some","None found, add some","None found, add some",Original,"Comedy, Sports",13 min.,G - All Ages,1,,,,
Fujiko Fujio A no Mumako,,5.47,13571,11697,1,TV Special,1,Finished Airing,"Jul 3, 1990",TBS,"None found, add some",Shin-Ei Animation,Unknown,"Horror, Supernatural",31 min.,PG-13 - Teens 13 or older,0,,,,
Hayou no Tsurugi: Shikkoku no Mashou,,5.47,13729,11698,971,OVA,2,Finished Airing,"Nov 27, 1992 to Dec 25, 1992","None found, add some","None found, add some",Magic Bus,Light novel,"Fantasy, Supernatural",30 min. per ep.,R - 17+ (violence & profanity),0,,Shoujo,,
I Love Sky,,5.47,15317,11699,612,Special,1,Finished Airing,2004,"None found, add some","None found, add some",RG Animation Studios,Original,Comedy,4 min.,G - All Ages,1,,Kids,,
Isekai Cheat Magician,,5.47,735,11700,328,TV,12,Finished Airing,"Jul 10, 2019 to Sep 25, 2019","AT-X,       Kadokawa Media House,       Kadokawa,       Shufunotomo","None found, add some",Encourage Films,Light novel,"Action, Adventure, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,534,Isekai,,Summer 2019,Wednesdays at 22:00 (JST)
Agukaru: Play with Ibaraki-hen,Agriculture Angel BARAKI: Play with Ibaraki,5.46,15049,11701,654,ONA,20,Finished Airing,"Jun 6, 2014 to Mar 21, 2015",Studio PuYUKAI,"None found, add some","None found, add some",Original,"Slice of Life, Supernatural",7 min. per ep.,G - All Ages,0,,,,
Ao no Butai ni Omoi wo Yosete,,5.46,17544,11702,383,ONA,3,Finished Airing,"May 26, 2014 to Aug 2014","None found, add some","None found, add some","None found, add some",Other,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Be-Bop Kaizokuban,,5.46,12801,11703,1,OVA,3,Finished Airing,"Mar 22, 1991 to Jun 25, 1993","None found, add some","None found, add some",Toei Animation,Manga,Comedy,37 min. per ep.,R+ - Mild Nudity,2,"Delinquents, School",Seinen,,
Chiruran: Nibun no Ichi Special,Chiruran 1/2,5.46,13360,11705,1,Special,1,Finished Airing,"May 26, 2017","None found, add some","None found, add some",LandQ studios,Manga,"Action, Comedy",2 min.,PG-13 - Teens 13 or older,1,Historical,,,
Bouken Shite mo Ii Koro,,5.46,11717,11704,1,OVA,3,Finished Airing,"Nov 21, 1989 to Aug 24, 1990","None found, add some","None found, add some",Knack Productions,Manga,"Comedy, Romance, Ecchi",45 min. per ep.,R+ - Mild Nudity,2,"Adult Cast, Showbiz",Seinen,,
Circuit Angel: Ketsui no Starting Grid,,5.46,11500,11706,1,OVA,1,Finished Airing,"May 21, 1987","None found, add some","None found, add some",Studio Unicorn,Original,Action,44 min.,R+ - Mild Nudity,2,Racing,,,
Controller of Controller,,5.46,16787,11707,441,Movie,1,Finished Airing,"May 18, 2016",Tamabi,"None found, add some","None found, add some",Original,"Avant Garde, Comedy",7 min.,G - All Ages,0,"Music, Racing",,,
Digital Juice,,5.46,7578,11708,6,OVA,6,Finished Airing,"Jan 25, 2002",Beyond C.,"None found, add some",Studio 4°C,Original,Comedy,3 min. per ep.,R+ - Mild Nudity,1,Psychological,,,
Francesca,Hungry Zombie Francesca,5.46,6437,11709,10,TV,24,Finished Airing,"Jul 7, 2014 to Dec 15, 2014","Pony Canyon,       Bandai Namco Games,       Daiichikosho,       HeART-BIT,       Hokkaido Azmacy,       Hokkaido Cultural Broadcasting,       Teichiku Entertainment,       Amuse","None found, add some",Telecom Animation Film,Original,"Comedy, Fantasy",11 min. per ep.,PG-13 - Teens 13 or older,5,,,Summer 2014,Unknown
Futsal Boys!!!!!,,5.46,3927,11710,32,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022","Lantis,       Bandai Namco Entertainment,       Good Smile Company,       Live Viewing Japan,       Bandai Namco Arts","None found, add some",Diomedéa,Mixed media,Sports,24 min. per ep.,PG-13 - Teens 13 or older,230,Team Sports,,Winter 2022,Sundays at 23:00 (JST)
Gattai Robot Atranger,,5.46,15384,11711,602,OVA,1,Finished Airing,"Dec 29, 2011","None found, add some","None found, add some",AIC,Other,,13 min.,PG-13 - Teens 13 or older,1,Mecha,,,
Gun-dou Musashi,Gun Samurai,5.46,6883,11712,8,TV,26,Finished Airing,"Apr 9, 2006 to Oct 8, 2006",TBS,"None found, add some",ACC Production,Original,"Adventure, Fantasy",25 min. per ep.,PG-13 - Teens 13 or older,23,Samurai,,Spring 2006,Sundays at 09:30 (JST)
Hatsukoi Monster,First Love Monster,5.46,1919,11713,113,TV,12,Finished Airing,"Jul 2, 2016 to Sep 17, 2016","Kodansha,       AT-X,       DAX Production,       KlockWorx,       Sony Music Communications,       King Records",Funimation,Studio Deen,Manga,"Comedy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,152,School,Shoujo,Summer 2016,Saturdays at 23:00 (JST)
I'm Here,,5.46,18327,11714,324,Movie,1,Finished Airing,2015,Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,6 min.,G - All Ages,0,Music,,,
Meshimase Lodoss-tou Senki: Sorette Oishii no?,,5.46,10480,11715,2,TV,13,Finished Airing,"Apr 6, 2014 to Jun 29, 2014","Kadokawa Shoten,       DAX Production","None found, add some","Studio Deen,       Studio Hibari",Light novel,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,3,,,Spring 2014,Unknown
Ozmafia!!,,5.46,4816,11716,20,TV,12,Finished Airing,"Jul 7, 2016 to Sep 22, 2016","Hobi Animation,       project lights,       Cloud22","None found, add some",Creators in Pack,Visual novel,"Comedy, Fantasy",5 min. per ep.,PG-13 - Teens 13 or older,18,"Historical, Organized Crime",Josei,Summer 2016,Thursdays at 00:00 (JST)
RS Keikaku: Rebirth Storage,RS Project: Rebirth Storage,5.46,7816,11717,6,TV Special,1,Finished Airing,"Jun 26, 2016","Fuji TV,       DeNA","None found, add some","None found, add some",Original,Action,23 min.,PG-13 - Teens 13 or older,2,Mecha,,,
Runningman,,5.46,16778,11718,442,ONA,1,Finished Airing,"Feb 22, 2012",Echoes,"None found, add some","None found, add some",Original,Slice of Life,4 min.,G - All Ages,2,Music,,,
Sayonara Watashi no Cramer Mini Anime,,5.46,14451,11719,784,ONA,24,Finished Airing,"Mar 16, 2021 to Jun 22, 2021","None found, add some","None found, add some","None found, add some",Manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,0,,,,
Shiden Pilot,,5.46,17540,11720,384,Special,1,Finished Airing,"Mar 25, 2004","None found, add some","None found, add some","None found, add some",Original,Action,23 min.,PG-13 - Teens 13 or older,0,Racing,,,
Shinseikiden Mars,,5.46,11558,11721,1,TV,13,Finished Airing,"Oct 31, 2002 to Feb 6, 2003","AT-X,       Tsuburaya Productions","None found, add some","Plum,       Studio Guts",Manga,"Action, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,1,Mecha,Shounen,Fall 2002,Unknown
Tesla Note: Mickey to Oliver no Agent Yousei Kouza,,5.46,14603,11722,747,ONA,15,Finished Airing,"Sep 29, 2021 to Jan 16, 2022","None found, add some","None found, add some",Gambit,Manga,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,1,,,,
Yasashii Lion,,5.46,13524,11723,1,Movie,1,Finished Airing,"Mar 21, 1970",Mushi Production,"None found, add some","None found, add some",Picture book,"Award Winning, Fantasy",27 min.,G - All Ages,1,Music,Kids,,
Shinrabanshou: Tenchi Shinmei no Shou,,5.45,13958,11724,906,ONA,1,Finished Airing,"Jun 29, 2014","None found, add some","None found, add some",Sunrise,Other,"Action, Fantasy",22 min.,PG-13 - Teens 13 or older,1,,,,
Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose,,5.45,14313,11725,817,OVA,1,Finished Airing,"Jan 7, 1992",Nippon Animation,"None found, add some",Artland,Manga,"Action, Mystery",45 min.,R+ - Mild Nudity,0,,,,
Sugio: Mori de Koi wo Shite,,5.45,15916,11726,532,ONA,3,Finished Airing,"Sep 27, 2015","None found, add some","None found, add some",DLE,Original,Comedy,4 min. per ep.,G - All Ages,0,,,,
Thunder,,5.45,13563,11727,1,Movie,1,Finished Airing,1982,"None found, add some","None found, add some","None found, add some",Original,Avant Garde,5 min.,G - All Ages,6,,,,
Ubasuteyama,,5.45,12548,11728,1,Movie,1,Finished Airing,1925,"None found, add some","None found, add some","None found, add some",Original,Drama,18 min.,G - All Ages,2,,,,
Zettai Zetsumei Dangerous Jiisan,,5.45,16436,11729,475,TV,33,Finished Airing,Oct 2003 to Mar 2004,"None found, add some","None found, add some","None found, add some",Manga,Comedy,35 sec. per ep.,G - All Ages,0,,Kids,Fall 2003,Unknown
Ziggy: Soreyuke! R&R Band,,5.45,13359,11730,1,Movie,1,Finished Airing,"Jul 12, 1991","None found, add some","None found, add some",Studio Deen,Unknown,"Adventure, Mystery",1 hr. 10 min.,PG-13 - Teens 13 or older,0,Music,,,
Aoi Umi to Shounen,The Boy and the Blue Sea,5.45,15354,11732,605,Movie,1,Finished Airing,Jul 1983,Shinano Kikaku,"None found, add some","None found, add some",Unknown,Slice of Life,40 min.,G - All Ages,0,,,,
Abciee Shuugyou Nikki,ABCiee Working Diary,5.45,10033,11731,3,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",ABC Animation,"None found, add some",Fanworks,Other,Comedy,2 min. per ep.,PG - Children,4,Workplace,,Winter 2021,Thursdays at 01:32 (JST)
Arabian Night: Sindbad no Bouken,Arabian Nights: Sinbad's Adventures,5.45,11428,11733,1,Movie,1,Finished Airing,"Jun 16, 1962","None found, add some","None found, add some",Toei Animation,Book,"Action, Adventure, Fantasy",1 hr. 21 min.,PG-13 - Teens 13 or older,2,,,,
Chen-Kuro Gakuen,,5.45,14222,11734,840,Movie,3,Finished Airing,"Dec 3, 2016 to Feb 11, 2017","None found, add some","None found, add some",Studio PuYUKAI,Game,Comedy,3 min. per ep.,G - All Ages,0,"Parody, School",,,
Cleopatra,Cleopatra: Queen of Sex,5.45,7511,11735,6,Movie,1,Finished Airing,"Sep 15, 1970","None found, add some",Discotek Media,Mushi Production,Original,Sci-Fi,1 hr. 52 min.,R+ - Mild Nudity,14,Historical,,,
Cynical Hysterie Hour: Henshin!,,5.45,17451,11736,389,Movie,1,Finished Airing,"Feb 4, 1989","None found, add some","None found, add some","None found, add some",Unknown,Comedy,8 min.,G - All Ages,0,,,,
