,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
57,Infinite Dendrogram,,6.19,1348,8520,178,TV,13,Finished Airing,"Jan 9, 2020 to Apr 16, 2020","AT-X,       Nippon Columbia,       KlockWorx,       Hobby Japan,       Studio Mausu,       Hakuhodo DY Music & Pictures,       BS11,       HOTZIPANG,       Anima&Co.",Funimation,NAZ,Light novel,"Action, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,283,Winter 2020,Thursdays at 23:00 (JST),Video Game,
58,Accel World: Acchel World.,,6.18,3467,8522,41,Special,8,Finished Airing,"Jul 25, 2012 to Feb 27, 2013","None found, add some",VIZ Media,J.C.Staff,4-koma manga,"Comedy, Sci-Fi",3 min. per ep.,PG-13 - Teens 13 or older,26,,,,
59,Alita De Shi Lian,Alita's Trail,6.18,18603,8523,306,ONA,1,Finished Airing,"Oct 27, 2016","None found, add some","None found, add some",Studio Tumble,Original,"Action, Fantasy",5 min.,PG-13 - Teens 13 or older,0,,,,
60,Bai Yue Er,The White Moon,6.18,18982,8525,283,ONA,1,Finished Airing,"Nov 17, 2021","Tencent Penguin Pictures,       Nice Boat Animation,       Alpha Animation,       Wolf Smoke Studio","None found, add some","None found, add some",Original,Drama,8 min.,PG-13 - Teens 13 or older,0,,,,
61,Ashita no Joe Pilots,Tomorrow's Joe Pilots,6.18,8197,8524,5,Special,2,Finished Airing,"Nov 6, 1969 to Dec 22, 1969","None found, add some","None found, add some",Mushi Production,Manga,"Drama, Sports",10 min. per ep.,PG-13 - Teens 13 or older,5,,,Combat Sports,Shounen
62,Bakuon!! no Kobeya,,6.18,9416,8526,3,Special,4,Finished Airing,"Aug 24, 2016 to Nov 18, 2016","Lantis,       NBCUniversal Entertainment Japan,       Akita Shoten","None found, add some",TMS Entertainment,Manga,"Comedy, Slice of Life",1 min. per ep.,PG-13 - Teens 13 or older,2,,,CGDCT,Seinen
63,Black Jack: Dr. Pinoko no Mori no Bouken,Black Jack: Dr. Pinoco's Adventure,6.18,10738,8527,2,Movie,1,Finished Airing,"Dec 17, 2005",Tezuka Productions,"None found, add some","None found, add some",Manga,Comedy,7 min.,G - All Ages,1,,,Medical,
64,Bullbuster,,6.18,5929,8528,12,TV,12,Finished Airing,"Oct 4, 2023 to Dec 20, 2023","AT-X,       Tokyo MX,       Sammy,       Kansai Telecasting,       BS NTV,       Kadokawa,       P.I.C.S.","None found, add some",Nut,Mixed media,"Action, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,19,Fall 2023,Wednesdays at 21:00 (JST),"Adult Cast, Mecha, Workplace",
65,Cherry Mahou Mini Gekijou,,6.18,15780,8529,544,ONA,11,Finished Airing,"Dec 22, 2023 to Apr 12, 2024","None found, add some","None found, add some",AQUA ARIS,Manga,"Boys Love, Comedy, Supernatural",1 min. per ep.,PG-13 - Teens 13 or older,0,,,"Adult Cast, Workplace",
66,"Deemo Movie: Sakura no Oto - Anata no Kanadeta Oto ga, Ima mo Hibiku",Deemo: Memorial Keys,6.18,6072,8530,11,Movie,1,Finished Airing,"Feb 25, 2022","Pony Canyon,       Magic Capsule",Eleven Arts,"Production I.G,       Signal.MD",Game,"Drama, Fantasy",1 hr. 28 min.,PG-13 - Teens 13 or older,38,,,Music,
67,Detarame na Sekai no Melodrama,,6.18,13048,8531,1,ONA,1,Finished Airing,"Mar 23, 2023",TOHO animation,"None found, add some",TOHO animation STUDIO,Original,Drama,3 min.,PG-13 - Teens 13 or older,0,,,Performing Arts,
