,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Demographics,Duration,Rating,Favorites,Genres,Themes,Premiered,Broadcast
69,Aa Harimanada,,6.12,11038,8853,2,TV,23,Finished Airing,"Apr 23, 1992 to Oct 1, 1992",TV Tokyo,"None found, add some",E&G Films,Manga,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,3,Sports,"Combat Sports, Martial Arts",Spring 1992,Unknown
70,Ai Shoujo Pollyanna Story Specials,,6.12,14809,8854,695,TV Special,2,Finished Airing,Apr 2001,"None found, add some","None found, add some",Nippon Animation,Unknown,,45 min. per ep.,G - All Ages,0,"Drama, Slice of Life",Historical,,
71,Akikan!,,6.12,1790,8855,124,TV,12,Finished Airing,"Jan 4, 2009 to Mar 29, 2009",Half H.P Studio,Sentai Filmworks,Brain's Base,Light novel,,23 min. per ep.,PG-13 - Teens 13 or older,137,"Comedy, Fantasy, Romance, Ecchi",Anthropomorphic,Winter 2009,Sundays at 00:00 (JST)
72,"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku",,6.12,16359,8856,482,TV Special,1,Finished Airing,"Aug 11, 2015","None found, add some","None found, add some",EMT Squared,Other,,22 min.,R - 17+ (violence & profanity),0,,Historical,,
73,Asari-chan,,6.12,12534,8857,1,TV,54,Finished Airing,"Jan 25, 1982 to Feb 28, 1983",TV Asahi,"None found, add some",Toei Animation,Manga,Shoujo,24 min. per ep.,G - All Ages,3,Comedy,,Winter 1982,Unknown
74,Boku no Son Gokuu,,6.12,14482,8858,776,Movie,1,Finished Airing,"Jul 12, 2003","Avex Entertainment,       Tezuka Productions","None found, add some","None found, add some",Unknown,Kids,1 hr. 35 min.,G - All Ages,1,"Adventure, Fantasy",,,
75,Boruto: Jump Festa 2016 Special,,6.12,5345,8859,15,Special,1,Finished Airing,"Nov 27, 2016","None found, add some","None found, add some",Pierrot,Manga,Shounen,11 min.,PG-13 - Teens 13 or older,16,"Action, Adventure, Fantasy",Martial Arts,,
76,Chou Supercar Gattiger,,6.12,13222,8860,1,TV,25,Finished Airing,"Oct 4, 1977 to Mar 28, 1978","Wako Productions,       Nihon Keizai Koukokusha","None found, add some","None found, add some",Unknown,,25 min. per ep.,G - All Ages,0,"Action, Sci-Fi",Racing,Fall 1977,Unknown
77,Chou Tokkyuu Hikarian,Super Express Hikarian,6.12,13812,8861,944,TV,156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",TV Tokyo,"None found, add some","None found, add some",Unknown,Kids,7 min. per ep.,G - All Ages,1,"Action, Adventure",,Spring 1997,Unknown
78,Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,Code Geass: Lelouch of the Rebellion Picture Drama - The Night of the Beginning,6.12,6530,8862,9,Special,1,Finished Airing,"Sep 25, 2013","Sunrise,       Bandai Visual","None found, add some","None found, add some",Original,,3 min.,PG-13 - Teens 13 or older,4,Action,School,,
