,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Premiered,Broadcast,Themes,Demographics
10,Qin Shi Mingyue: Bai Bu Fei Jian,Qin's Moon: Hundred Steps Flying Sword,6.29,9509,8009,3,TV,10,Finished Airing,"Feb 14, 2007 to Feb 23, 2007","None found, add some","None found, add some",Sparkly Key Animation Studio,Novel,"Action, Fantasy",22 min. per ep.,PG-13 - Teens 13 or older,16,Winter 2007,Unknown,"Historical, Martial Arts",
11,Robot Girls Z Plus,,6.29,7255,8010,7,ONA,6,Finished Airing,"May 20, 2015 to Oct 2, 2015","Nippon Columbia,       LandQ studios","None found, add some",Toei Animation,Original,Comedy,8 min. per ep.,PG-13 - Teens 13 or older,3,,,"Anthropomorphic, Parody",
12,Kamen Rider SD Kaiki?! Kumo Otoko,,6.28,11732,8011,1,OVA,1,Finished Airing,"Jan 23, 1993","None found, add some","None found, add some",Toei Animation,Unknown,Action,28 min.,G - All Ages,4,,,Parody,
13,"Kawaru Machi, Kawareru Machi, Ishinomaki feat. Jun",,6.28,14105,8012,870,ONA,1,Finished Airing,"Feb 11, 2022","None found, add some","None found, add some",Robot Communications,Manga,"Drama, Fantasy",9 min.,G - All Ages,5,,,Psychological,
14,Koala Boy Kokki,The Adventures of the Little Koala,6.28,13551,8014,1,TV,26,Finished Airing,"Apr 11, 1984 to Mar 28, 1985",Tohokushinsha Film Corporation,"None found, add some",Topcraft,Original,Comedy,25 min. per ep.,G - All Ages,2,Spring 1984,Thursdays at 19:00 (JST),,
15,Ketsuekigata-kun! 3,,6.28,9383,8013,3,TV,12,Finished Airing,"Oct 13, 2015 to Dec 29, 2015",Earth Star Entertainment,"None found, add some","feel.,       Zexcs,       Assez Finaud Fabric",Web manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,2,Fall 2015,Tuesdays at 01:08 (JST),,
16,Li Shi,Almanac Master,6.28,9458,8015,3,ONA,16,Finished Airing,"May 7, 2020 to Aug 13, 2020",Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Novel,"Action, Mystery, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,7,,,,
17,Mafukiden: Pandarian,Pandalian,6.28,13174,8016,1,TV,26,Finished Airing,"Jan 8, 2005 to Jul 9, 2005","None found, add some","None found, add some",Planet,Unknown,"Adventure, Comedy, Fantasy",25 min. per ep.,G - All Ages,4,Winter 2005,Unknown,Super Power,Kids
18,Mahou no Tenshi Creamy Mami: Eien no Once More,,6.28,11271,8017,2,OVA,1,Finished Airing,"Oct 28, 1984","None found, add some","None found, add some",Pierrot,Original,"Comedy, Fantasy, Romance",1 hr. 31 min.,G - All Ages,0,,,"Idols (Female), Mahou Shoujo",
19,Mahou Shoujo Magical Destroyers,Magical Destroyers,6.28,2552,8018,72,TV,12,Finished Airing,"Apr 8, 2023 to Jun 24, 2023","Mainichi Broadcasting System,       King Records,       Bit grooove promotion,       Sankyo","None found, add some",Bibury Animation Studios,Original,"Action, Fantasy, Suspense",23 min. per ep.,PG-13 - Teens 13 or older,226,Spring 2023,Saturdays at 01:55 (JST),"Mahou Shoujo, Otaku Culture, Psychological",
20,Megaton-kyuu Musashi,,6.28,5391,8020,15,TV,13,Finished Airing,"Oct 1, 2021 to Dec 24, 2021","Dentsu,       Tokyo MX,       Level-5","None found, add some",OLM,Mixed media,"Action, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,62,Fall 2021,Fridays at 22:00 (JST),"Mecha, School",
21,Mass Effect: Paragon Lost,,6.28,6686,8019,9,Movie,1,Finished Airing,"Nov 29, 2012","None found, add some",Funimation,Production I.G,Game,"Action, Adventure, Sci-Fi",1 hr. 34 min.,R - 17+ (violence & profanity),16,,,,
22,Miyanishi Tatsuya Gekijou: Omae Umasou da na,,6.28,11797,8021,1,TV,20,Finished Airing,"Oct 4, 2010 to Oct 29, 2010","None found, add some",Discotek Media,Ajia-do,Picture book,Adventure,3 min. per ep.,G - All Ages,4,Fall 2010,Unknown,Anthropomorphic,Kids
23,Monster Strike Anime,Monster Strike the Anime 2nd Season,6.28,7266,8022,7,ONA,23,Finished Airing,"Apr 1, 2017 to Sep 2, 2017",XFLAG Pictures,"None found, add some","SANZIGEN,       Yokohama Animation Lab",Game,"Action, Fantasy",10 min. per ep.,PG-13 - Teens 13 or older,8,,,Video Game,
24,Neko Hiki no Oruorane,,6.28,10557,8023,2,OVA,1,Finished Airing,"Nov 26, 1992","None found, add some","None found, add some",J.C.Staff,Novel,Fantasy,30 min.,G - All Ages,8,,,"Music, Pets",
25,Neko Neko Nihonshi 3rd Season,Meow Meow Japanese History,6.28,14584,8024,751,TV,32,Finished Airing,"Apr 4, 2018 to Feb 27, 2019",NHK,"None found, add some",Joker Films,Web manga,,9 min. per ep.,G - All Ages,1,Spring 2018,Unknown,"Anthropomorphic, Historical, Parody, Samurai",Kids
26,Ningyo,Mermaid,6.28,8951,8025,4,Movie,1,Finished Airing,"Sep 21, 1964","None found, add some","None found, add some",Mushi Production,Original,Fantasy,8 min.,G - All Ages,7,,,,
27,Ocha-ken: Chokotto Monogatari,,6.28,12529,8026,1,TV,26,Finished Airing,"Oct 6, 2003 to Apr 1, 2004",Four Some,"None found, add some","None found, add some",Unknown,Comedy,4 min. per ep.,G - All Ages,7,Fall 2003,Unknown,,Kids
28,Oira Uchuu no Tankoufu,Mighty Space Miners,6.28,10221,8027,2,OVA,2,Finished Airing,"Nov 11, 1994 to Jan 27, 1995",KSS,"ADV Films,       Discotek Media",Triangle Staff,Original,"Adventure, Sci-Fi",25 min. per ep.,R - 17+ (violence & profanity),2,,,Space,
29,Persona 2: Another Self,,6.28,7660,8028,6,Special,1,Finished Airing,"Jun 29, 2000",Atlus,"None found, add some",Satelight,Game,"Action, Fantasy, Supernatural",5 min.,PG-13 - Teens 13 or older,12,,,Mythology,
30,Pokemon: Pikachu no Kirakira Daisousaku!,Pikachu's Great Sparking Search!,6.28,7396,8029,7,Special,1,Finished Airing,"Aug 1, 2009","None found, add some","None found, add some",OLM,Game,"Adventure, Comedy, Fantasy",20 min.,PG - Children,0,,,,Kids
31,Princess Connect!,,6.28,6772,8030,8,ONA,3,Finished Airing,"Mar 19, 2015 to Jul 9, 2017","None found, add some","None found, add some","None found, add some",Game,Fantasy,1 min. per ep.,G - All Ages,9,,,,
32,RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,,6.28,7274,8031,7,OVA,1,Finished Airing,"Aug 7, 2003",Bandai,Sentai Filmworks,Bones,Original,"Drama, Sci-Fi",15 min.,PG-13 - Teens 13 or older,3,,,Psychological,
33,Rinne no Lagrange Season 2 Specials,Lagrange: The Flower of Rin-ne Season 2 Specials,6.28,9652,8032,3,Special,6,Finished Airing,"Sep 21, 2012 to Feb 22, 2013","Production I.G,       Bandai Visual,       Yomiuri Telecasting,       flying DOG",VIZ Media,Xebec,Original,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,0,,,,
34,Saint Seiya Omega,,6.28,3141,8033,50,TV,97,Finished Airing,"Apr 1, 2012 to Mar 30, 2014","Dentsu,       TV Asahi","None found, add some",Toei Animation,Manga,"Action, Adventure, Fantasy, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,134,Spring 2012,Sundays at 06:30 (JST),Mythology,Shounen
35,Seiren,,6.28,1009,8034,241,TV,12,Finished Airing,"Jan 6, 2017 to Mar 24, 2017","Pony Canyon,       TBS,       DAX Production,       Pony Canyon Enterprises,       Stardust Promotion,       GYAO!","None found, add some","Studio Gokumi,       AXsiZ",Original,Romance,24 min. per ep.,PG-13 - Teens 13 or older,462,Winter 2017,Fridays at 02:28 (JST),"Harem, School",
36,Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,,6.28,12815,8035,1,TV,25,Finished Airing,"Oct 7, 2020 to Sep 29, 2021",Lantis,"None found, add some",Pie in the sky,Original,,4 min. per ep.,G - All Ages,2,Fall 2020,Wednesdays at 23:54 (JST),"Mahou Shoujo, Parody",
37,Sora wo Kakeru Shoujo Picture Drama,Girl Who Leapt Through Space Picture Drama,6.28,10793,8036,2,Special,9,Finished Airing,"Apr 24, 2009 to Nov 24, 2009","None found, add some","None found, add some",Sunrise,Original,"Adventure, Comedy, Sci-Fi",3 min. per ep.,R+ - Mild Nudity,1,,,Space,
38,Strike Witches OVA,,6.28,4324,8037,26,OVA,1,Finished Airing,"Jan 1, 2007",Rakuonsha,"None found, add some",Gonzo,Original,"Action, Sci-Fi, Ecchi",8 min.,PG-13 - Teens 13 or older,22,,,Military,
39,Sword Art Online Fatal Bullet: The Third Episode,,6.28,5024,8038,18,TV Special,1,Finished Airing,"Mar 20, 2018",Bandai Namco Entertainment,"None found, add some","None found, add some",Game,,3 min.,PG-13 - Teens 13 or older,51,,,Video Game,
40,Tsuki ga Noboru made ni,,6.28,11966,8039,1,OVA,1,Finished Airing,"Nov 8, 1991","None found, add some","None found, add some","OB Planning,       Grouper Productions",Other,Drama,43 min.,G - All Ages,0,,,Historical,
41,Uchi no 3 Shimai,,6.28,14241,8040,834,TV,102,Finished Airing,"Apr 8, 2008 to Mar 30, 2010","None found, add some","None found, add some","Toei Animation,       Studio Animal",Other,"Comedy, Slice of Life",23 min. per ep.,G - All Ages,1,Spring 2008,Unknown,,
42,Umi no Triton,Triton of the Sea,6.28,10505,8041,2,TV,27,Finished Airing,"Apr 1, 1972 to Sep 30, 1972","None found, add some","None found, add some",Animation Staff Room,Manga,"Adventure, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,3,Spring 1972,Unknown,,Shounen
43,Umineko no Naku Koro ni Specials,Umineko: When They Cry Specials,6.28,5251,8042,16,Special,26,Finished Airing,"Oct 23, 2009 to Oct 24, 2010",Frontier Works,"None found, add some",Studio Deen,Visual novel,Comedy,1 min. per ep.,PG-13 - Teens 13 or older,20,,,Parody,
44,Yoku Wakaru Mahouka!,The Irregular at Magic High School: Get to Know Magic Studies!,6.28,4264,8043,27,ONA,6,Finished Airing,"Feb 22, 2014 to Sep 13, 2014","Madhouse,       Aniplex","None found, add some","None found, add some",Light novel,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,17,,,,
45,Yoshinaga-san'chi no Gargoyle Specials,,6.28,12479,8044,1,Special,5,Finished Airing,"Jul 28, 2006 to Nov 24, 2006","None found, add some","None found, add some",Studio Hibari,Unknown,"Adventure, Comedy, Fantasy",3 min. per ep.,PG - Children,2,,,,
46,Zettai Bouei Leviathan,Leviathan: The Last Defense,6.28,4155,8045,28,TV,13,Finished Airing,"Apr 6, 2013 to Jul 6, 2013","TV Tokyo,       ZERO-A,       GREE",Sentai Filmworks,Gonzo,Game,"Comedy, Fantasy",20 min. per ep.,PG-13 - Teens 13 or older,38,Spring 2013,Unknown,,
47,.hack//Versus: The Thanatos Report,,6.28,7239,8046,7,Special,1,Finished Airing,"Jun 28, 2012","None found, add some","None found, add some",Anima,Game,"Action, Sci-Fi",21 min.,PG-13 - Teens 13 or older,2,,,Video Game,
48,009-1: R&B,,6.28,8173,8047,5,Special,1,Finished Airing,"Apr 25, 2007",Aniplex,"ADV Films,       Funimation","None found, add some",Manga,"Action, Sci-Fi",25 min.,R - 17+ (violence & profanity),5,,,,Seinen
49,20-pun de Oitsukeru: Shingeki no Kyojin,Attack on Titan in 20 Minutes,6.28,9570,8048,3,ONA,1,Finished Airing,"Dec 27, 2021","None found, add some","None found, add some","MAPPA,       Wit Studio",Manga,"Action, Drama, Fantasy, Mystery",20 min.,R - 17+ (violence & profanity),8,,,"Military, Super Power",
50,30-pun de Wakaru! Kore made no Love Live! Sunshine!!,Love Live! Sunshine!! in 30 Minutes,6.28,10472,8049,2,ONA,2,Finished Airing,"Nov 18, 2018 to Nov 25, 2018","None found, add some","None found, add some",Sunrise,Unknown,,30 min. per ep.,PG-13 - Teens 13 or older,3,,,"Idols (Female), Music, School",
51,Angelique,,6.28,7539,8050,6,OVA,3,Finished Airing,"Mar 17, 2004 to Mar 23, 2005","None found, add some","None found, add some",Yumeta Company,Visual novel,"Drama, Fantasy, Romance, Sci-Fi",30 min. per ep.,PG-13 - Teens 13 or older,13,,,Reverse Harem,Shoujo
52,My Life,,6.27,8975,8101,4,ONA,1,Finished Airing,"Nov 10, 2012","None found, add some","None found, add some","None found, add some",Original,"Drama, Slice of Life",4 min.,G - All Ages,5,,,,
53,Nanocore 2nd Season,,6.27,14533,8102,765,ONA,10,Finished Airing,"Apr 8, 2016 to Oct 10, 2016",Coastline Animation Studio,"None found, add some","None found, add some",Original,"Action, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,1,,,,
54,Petit Cool Doji Danshi no Hitokoma,,6.27,9860,8104,3,ONA,2,Finished Airing,"Mar 21, 2023 to Mar 28, 2023","None found, add some","None found, add some",AQUA ARIS,Web manga,Slice of Life,10 min. per ep.,PG-13 - Teens 13 or older,14,,,,
55,Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special,,6.27,5413,8103,15,Special,1,Finished Airing,"Jul 13, 2011","None found, add some","None found, add some",Zexcs,Manga,"Comedy, Romance, Ecchi",23 min.,PG-13 - Teens 13 or older,6,,,,
56,Pokemon Masters: Trainers Daishuuketsu Special Animation,,6.27,10477,8105,2,ONA,1,Finished Airing,"Jun 27, 2019",DeNA,"None found, add some",OLM,Game,"Action, Fantasy",4 min.,PG - Children,0,,,Strategy Game,Kids
57,Pokemon: Pikachu no Natsumatsuri,Pokémon: Pikachu's Summer Festival!,6.27,7068,8106,8,Special,1,Finished Airing,"Aug 1, 2004","None found, add some","None found, add some",OLM,Game,"Action, Comedy, Fantasy",21 min.,PG - Children,2,,,,Kids
58,Pokemon: Pikachu no Obake Carnival,Pokémon: Pikachu's Ghost Festival!,6.27,7373,8107,7,Special,1,Finished Airing,"Aug 1, 2005","None found, add some","None found, add some",OLM,Game,"Adventure, Comedy, Fantasy",21 min.,PG - Children,2,,,,Kids
59,Puchitto Gargantia,,6.27,6458,8108,9,ONA,13,Finished Airing,"Apr 10, 2013 to Jul 3, 2013",Production I.G,VIZ Media,Studio PuYUKAI,Original,Sci-Fi,1 min. per ep.,PG-13 - Teens 13 or older,0,,,Mecha,
60,SD Gundam Sangokuden Brave Battle Warriors,,6.27,8405,8109,5,TV,51,Finished Airing,"Apr 3, 2010 to Mar 19, 2011","Sotsu,       TV Tokyo Music",Nozomi Entertainment,Sunrise,Original,Action,12 min. per ep.,PG - Children,4,Spring 2010,Unknown,"Historical, Mecha",
61,Senran Kagura,Senran Kagura: Ninja Flash,6.27,1653,8110,137,TV,12,Finished Airing,"Jan 6, 2013 to Mar 24, 2013","Genco,       Lantis,       Media Factory,       AT-X,       Marvelous AQL,       Showgate",Funimation,Artland,Game,"Action, Comedy, Ecchi",24 min. per ep.,PG-13 - Teens 13 or older,283,Winter 2013,Sundays at 20:30 (JST),School,
62,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su Mini Anime",Shangri-La Frontier Mini Anime,6.27,11225,8111,2,ONA,9,Finished Airing,"Sep 28, 2023 to Nov 8, 2023","None found, add some","None found, add some",AQUA ARIS,Manga,Comedy,2 min. per ep.,PG-13 - Teens 13 or older,2,,,Video Game,
63,Shi Huang Zhi Shen,,6.27,8574,8112,4,ONA,13,Finished Airing,"Apr 1, 2020 to Jun 10, 2020",bilibili,"None found, add some",Haoliners Animation League,Web manga,"Action, Comedy",20 min. per ep.,PG-13 - Teens 13 or older,10,,,,
64,Shiranpuri (Special),,6.27,8643,8113,4,TV Special,1,Finished Airing,"Mar 20, 2012","None found, add some","None found, add some",Shirogumi,Original,Drama,24 min.,R - 17+ (violence & profanity),0,,,School,
65,Shoujo☆Conto All Starlight,,6.27,9724,8114,3,ONA,26,Finished Airing,"Jul 5, 2019 to Dec 27, 2019","None found, add some","None found, add some","Kinema Citrus,       IMAGICA Lab.",Original,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,2,,,"Music, Performing Arts, School",
66,Suki na Mono wa Suki Dakara Shou ga Nai!!: Onsen ni Ikou!,,6.27,8940,8117,4,Special,1,Finished Airing,"Sep 23, 2005","Bandai Visual,       Lantis,       Movic",Media Blasters,Zexcs,Visual novel,"Boys Love, Comedy",25 min.,PG-13 - Teens 13 or older,2,,,School,
67,Shukufuku no Campanella,Blessing of the Campanella,6.27,3965,8115,32,TV,12,Finished Airing,"Jul 3, 2010 to Sep 18, 2010",Delfi Sound,"Funimation,       Nozomi Entertainment",AIC,Visual novel,"Adventure, Fantasy",24 min. per ep.,R+ - Mild Nudity,29,Summer 2010,Unknown,Harem,
68,Sister Princess: Re Pure,,6.27,6474,8116,9,TV,13,Finished Airing,"Oct 4, 2002 to Dec 25, 2002","None found, add some",Discotek Media,Zexcs,Light novel,"Drama, Romance",25 min. per ep.,PG-13 - Teens 13 or older,11,Fall 2002,Unknown,Harem,
69,The iDOLM@STER SideM: Wake Atte Mini!,THE IDOLM@STER SideM Wakeatte Mini!,6.27,9295,8118,3,TV,12,Finished Airing,"Oct 9, 2018 to Dec 25, 2018","Lantis,       Bandai Namco Entertainment","None found, add some",Zero-G,Manga,Comedy,3 min. per ep.,PG-13 - Teens 13 or older,7,Fall 2018,Tuesdays at 21:54 (JST),Idols (Male),
70,Time Bokan Series: Time Patroltai Otasukeman,,6.27,12098,8119,1,TV,53,Finished Airing,"Feb 2, 1980 to Jan 31, 1981",Fuji TV,"None found, add some",Tatsunoko Production,Unknown,"Action, Adventure, Comedy, Sci-Fi",25 min. per ep.,G - All Ages,0,Winter 1980,Unknown,,
71,Toji no Miko Recap,,6.27,9553,8120,3,TV Special,1,Finished Airing,"Mar 30, 2018","Square Enix,       Genco,       Mainichi Broadcasting System,       AT-X,       Glovision,       Crunchyroll,       Kadokawa,       My Theater D.D.","None found, add some",Studio Gokumi,Original,"Action, Fantasy",23 min.,PG-13 - Teens 13 or older,4,,,,
72,Tsuru ni Notte: Tomoko no Bouken,On A Paper Crane: Tomoko's Adventure,6.27,13623,8121,1,Movie,1,Finished Airing,"Jul 17, 1993","None found, add some","None found, add some",Mushi Production,Other,Drama,27 min.,G - All Ages,1,,,,
73,Shijian Qiutu Zhi Miwu,Time Prisoner 2,6.26,17325,8122,399,ONA,12,Finished Airing,"Apr 27, 2022 to Jul 13, 2022","None found, add some","None found, add some","None found, add some",Original,"Action, Sci-Fi, Supernatural",14 min. per ep.,PG-13 - Teens 13 or older,0,,,Super Power,
74,Soccer Fever,,6.26,14314,8123,818,TV,51,Finished Airing,"Apr 4, 1994 to Mar 27, 1995",Tokyo Movie Shinsha,"None found, add some","None found, add some",Original,Sports,28 min. per ep.,PG - Children,2,Spring 1994,Fridays at 18:00 (JST),"Historical, Team Sports",
75,Stratos 4: Logbook,,6.26,11719,8125,1,Special,1,Finished Airing,"Aug 26, 2006","None found, add some","None found, add some",Studio Fantasia,Original,"Action, Sci-Fi, Ecchi",30 min.,PG-13 - Teens 13 or older,1,,,,
76,Soreyuke! Uchuu Senkan Yamamoto Youko II,Starship Girl Yamamoto Yohko II,6.26,10252,8124,2,OVA,3,Finished Airing,"Aug 6, 1997 to Dec 22, 1997",Kadokawa Shoten,"None found, add some",J.C.Staff,Novel,"Action, Adventure, Sci-Fi",30 min. per ep.,PG-13 - Teens 13 or older,1,,,,
77,Tanoshii Willow Town,,6.26,13289,8126,1,TV,26,Finished Airing,"Oct 7, 1993 to Mar 31, 1994","TV Tokyo,       Enoki Films","None found, add some",E&G Films,Novel,Fantasy,23 min. per ep.,PG - Children,3,Fall 1993,Unknown,,Kids
78,Tezuka Osamu Monogatari: Boku wa Son Gokuu,,6.26,12665,8127,1,TV Special,1,Finished Airing,"Aug 27, 1989",Tezuka Productions,"None found, add some","None found, add some",Manga,Adventure,1 hr. 9 min.,G - All Ages,2,,,,
79,The☆Doraemons: Goal! Goal! Goal!!,,6.26,11660,8128,1,Movie,1,Finished Airing,"Mar 9, 2002","None found, add some","None found, add some",Shin-Ei Animation,Manga,"Comedy, Fantasy, Sci-Fi, Sports",7 min.,PG - Children,0,,,Team Sports,"KidsKids,         ShounenShounen"
80,Tondemo Senshi Muteking,,6.26,12318,8130,1,TV,56,Finished Airing,"Sep 7, 1980 to Sep 27, 1981","None found, add some","None found, add some",Tatsunoko Production,Original,"Action, Comedy, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,2,Fall 1980,Unknown,,
81,Tom Sawyer no Bouken Specials,,6.26,14398,8129,794,TV Special,2,Finished Airing,Feb 2001,Bandai Visual,"None found, add some",Nippon Animation,Unknown,"Adventure, Drama",45 min. per ep.,G - All Ages,2,,,Historical,
82,"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori OVA",,6.26,7416,8131,7,OVA,2,Finished Airing,"Dec 22, 2016","None found, add some","None found, add some","TMS Entertainment,       Shin-Ei Animation",Original,Mystery,25 min. per ep.,PG-13 - Teens 13 or older,8,,,,
83,Xiaoke de Huatu Xie Hua Specials,Kay's Daily Doodles Specials,6.26,15338,8132,609,ONA,2,Finished Airing,"Apr 23, 2022 to Apr 22, 2023","None found, add some","None found, add some","Gravity Well,       Windy Studio",Game,Slice of Life,1 min. per ep.,G - All Ages,1,,,,
84,Yatogame-chan Kansatsu Nikki,,6.26,3962,8133,32,TV,12,Finished Airing,"Apr 4, 2019 to Jun 20, 2019",Cloud22,"None found, add some","Creators in Pack,       Saetta",4-koma manga,"Comedy, Slice of Life",3 min. per ep.,PG-13 - Teens 13 or older,13,Spring 2019,Thursdays at 19:53 (JST),School,Shounen
85,Yuan Long 3rd Season,Carp Reborn 3rd Season,6.26,11856,8134,1,ONA,16,Finished Airing,"Nov 24, 2022 to Mar 16, 2023",bilibili,"None found, add some",CG Year,Novel,"Action, Adventure, Fantasy",19 min. per ep.,PG-13 - Teens 13 or older,13,,,,
86,Yu☆Gi☆Oh! Zexal Second: Iza! Saishuu Kessen e!! Special,,6.26,9302,8135,3,TV Special,1,Finished Airing,"Dec 5, 2013","TV Tokyo,       Nihon Ad Systems","None found, add some","None found, add some",Manga,"Action, Fantasy",24 min.,PG-13 - Teens 13 or older,2,,,Strategy Game,Shounen
87,Yu☆Gi☆Oh! Zexal Second: Midokoro Tenkomori Special,,6.26,8348,8136,5,TV Special,1,Finished Airing,"Dec 8, 2012","TV Tokyo,       Nihon Ad Systems","None found, add some",Gallop,Manga,"Action, Fantasy",24 min.,PG-13 - Teens 13 or older,7,,,Strategy Game,Shounen
88,Arcana Famiglia,La storia della Arcana Famiglia,6.26,1167,8137,209,TV,12,Finished Airing,"Jul 1, 2012 to Sep 16, 2012","Frontier Works,       Movic,       Warner Bros. Japan,       Showgate",Sentai Filmworks,J.C.Staff,Visual novel,"Action, Fantasy, Romance",24 min. per ep.,PG-13 - Teens 13 or older,374,Summer 2012,Sundays at 23:30 (JST),Reverse Harem,
89,Bear Bear Bear Kuma Punch!! Daiundoukai-hen,,6.26,11927,8138,1,Special,3,Finished Airing,"Jul 26, 2023 to Sep 27, 2023","None found, add some","None found, add some",EMT Squared,Light novel,"Comedy, Fantasy, Sports",35 sec. per ep.,PG-13 - Teens 13 or older,3,,,Isekai,
90,Da Wang Bu Gaoxing 2,The Furious Yama 2,6.26,11872,8139,1,ONA,12,Finished Airing,"Jul 21, 2020 to Sep 29, 2020","None found, add some","None found, add some",Haoliners Animation League,Web manga,"Comedy, Fantasy",15 min. per ep.,PG-13 - Teens 13 or older,2,,,"Mythology, School",
91,Fire Emblem Heroes Book III Movie：Cohort of the Dead,Fire Emblem Heroes: Book III Movie - Cohort of the Dead,6.26,13687,8140,982,Special,1,Finished Airing,"Jul 21, 2019",Nintendo,"None found, add some","None found, add some",Game,"Action, Fantasy, Horror, Supernatural",1 min.,PG-13 - Teens 13 or older,4,,,Strategy Game,
92,Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,,6.26,10613,8141,2,Movie,1,Finished Airing,"Jan 1, 2008","None found, add some","None found, add some","None found, add some",Original,"Action, Comedy, Fantasy",12 min.,G - All Ages,0,,,Mahou Shoujo,
93,Galactic Patrol Lensman,,6.26,10906,8142,2,TV,25,Finished Airing,"Oct 6, 1984 to Mar 30, 1985","Tatsunoko Production,       MK Pictures,       Harmony Gold","None found, add some",Madhouse,Book,"Action, Adventure, Sci-Fi",25 min. per ep.,PG-13 - Teens 13 or older,5,Fall 1984,Unknown,,
94,Ghost Tale,,6.26,13505,8144,1,ONA,1,Finished Airing,"Oct 31, 2023",Tohokushinsha Film Corporation,"None found, add some",Marza Animation Planet,Game,"Comedy, Supernatural",2 min.,G - All Ages,2,,,,
