,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
95,The iDOLM@STER Shiny Colors,,6.23,7035,8280,8,TV,12,Currently Airing,"Apr 6, 2024 to Jun 22, 2024",Bandai Namco Entertainment,"None found, add some",Polygon Pictures,Game,,"Idols (Female), Music",24 min. per ep.,PG-13 - Teens 13 or older,46,,Spring 2024,Saturdays at 01:23 (JST)
96,Togainu no Chi,,6.23,2258,8281,89,TV,12,Finished Airing,"Oct 8, 2010 to Dec 23, 2010","Aniplex,       Picture Magic,       Lantis,       Mainichi Broadcasting System,       Movic,       Nitroplus",Aniplex of America,A-1 Pictures,Visual novel,"Action, Boys Love, Sci-Fi, Suspense","Gore, Survival",24 min. per ep.,R - 17+ (violence & profanity),364,,Fall 2010,Unknown
97,12-sai.,Age 12,6.23,5580,8283,14,OVA,8,Finished Airing,"Apr 3, 2014 to Jan 3, 2015",Half H.P Studio,"None found, add some",SynergySP,Manga,Romance,School,11 min. per ep.,PG - Children,18,Shoujo,,
98,Andersen Monogatari (TV),,6.23,12445,8284,1,TV,52,Finished Airing,"Jan 3, 1971 to Dec 26, 1971","Mushi Production,       Fuji TV","None found, add some","None found, add some",Unknown,"Drama, Fantasy",,24 min. per ep.,PG - Children,1,Kids,Winter 1971,Sundays at 19:30 (JST)
99,Animentary: Ketsudan,,6.23,11692,8285,1,TV,25,Finished Airing,"Apr 3, 1971 to Sep 25, 1971","None found, add some","None found, add some",Tatsunoko Production,Unknown,,"Historical, Military",25 min. per ep.,None,7,,Spring 1971,Unknown
100,AOTU Shijie 2,,6.23,15055,8286,653,ONA,20,Finished Airing,"Oct 31, 2017 to Feb 18, 2018","None found, add some","None found, add some",7doc,Web manga,"Action, Adventure, Fantasy, Sci-Fi",,12 min. per ep.,PG-13 - Teens 13 or older,3,,,
101,Babel Nisei,Babel II,6.23,10773,8287,2,TV,39,Finished Airing,"Jan 1, 1973 to Sep 24, 1973",TV Asahi,"None found, add some",Toei Animation,Manga,"Adventure, Sci-Fi, Supernatural",,25 min. per ep.,PG-13 - Teens 13 or older,2,Shounen,Winter 1973,Unknown
102,Beyblade Burst Gachi,Beyblade Burst Rise,6.23,6263,8288,10,TV,52,Finished Airing,"Apr 5, 2019 to Mar 27, 2020","TV Tokyo,       d-rights,       ADK Emotions",ADK Emotions NY Inc.,OLM,Manga,"Action, Adventure, Sci-Fi",,14 min. per ep.,PG - Children,51,Kids,Spring 2019,Fridays at 16:00 (JST)
103,Captain Tsubasa no Shouka Sakusen,,6.23,14256,8289,831,OVA,1,Finished Airing,Not available,"None found, add some","None found, add some","None found, add some",Manga,Sports,Educational,15 min.,G - All Ages,0,Kids,,
104,Chuumon no Ooi Ryouriten (1991),,6.23,8159,8290,5,Movie,1,Finished Airing,1991,Sakura Eiga-sha,"None found, add some","None found, add some",Book,"Award Winning, Fantasy, Horror, Supernatural",,19 min.,G - All Ages,3,,,
105,Code Geass: Soubou no Oz Picture Drama,Code Geass: Oz the Reflection Picture Drama,6.23,5495,8291,14,OVA,5,Finished Airing,"Jan 10, 2013","None found, add some","None found, add some",Sunrise,Manga,"Action, Drama, Supernatural","Mecha, Military, School",3 min. per ep.,PG-13 - Teens 13 or older,6,,,
106,Cookin' Idol Ai! Mai! Main!,,6.23,10397,8292,2,TV,305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013","NHK,       Nihon Ad Systems","None found, add some",Studio Deen,Original,"Comedy, Gourmet",,6 min. per ep.,PG - Children,6,Kids,Spring 2009,Unknown
107,Dorimogu Daa!!,Mock & Sweet,6.23,14025,8293,884,TV,49,Finished Airing,"Oct 15, 1986 to Oct 8, 1987","None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Fantasy",,25 min. per ep.,PG - Children,4,Kids,Fall 1986,Unknown
108,Dr. Slump Movie 03: Arale-chan Hoyoyo! Sekai Isshuu Dai Race,"Dr. Slump and Arale-chan: Hoyoyo, Great Round-the-World Race",6.23,11468,8294,1,Movie,1,Finished Airing,"Mar 13, 1983","None found, add some",Discotek Media,Toei Animation,Manga,"Comedy, Sci-Fi",Gag Humor,52 min.,PG-13 - Teens 13 or older,0,Shounen,,
109,DT Eightron,,6.23,10339,8295,2,TV,26,Finished Airing,"Apr 18, 1998 to Nov 6, 1998",Fuji TV,"None found, add some",Sunrise,Original,"Action, Sci-Fi",,25 min. per ep.,PG-13 - Teens 13 or older,8,,Spring 1998,Saturdays at 02:45 (JST)
110,gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,,6.23,13294,8297,1,Movie,1,Finished Airing,"Sep 27, 2014","Pony Canyon,       Tohokushinsha Film Corporation,       Strawberry Meets Pictures,       Tokyo MX,       Bouncy","None found, add some","None found, add some",Original,"Comedy, Fantasy",,1 hr. 1 min.,PG - Children,3,,,
111,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,Spooky Kitarou: The Strongest Ghost Army! Landing in Japan!!,6.23,13762,8298,963,Movie,1,Finished Airing,"Jul 12, 1986","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Comedy, Fantasy, Horror, Supernatural",,49 min.,G - All Ages,0,,,
112,Fuuma no Kojirou: Yasha-hen,,6.23,9936,8296,3,OVA,6,Finished Airing,"Jun 1, 1989 to Aug 2, 1989","None found, add some","None found, add some",animate Film,Manga,"Action, Fantasy",Martial Arts,25 min. per ep.,R - 17+ (violence & profanity),2,Shounen,,
113,Ginga Hyouryuu Vifam: Kieta 12-nin,,6.23,13655,8299,990,OVA,1,Finished Airing,"Feb 25, 1985","None found, add some","None found, add some",Sunrise,Original,"Adventure, Comedy, Sci-Fi","Mecha, Space",57 min.,G - All Ages,0,,,
114,Godzilla 3: Hoshi wo Kuu Mono,Godzilla: The Planet Eater,6.23,3816,8300,34,Movie,1,Finished Airing,"Nov 9, 2018","TOHO,       TOHO animation","None found, add some",Polygon Pictures,Original,"Action, Adventure, Sci-Fi",,1 hr. 30 min.,R - 17+ (violence & profanity),35,,,
115,Wan Jie Chun Qiu,Spring and Autumn,6.22,11396,8351,2,ONA,56,Finished Airing,"Apr 13, 2020 to Oct 15, 2020",Tencent Penguin Pictures,"None found, add some",Ruo Hong Culture,Original,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts",8 min. per ep.,PG-13 - Teens 13 or older,11,,,
116,Warau Salesman Special Program,,6.22,13858,8352,933,Special,14,Finished Airing,"Dec 26, 1992 to Dec 28, 1993","None found, add some","None found, add some",Shin-Ei Animation,Manga,"Supernatural, Suspense","Adult Cast, Psychological",17 min. per ep.,PG-13 - Teens 13 or older,0,Seinen,,
117,Xing Yuan Zhi Zhu,,6.22,13971,8354,903,ONA,48,Finished Airing,"Jul 27, 2022 to Jan 1, 2023","bilibili,       Liu Cong Animation,       Craftsman Animation,       Xuanyuan Network","None found, add some",Ruo Hong Culture,Original,"Action, Fantasy",,9 min. per ep.,PG-13 - Teens 13 or older,3,,,
118,Wild 7,,6.22,9830,8353,3,OVA,2,Finished Airing,"Dec 17, 1994 to Feb 21, 1995","Fuji TV,       Tokuma Shoten","Enoki Films,       Urban Vision",Pierrot Plus,Manga,"Action, Drama, Mystery","Detective, Gore",55 min. per ep.,R - 17+ (violence & profanity),3,Shounen,,
119,Baa-cha no Kingyo,A Grandma's Goldfish,6.22,12648,8356,1,Movie,1,Finished Airing,"Oct 28, 2012",Geidai Animation,"None found, add some","None found, add some",Original,Slice of Life,,8 min.,G - All Ages,1,,,
120,Xiong Bing Lian,,6.22,12215,8355,1,ONA,33,Finished Airing,"Jun 1, 2017 to Apr 19, 2018","None found, add some","None found, add some",Transcendence Picture,Original,"Action, Mystery, Sci-Fi, Supernatural","Mecha, Military, Space",21 min. per ep.,R - 17+ (violence & profanity),4,,,
121,Blade,,6.22,4164,8357,28,TV,12,Finished Airing,"Jul 1, 2011 to Sep 16, 2011","None found, add some",Marvel Entertainment,Madhouse,Other,"Action, Drama, Horror, Supernatural",Vampire,24 min. per ep.,R - 17+ (violence & profanity),38,,Summer 2011,Unknown
122,Bobobo-bo Bo-bobo Recap,,6.22,11387,8358,2,TV Special,1,Finished Airing,"Oct 23, 2004","None found, add some",Discotek Media,Toei Animation,Manga,"Action, Comedy, Sci-Fi",Parody,24 min.,PG-13 - Teens 13 or older,1,Shounen,,
123,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,My Girlfriend is Shobitch,6.22,877,8359,279,TV,10,Finished Airing,"Oct 12, 2017 to Dec 14, 2017","AT-X,       Nippon Columbia,       KlockWorx,       Sony Music Communications,       Toranoana,       Glovision,       Sammy,       Kadokawa Media House,       Production Ace,       Kadokawa",Sentai Filmworks,"Diomedéa,       Studio Blanc.",Web manga,"Comedy, Romance, Ecchi","Harem, School",23 min. per ep.,PG-13 - Teens 13 or older,457,,Fall 2017,Thursdays at 00:30 (JST)
124,Boukensha: The Man Was from Spain,Christopher Columbus,6.22,12428,8360,1,TV,26,Finished Airing,"Nov 28, 1992 to Mar 30, 1993","None found, add some","None found, add some",Nippon Animation,Other,Adventure,Historical,25 min. per ep.,G - All Ages,1,,Fall 1992,Unknown
125,ChäoS;Child Episode 0,,6.22,4610,8361,22,Special,1,Finished Airing,"Jan 11, 2017","None found, add some",Funimation,SILVER LINK.,Visual novel,"Mystery, Sci-Fi, Supernatural",Psychological,23 min.,R - 17+ (violence & profanity),12,,,
126,Choujin Sentai Baratack,,6.22,12358,8362,1,TV,31,Finished Airing,"Jul 3, 1977 to Mar 5, 1978","None found, add some","None found, add some",Toei Animation,Original,"Adventure, Sci-Fi",Mecha,25 min. per ep.,PG-13 - Teens 13 or older,3,,Summer 1977,Unknown
127,Dokyuu Hentai HxEros OVA,,6.22,5097,8363,18,OVA,2,Finished Airing,"Nov 4, 2020 to Mar 4, 2021","None found, add some","None found, add some",Project No.9,Manga,"Action, Comedy, Fantasy, Sci-Fi, Ecchi","School, Super Power",23 min. per ep.,R+ - Mild Nudity,28,Shounen,,
128,Future GPX Cyber Formula Graffiti,,6.22,14435,8364,786,OVA,1,Finished Airing,"Aug 5, 1992","None found, add some","None found, add some",Sunrise,Original,"Action, Sci-Fi",Racing,30 min.,PG - Children,0,,,
129,Gegege no Kitarou: Obake Nighter,Spooky Kitaro: The Obake Nighter,6.22,13232,8365,1,Movie,1,Finished Airing,"Mar 8, 1997","None found, add some","None found, add some",Toei Animation,Manga,"Sports, Supernatural",Mythology,30 min.,G - All Ages,1,,,
130,God Mazinger,,6.22,9960,8366,3,TV,23,Finished Airing,"Apr 5, 1984 to Oct 23, 1984","Tokyo Movie Shinsha,       Dynamic Planning",Discotek Media,TMS Entertainment,Manga,"Action, Fantasy","Mecha, Time Travel",24 min. per ep.,R - 17+ (violence & profanity),3,,Spring 1984,Unknown
131,009-1,,6.21,4703,8367,21,TV,12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006","Aniplex,       TBS,       Sony Music Entertainment","ADV Films,       Funimation",Ishimori Entertainment,Manga,"Action, Sci-Fi",Mecha,25 min. per ep.,R - 17+ (violence & profanity),31,Seinen,Fall 2006,Fridays at 01:25 (JST)
132,15-fun de Wakaru Inazuma Eleven: Ares no Tenbin,Inazuma Eleven: Ares in 15 Minutes,6.21,15891,8368,534,ONA,1,Finished Airing,"Jun 26, 2018","None found, add some","None found, add some",OLM,Game,Sports,Team Sports,15 min.,G - All Ages,1,,,
133,A Piece of Phantasmagoria,,6.21,8377,8369,5,OVA,15,Finished Airing,1995,Tamura Shigeru Studio,"None found, add some","None found, add some",Unknown,Fantasy,,5 min. per ep.,G - All Ages,28,Kids,,
134,A-Ko The Versus,Project A-ko: Uncivil Wars,6.21,7827,8370,6,OVA,2,Finished Airing,"Jul 21, 1990 to Aug 21, 1990","None found, add some",Central Park Media,"Studio Fantasia,       Studio Signal",Original,"Action, Adventure, Comedy, Romance, Sci-Fi",Super Power,51 min. per ep.,R+ - Mild Nudity,5,,,
