,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics,Premiered,Broadcast
97,Muybridge no Ito,Muybridge's Strings,6.13,11417,8802,1,Movie,1,Finished Airing,"May 16, 2011","NHK,       Polygon Pictures","None found, add some","Yamamura Animation, Inc.",Original,"Award Winning, Drama",,13 min.,PG-13 - Teens 13 or older,4,,,
98,Ninkuu (Movie),,6.13,11520,8803,1,Movie,1,Finished Airing,"Jul 15, 1995","None found, add some",Media Blasters,Pierrot,Manga,"Action, Adventure, Comedy","Historical, Martial Arts",26 min.,G - All Ages,1,Shounen,,
99,Oyako wa Tsuzuku yo,,6.13,18188,8804,333,ONA,1,Finished Airing,2017,"None found, add some","None found, add some",Trash Studio,Original,Slice of Life,,3 min.,G - All Ages,0,,,
100,Queen's Blade: Gyokuza wo Tsugu Mono Specials,Queen's Blade: Inheritor of the Throne Specials,6.13,5803,8805,12,Special,6,Finished Airing,"Dec 22, 2009 to May 25, 2010","Genco,       Media Factory,       Hobby Japan",Media Blasters,Arms,Other,"Action, Adventure, Fantasy, Ecchi",,3 min. per ep.,R+ - Mild Nudity,4,,,
101,Queen's Blade: Rurou no Senshi,Queen's Blade: The Exiled Virgin,6.13,2069,8806,101,TV,12,Finished Airing,"Apr 2, 2009 to Jun 18, 2009","Genco,       Media Factory,       AT-X,       Magic Capsule,       Hobby Japan,       Toranoana",Media Blasters,Arms,Other,"Action, Adventure, Fantasy, Ecchi",,24 min. per ep.,R+ - Mild Nudity,230,,Spring 2009,Unknown
102,Saezuru Doubutsu wa Yarushikanai! Specials,,6.13,16343,8807,484,Special,5,Finished Airing,"Aug 28, 2020","None found, add some","None found, add some",AQUA ARIS,Manga,Comedy,,45 sec. per ep.,PG-13 - Teens 13 or older,0,,,
103,Sazae-san,Mrs. Sazae,6.13,6929,8808,8,TV,Unknown,Currently Airing,"Oct 5, 1969 to ?",Fuji TV,"None found, add some",Eiken,4-koma manga,"Comedy, Slice of Life",,24 min.,G - All Ages,37,,Fall 1969,Sundays at 18:30 (JST)
104,SF Shinseiki Lensman,,6.13,9274,8809,3,Movie,1,Finished Airing,"Jul 7, 1984","Harmony Gold,       Streamline Pictures","None found, add some",Madhouse,Book,"Action, Adventure, Sci-Fi",Space,1 hr. 47 min.,PG-13 - Teens 13 or older,9,,,
105,Shin Kyojin no Hoshi II,,6.13,13634,8810,997,TV,23,Finished Airing,"Apr 14, 1979 to Sep 29, 1979","Tokyo Movie Shinsha,       Yomiuri Telecasting","None found, add some","None found, add some",Manga,Sports,Team Sports,25 min. per ep.,G - All Ages,0,,Spring 1979,Unknown
106,Shining Hearts: Shiawase no Pan,,6.13,3312,8811,45,TV,12,Finished Airing,"Apr 13, 2012 to Jun 30, 2012","Avex Entertainment,       Sega,       DAX Production,       Volks",Sentai Filmworks,Production I.G,Game,"Action, Fantasy, Gourmet","Isekai, Workplace",24 min. per ep.,PG-13 - Teens 13 or older,52,,Spring 2012,Unknown
107,Stand My Heroes: Warmth of Memories,,6.13,10692,8812,2,OVA,1,Finished Airing,"May 24, 2023","None found, add some","None found, add some",M.S.C,Game,"Mystery, Romance","Adult Cast, Detective, Reverse Harem",59 min.,PG-13 - Teens 13 or older,8,Josei,,
108,Taishou Yakyuu Musume. Specials,,6.13,11881,8813,1,Special,2,Finished Airing,"Oct 7, 2009 to Jan 6, 2010","None found, add some","None found, add some",J.C.Staff,Light novel,Sports,"School, Team Sports",5 min. per ep.,PG-13 - Teens 13 or older,1,,,
109,Tales of the Rays Gekijou,,6.13,12111,8814,1,ONA,8,Finished Airing,"Jul 20, 2018",Bandai Namco Entertainment,"None found, add some",Bandai Namco Pictures,Game,"Comedy, Fantasy",Parody,3 min. per ep.,PG-13 - Teens 13 or older,0,,,
110,Tenkuu no Escaflowne Recaps,,6.13,11986,8815,1,Special,4,Finished Airing,"Feb 24, 2012","None found, add some","None found, add some",Sunrise,Original,"Adventure, Fantasy, Romance",,44 min. per ep.,PG-13 - Teens 13 or older,5,,,
111,Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,,6.13,13069,8816,1,Movie,1,Finished Airing,"Sep 13, 2003",Tezuka Productions,"None found, add some","None found, add some",Unknown,"Action, Sci-Fi","Mecha, Super Power",20 min.,G - All Ages,0,Shounen,,
112,Timing (Movie),Timing,6.13,12469,8817,1,Movie,1,Finished Airing,"Oct 3, 2014","None found, add some","None found, add some","None found, add some",Other,"Mystery, Suspense","School, Super Power",1 hr. 40 min.,R - 17+ (violence & profanity),3,,,
113,"Touhokutou, Juunana no Sora",The Light at Night in Summer,6.13,18481,8818,315,ONA,1,Finished Airing,"Dec 11, 2015","None found, add some","None found, add some","None found, add some",Other,Slice of Life,,15 min.,G - All Ages,2,,,
114,Turning Mecard W,,6.13,15435,8819,593,TV,26,Finished Airing,"May 19, 2016 to Nov 17, 2016","None found, add some","None found, add some","None found, add some",Unknown,Adventure,"Mecha, Racing, Strategy Game",28 min. per ep.,PG - Children,1,Kids,Spring 2016,Thursdays at 17:30 (JST)
115,TV-ban Pokemon Special Masara Town-hen Recaps,,6.13,9742,8820,3,OVA,3,Finished Airing,"Sep 29, 2000",TV Tokyo,"None found, add some",OLM,Game,"Action, Adventure, Comedy, Fantasy",,47 min. per ep.,PG - Children,0,Kids,,
116,Uchuu no Senshi,Starship Troopers,6.13,7635,8821,6,OVA,6,Finished Airing,"Oct 25, 1988 to Dec 17, 1988","Bandai Visual,       Movic","None found, add some",Sunrise,Book,"Action, Sci-Fi","Mecha, Military, Space",25 min. per ep.,R - 17+ (violence & profanity),11,,,
117,W: Wish,Double Wish,6.13,5302,8822,16,TV,13,Finished Airing,"Oct 3, 2004 to Dec 26, 2004","None found, add some","None found, add some","Trinet Entertainment,       Picture Magic",Visual novel,"Drama, Romance","Harem, School",12 min. per ep.,PG-13 - Teens 13 or older,15,,Fall 2004,Unknown
118,Xing You Ji,Rainbow Sea,6.13,14283,8823,825,TV,26,Finished Airing,"Oct 30, 2011 to ?","None found, add some","None found, add some","None found, add some",Original,"Adventure, Fantasy, Sci-Fi",,12 min. per ep.,PG-13 - Teens 13 or older,2,,?,Unknown
119,"Yakeato no, Okashi no Ki",,6.13,15307,8824,614,TV Special,1,Finished Airing,"Aug 15, 2006","None found, add some","None found, add some",Shin-Ei Animation,Novel,Drama,,45 min.,G - All Ages,0,Kids,,
120,Yoiko,,6.13,8206,8825,5,TV,20,Finished Airing,"Nov 6, 1998 to Mar 26, 1999",TBS,"None found, add some",Pierrot,Manga,"Comedy, Slice of Life, Ecchi",School,12 min. per ep.,R+ - Mild Nudity,3,,Fall 1998,Saturdays at 01:25 (JST)
121,21 Emon Uchuu ike! Hadashi no Princess,21-Emon: To Space! The Barefoot Princess,6.13,13304,8827,1,Movie,1,Finished Airing,"Mar 7, 1992","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Comedy, Sci-Fi",Space,40 min.,G - All Ages,3,,,
122,18if,,6.13,2918,8826,57,TV,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017","Sotsu,       DLE,       BS Fuji,       Tokyo MX,       Mobcast,       RAY",Funimation,Gonzo,Mixed media,"Mystery, Supernatural",,23 min. per ep.,R - 17+ (violence & profanity),110,,Summer 2017,Fridays at 22:00 (JST)
123,"Azusa, Otetsudai Shimasu!",Azusa Will Help!,6.13,9259,8828,3,TV Special,1,Finished Airing,"Aug 1, 2004",Animax,"None found, add some",TMS Entertainment,Original,"Comedy, Sci-Fi, Sports",Team Sports,44 min.,PG-13 - Teens 13 or older,1,,,
124,Bakumatsu Gijinden Roman,,6.13,6172,8829,11,TV,12,Finished Airing,"Jan 8, 2013 to Mar 26, 2013","Sotsu,       Nippon Columbia","None found, add some",TMS Entertainment,Other,Fantasy,Historical,23 min. per ep.,PG-13 - Teens 13 or older,1,,Winter 2013,Tuesdays at Unknown
125,Baoh Raihousha,Baoh the Visitor,6.13,4893,8830,20,OVA,1,Finished Airing,"Sep 16, 1989","TOHO,       Shueisha",AnimEigo,Pierrot,Manga,"Action, Sci-Fi","Gore, Martial Arts, Super Power",46 min.,R - 17+ (violence & profanity),48,Shounen,,
126,Bronze: Kouji Nanjo Cathexis,,6.13,7879,8831,6,OVA,1,Finished Airing,"Jul 6, 1994","Victor Entertainment,       Shueisha","None found, add some",Madhouse,Manga,Boys Love,Music,32 min.,PG-13 - Teens 13 or older,14,,,
127,Chibi Kero: Kerobouru no Himitsu!?,Chibi Kero: Secret of the Kero Ball!?,6.13,12267,8832,1,Special,1,Finished Airing,"Mar 17, 2007","None found, add some","None found, add some",Sunrise,Manga,Comedy,,17 min.,G - All Ages,2,,,
128,Chou Yuu Sekai: Being the Reality,World of Super Sand Box: Being the Reality,6.13,4947,8833,19,ONA,20,Finished Airing,"Jan 12, 2017 to Jun 8, 2017",Tencent Animation & Comics,"None found, add some","Asahi Production,       Success Corp.",Web manga,"Action, Adventure, Fantasy, Romance",Video Game,13 min. per ep.,PG-13 - Teens 13 or older,40,,,
