,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes,Premiered,Broadcast
104,"Pokemon: Pikachu, Kore Nan no Kagi?","Pikachu, What's This Key?",6.33,7716,7747,6,Movie,1,Finished Airing,"Jul 19, 2014","None found, add some",The Pokemon Company International,OLM,Game,"Adventure, Comedy, Fantasy",Kids,21 min.,PG - Children,0,,,
105,Sasurai no Shoujo Nell,Nell the Wandering Girl,6.33,11204,7749,2,TV,26,Finished Airing,"Oct 25, 1979 to Apr 24, 1980","None found, add some","None found, add some",DAX Production,Novel,Adventure,,24 min. per ep.,G - All Ages,1,Historical,Fall 1979,Thursdays at 18:45 (JST)
106,Project A-Ko 3: Cinderella Rhapsody,,6.33,7734,7748,6,OVA,1,Finished Airing,"Jun 20, 1988",Pony Canyon,"Central Park Media,       Discotek Media",Studio Fantasia,Original,"Action, Comedy, Sci-Fi",,45 min.,R+ - Mild Nudity,2,"Mecha, Super Power",,
107,Shadowverse Flame: Arc-hen,,6.33,11886,7751,1,TV,Unknown,Currently Airing,"Apr 13, 2024 to ?",TV Tokyo,"None found, add some",Zexcs,Card game,Fantasy,,23 min.,PG-13 - Teens 13 or older,10,Strategy Game,Spring 2024,Saturdays at 09:30 (JST)
108,Seikon no Qwaser,The Qwaser of Stigmata,6.33,724,7750,331,TV,24,Finished Airing,"Jan 10, 2010 to Jun 20, 2010",TAKI Corporation,Sentai Filmworks,Hoods Entertainment,Manga,"Action, Supernatural, Ecchi",Seinen,24 min. per ep.,R+ - Mild Nudity,843,"Gore, Harem, School, Super Power",Winter 2010,Sundays at 03:28 (JST)
109,Shi Zhi Ge: Hua Yu Yan De Kuangxiang Shi,Song of Time,6.33,11279,7752,2,ONA,13,Finished Airing,"Jul 16, 2020 to Oct 1, 2020","None found, add some","None found, add some","None found, add some",Original,"Action, Fantasy",,20 min. per ep.,PG-13 - Teens 13 or older,4,,,
110,Shichinin no Nana: Oshougatsu da yo! 7 x 7 = 49-nin no Nana?,New Year Special: It's New Year's! 7 x 7 = 49 Nanas?,6.33,14104,7753,870,Special,1,Finished Airing,"Oct 2, 2002","TV Tokyo,       Genco","None found, add some",A.C.G.T.,Unknown,"Adventure, Comedy",,23 min.,PG-13 - Teens 13 or older,0,,,
111,Shoujo-tachi wa Kouya wo Mezasu: Iubeki Monokashira,,6.33,5757,7754,13,OVA,1,Finished Airing,"Mar 25, 2016","None found, add some","None found, add some","Barnum Studio,       Project No.9",Visual novel,,,23 min.,PG-13 - Teens 13 or older,10,"Otaku Culture, School",,
112,Super Street Fighter IV,,6.33,7319,7755,7,OVA,1,Finished Airing,"Apr 28, 2010","None found, add some","None found, add some",Gonzo,Game,"Action, Adventure",,35 min.,PG-13 - Teens 13 or older,4,,,
113,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town?,6.33,860,7756,284,TV,12,Finished Airing,"Jan 4, 2021 to Mar 22, 2021","AT-X,       NBCUniversal Entertainment Japan,       Sammy,       BS11,       JR East Marketing & Communications,       GREE,       SB Creative,       Tapioca",Funimation,LIDENFILMS,Light novel,"Adventure, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,867,,Winter 2021,Mondays at 22:00 (JST)
114,The SoulTaker: Tamashii-gari,SoulTaker,6.33,4263,7758,27,TV,13,Finished Airing,"Apr 4, 2001 to Jul 4, 2001","WOWOW,       Pioneer LDC,       Toshiba Entertainment,       Toshiba Digital Frontiers",Geneon Entertainment USA,Tatsunoko Production,Original,"Horror, Supernatural",,25 min. per ep.,PG-13 - Teens 13 or older,75,Mythology,Spring 2001,Unknown
115,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World,6.33,1180,7757,206,TV,12,Finished Airing,"Jul 4, 2022 to Sep 12, 2022","Square Enix,       Pony Canyon,       Movic,       BS Fuji,       Sammy,       BS NTV,       SB Creative,       GREE Entertainment",Sentai Filmworks,Revoroot,Light novel,"Action, Adventure, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,"1,384",Isekai,Summer 2022,Mondays at 20:00 (JST)
116,Venus Versus Virus,,6.33,4059,7759,30,TV,12,Finished Airing,"Jan 12, 2007 to Mar 30, 2007","TBS,       Venus Vangard,       Half H.P Studio,       BS-i","ADV Films,       Funimation",Studio Hibari,Manga,"Drama, Romance, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,46,,Winter 2007,Fridays at 01:55 (JST)
117,Wanwan Celepoo Soreyuke! Tetsunoshin,,6.33,12283,7760,1,TV,51,Finished Airing,"Jan 7, 2006 to Dec 30, 2006","Tokyu Agency,       We've Inc.","None found, add some",Studio Comet,Original,"Comedy, Fantasy",Kids,23 min. per ep.,G - All Ages,2,Pets,Winter 2006,Unknown
118,Yami Shibai 5,Theatre of Darkness: Yamishibai 5,6.33,4283,7761,27,TV,13,Finished Airing,"Jul 3, 2017 to Oct 2, 2017",TV Tokyo,"None found, add some",ILCA,Original,"Avant Garde, Horror, Supernatural",,4 min. per ep.,PG-13 - Teens 13 or older,11,,Summer 2017,Mondays at 03:05 (JST)
119,Youkai Watch Jam: Youkai Gakuen Y - N to no Souguu,Yo-kai Watch Jam: Yo-kai Academy Y,6.33,11498,7762,1,TV,63,Finished Airing,"Dec 27, 2019 to Apr 2, 2021","None found, add some","None found, add some",OLM,Game,"Comedy, Supernatural",Kids,24 min. per ep.,PG - Children,8,"Mythology, School",Winter 2020,Fridays at 18:25 (JST)
120,Yume de Aetara (TV),If I See You in My Dreams,6.33,7051,7763,8,TV,16,Finished Airing,"Nov 30, 1998 to Dec 24, 1998",TBS,Media Blasters,J.C.Staff,Manga,"Comedy, Drama, Romance, Ecchi",Seinen,7 min. per ep.,R+ - Mild Nudity,10,,Fall 1998,Unknown
121,Zetsumetsu Kigu Shoujo: Amazing Twins,,6.33,6065,7764,11,OVA,2,Finished Airing,"Feb 26, 2014 to Jun 25, 2014","Shochiku,       AT-X,       flying DOG,       Q-Tec,       Toppan Printing,       Tablier Communications,       Nippon Ichi Software","None found, add some",Encourage Films,Original,Slice of Life,,29 min. per ep.,PG-13 - Teens 13 or older,10,,,
122,Zettai Muteki Raijin-Oh (1992),,6.33,14143,7765,861,OVA,4,Finished Airing,"Sep 30, 1992 to Feb 24, 1993",Toshiba EMI,"None found, add some",Sunrise,Original,Sci-Fi,,29 min. per ep.,G - All Ages,2,Mecha,,
123,Zoids Wild,,6.33,7525,7766,6,TV,50,Finished Airing,"Jul 7, 2018 to Jun 29, 2019","Dentsu,       Mainichi Broadcasting System,       TOHO animation,       Shogakukan","None found, add some",OLM,Other,"Action, Adventure, Comedy, Sci-Fi",,24 min. per ep.,PG - Children,14,Mecha,Summer 2018,Saturdays at 06:30 (JST)
124,Tayutayu: Pure My Heart,,6.32,6966,7767,8,Special,6,Finished Airing,"Jun 25, 2009 to Nov 25, 2009",Media Factory,Sentai Filmworks,SILVER LINK.,Visual novel,Comedy,,3 min. per ep.,PG-13 - Teens 13 or older,6,,,
125,TO,,6.32,8064,7768,5,OVA,2,Finished Airing,"Oct 2, 2009","None found, add some",Funimation,Oxybot,Manga,"Action, Drama, Sci-Fi",Seinen,43 min. per ep.,PG-13 - Teens 13 or older,5,Space,,
126,To Heart 2 Special,,6.32,9018,7769,4,Special,1,Finished Airing,"Dec 24, 2005","None found, add some","None found, add some",OLM,Visual novel,"Drama, Romance",,23 min.,PG-13 - Teens 13 or older,2,School,,
127,Tottoko Hamtarou no Tottoko Taisetsu!! Koutsuu Rule,,6.32,15021,7770,662,OVA,1,Finished Airing,Not available,"None found, add some","None found, add some","None found, add some",Manga,Drama,Kids,14 min.,G - All Ages,0,Educational,,
128,Toushi Gordian,Gordian Warrior,6.32,12120,7771,1,TV,73,Finished Airing,"Oct 7, 1979 to Feb 22, 1981",Yomiko Advertising,"None found, add some",Tatsunoko Production,Original,"Action, Sci-Fi",,25 min. per ep.,G - All Ages,2,Mecha,Fall 1979,Unknown
129,Uchuu Senshi Baldios (Movie),Space Warrior Baldios,6.32,11405,7772,2,Movie,1,Finished Airing,"Dec 29, 1981",Kokusai Eigasha,Discotek Media,"None found, add some",Unknown,"Action, Sci-Fi",,1 hr. 58 min.,PG-13 - Teens 13 or older,5,"Mecha, Space",,
130,VERSEⁿ: Episodeⁿ - Kuusou,,6.32,15003,7773,665,ONA,1,Finished Airing,"Nov 12, 2021","None found, add some","None found, add some",Enishiya,Original,Fantasy,,1 min.,PG-13 - Teens 13 or older,1,,,
