,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Themes,Demographics
119,Mori no Tonto-tachi,A Christmas Adventure,6.22,14017,8340,886,TV,23,Finished Airing,"Oct 5, 1984 to Mar 29, 1985",Fall 1984,Unknown,"Fuji TV,       Zuiyo","None found, add some","Nippon Animation,       Shaft",Unknown,Fantasy,25 min. per ep.,G - All Ages,1,,Kids
120,Neko Machi,Cat City,6.22,12102,8341,1,OVA,1,Finished Airing,"Aug 1, 2006",,,"None found, add some","None found, add some",Toei Video,Unknown,"Fantasy, Horror",42 min.,PG-13 - Teens 13 or older,3,,
121,Ojamanga Yamada-kun,,6.22,14189,8342,848,TV,103,Finished Airing,"Sep 28, 1980 to Oct 10, 1982",Fall 1980,Sundays at 19:00 (JST),"Asatsu DK,       Tsuchida Productions","None found, add some","None found, add some",Unknown,"Comedy, Slice of Life",25 min. per ep.,None,3,,
122,One Piece: Barto no Himitsu no Heya!,One Piece: Barto's Secret Room,6.22,5710,8343,13,TV Special,4,Finished Airing,"Dec 26, 2021 to Oct 8, 2023",,,"None found, add some","None found, add some",Toei Animation,Manga,Comedy,23 min. per ep.,PG-13 - Teens 13 or older,25,,
123,Saint Beast: Ikusen no Hiru to Yoru-hen,,6.22,9097,8344,4,OVA,2,Finished Airing,"Dec 17, 2005 to Mar 18, 2006",,,"Lantis,       Tokyo Kids","None found, add some",Madhouse,Mixed media,Fantasy,25 min. per ep.,PG-13 - Teens 13 or older,6,,
124,Shiguang Dailiren x Wanglaoji: Guanjian Shike Hai de Kan Guang Lu a!,Link Click x Wanglaoji,6.22,11173,8345,2,ONA,1,Finished Airing,"Sep 26, 2021",,,"None found, add some","None found, add some","None found, add some",Original,Comedy,1 min.,PG-13 - Teens 13 or older,1,,
125,Shijian Qiutu,Time Prisoner,6.22,15155,8346,636,ONA,12,Finished Airing,"Oct 3, 2021 to Dec 12, 2021",,,Youku,"None found, add some","None found, add some",Original,"Action, Sci-Fi, Supernatural",14 min. per ep.,PG-13 - Teens 13 or older,1,Super Power,
126,Submarine 707R,,6.22,9812,8347,3,OVA,2,Finished Airing,"Sep 26, 2003 to Apr 28, 2004",,,"Aniplex,       Sony Music Entertainment",Geneon Entertainment USA,Group TAC,Manga,"Action, Adventure, Sci-Fi",50 min. per ep.,PG-13 - Teens 13 or older,3,Military,
127,Takara-sagashi,Treasure Hunting,6.22,11136,8349,2,Movie,1,Finished Airing,"Jun 4, 2011",,,"None found, add some","None found, add some",Studio Ghibli,Picture book,"Adventure, Fantasy",9 min.,G - All Ages,0,,Kids
128,Tabi Machi Late Show,,6.22,6592,8348,9,TV,4,Finished Airing,"Jan 8, 2016 to Jan 29, 2016",Winter 2016,Fridays at 23:17 (JST),Ultra Super Pictures,"None found, add some",CoMix Wave Films,Original,"Drama, Slice of Life",7 min. per ep.,PG - Children,5,,
