Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
Bai Ye Ling Long,Whited Nighttime,6.36,8955,7552,4,ONA,25,Finished Airing,"Jun 6, 2018 to Nov 21, 2018",,,Tencent Penguin Pictures,"None found, add some",Seven Stone Entertainment,Manga,Romance,School,15 min. per ep.,PG-13 - Teens 13 or older,19,
Bakusou Kyoudai Let's & Go!! WGP Bousou Mini Yonku Daitsuiseki,,6.36,12523,7553,1,Movie,1,Finished Airing,05-Jul-97,,,"None found, add some","None found, add some",Xebec,Manga,Adventure,Racing,1 hr. 20 min.,G - All Ages,1,Shounen
Bug tte Honey,,6.36,13350,7554,1,TV,51,Finished Airing,"Oct 3, 1986 to Sep 25, 1987",Fall 1986,Unknown,"Studio Junio,       Nippon Television Network","None found, add some",Tokyo Movie Shinsha,Game,"Adventure, Comedy",,25 min. per ep.,G - All Ages,3,
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,CHOYOYU!: High School Prodigies Have It Easy Even in Another World!,6.36,903,7555,272,TV,12,Finished Airing,"Oct 3, 2019 to Dec 19, 2019",Fall 2019,Thursdays at 21:00 (JST),"Sotsu,       MediaNet,       Pony Canyon,       AT-X,       KlockWorx,       BS Fuji,       Tokyo MX,       Bit Promotion,       Happinet,       Dream Shift,       SB Creative","None found, add some",Project No.9,Light novel,"Action, Adventure, Fantasy",Isekai,23 min. per ep.,PG-13 - Teens 13 or older,545,
Comic Party Specials,,6.36,9209,7556,4,Special,4,Finished Airing,13-Jan-03,,,KSS,"Nozomi Entertainment,       Discotek Media",OLM,Visual novel,"Comedy, Drama",Otaku Culture,7 min. per ep.,PG-13 - Teens 13 or older,3,
D.I.C.E.,,6.36,8551,7557,5,TV,40,Finished Airing,"Dec 6, 2005 to Sep 19, 2006",Winter 2006,Unknown,"None found, add some",Bandai Entertainment,Xebec,Original,"Action, Adventure, Sci-Fi",Mecha,25 min. per ep.,PG - Children,19,Kids
Danball Senki Wars: All Star Battle,,6.36,13559,7558,1,Special,1,Finished Airing,27-Feb-14,,,"None found, add some","None found, add some",OLM,Game,Action,"Mecha, School",9 min.,G - All Ages,2,Kids
Detonator Orgun,,6.36,7410,7559,7,OVA,3,Finished Airing,"Aug 25, 1991 to Apr 25, 1992",,,Darts,Central Park Media,"AIC,       Artmic",Original,"Action, Sci-Fi",Mecha,52 min. per ep.,R+ - Mild Nudity,18,
Eat-Man,,6.36,5890,7560,12,TV,12,Finished Airing,"Jan 10, 1997 to Mar 28, 1997",Winter 1997,Fridays at 01:15 (JST),Bandai Visual,"Bandai Entertainment,       Discotek Media",Studio Deen,Manga,"Action, Adventure, Sci-Fi",Super Power,24 min. per ep.,R - 17+ (violence & profanity),23,Shounen
"Eikoku Ikka, Nihon wo Taberu: English Ikka, Shougatsu wo Taberu",Sushi and Beyond: An English Family Eats New Year's,6.36,16824,7561,438,TV Special,1,Finished Airing,01-Jan-16,,,"None found, add some","None found, add some","None found, add some",Unknown,"Comedy, Gourmet",,49 min.,G - All Ages,0,
Fairy Gone Part 2,Fairy gone Season 1 Part 2,6.36,3178,7562,48,TV,12,Finished Airing,"Oct 7, 2019 to Dec 23, 2019",Fall 2019,Mondays at 00:00 (JST),"Mainichi Broadcasting System,       Movic,       AT-X,       TOHO animation,       Medicos Entertainment,       BS11,       Sanyo",Funimation,P.A. Works,Original,"Action, Fantasy","Adult Cast, Military",23 min. per ep.,PG-13 - Teens 13 or older,48,
Full Metal Panic! Invisible Victory Intermission,,6.36,7520,7563,6,TV Special,2,Finished Airing,"May 11, 2018 to Jun 15, 2018",,,"None found, add some",Funimation,Xebec,Light novel,Action,"Mecha, Military",24 min. per ep.,R - 17+ (violence & profanity),3,
Fumikiri Jikan,Crossing Time,6.36,3411,7564,43,TV,12,Finished Airing,"Apr 10, 2018 to Jun 26, 2018",Spring 2018,Tuesdays at 01:15 (JST),"None found, add some","None found, add some",EKACHI EPILKA,Manga,"Comedy, Slice of Life",,3 min. per ep.,PG-13 - Teens 13 or older,23,
Ganbare! Kickers Specials,Fight! Kickers,6.36,13560,7565,1,Special,3,Finished Airing,05-Jan-88,,,"None found, add some","None found, add some",Pierrot,Manga,"Comedy, Drama, Sports",Team Sports,23 min. per ep.,G - All Ages,0,Kids
Guitar wo Motta Shounen: Kikaider vs. Inazuman,The Boy Who Carried a Guitar: Kikaider vs. Inazuman,6.36,12311,7566,1,Special,1,Finished Airing,18-Sep-03,,,"None found, add some","None found, add some","Radix,       Studio OX",Unknown,Sci-Fi,,28 min.,PG-13 - Teens 13 or older,1,Shounen
Hacka Doll The Animation,,6.36,3072,7567,52,TV,13,Finished Airing,"Oct 2, 2015 to Dec 25, 2015",Fall 2015,Fridays at 23:00 (JST),"Nihon Ad Systems,       AT-X,       KlockWorx,       Trigger,       DIVE II Entertainment,       Good Smile Company,       Avex Pictures,       DeNA,       Ichijinsha","None found, add some",Creators in Pack,Other,"Comedy, Sci-Fi",,7 min. per ep.,PG-13 - Teens 13 or older,67,
Hengen Taima Yakou Karura Mau! Sendai Kokeshi Enka,,6.36,11706,7568,1,OVA,6,Finished Airing,"Sep 14, 1990 to Mar 8, 1991",,,"None found, add some","None found, add some","None found, add some",Manga,Horror,,27 min. per ep.,R - 17+ (violence & profanity),3,Shoujo
Hidamari Sketch Recap,,6.36,11945,7569,1,Special,1,Finished Airing,04-Jun-08,,,"Aniplex,       Lantis","None found, add some",Shaft,4-koma manga,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",43 min.,PG-13 - Teens 13 or older,0,
Hyouken no Majutsushi ga Sekai wo Suberu,The Iceblade Sorcerer Shall Rule the World,6.36,1452,7570,163,TV,12,Finished Airing,"Jan 6, 2023 to Mar 24, 2023",Winter 2023,Fridays at 01:28 (JST),"Pony Canyon,       TBS,       Kodansha,       BS11,       Crunchyroll,       DMM.com,       Nichion,       NichiNare,       Yokohama Animation Lab,       Bit grooove promotion","None found, add some",Cloud Hearts,Light novel,"Action, Fantasy",School,24 min. per ep.,PG-13 - Teens 13 or older,780,
Ichitaka no Mousou Nikki,Ichitaka's Delusion Diary,6.36,7425,7571,7,Special,5,Finished Airing,"Dec 9, 2005 to May 26, 2006",,,"None found, add some",VIZ Media,"Pierrot,       Arms",Manga,"Comedy, Romance, Ecchi",,1 min. per ep.,R+ - Mild Nudity,2,
Ikoku Meiro no Croisée Picture Drama,La croisée dans un labyrinthe étranger Picture Drama,6.36,9163,7572,4,Special,6,Finished Airing,"Oct 26, 2011 to Mar 21, 2012",,,"None found, add some","None found, add some",Satelight,Manga,Slice of Life,"Historical, Iyashikei",6 min. per ep.,G - All Ages,0,Seinen
Juusenki L-Gaim III: Full Metal Soldier,,6.36,11873,7573,1,OVA,1,Finished Airing,28-Mar-87,,,Starchild Records,"None found, add some",Sunrise,Unknown,"Action, Sci-Fi",Mecha,56 min.,PG-13 - Teens 13 or older,3,
