,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Favorites,Demographics
13,Shingeki no Bahamut: Genesis - Roundup,,6.37,5250,7514,16,TV Special,1,Finished Airing,"Nov 18, 2014",,,"None found, add some","None found, add some",MAPPA,Game,"Action, Adventure, Fantasy",,24 min.,R - 17+ (violence & profanity),6,
14,Shingeki no Kyotou,Attack on Skytree,6.37,4380,7515,25,Movie,1,Finished Airing,"Apr 10, 2017",,,Kodansha,"None found, add some","None found, add some",Manga,"Action, Fantasy",,7 min.,PG-13 - Teens 13 or older,83,Shounen
15,Tetsujin 28-gou: Hakuchuu no Zangetsu,,6.37,12306,7516,1,Movie,1,Finished Airing,"Mar 31, 2007",,,"None found, add some",Discotek Media,Palm Studio,Unknown,"Action, Adventure, Sci-Fi",Mecha,1 hr. 35 min.,G - All Ages,2,
16,Tokyo Ghoul:re,,6.37,120,7517,1,TV,12,Finished Airing,"Apr 3, 2018 to Jun 19, 2018",Spring 2018,Tuesdays at 23:00 (JST),"Marvelous Entertainment,       Pierrot Plus,       TC Entertainment",Funimation,Pierrot,Manga,"Action, Fantasy, Horror, Suspense","Gore, Psychological",24 min. per ep.,R - 17+ (violence & profanity),"3,911",Seinen
17,Tonde Mon Pe,,6.37,16244,7518,494,TV,42,Finished Airing,"Jun 5, 1982 to Apr 2, 1983",Summer 1982,Unknown,Asahi Broadcasting,"None found, add some",Tokyo Movie Shinsha,Unknown,Supernatural,Childcare,23 min. per ep.,G - All Ages,0,Kids
18,Utawarerumono Recaps,,6.37,8977,7520,4,Special,2,Finished Airing,"Nov 22, 2006 to Dec 21, 2006",,,Lantis,"None found, add some",OLM,Visual novel,"Action, Drama, Fantasy",,15 min. per ep.,PG-13 - Teens 13 or older,0,
19,Uchuu Senkan Tiramisù,Space Battleship Tiramisu,6.37,4174,7519,28,TV,13,Finished Airing,"Apr 3, 2018 to Jun 26, 2018",Spring 2018,Tuesdays at 01:00 (JST),"Frontier Works,       Nippon Columbia,       Studio Mausu,       Tokyo MX,       Adores,       Shinchosha,       FuRyu,       Exa International,       NTT Plala,       JY Animation",Funimation,Gonzo,Web manga,"Action, Comedy, Sci-Fi","Mecha, Parody, Space",7 min. per ep.,PG-13 - Teens 13 or older,31,
20,Xi Yangyang Yu Hui Tailang,Pleasant Goat and Big Big Wolf,6.37,13847,7521,936,TV,530,Finished Airing,"Aug 3, 2005 to 2008",?,Unknown,"Creative Power Entertaining,       Alpha Group Co. Ltd.","None found, add some","None found, add some",Unknown,"Adventure, Comedy",,15 min. per ep.,PG - Children,6,Kids
21,Xiao Men Shen,The Guardian Brothers,6.37,13909,7522,916,Movie,1,Finished Airing,"Jan 1, 2016",,,"None found, add some","None found, add some",Light Chaser Animation Studios,Original,"Comedy, Fantasy",,1 hr. 49 min.,PG - Children,3,
22,Yadamon,Yadamon: Magical Dreamer,6.37,11099,7523,2,TV,170,Finished Airing,"Aug 24, 1992 to Jul 16, 1993",Summer 1992,Not scheduled once per week,Avaco Creative Studios,"None found, add some",Group TAC,Unknown,"Adventure, Comedy, Fantasy",,10 min. per ep.,PG-13 - Teens 13 or older,13,
23,10-pun de Oitsukeru: Shingeki no Kyojin,Attack on Titan in 10 Minutes,6.37,9689,7524,3,ONA,1,Finished Airing,"Jul 2, 2018",,,"None found, add some","None found, add some",Wit Studio,Manga,"Action, Drama, Fantasy, Mystery","Military, Super Power",11 min.,R - 17+ (violence & profanity),21,
24,Ai Zai Xiyuan Qian,,6.37,10767,7526,2,ONA,12,Finished Airing,"Jul 13, 2019 to Aug 31, 2019",,,"None found, add some","None found, add some",Taikong Works,Music,"Action, Fantasy, Romance, Sci-Fi",,14 min. per ep.,PG-13 - Teens 13 or older,11,
25,15-fun de Oitsukeru: Shingeki no Kyojin,Attack on Titan in 15 Minutes,6.37,9640,7525,3,ONA,1,Finished Airing,"Dec 2, 2020",,,"None found, add some","None found, add some",Wit Studio,Manga,"Action, Drama, Fantasy, Mystery","Military, Super Power",15 min.,R - 17+ (violence & profanity),6,
26,Anime Koukyoushi: Jungle Taitei,,6.37,12142,7527,1,OVA,1,Finished Airing,"Apr 1, 1991",,,Tezuka Productions,"None found, add some",Madhouse,Manga,Adventure,,51 min.,G - All Ages,3,"KidsKids,         ShounenShounen"
27,Ashita Genki ni Nare!: Hanbun no Satsumaimo,Tomorrow Will Become Better!: Half a Sweet Potato,6.37,13609,7529,1,Movie,1,Finished Airing,"Jun 30, 2005",,,Studio Kelmadick,"None found, add some",AYCO,Novel,Drama,,1 hr. 29 min.,None,1,
28,Animegataris,Anime-Gataris,6.37,2455,7528,77,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",Fall 2017,Sundays at 22:00 (JST),"W-Toon Studio,       Yomiuri TV Enterprise,       DMM.futureworks,       JY Animation",Funimation,WAO World,Original,Comedy,"Otaku Culture, Parody, School",23 min. per ep.,PG-13 - Teens 13 or older,119,
29,Baraou no Souretsu,Requiem of the Rose King,6.37,2854,7530,60,TV,24,Finished Airing,"Jan 9, 2022 to Jun 26, 2022",Winter 2022,Sundays at 22:30 (JST),"Lantis,       Akita Shoten",Crunchyroll,J.C.Staff,Manga,"Action, Drama, Supernatural",Historical,23 min. per ep.,PG-13 - Teens 13 or older,390,Shoujo
30,Black Jack: Heian Sento,Black Jack: Grandma,6.37,10389,7531,2,Movie,1,Finished Airing,1996,,,Beijing Sharaku Art,"None found, add some","None found, add some",Manga,,Medical,10 min.,PG-13 - Teens 13 or older,1,Shounen
31,Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuu Anzen,,6.37,8316,7532,5,ONA,6,Finished Airing,"Jul 1, 2016 to Sep 9, 2016",,,"None found, add some","None found, add some","None found, add some",Manga,,Educational,1 min. per ep.,PG-13 - Teens 13 or older,2,Shounen
32,Chikyuu Bouei Kazoku Special,The Daichis: Earth's Defence Family - Into the Depths of Marital Hell,6.37,14921,7533,675,Special,1,Finished Airing,"Nov 25, 2002",,,"Bandai Visual,       Group TAC","None found, add some","None found, add some",Original,"Action, Drama",Strategy Game,22 min.,PG-13 - Teens 13 or older,0,
33,Chinpui,,6.37,11207,7534,2,TV,56,Finished Airing,"Feb 11, 1989 to Apr 18, 1991",Winter 1989,Unknown,"TV Asahi,       Asatsu DK","None found, add some",Shin-Ei Animation,Manga,Comedy,,25 min. per ep.,G - All Ages,10,
34,Choujuushin Gravion,Super Heavy God Gravion,6.37,5542,7535,14,TV,13,Finished Airing,"Oct 8, 2002 to Dec 17, 2002",Fall 2002,Unknown,Imagica,ADV Films,Gonzo,Original,"Action, Comedy, Sci-Fi",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,19,
35,Cinderella Girls Gekijou: Kayou Cinderella Theater 3rd Season,THE IDOLM@STER CINDERELLA GIRLS Theater (Web) 3rd Season,6.37,9239,7536,3,ONA,7,Finished Airing,"Jul 3, 2018 to Sep 25, 2018",,,"Nippon Columbia,       Bandai Namco Entertainment,       Kadokawa",Crunchyroll,"Gathering,       Lesprit",4-koma manga,"Comedy, Slice of Life",,1 min. per ep.,PG-13 - Teens 13 or older,3,
36,Escha Chron,,6.37,7066,7537,8,ONA,2,Finished Airing,"Nov 3, 2017",,,"DIVE II Entertainment,       Avex Pictures",Sentai Filmworks,Lerche,Other,"Sci-Fi, Slice of Life","CGDCT, Music",24 min. per ep.,PG-13 - Teens 13 or older,7,
37,Eternal Boys Next Stage,,6.37,12171,7538,1,Movie,1,Finished Airing,"Jun 9, 2023",,,Fuji TV,"None found, add some",LIDENFILMS,Original,Slice of Life,"Adult Cast, Idols (Male), Music",1 hr. 9 min.,PG-13 - Teens 13 or older,3,
38,Feng Yun Jue,Storm Rider: Clash of the Evils,6.37,10611,7539,2,Movie,1,Finished Airing,"Jul 19, 2008",,,Puzzle Animation Studio Limited,"None found, add some","None found, add some",Manga,"Action, Adventure",Martial Arts,1 hr. 39 min.,PG-13 - Teens 13 or older,1,
39,Frame Arms Girl,,6.37,3851,7540,33,TV,12,Finished Airing,"Apr 4, 2017 to Jun 20, 2017",Spring 2017,Tuesdays at 01:05 (JST),"Frontier Works,       Pony Canyon,       Nippon Columbia,       Bandai Namco Games,       Kotobukiya",Sentai Filmworks,"Zexcs,       Studio A-CAT",Other,"Action, Sci-Fi",Mecha,23 min. per ep.,PG-13 - Teens 13 or older,51,
40,Future Card Shin Buddyfight,Future Card Buddyfight Ace,6.37,9523,7541,3,TV,47,Finished Airing,"Jun 2, 2018 to Apr 27, 2019",Summer 2018,Saturdays at 08:00 (JST),Bushiroad,"None found, add some","Xebec,       OLM",Card game,,Strategy Game,24 min. per ep.,PG - Children,5,
41,Gall Force 1: Eternal Story,,6.37,7174,7542,7,Movie,1,Finished Airing,"Jul 28, 1986",,,"Movic,       Sony Music Entertainment",Central Park Media,"AIC,       Artmic,       animate Film",Original,"Action, Adventure, Sci-Fi","Mecha, Military, Space",1 hr. 26 min.,R+ - Mild Nudity,15,
42,Ginga Hyouryuu Vifam: Keito no Kioku - Namida no Dakkai Sakusen,,6.37,13892,7543,922,OVA,1,Finished Airing,"Sep 25, 1985",,,"None found, add some","None found, add some",Sunrise,Original,"Action, Adventure, Sci-Fi",Mecha,57 min.,G - All Ages,0,
43,"Hachigatsu no Cinderella Nine: Tsuzuku, Monogatari",Cinderella Nine: The Story Continues,6.37,11683,7545,1,Special,1,Finished Airing,"Sep 25, 2021",,,"None found, add some","None found, add some",TMS Entertainment,Game,Sports,"School, Team Sports",23 min.,PG-13 - Teens 13 or older,5,
44,Girls Bravo: First Season,Girls Bravo,6.37,1546,7544,150,TV,11,Finished Airing,"Jul 5, 2004 to Sep 27, 2004",Summer 2004,Unknown,"AIC,       Lantis,       Kadokawa Shoten,       Fuji TV,       Rakuonsha,       KlockWorx,       Happinet Pictures,       Studio Jack","Funimation,       Geneon Entertainment USA",AIC Spirits,Manga,"Comedy, Fantasy, Romance, Ecchi","Harem, Isekai, School",23 min. per ep.,R+ - Mild Nudity,327,Shounen
45,Hataraku Oniisan!,Working Buddies!,6.37,6850,7546,8,TV,12,Finished Airing,"Jan 5, 2018 to Mar 23, 2018",Winter 2018,Fridays at 21:54 (JST),"Lantis,       Movic,       Half H.P Studio,       BS Fuji,       Tokyo MX,       Good Smile Company","None found, add some",Tomovies,Original,Comedy,"Anthropomorphic, Workplace",4 min. per ep.,G - All Ages,19,
46,Heavy Object: Dai 37 Kidou Seihi Daitai - Sakusen Kiroku,,6.37,9822,7547,3,TV Special,1,Finished Airing,"Dec 5, 2015",,,"None found, add some","None found, add some","J.C.Staff,       SANZIGEN",Light novel,Action,,20 min.,PG-13 - Teens 13 or older,2,
47,Interlude,,6.37,5506,7548,14,OVA,3,Finished Airing,"Mar 25, 2004 to Aug 27, 2004",,,Happinet Pictures,Geneon Entertainment USA,Toei Animation,Visual novel,"Adventure, Horror, Mystery",,40 min. per ep.,R - 17+ (violence & profanity),19,
48,.hack//G.U. Trilogy: Parody Mode,,6.36,6226,7549,10,Special,1,Finished Airing,"Mar 25, 2008",,,Bandai Visual,"None found, add some","None found, add some",Game,"Comedy, Fantasy, Sci-Fi","Parody, Video Game",6 min.,PG-13 - Teens 13 or older,10,
49,Ashita Sekai ga Owaru toshitemo,The Relative Worlds,6.36,4368,7550,26,Movie,1,Finished Airing,"Jan 25, 2019",,,"Shochiku,       Hakuhodo DY Media Partners,       Hakuhodo,       Shochiku Media Division,       Lawson Entertainment,       HJ Holdings","None found, add some",Craftar Studios,Original,"Action, Drama, Romance, Sci-Fi",,1 hr. 33 min.,PG-13 - Teens 13 or older,59,
50,Astro Note,,6.36,4558,7551,23,TV,12,Currently Airing,"Apr 5, 2024 to Jun 21, 2024",Spring 2024,Fridays at 22:30 (JST),"Lantis,       Shochiku,       Movic,       Tokyo MX,       Crunchyroll,       BS Asahi,       Bandai Namco Music Live,       Tokyu Agency","None found, add some",Telecom Animation Film,Original,"Comedy, Romance, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,41,
51,Bai Ye Ling Long,Whited Nighttime,6.36,8955,7552,4,ONA,25,Finished Airing,"Jun 6, 2018 to Nov 21, 2018",,,Tencent Penguin Pictures,"None found, add some",Seven Stone Entertainment,Manga,Romance,School,15 min. per ep.,PG-13 - Teens 13 or older,19,
52,Bug tte Honey,,6.36,13350,7554,1,TV,51,Finished Airing,"Oct 3, 1986 to Sep 25, 1987",Fall 1986,Unknown,"Studio Junio,       Nippon Television Network","None found, add some",Tokyo Movie Shinsha,Game,"Adventure, Comedy",,25 min. per ep.,G - All Ages,3,
53,Bakusou Kyoudai Let's & Go!! WGP Bousou Mini Yonku Daitsuiseki,,6.36,12523,7553,1,Movie,1,Finished Airing,"Jul 5, 1997",,,"None found, add some","None found, add some",Xebec,Manga,Adventure,Racing,1 hr. 20 min.,G - All Ages,1,Shounen
54,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,CHOYOYU!: High School Prodigies Have It Easy Even in Another World!,6.36,903,7555,272,TV,12,Finished Airing,"Oct 3, 2019 to Dec 19, 2019",Fall 2019,Thursdays at 21:00 (JST),"Sotsu,       MediaNet,       Pony Canyon,       AT-X,       KlockWorx,       BS Fuji,       Tokyo MX,       Bit Promotion,       Happinet,       Dream Shift,       SB Creative","None found, add some",Project No.9,Light novel,"Action, Adventure, Fantasy",Isekai,23 min. per ep.,PG-13 - Teens 13 or older,545,
55,Comic Party Specials,,6.36,9209,7556,4,Special,4,Finished Airing,"Jan 13, 2003",,,KSS,"Nozomi Entertainment,       Discotek Media",OLM,Visual novel,"Comedy, Drama",Otaku Culture,7 min. per ep.,PG-13 - Teens 13 or older,3,
56,Danball Senki Wars: All Star Battle,,6.36,13559,7558,1,Special,1,Finished Airing,"Feb 27, 2014",,,"None found, add some","None found, add some",OLM,Game,Action,"Mecha, School",9 min.,G - All Ages,2,Kids
57,D.I.C.E.,,6.36,8551,7557,5,TV,40,Finished Airing,"Dec 6, 2005 to Sep 19, 2006",Winter 2006,Unknown,"None found, add some",Bandai Entertainment,Xebec,Original,"Action, Adventure, Sci-Fi",Mecha,25 min. per ep.,PG - Children,19,Kids
58,Detonator Orgun,,6.36,7410,7559,7,OVA,3,Finished Airing,"Aug 25, 1991 to Apr 25, 1992",,,Darts,Central Park Media,"AIC,       Artmic",Original,"Action, Sci-Fi",Mecha,52 min. per ep.,R+ - Mild Nudity,18,
59,Eat-Man,,6.36,5890,7560,12,TV,12,Finished Airing,"Jan 10, 1997 to Mar 28, 1997",Winter 1997,Fridays at 01:15 (JST),Bandai Visual,"Bandai Entertainment,       Discotek Media",Studio Deen,Manga,"Action, Adventure, Sci-Fi",Super Power,24 min. per ep.,R - 17+ (violence & profanity),23,Shounen
60,"Eikoku Ikka, Nihon wo Taberu: English Ikka, Shougatsu wo Taberu",Sushi and Beyond: An English Family Eats New Year's,6.36,16824,7561,438,TV Special,1,Finished Airing,"Jan 1, 2016",,,"None found, add some","None found, add some","None found, add some",Unknown,"Comedy, Gourmet",,49 min.,G - All Ages,0,
61,Fairy Gone Part 2,Fairy gone Season 1 Part 2,6.36,3178,7562,48,TV,12,Finished Airing,"Oct 7, 2019 to Dec 23, 2019",Fall 2019,Mondays at 00:00 (JST),"Mainichi Broadcasting System,       Movic,       AT-X,       TOHO animation,       Medicos Entertainment,       BS11,       Sanyo",Funimation,P.A. Works,Original,"Action, Fantasy","Adult Cast, Military",23 min. per ep.,PG-13 - Teens 13 or older,48,
62,Full Metal Panic! Invisible Victory Intermission,,6.36,7520,7563,6,TV Special,2,Finished Airing,"May 11, 2018 to Jun 15, 2018",,,"None found, add some",Funimation,Xebec,Light novel,Action,"Mecha, Military",24 min. per ep.,R - 17+ (violence & profanity),3,
63,Fumikiri Jikan,Crossing Time,6.36,3411,7564,43,TV,12,Finished Airing,"Apr 10, 2018 to Jun 26, 2018",Spring 2018,Tuesdays at 01:15 (JST),"None found, add some","None found, add some",EKACHI EPILKA,Manga,"Comedy, Slice of Life",,3 min. per ep.,PG-13 - Teens 13 or older,23,
64,Ganbare! Kickers Specials,Fight! Kickers,6.36,13560,7565,1,Special,3,Finished Airing,"Jan 5, 1988",,,"None found, add some","None found, add some",Pierrot,Manga,"Comedy, Drama, Sports",Team Sports,23 min. per ep.,G - All Ages,0,Kids
65,Guitar wo Motta Shounen: Kikaider vs. Inazuman,The Boy Who Carried a Guitar: Kikaider vs. Inazuman,6.36,12311,7566,1,Special,1,Finished Airing,"Sep 18, 2003",,,"None found, add some","None found, add some","Radix,       Studio OX",Unknown,Sci-Fi,,28 min.,PG-13 - Teens 13 or older,1,Shounen
66,Hacka Doll The Animation,,6.36,3072,7567,52,TV,13,Finished Airing,"Oct 2, 2015 to Dec 25, 2015",Fall 2015,Fridays at 23:00 (JST),"Nihon Ad Systems,       AT-X,       KlockWorx,       Trigger,       DIVE II Entertainment,       Good Smile Company,       Avex Pictures,       DeNA,       Ichijinsha","None found, add some",Creators in Pack,Other,"Comedy, Sci-Fi",,7 min. per ep.,PG-13 - Teens 13 or older,67,
67,Hengen Taima Yakou Karura Mau! Sendai Kokeshi Enka,,6.36,11706,7568,1,OVA,6,Finished Airing,"Sep 14, 1990 to Mar 8, 1991",,,"None found, add some","None found, add some","None found, add some",Manga,Horror,,27 min. per ep.,R - 17+ (violence & profanity),3,Shoujo
68,Hidamari Sketch Recap,,6.36,11945,7569,1,Special,1,Finished Airing,"Jun 4, 2008",,,"Aniplex,       Lantis","None found, add some",Shaft,4-koma manga,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",43 min.,PG-13 - Teens 13 or older,0,
69,Ichitaka no Mousou Nikki,Ichitaka's Delusion Diary,6.36,7425,7571,7,Special,5,Finished Airing,"Dec 9, 2005 to May 26, 2006",,,"None found, add some",VIZ Media,"Pierrot,       Arms",Manga,"Comedy, Romance, Ecchi",,1 min. per ep.,R+ - Mild Nudity,2,
70,Hyouken no Majutsushi ga Sekai wo Suberu,The Iceblade Sorcerer Shall Rule the World,6.36,1452,7570,163,TV,12,Finished Airing,"Jan 6, 2023 to Mar 24, 2023",Winter 2023,Fridays at 01:28 (JST),"Pony Canyon,       TBS,       Kodansha,       BS11,       Crunchyroll,       DMM.com,       Nichion,       NichiNare,       Yokohama Animation Lab,       Bit grooove promotion","None found, add some",Cloud Hearts,Light novel,"Action, Fantasy",School,24 min. per ep.,PG-13 - Teens 13 or older,780,
71,Ikoku Meiro no Croisée Picture Drama,La croisée dans un labyrinthe étranger Picture Drama,6.36,9163,7572,4,Special,6,Finished Airing,"Oct 26, 2011 to Mar 21, 2012",,,"None found, add some","None found, add some",Satelight,Manga,Slice of Life,"Historical, Iyashikei",6 min. per ep.,G - All Ages,0,Seinen
72,Juusenki L-Gaim III: Full Metal Soldier,,6.36,11873,7573,1,OVA,1,Finished Airing,"Mar 28, 1987",,,Starchild Records,"None found, add some",Sunrise,Unknown,"Action, Sci-Fi",Mecha,56 min.,PG-13 - Teens 13 or older,3,
73,Kaitou Queen wa Circus ga Osuki,Mirage QUEEN Prefers Circus,6.36,10262,7574,2,OVA,1,Finished Airing,"Jun 17, 2022",,,"None found, add some",Sentai Filmworks,East Fish Studio,Novel,"Adventure, Fantasy",,58 min.,PG-13 - Teens 13 or older,4,
74,Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose♪ Tepple to Dokidoki Cocotama-kai,,6.36,14812,7575,695,Movie,1,Finished Airing,"Apr 28, 2017",,,"Lantis,       Bandai","None found, add some",OLM,Original,Fantasy,,1 hr. 16 min.,PG - Children,1,Kids
75,Kämpfer,,6.36,846,7577,289,TV,12,Finished Airing,"Oct 2, 2009 to Dec 18, 2009",Fall 2009,Fridays at 01:29 (JST),"TBS,       RAY",Sentai Filmworks,Nomad,Light novel,"Action, Comedy, Romance, Ecchi","Harem, Magical Sex Shift, School",24 min. per ep.,PG-13 - Teens 13 or older,812,
76,Kanojo ga Flag wo Oraretara,If Her Flag Breaks,6.36,1225,7576,197,TV,13,Finished Airing,"Apr 7, 2014 to Jun 30, 2014",Spring 2014,Mondays at 00:30 (JST),KlockWorx,"NIS America, Inc.",Hoods Entertainment,Light novel,"Comedy, Romance","Harem, School",24 min. per ep.,PG-13 - Teens 13 or older,258,
77,Last Period: Owarinaki Rasen no Monogatari,Last Period: The Journey to the End of the Despair,6.36,3588,7578,39,TV,12,Finished Airing,"Apr 12, 2018 to Jun 28, 2018",Spring 2018,Thursdays at 00:00 (JST),"Asmik Ace,       NBCUniversal Entertainment Japan,       Egg Firm,       Hakuhodo DY Media Partners,       Kadokawa,       Happy Elements","None found, add some",J.C.Staff,Game,"Action, Adventure, Comedy, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,29,
78,McDull: Boluo You Wang Zi,"McDull, Prince de la Bun",6.36,17533,7580,383,Movie,1,Finished Airing,"Jun 24, 2004",,,Bliss Pictures,"None found, add some","None found, add some",Unknown,Comedy,Anthropomorphic,1 hr. 17 min.,G - All Ages,4,Kids
79,Love Live! Kouhaku Special Anime,,6.36,8080,7579,5,Special,1,Finished Airing,"Dec 31, 2015",,,"None found, add some","None found, add some",Sunrise,Original,,"Idols (Female), Music",30 sec.,PG - Children,4,
80,Minky Momo in Tabidachi no Eki,Minky Momo: The Station of Your Memories,6.36,11009,7581,2,OVA,1,Finished Airing,"Jun 22, 1994",,,"None found, add some","None found, add some","None found, add some",Original,"Drama, Fantasy",Mahou Shoujo,30 min.,G - All Ages,1,
81,Nanocore 3rd Season,,6.36,15686,7582,557,ONA,20,Finished Airing,"Aug 2, 2017 to Dec 20, 2017",,,"None found, add some","None found, add some",Coastline Animation Studio,Original,"Action, Adventure, Sci-Fi",Mecha,15 min. per ep.,PG-13 - Teens 13 or older,0,
82,Nozo x Kimi,,6.36,3619,7583,38,OVA,3,Finished Airing,"Aug 18, 2014 to Feb 18, 2015",,,"None found, add some",Sentai Filmworks,Zexcs,Manga,"Comedy, Romance, Ecchi",School,23 min. per ep.,R+ - Mild Nudity,51,Shounen
83,"Planetarium Chibi Maruko-chan, Hoshi ni Negai wo",,6.36,15516,7584,582,Movie,1,Finished Airing,"Jul 18, 2015",,,"None found, add some","None found, add some",Nippon Animation,Manga,"Comedy, Slice of Life",School,28 min.,G - All Ages,0,Kids
84,Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei,Pokémon the Movie: Genesect and the Legend Awakened,6.36,3152,7586,49,Movie,1,Finished Airing,"Jul 13, 2013",,,"None found, add some",The Pokemon Company International,OLM,Game,"Action, Adventure, Comedy, Fantasy",,1 hr. 10 min.,PG - Children,9,Kids
85,Pokemon Advanced Generation Planetarium: Tenkuu Kara no Chousen,,6.36,13973,7585,902,Movie,1,Finished Airing,"Jul 17, 2004",,,"None found, add some","None found, add some","None found, add some",Game,"Action, Adventure, Comedy, Fantasy",,30 min.,PG - Children,0,Kids
86,PriPri Chii-chan!!,PriPri Chi-chan!!,6.36,9377,7587,3,TV,36,Finished Airing,"Apr 15, 2017 to Dec 16, 2017",Spring 2017,Saturdays at 06:30 (JST),"None found, add some","None found, add some",OLM,Manga,"Comedy, Sci-Fi",,12 min. per ep.,G - All Ages,11,Shoujo
87,Rokushin Gattai GodMars,God Mars,6.36,9902,7588,3,TV,64,Finished Airing,"Oct 2, 1981 to Dec 24, 1982",Fall 1981,Unknown,"None found, add some",Discotek Media,"Tokyo Movie Shinsha,       Studio Cockpit",Manga,"Action, Sci-Fi","Mecha, Space",24 min. per ep.,PG-13 - Teens 13 or older,2,
88,Sakura Taisen: Le Nouveau Paris,,6.36,9701,7589,3,OVA,3,Finished Airing,"Oct 20, 2004 to Mar 16, 2005",,,"Pony Canyon,       Sega,       Imagine","None found, add some",Radix,Game,"Adventure, Sci-Fi","Mecha, Performing Arts",31 min. per ep.,PG-13 - Teens 13 or older,2,
