,Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Premiered,Broadcast,Themes
34,Kagaku Ninja-tai Gatchaman (Movie),,6.13,11581,8793,1,Movie,1,Finished Airing,"Jul 15, 1978","Imagi,       Toshiba Entertainment",Sentai Filmworks,Tatsunoko Production,Unknown,"Action, Adventure, Sci-Fi",,1 hr. 51 min.,PG-13 - Teens 13 or older,1,,,
35,Kaitei Choutokkyuu: Marine Express,Undersea Super Train: Marine Express,6.13,11138,8794,2,Special,1,Finished Airing,"Aug 26, 1979","None found, add some","None found, add some",Tezuka Productions,Unknown,"Action, Adventure, Comedy, Drama, Sci-Fi",,1 hr. 31 min.,PG-13 - Teens 13 or older,4,,,
36,Kenzen Robo Daimidaler,Daimidaler: Prince vs. Penguin Empire,6.13,2586,8795,71,TV,12,Finished Airing,"Apr 5, 2014 to Jun 21, 2014","Genco,       Lantis,       AT-X,       Showgate,       Kadokawa",Funimation,TNK,Manga,"Action, Comedy, Ecchi",Seinen,24 min. per ep.,R+ - Mild Nudity,109,Spring 2014,Unknown,Mecha
37,Kenzen Robo Daimidaler Specials,,6.13,6927,8796,8,Special,6,Finished Airing,"Jul 25, 2014 to Dec 24, 2014",Genco,Funimation,TNK,Manga,"Comedy, Ecchi",Seinen,3 min. per ep.,R+ - Mild Nudity,0,,,Mecha
38,Kidou Senshi Gundam-san (ONA),Mobile Suit Gundam-san (ONA),6.13,11784,8797,1,ONA,15,Finished Airing,"Sep 17, 2014 to Dec 24, 2014","None found, add some","None found, add some","None found, add some",4-koma manga,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,1,,,"Mecha, Parody"
39,Kuusou no Soratobu Kikai-tachi,,6.13,11016,8799,2,Movie,1,Finished Airing,2002,"None found, add some","None found, add some",Studio Ghibli,Original,,,6 min.,G - All Ages,1,,,Historical
40,Kiku-chan to Ookami,,6.13,15262,8798,620,TV Special,1,Finished Airing,"Aug 13, 2008","None found, add some","None found, add some",Shin-Ei Animation,Novel,Adventure,,45 min.,PG - Children,0,,,Historical
41,Mashin Eiyuuden Wataru: Shichikon no Ryuujinmaru,,6.13,14260,8800,830,ONA,9,Finished Airing,"Apr 10, 2020 to Nov 20, 2020","Studio Live,       Bandai Spirits","None found, add some",Sunrise,Other,"Action, Adventure, Comedy, Sci-Fi",,17 min. per ep.,G - All Ages,3,,,Mecha
42,Tetsuwan Atom: Uchuu no Yuusha,Astro Boy: The Brave in Space,6.12,11083,8901,2,Movie,1,Finished Airing,"Jul 26, 1964",Fuji TV,"None found, add some",Mushi Production,Original,"Action, Adventure, Drama, Sci-Fi",Shounen,1 hr. 27 min.,G - All Ages,1,,,Mecha
43,UniteUp! Furikaeranai to,UniteUp! Let's Look Back & Unite,6.12,14479,8902,778,TV Special,1,Finished Airing,"Mar 18, 2023","Aniplex,       Sony Music Entertainment","None found, add some",CloverWorks,Music,,,24 min.,PG-13 - Teens 13 or older,5,,,"Idols (Male), Music"
44,Wakakusa Monogatari: Nan to Jo-sensei Specials,,6.12,14936,8904,675,TV Special,2,Finished Airing,"Jun 16, 2001 to Jun 17, 2001","None found, add some","None found, add some",Nippon Animation,Unknown,"Drama, Slice of Life",,45 min. per ep.,G - All Ages,0,,,"Historical, School"
45,Urashimasakatasen no Nichijou Special,,6.12,13890,8903,925,Special,1,Finished Airing,"Feb 26, 2020","None found, add some","None found, add some",Gainax Kyoto,Music,Comedy,,4 min.,PG-13 - Teens 13 or older,1,,,School
46,Wangu Xian Qiong IV: Yin Yue Cheng Pian,,6.12,13891,8905,924,ONA,12,Finished Airing,"Apr 16, 2020 to Jul 2, 2020",iQIYI,"None found, add some",ASK Animation Studio,Novel,"Action, Adventure, Fantasy",,16 min. per ep.,PG-13 - Teens 13 or older,2,,,
47,Warau Hyouteki,Laughing Target,6.12,7848,8906,6,OVA,1,Finished Airing,"Mar 21, 1987","None found, add some",Central Park Media,Pierrot,Manga,"Horror, Mystery",,49 min.,R - 17+ (violence & profanity),4,,,
48,Yankee Hamster,Delinquent Hamsters,6.12,13219,8907,1,ONA,110,Finished Airing,"Mar 18, 2013 to Dec 7, 2018",Anime Beans,Sentai Filmworks,Piso Studio,Original,Comedy,,2 min. per ep.,PG-13 - Teens 13 or older,4,,,"Delinquents, Pets"
49,Youkai Ningen Bem,,6.12,10680,8908,2,TV,26,Finished Airing,"Oct 7, 1968 to Mar 31, 1969","None found, add some","None found, add some",Dai-Ichi Douga,Original,Horror,,25 min. per ep.,PG-13 - Teens 13 or older,4,Fall 1968,Unknown,Mythology
50,Zen: Grogu to Makkuro Kurosuke,Zen - Grogu and Dust Bunnies,6.12,9023,8909,4,ONA,1,Finished Airing,"Nov 12, 2022","None found, add some","None found, add some",Studio Ghibli,Other,"Action, Adventure, Sci-Fi",,3 min.,G - All Ages,15,,,"Military, Space"
51,Sugata Sanshirou,Judo Story,6.11,13156,8910,1,TV Special,1,Finished Airing,"Jun 8, 1981","None found, add some","None found, add some",Tokyo Movie Shinsha,Novel,Sports,,1 hr. 12 min.,PG-13 - Teens 13 or older,2,,,Martial Arts
52,Tobe! Kujira no Peek,Fly! Peek the Whale,6.11,11839,8911,1,Movie,1,Finished Airing,"May 22, 1991",TOHO animation,"None found, add some",Urban Product,Unknown,"Adventure, Drama",Kids,1 hr. 20 min.,G - All Ages,2,,,
53,Toilet no Hanako-san,,6.11,11808,8912,1,Movie,1,Finished Airing,"Jun 29, 1996","None found, add some","None found, add some",Pierrot,Other,Horror,,30 min.,PG-13 - Teens 13 or older,6,,,
54,Transformers Superlink,Transformers Energon,6.11,7980,8913,5,TV,51,Finished Airing,"Jan 9, 2004 to Dec 24, 2004","None found, add some",Hasbro,Actas,Other,"Adventure, Sci-Fi",,24 min. per ep.,PG-13 - Teens 13 or older,14,Winter 2004,Fridays at 18:00 (JST),"Mecha, Space"
55,UFO Princess Valkyrie: Recap,,6.11,11987,8914,1,Special,1,Finished Airing,"Aug 23, 2003","Media Factory,       Nippon Columbia,       KlockWorx,       Toshiba Entertainment",ADV Films,TNK,Manga,"Comedy, Romance, Sci-Fi",,45 min.,PG-13 - Teens 13 or older,0,,,
56,Wakakusa Monogatari,Little Women,6.11,12565,8916,1,TV Special,1,Finished Airing,"May 3, 1980",Harmony Gold,"None found, add some",Toei Animation,Novel,Slice of Life,,1 hr. 8 min.,G - All Ages,0,,,Historical
57,Urashimasakatasen no Nichijou,,6.11,7945,8915,6,TV,12,Finished Airing,"Oct 2, 2019 to Dec 18, 2019",NBCUniversal Entertainment Japan,"None found, add some",Gainax Kyoto,Music,Comedy,,4 min. per ep.,PG-13 - Teens 13 or older,35,Fall 2019,Wednesdays at 21:54 (JST),School
58,"Wake Up, Girl Zoo!","Wake Up, Girls! ZOO",6.11,7799,8917,6,ONA,10,Finished Airing,"Oct 22, 2014 to Feb 25, 2015","None found, add some","None found, add some","Ordet,       Studio Moriken",Original,Comedy,,3 min. per ep.,G - All Ages,6,,,
59,Zhong Hua Xiao Zi,Shaolin Wuzang,6.11,14507,8918,771,TV,26,Finished Airing,"Dec 16, 2006 to 2007","None found, add some","None found, add some","None found, add some",Unknown,"Action, Supernatural",,25 min. per ep.,PG - Children,1,?,Unknown,"Historical, Martial Arts, Mythology, Samurai"
60,.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,.hack//Legend of the Twilight Offline Meeting Special,6.11,5967,8919,12,Special,1,Finished Airing,"Oct 24, 2003",Bee Train,"None found, add some","None found, add some",Manga,"Adventure, Comedy, Fantasy, Sci-Fi",,20 min.,PG - Children,5,,,Video Game
61,30-sai no Hoken Taiiku Specials,,6.11,7595,8920,6,Special,3,Finished Airing,"Jul 22, 2011 to Sep 23, 2011","None found, add some","None found, add some",Gathering,Book,"Romance, Ecchi",,10 min. per ep.,R+ - Mild Nudity,3,,,"Adult Cast, Parody"
62,Anime TV de Hakken! Tamagotchi,Animated Tamagotchi Found on Television!,6.11,14411,8923,786,TV,27,Finished Airing,"Jul 7, 1997 to Mar 21, 1998","Fuji TV,       Bandai",NYAV Post,"None found, add some",Other,"Comedy, Fantasy, Slice of Life",Kids,20 min. per ep.,G - All Ages,2,Summer 1997,Unknown,
63,Akuu Daisakusen Srungle,Macron One,6.11,11287,8922,2,TV,53,Finished Airing,"Jan 21, 1983 to Jan 27, 1984",Kokusai Eigasha,"None found, add some","None found, add some",Original,"Action, Sci-Fi",,25 min. per ep.,PG-13 - Teens 13 or older,2,Winter 1983,Fridays at 17:30 (JST),Mecha
64,Akahori Gedou Hour Rabuge,Akahori's Heretical Hour Love Game,6.11,7644,8921,6,TV,13,Finished Airing,"Jul 5, 2005 to Sep 27, 2005","Lantis,       Kadokawa Shoten,       Studio Jack,       NBCUniversal Entertainment Japan,       Audio Tanaka,       On The Run","None found, add some",Radix,Original,Comedy,,24 min. per ep.,PG-13 - Teens 13 or older,8,Summer 2005,Unknown,Parody
65,Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,,6.11,5711,8924,13,OVA,1,Finished Airing,"Mar 22, 2006",Banpresto,"None found, add some",Trans Arts,Game,"Action, Adventure, Fantasy, Sci-Fi",,24 min.,PG-13 - Teens 13 or older,13,,,
66,Bokura no Ame-iro Protocol,Protocol: Rain,6.11,3891,8925,33,TV,12,Finished Airing,"Oct 8, 2023 to Dec 24, 2023","TV Asahi,       Toei Video,       Movic,       KlockWorx,       Tokyopop,       Sony Music Entertainment,       Nagoya Broadcasting Network,       AQUA ARIS,       Pia,       BS Asahi,       Miyazaki Broadcasting,       Starry Cube,       TV Asahi Music,       Gekkou","None found, add some",Quad,Original,Action,,23 min. per ep.,PG-13 - Teens 13 or older,113,Fall 2023,Sundays at 01:30 (JST),Video Game
67,Climber,,6.11,18958,8926,284,Movie,1,Finished Airing,2010,Geidai Animation,"None found, add some","None found, add some",Original,Avant Garde,,5 min.,PG-13 - Teens 13 or older,1,,,Psychological
68,Fuichin-san,,6.11,15925,8927,531,OVA,1,Finished Airing,"Mar 20, 2004",Animaruya,"None found, add some","None found, add some",Manga,Drama,Shoujo,1 hr.,G - All Ages,0,,,Historical
69,Fushigi na Melmo,Marvelous Melmo,6.11,11190,8928,2,TV,26,Finished Airing,"Oct 3, 1971 to Mar 26, 1972",Asahi Broadcasting,"None found, add some",Tezuka Productions,Manga,,Shoujo,24 min. per ep.,PG - Children,2,Fall 1971,Sundays at 18:30 (JST),
70,Ginga Tetsudou 999: Jikuu wo Koeta Energy no Tabi,Galaxy Express 999: Journey with Energy Beyond Space and Time,6.11,13723,8930,973,ONA,5,Finished Airing,"Jul 24, 2010 to Sep 24, 2010","None found, add some","None found, add some",Toei Animation,Unknown,"Adventure, Drama, Sci-Fi",,4 min. per ep.,PG-13 - Teens 13 or older,1,,,
71,God Eater Resonant Ops,,6.11,9120,8931,4,ONA,1,Finished Airing,"Mar 24, 2018","None found, add some","None found, add some",ufotable,Game,"Fantasy, Sci-Fi",,1 min.,PG-13 - Teens 13 or older,4,,,"Military, Music, Video Game"
72,Gendai Kibunroku Kaii Monogatari,Strange Tales of Modern Mysterious Events,6.11,12391,8929,1,OVA,1,Finished Airing,"Aug 1, 2006","None found, add some","None found, add some",Toei Animation,Unknown,Horror,,46 min.,None,2,,,
73,Gunjou no Magmell,Ultramarine Magmell,6.11,1475,8932,160,TV,13,Finished Airing,"Apr 7, 2019 to Jun 30, 2019","Shueisha,       bilibili,       Yomiuri TV Enterprise,       FanFan Inc.,       Shun Produce","None found, add some",Pierrot Plus,Manga,"Action, Adventure, Fantasy",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,178,Spring 2019,Sundays at 22:00 (JST),Super Power
74,Hiatari Ryoukou! Yume no Naka ni Kimi ga Ita,Sunny Ryoko! You Were There in a Dream,6.11,12097,8933,1,Movie,1,Finished Airing,"Oct 1, 1988","None found, add some","None found, add some",Group TAC,Manga,"Comedy, Drama, Romance",,1 hr. 7 min.,PG-13 - Teens 13 or older,2,,,
75,Hoshi no Ko Chobin,Starchild Chobin,6.11,12989,8934,1,TV,26,Finished Airing,"Apr 5, 1974 to Sep 27, 1974","None found, add some","None found, add some",Studio Zero,Original,"Adventure, Sci-Fi",,23 min. per ep.,G - All Ages,0,Spring 1974,Unknown,
76,Izumo: Takeki Tsurugi no Senki,Izumo: Flash of a Brave Sword,6.11,5756,8935,13,TV,12,Finished Airing,"Apr 3, 2005 to Jun 19, 2005",Tokyo Kids,Discotek Media,"Trinet Entertainment,       Studio Kyuuma",Visual novel,"Adventure, Drama, Fantasy, Romance",,25 min. per ep.,PG-13 - Teens 13 or older,16,Spring 2005,Sundays at 01:30 (JST),"Isekai, Martial Arts"
77,Jigokudou Reikai Tsuushin,,6.11,12727,8936,1,OVA,1,Finished Airing,"Aug 9, 1996","Toei Video,       Tohokushinsha Film Corporation","None found, add some","None found, add some",Novel,"Fantasy, Horror",,45 min.,PG-13 - Teens 13 or older,2,,,
78,Jungle Taitei Leo: Hon-o-ji,,6.11,13793,8937,951,Movie,1,Finished Airing,"Mar 18, 2000",Beijing Sharaku Art,"None found, add some","None found, add some",Manga,"Adventure, Drama",,9 min.,G - All Ages,2,,,
79,Kara no Kyoukai Movie: Mirai Fukuin - Manner Movie,The Garden of Sinners: Future Gospel - Manner Movie,6.11,6287,8938,10,Movie,1,Finished Airing,"Sep 28, 2013",Aniplex,Aniplex of America,ufotable,Light novel,Drama,,1 min.,G - All Ages,2,,,
80,Kemurikusa (2018),,6.11,11046,8939,2,ONA,7,Finished Airing,"Aug 31, 2018 to Apr 6, 2019","None found, add some","None found, add some","None found, add some",Original,"Fantasy, Sci-Fi",,1 min. per ep.,G - All Ages,2,,,
81,Kidou Senshi SD Gundam Mk-II,Mobile Suit SD Gundam Mk-II,6.11,8887,8940,4,OVA,3,Finished Airing,"Jun 25, 1989","None found, add some","None found, add some",Sunrise,Original,"Comedy, Sci-Fi",,10 min. per ep.,PG-13 - Teens 13 or older,1,,,"Mecha, Parody"
82,Kiss Dum R: Meguriahi,,6.11,12451,8941,1,Special,1,Finished Airing,"Oct 19, 2008",Bandai Visual,"None found, add some",Satelight,Original,Sci-Fi,,23 min.,PG-13 - Teens 13 or older,1,,,"Mecha, Military"
83,Koisuru Asteroid: Kirakira Zoukan-gou,,6.11,10306,8942,2,ONA,12,Finished Airing,"Jan 4, 2020 to Mar 27, 2020","None found, add some","None found, add some","None found, add some",4-koma manga,,,44 sec. per ep.,PG-13 - Teens 13 or older,1,,,"CGDCT, Educational, School"
84,Kyokou Uranai,,6.11,7071,8943,8,ONA,12,Finished Airing,"Jan 17, 2020 to Apr 3, 2020","None found, add some","None found, add some",AQUA ARIS,Light novel,Supernatural,,55 sec. per ep.,G - All Ages,2,,,
85,Ling Feng Zhe,The Leader,6.11,8936,8945,4,ONA,7,Finished Airing,"Jan 28, 2019 to Mar 4, 2019",bilibili,"None found, add some",Wawayu Animation,Original,"Drama, Romance, Slice of Life",,24 min. per ep.,PG-13 - Teens 13 or older,27,,,Historical
86,Laidbackers,,6.11,8377,8944,5,Movie,1,Finished Airing,"Apr 5, 2019",flying DOG,Sentai Filmworks,Studio Gokumi,Original,"Comedy, Fantasy",,58 min.,R - 17+ (violence & profanity),2,,,
87,Lu Ling,,6.11,16741,8946,444,Movie,1,Finished Airing,1982,Shanghai Animation Film Studio,"None found, add some","None found, add some",Unknown,,Kids,20 min.,G - All Ages,0,,,
88,Mahou no Princess Minky Momo: Yume wo Dakishimete Specials,,6.11,13667,8947,987,Special,3,Finished Airing,Not available,Nippon Television Network,"None found, add some",Ashi Productions,Unknown,,,21 min. per ep.,G - All Ages,0,,,Mahou Shoujo
89,MahoYome Specials,,6.11,13909,8948,916,Special,6,Finished Airing,"Mar 24, 2018","None found, add some","None found, add some","W-Toon Studio,       DMM.futureworks",Manga,,,45 sec. per ep.,G - All Ages,0,,,Parody
90,Malice@Doll,,6.11,7151,8949,7,OVA,3,Finished Airing,"Apr 27, 2001 to Jun 22, 2001","GAGA,       Arts Magic","None found, add some",Soeishinsha,Original,"Horror, Sci-Fi",,26 min. per ep.,R - 17+ (violence & profanity),92,,,Psychological
91,Meitantei Conan vs. Wooo,Detective Conan vs. Wooo,6.11,7929,8950,6,ONA,2,Finished Airing,"Apr 22, 2011 to Jun 23, 2011","None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Shounen,7 min. per ep.,G - All Ages,2,,,Detective
92,Meitantei Conan: Pyramid kara no Chousenjou!,Detective Conan: A Written Challenge from the Pyramids!,6.11,10861,8951,2,OVA,1,Finished Airing,"Jun 22, 2001","None found, add some","None found, add some","None found, add some",Manga,Mystery,,17 min.,PG-13 - Teens 13 or older,1,,,
93,Mini Toji,Katana Maidens: Mini Toji,6.11,7725,8952,6,TV,10,Finished Airing,"Jan 6, 2019 to Mar 17, 2019","Square Enix,       Genco,       Mainichi Broadcasting System,       AT-X,       Studio Gokumi,       Glovision,       Crunchyroll,       Kadokawa,       My Theater D.D.","None found, add some",Project No.9,Original,"Action, Comedy, Fantasy",,5 min. per ep.,G - All Ages,4,Winter 2019,Sundays at 01:55 (JST),CGDCT
94,Moyashimon CGI Anime,,6.11,10883,8953,2,OVA,1,Finished Airing,"Jul 6, 2010","None found, add some","None found, add some",Shirogumi,Manga,"Comedy, Supernatural",,6 min.,PG-13 - Teens 13 or older,1,,,School
95,Nineteen 19,,6.11,8564,8954,5,OVA,1,Finished Airing,"Jul 27, 1990",Shueisha,"None found, add some",Madhouse,Manga,"Drama, Romance",,42 min.,R - 17+ (violence & profanity),12,,,
